"GCM","SSP","RUN","PERIOD","AHM","bFFP","CMD","CMD_at","CMD_sm","CMD_sp","CMD_wt","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","CMI","DD_0","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD_0_at","DD_0_sm","DD_0_sp","DD_0_wt","DD_18","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD_18_at","DD_18_sm","DD_18_sp","DD_18_wt","DD18","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","DD18_at","DD18_sm","DD18_sp","DD18_wt","DD5","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD5_at","DD5_sm","DD5_sp","DD5_wt","eFFP","EMT","Eref","Eref_at","Eref_sm","Eref_sp","Eref_wt","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","EXT","FFP","MAP","MAT","MCMT","MSP","MWMT","NFFD","NFFD_at","NFFD_sm","NFFD_sp","NFFD_wt","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS","PAS_at","PAS_sm","PAS_sp","PAS_wt","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","PPT","PPT_at","PPT_sm","PPT_sp","PPT_wt","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","RH","RH_at","RH_sm","RH_sp","RH_wt","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","SHM","Tave","Tave_at","Tave_sm","Tave_sp","Tave_wt","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","TD","Tmax","Tmax_at","Tmax_sm","Tmax_sp","Tmax_wt","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin","Tmin_at","Tmin_sm","Tmin_sp","Tmin_wt","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT_MJ","PPT_JAS","PPT.dormant","CMD.def","CMDMax","CMD.total","DD_delayed"
"obs","obs",NA,"1961_1990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obs","obs",NA,"2001_2020",0.434314955493843,-2.21121156066266,18.57576868468,0,13.5594050372086,5.01636364747132,0,0,0,0,0,5.01636364747132,5.86937378707337,6.88627303783687,0.803758212298419,0,0,0,0,-52.1717629348868,-24.3709864973001,-13.5832225270285,0.151351988089438,-1.3210924227899,-1.20424987362223,-0.383357796390129,0,0,0,-0.0443699330388025,-0.233445240030594,-2.74107977549467,-5.01152091699475,-3.01889494856407,0,-2.90870009280226,-18.4433914559338,-104.102147621442,-25.2586758792617,0.32242141972813,-3.41986564503293,-6.93479727991803,-12.6756995559263,-8.14608958377019,-11.0589454487762,-9.45861125528093,-7.59060042342239,-3.17652790273542,-7.57499855370975,-9.12975751333602,-18.3421268798676,-28.6636462878273,-23.0303624808773,-34.0660119728695,4.88168273937129,0.0475814315313846,-0.000285694074597671,0.010652401025151,0.0735207337338205,0.385115976016147,0.464096644812145,1.55107689700342,1.66590851350997,0.625328355780058,0.0377547384139603,0.0157892265079712,0.00514351511185415,0.67887232070199,3.68108205532553,0.469289110775119,0.0524392525686411,60.6171781029625,2.09299579314943,-0.0340596789846108,0.618278766729119,3.05127475200649,10.2996943292142,8.24638746176299,12.726121725796,11.4008916398697,7.96472816054941,2.01958538970268,1.5404214943768,0.690858268790176,11.5247350446289,32.3734008274287,13.9692478479498,2.74979438295499,1.82534906548602,0.866001593191658,7.96413077266391,0.158003824663425,2.82139119319254,1.54926525783671,3.43547049697132,2.78085834981317,-0.0224451936821133,0.0654140651426793,0.593665826303386,0.890185366390654,0.335072321046454,1.10679546443312,1.37952340771292,0.0102994662965799,-0.232010466803516,0.379714825170366,0.677057340840254,0.29423567179569,4.03656062614863,-68.2273556510795,0.297290212113173,0.40663306244216,-13.4111305746807,0.370872866531439,6.23897088816614,1.2816537072538,0.349850202317739,2.26085216323785,2.34661481535673,1.71257584316202,-0.041391283985126,0.528470178862117,0.690637336427544,1.04174464794819,0.264772427011316,0.0416325248536005,0.0434452504528267,0.257356254896571,0.420715414876788,0.603582037480438,0.675430256179832,-91.0862218758714,-11.5163922854321,-4.51464032795316,-7.40132016078596,-67.6538691017002,-15.6509531313022,-33.5922142539929,2.0484117562512,-2.76900407612487,-6.68072784091225,-3.08312625729922,-1.01823405093916,-0.413280019714776,-0.797747017085467,-8.15483159259693,-2.56381367574964,-18.4107017164051,-68.2273556510795,-0.905695307877636,-11.773044130271,-0.412599259131298,-55.1360169537996,11.613919984468,-51.6807685099718,7.11930283453543,0.0201644200783164,-7.55206651374502,-6.54006520264758,-5.80643058387144,0.573451656248032,5.91398006933534,-16.7342490933135,9.91457371610051,-15.0691684282959,0.308053918793021,0.378155590632332,0.191505436843286,0.436541892954224,0.420730574247671,0.838491427467034,-0.0788669333788334,0.79348934403076,0.14204181276817,0.392690987306281,0.453501172090199,0.254960187631227,-0.1262468865866,0.588068593616057,0.585310544121626,-0.0164979623329913,0.490302416854391,2.47416693402184,0.297290212113173,0.211920613366794,0.355359003894023,0.253455933988479,0.368425297203393,0.821612731412288,-0.0115126248300582,0.110390178278521,0.232110012983748,0.417867610703169,0.289724498743233,0.409067057640264,0.367285455298571,0.280633174389061,0.102020410414098,0.253108255297223,0.29517578502795,-0.0357601959107203,0.260405494786504,0.159867205389634,0.337088677666987,0.201179805011513,0.343486291077881,0.777734945300936,-0.00174973365066666,0.00837123018130903,0.224238796221238,0.370929388631989,0.225323231723689,0.382029477818659,0.40391332345861,0.193727443365315,0.0152549806663433,0.270619192137245,0.254473661583374,0.334174929439842,0.263974021343954,0.37362933012106,0.305732062965447,0.393364303328906,0.865490517523641,-0.02127551600945,0.212409126375734,0.239981229746258,0.464805832774347,0.354125765762779,0.436104637461872,0.33065758713853,0.367538905412809,0.188785840161852,0.235597318457201,0.335877908472527,-14.0921317163926,0.681001141711931,-56.0417122616773,0,6.88627303783687,18.57576868468,-0.51080241642705
"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",0.805301743714519,-5.69564546560515,70.7499515209298,0,61.497063895552,9.25288762537779,0,0,0,0,0,9.25288762537779,21.2945332505061,18.2756172386477,21.9269134063982,0,0,0,0,-29.6020317455259,-59.4908698912941,-13.2993649035359,-10.8966724304189,-8.53959510035867,-5.8047208381041,-1.32444788675431,0,0,0,-0.152593322388711,-1.53541581866433,-7.69722108269179,-10.2408385083774,-9.38523022374483,0,-15.6687638252171,-34.4368758423322,-383.666047286364,-24.6868800758549,-25.2297139994166,-23.4905331040873,-39.8732861603677,-65.8169937118389,-39.2399404638374,-35.0217604677825,-33.7561700781077,-30.9586222652751,-23.8062351887486,-22.6469546669416,-19.1389571041058,-77.4118121209652,-108.017871009728,-129.180812976294,-69.0555511793771,24.7608486840572,0.0462926236652705,0.0279790452954638,0.0818426289550013,0.513434734114686,2.92906195619499,3.0983701037432,6.6362757044997,7.97942851195039,3.05897110217206,0.325400906736152,0.0521889524597024,0.0116024142706253,3.43656096136792,17.7140743201933,3.52433931926468,0.0858740832313595,270.892395236833,2.0354731541075,3.21014871205291,4.69749891734244,19.9945288661282,59.3786148422252,41.1558759166808,42.1038512321351,42.6686792957784,33.2396040849087,15.8991011511517,4.97521686142056,1.53380220290205,54.113922097481,125.928406444594,84.0706426256959,6.77942406906246,5.69461518139775,1.30352591347984,50.5779131082639,5.81511135101069,22.6301405709032,16.2851744839905,5.84748670235963,2.48301350856814,1.80378826908243,2.1940339159029,4.06400437041572,10.0271361976719,7.32784133915699,8.25591767710645,7.04638155463972,3.58690027813609,1.1772532491064,1.05095782376819,1.56068492470906,1.49812292334974,11.3902606470028,-52.727628215468,1.12393103870566,0.690770735957262,-49.1682520188248,1.37468474212503,20.0928660076451,3.86845303042486,0.909125059181903,9.23039514767888,6.08489277035949,2.12544554906604,2.56805789434704,2.30799349788379,3.39159241479721,3.53080923499788,0.717916611255745,0.0797540470675422,0.111454400858616,0.600327277115319,1.46193308572109,1.80619266758845,1.39138932694642,-174.999134165864,-40.3873546392948,-11.4234763941625,-54.7093230889899,-68.4789800434172,-22.7423402304322,-31.4391159183127,-22.3636938771942,-17.9954180378697,-14.350211173926,-7.50054527586766,-1.86821100542682,-2.05472011286804,-4.14931693797867,-14.1109070344119,-22.1271306669042,-14.2975238946723,-52.727628215468,-6.22593112871368,-40.692353822385,-18.2334691375827,12.4241258732135,6.47751026706237,-6.70190938976302,-8.79002834487889,-5.94419739556686,-3.49924339713696,-15.4198629464949,-10.0487884546845,-15.2237024212056,-4.97665479930282,7.19012583608392,-8.43940216549481,12.6485249959141,-0.31814480712724,-0.562026443718722,-1.54345642906516,-0.333286575475938,2.03964514052123,2.41038132890998,2.84339633809165,1.38817376774939,-0.405481252285071,-1.71474516570241,-1.27803680855514,-1.70519045848225,-1.63954385974685,-0.984054409559079,-0.338640467539619,-0.110258462494457,0.79992869142994,10.0973648216319,1.12393103870566,0.893523609875714,1.3853363385946,1.44264095826835,0.774223248083965,0.803013390968125,0.900871387793878,0.758253219971957,1.33457238832179,2.23509726651132,1.42569753867487,1.35448448791443,1.37582698919449,1.15926986268909,0.764583834531786,0.75671713240627,0.61878496548989,0.683914006167768,1.21234505935187,1.00669041494228,1.70946937115963,1.5676326779332,0.565587773372373,0.548385709372277,0.584847830634786,0.622026083582818,1.46842589819721,2.61244605201956,1.69994193743112,1.7100094999632,1.71845667608457,1.36705110090919,0.838593972180691,0.814426171736963,0.563529780110054,1.03551701805945,0.780356804809148,1.06120330602956,1.31764923860351,0.982858722795557,1.05764107256397,1.21689494495297,0.894480356361097,1.20071887844637,1.85774848100308,1.15145313991861,0.998959475865663,1.03319730230441,0.951488624468989,0.69057369688288,0.699008093075577,0.674040150869726,-18.9191063436319,-30.2491456751929,6.19819474449969,0,18.2756172386477,70.7499515209298,-1.04296612437263
"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",0.961496993879139,-6.60189786104021,86.1916670983606,0,74.5896974627868,11.6019696355738,0,0,0,0,0,11.6019696355738,22.7707626431763,26.4948229525345,25.3241118670762,0,0,0,0,-42.0937812985931,-69.7043042165985,-14.7544390133433,-14.2064716875997,-10.0828174329651,-6.80654022468383,-1.40725794746226,0,0,0,-0.161327384907389,-1.61822790297634,-9.20119378148015,-11.4660288411805,-10.9807490693639,0,-18.2966156051112,-40.4269395421235,-441.552644701067,-27.6037192851991,-33.8595867678826,-28.1873003240884,-48.9955359812328,-73.7642112322545,-42.8533805689336,-41.0067931265222,-37.4788382852709,-33.2577768449441,-25.3097072019173,-27.6592463763386,-21.5765487064834,-86.2267304231998,-121.339011980727,-150.947047537576,-83.0398547595648,29.4151117340674,0.0526743606396342,0.0404925804979551,0.101116652961255,0.666856518395653,3.47319410286988,3.51883702780974,8.45713827827172,9.32951250338346,3.34657494504376,0.349320040235741,0.0660365213763272,0.0133582025822403,3.76193150665583,21.3054878094649,4.24116727422679,0.10652514371983,309.138588767948,2.31956127981117,4.58202972856484,5.78511189348415,25.398813852827,67.3159220216,45.1530228120039,50.0348291629061,47.8172559059733,35.7776662446575,16.9564017346474,6.24067752601932,1.75729660545307,58.9747455053242,143.005107880883,98.4998477679111,8.65888761382909,6.53593223481437,1.50736015333016,59.2403206872306,6.17265684799709,27.5409888551301,18.9023129224736,6.6243620616299,2.56101639456738,2.29742457495721,2.53859498033597,4.97868319307218,11.3850347490654,7.95388429927928,10.9395594384692,8.6475451173816,3.78363339854099,1.11099044336195,1.27803300609415,1.76592109210531,1.73154522115372,13.1378300958546,-66.6819005359982,1.29730970777354,0.775802970087277,-61.7155092991146,1.5498925699736,23.9638003357623,4.41600996989341,0.971090013582227,10.8337614033448,7.7429389489419,2.52125847574118,3.64161753247092,2.86857130309934,4.11489497892986,3.8502951213156,0.772594550748828,0.0840545753867659,0.11444088744663,0.644053243841128,1.61532706223365,2.15662966381863,1.5800629407298,-209.933386155274,-44.5947166755327,-12.3532113974489,-63.4196314064407,-89.5658266758517,-28.6436910137204,-38.0172184703994,-25.9826560082674,-21.2189676677922,-16.2180077303811,-7.96019564950897,-2.21506729272793,-2.17794845521202,-4.69462398842279,-15.2962324982399,-24.60386018887,-22.9049171917319,-66.6819005359982,-4.07590261059158,-48.8799937180041,-19.1962336193369,5.47022941193438,3.01510097126373,1.56886055453035,-8.26932445776634,-5.84761936056243,-5.07928980100807,-16.2759039916539,-15.5843524072085,-17.0197373191417,-7.75622578010238,9.44180387029778,-5.76148070078693,0.886267886140274,-0.341036142035904,-0.556638064521678,-2.10168688459585,-0.342111830758554,2.74893029372492,3.11091128410051,4.12949432065211,1.85385371072542,-0.546019074763237,-1.97842185120905,-1.3457206004352,-2.6302777328109,-2.30364854303326,-0.983407181211973,-0.135862239724403,-0.287512801414024,0.902293564261711,12.6020869766919,1.29730970777354,0.994687678429167,1.5720199464998,1.68769669597971,0.934834510185483,0.897892166139682,1.20901619901101,0.909860629316149,1.63989717849172,2.51333228013126,1.56213848657281,1.61106311062686,1.54285824229975,1.24699622425364,0.812870780696335,0.924196030337531,0.697595165405752,0.774089599886329,1.39506646339181,1.11002914970445,2.0019031831021,1.82511691378303,0.643216606977664,0.557620421842529,0.736948145879454,0.718088799485376,1.81019776431828,2.94706417754543,1.85366997997961,2.14211929326971,2.00992027605697,1.45800824306488,0.856937872594076,1.01514133345438,0.635081253211008,1.19955295215527,0.879346207153889,1.14213670989751,1.55027647817639,1.2264524133933,1.23816391043684,1.68108425214258,1.10163245914692,1.46959659266516,2.07960038271709,1.270606993166,1.08000692798401,1.07579620854252,1.0359842054424,0.768803688798594,0.833250727220677,0.760109077600497,-21.355193792662,-40.3603155064526,1.39432680134291,0,26.4948229525345,86.1916670983606,-1.2235029889534
"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",0.739316714556642,-5.06803369562721,88.2785884994131,0,80.6003485436657,7.67823995574737,0,0,0,0,0,7.67823995574737,22.0716805585362,26.6487288000636,31.8799391850659,0,0,0,0,-21.8868234894599,-53.4722721450103,-12.0528590453145,-10.8954348723635,-8.187789123164,-5.32695144512928,-1.31241689938464,0,0,0,-0.137879113511052,-1.48275396297883,-5.56188158898667,-8.51430609417783,-7.18251466547655,0,-14.8271574676779,-31.4626000118559,-371.781381803276,-22.2328655521992,-25.2611577310055,-22.4750496486672,-35.8596841321644,-64.6142232987443,-38.6137905035851,-41.7038479114326,-39.0807177606006,-27.3600572215294,-22.9069497411263,-15.9146667908964,-15.7583715113249,-66.181673753552,-119.398356175618,-122.948957079576,-63.2523947945297,28.0944429188987,0.0410975078109939,0.0281004664329809,0.0779844471301495,0.451084965171624,2.84586856005555,3.01684759350529,8.69836018314253,9.94169268322702,2.63723169584591,0.311849267036311,0.035050066120971,0.00927548341940775,2.98413102900319,21.6569004598748,3.37493797235733,0.0784734576633826,276.071830298723,1.80477125642545,3.2226667731219,4.4783457560575,17.7225079677068,58.1717824964638,40.4437604584154,50.9850803880898,50.058896081221,29.2930975129467,15.2789510691997,3.37748509419551,1.23448544487986,47.949533676342,141.487736927726,80.3726362202281,6.26192347442721,5.35327326935254,1.25542351260249,52.1523918291106,4.95882419896296,26.7969205765997,15.1409233030553,5.25572375049268,2.28022970276686,1.73824821473505,1.92799503453653,3.73008435111602,9.48284391740273,6.33723346758465,11.0882266297163,9.37146047929873,3.08656565128999,1.07981114793854,0.792447399734439,1.23724583299077,1.92009458066176,10.4213069649797,-40.4724066305857,1.10020510138965,0.590549402115484,-60.507872569072,1.61803441572274,18.9572232903271,3.2177515456774,0.95292457606341,8.90687911438186,5.87966805420441,2.00808047777681,2.63781358447921,2.32805666828718,3.03643067667317,3.54239176942152,0.751782403031314,0.0853688690361629,0.115773303995937,0.545353986132938,1.43419923457116,1.2381983249733,1.23377399194839,-151.824027026865,-38.8107693010378,-12.6809635202255,-48.125184024591,-52.2071101810109,-16.363186299415,-19.8669386847154,-17.9782235192521,-16.2610598631087,-13.8859006422301,-7.96244048527909,-2.23463940677961,-2.48388362816679,-3.60939589494044,-12.762967898489,-22.4384055076083,-15.9769851968805,-40.4724066305857,-13.7363567874537,-55.6384822912553,-9.87042923366232,38.7728616817856,17.5222089196131,16.4305820397148,-2.37028518219378,-5.64674120718915,-1.85340284427937,-17.1972419525505,-15.5895910634906,-22.8516492752143,-3.0159874335374,13.4081749967175,-24.1285443506338,4.82007072245761,-0.336002775237802,-0.460629915857297,-2.00969319155617,-0.153740050966491,2.2262296321512,2.5513081852518,3.05072444976918,1.6531577077296,-0.418009280976094,-1.43434294889302,-0.730072633782811,-2.64384909493238,-2.60741370704345,-0.798583480731011,-0.242219713985421,-0.14471409309364,1.00839646291129,12.6562412809645,1.10020510138965,0.763311631445324,1.55304031012673,1.37291174603128,0.711556717955245,0.723189350098209,0.901994141627497,0.725474330004299,1.20023576948859,2.19302513860097,1.40150119391779,1.6418967069814,1.61572302948099,1.02246646579501,0.73570152237994,0.531766906161019,0.509486662140029,1.02748501360726,1.19062815461334,0.856878817129321,1.96600044838119,1.46672014742744,0.472913205515396,0.443584006996266,0.557380898863625,0.549309077251087,1.32947644284366,2.52137492218757,1.58124308983878,2.17676729963089,2.13999095567389,1.1939550238172,0.793972603512652,0.582708824058102,0.417774710686297,1.00978204816596,0.669744445761329,1.14008017187227,1.27910334463513,0.950200230395094,1.00279469320015,1.24660738439137,0.901639582757511,1.07099509613351,1.86467535501436,1.22175929799681,1.10702611433192,1.09145510328809,0.850977907772824,0.677430441247228,0.480824988263936,0.601198613593761,-19.0506447968299,-41.4572277722422,25.036504894332,0,26.6487288000636,88.2785884994131,-0.919753729320512
"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",0.963737683959273,-6.32326603602688,77.6805195748318,0.172165802697713,67.942745757143,9.56560801499111,0,0,0,0,0,9.56560801499111,24.7950500378076,25.4985258057257,17.6491699136096,0.172165802697713,0,0,0,-45.5265596597119,-67.0959712132037,-16.6067563625281,-11.5086585694416,-9.27913113141548,-6.81762093057784,-1.37105727822152,0,0,0,-0.200888057364223,-1.68382499713986,-7.60751352986393,-12.0205203566511,-9.49222658436801,0,-17.4678093402148,-40.1359352886208,-437.869552884134,-31.3747000546684,-26.7751717981292,-25.7268746237215,-49.0503368898862,-70.0189172311761,-42.686963861125,-41.49585364331,-34.5284941599898,-44.6802639152435,-26.4853448382077,-22.3546623212641,-22.6919695474129,-93.5202710747152,-118.711311664425,-144.796128744784,-80.8418414002106,29.7834129733545,0.0611851928866334,0.0300621357940471,0.0909522429630556,0.66714542090783,3.20186813685021,3.48927133266938,8.62012712774233,8.24666885851749,4.94269581808885,0.367859472574592,0.051404258068777,0.0141729762913259,5.36195954873222,20.3560673189292,3.9599658007211,0.105420304972006,312.874162222114,2.69929811809959,3.44157430331734,5.21175169030038,25.4158772918477,63.5259384993326,44.9540765791307,50.6934824094569,43.7198641423764,48.6685459267662,17.7797391450409,4.90305009134462,1.86096402510034,71.3513351631517,139.367423130964,94.1535674814807,8.00183644651726,6.640636776365,1.50536656870266,59.2806150420527,8.31693412802781,26.2131864409164,18.040217272015,6.71027720109351,2.90486712104789,1.88386555116253,2.50076269932901,5.33999640788707,10.1994581647989,8.45841558912285,10.9040172481374,6.85075360365616,5.9106920878474,1.32827439188611,1.07796764829429,1.92154452888309,1.36203403523016,12.9639028123919,-68.0370764119134,1.28748054248214,0.829985266997033,-70.323242593377,1.4757137399165,22.1733927102887,4.10869384589726,0.948344927887533,10.2319011836063,6.88445275289757,2.60551904185334,2.76031302350296,2.4736986111744,3.96295293434288,3.79524963808903,0.745723922576545,0.085806713939828,0.116814291371163,0.76532901107128,1.60723362839596,1.73613120643004,1.51862068754127,-192.783775916951,-43.0088481992678,-12.0690952670575,-65.8710366910805,-71.8347957595454,-25.3518096688487,-29.9801250696584,-29.5195157147666,-20.7674978297586,-15.5840231465552,-7.97723741972518,-2.19418143687835,-1.89767641045396,-6.84265986404813,-15.5918187899938,-20.5743695452258,-16.5028610210383,-68.0370764119134,-21.7867732826285,-43.5655278820321,-27.3328407394786,24.6480654922258,12.871899835911,-0.195771399237856,-17.3240258030178,-6.29435188374552,-3.71446305271525,-17.8049449326682,-14.6235974507316,-11.1369854986322,-23.0432516586296,7.28557417971669,-6.02909580371556,11.9719370555526,-0.564444406983213,-1.01387451295297,-1.89463133135457,-0.43418181444359,2.05274586709051,2.5503250487902,3.08771736195825,1.35000657196338,-0.921658597058908,-1.47262268196447,-1.66899815491738,-2.56206844920733,-1.4401254973198,-2.04246644161125,-0.404076396537533,-0.234037314804311,0.446373515417136,13.8273171150597,1.28748054248214,1.09605735798315,1.53264754974286,1.61779488862039,0.903422373582177,1.02055440801321,0.956054681268206,0.830440307029791,1.64173138345917,2.3812129753722,1.55545355584464,1.63248348679952,1.41000560658442,1.69059280776956,0.850628684239171,0.746950581940734,0.733658031465117,0.645728472919462,1.42000193617933,1.28569909293263,1.92459163575921,1.76655168593003,0.70316533009547,0.764383656077118,0.610433010777833,0.70477881449398,1.87093112719342,2.72394511610268,1.90211834932037,2.15247585823035,1.71918069972691,2.09815748409261,0.937234414869565,0.821705379835714,0.734679323431457,1.15495914878496,0.906415623033681,1.14070346372652,1.46903809131074,1.10367941706888,1.2767251599493,1.30167635175858,0.956101799565603,1.41253163972491,2.03848083464172,1.20878876236892,1.11249111536869,1.10083051344193,1.28302813144651,0.764022953608775,0.672195784045754,0.732636739498777,-21.5194079853834,-48.8038346079935,2.8612922095972,0,25.4985258057257,77.6805195748318,-1.18115025257713
"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",0.238378267567194,-2.9045477627447,2.56059765586394,0,1.97878056647245,0.581817089391492,0,0,0,0,0,0.581817089391492,1.49499185584458,-2.09636151486962,2.5801502254975,0,0,0,0,29.5949393847191,-32.448498251098,-7.02405996972615,-5.0507362348513,-3.05885425882901,-2.10987945631902,-0.41438646530137,0,0,0,-0.0974219238060115,-1.64772266266757,-6.1354693282305,-6.90996795136708,-7.88061391470408,0,-5.5831201804494,-18.9847641559445,-185.845387398433,-12.6467048737516,-11.1859228964632,-8.00569045927091,-12.5549549963674,-13.8830633646687,-18.693591024677,-16.6802664245428,-18.0470855507218,-17.9419506608903,-25.8092532995205,-17.7029541659354,-12.6939496816228,-61.4541581263461,-53.4209429999416,-34.4437088203069,-36.5265774518375,9.78245214794213,0.0221667367323216,0.0110752493537618,0.0254913708884488,0.137796030955638,0.426736436775021,1.18474783169729,2.4898058797695,3.4869739365972,1.59385014472845,0.356935999414924,0.0395551490097442,0.00731738201982608,1.99034129315312,7.16152764806399,0.590023838619108,0.0405593681059095,122.445092588112,0.968852632472277,1.29541247771048,1.47621051904247,5.66297873767741,11.3255620428843,19.1590867769409,19.34000721445,22.0903311075509,19.0504697075746,17.2999173026371,3.79806568929073,0.978198379881011,40.1484526995025,60.5894250989417,18.4647512996042,3.24246349006377,3.92322315065019,0.632265947769838,17.5751905656788,3.4498818878477,6.65271611699438,3.57130817092849,3.90128438990825,1.71667703899662,1.16046632537312,1.0361911594221,1.08960471677383,1.44551229473257,2.82368970540379,1.6493579021307,2.17966850945987,1.47107144090334,1.33998364094617,0.638826805998194,1.02414102553851,0.645447173245852,6.82777091339483,7.48894799357527,0.537263655142185,0.411003757791136,4.12757701898045,0.707271276444509,9.4837943542602,3.62813792336659,0.56616435439463,2.78741380619184,2.50207827030711,0.844113418457479,0.801149178893358,0.548539053834244,1.22752074291608,1.01135400944152,0.42479490541481,0.0589604367464034,0.0824090122334198,0.427686062200873,1.54729693104404,1.65315493012169,0.856815672956274,-83.3577747933591,-31.3225379759915,-4.61643031461531,-11.1251150876039,-36.2936914151484,-9.89167941991983,-3.83212661933223,-5.65228659252307,-2.46143975953382,-3.01138873554702,-2.94234472810115,-0.739543159842735,-0.934542426671432,-2.64034535478289,-17.2587857613493,-11.4234068598593,-22.5698853758964,7.48894799357527,9.64531245344426,4.35674590175245,1.64786177498064,-8.16097213660191,1.62238075926973,8.30746555275206,-2.56048461052558,3.70465037687269,0.50369600863354,1.10956554524675,3.77017451740845,-0.522994160902762,-0.732864891405541,-6.18410408099101,16.5622814258408,-18.0908184486237,0.0668342041760326,-0.0265250657076024,0.0835132912022374,0.056684381316856,0.367826955518296,0.471099729265191,0.265302147073555,-0.115221797966115,0.207228481111784,0.075375109054562,-0.23806977400659,0.403275047437376,0.0770028388481734,-0.00816204351355054,-0.466656911156335,0.586369240001204,0.354599650098208,1.47213188944119,0.537263655142185,0.695758502740873,0.667212944306648,0.379018285112136,0.407064888409084,0.411371276323286,0.399413084259502,0.258416466835517,0.420218594659719,0.458419793841172,0.669282420920084,0.62173500515655,0.710621406843313,0.666840734781934,0.828914681288035,0.591520092152653,0.410410304644464,0.296267518653373,0.545938328490557,0.7200133738957,0.679930729556919,0.391294231256088,0.392514979253523,0.382536047804746,0.397848184823715,0.296193660318185,0.412812935714614,0.464876097735463,0.73591196541522,0.577783311303072,0.726096911952464,0.692779188729588,0.924525672669407,0.542735260288103,0.397160705132107,0.528588981793814,0.671503631586048,0.654495159056379,0.366742338968185,0.421614797564645,0.440206504841826,0.40097798369529,0.220639273352849,0.427624253604824,0.45196348994688,0.602652876424949,0.665686699010029,0.695145901734159,0.640902280834278,0.733303689906663,0.640304924017204,0.423659904156822,1.61326155388028,2.51431546510014,1.48434031684224,0,-2.09636151486962,2.56059765586394,-0.639395998081437
