Source,Zone,BGC_Label,Map_Label,ZoneName,SubzoneName,General Location,OldSubzoneLabel,DataSet,State
BGCv11,BAFA,BAFAun,BAFAun,Boreal Altai Fescue Alpine,Undifferentiated  BAFA,Undifferentiated,,BC,BC
BGCv11,BAFA,BAFAunp,BAFAunp,Boreal Altai Fescue Alpine,Undifferentiated and Parkland  BAFA,Undifferentiated and Parkland,,BC,BC
USA_2019,BG,BG  dh_OR,BGdh_OR,Bunchgrass,Dry Hot Oregon BG,"SE OR, S ID, N NV",BG  xhy,USA,OR
USA_2019,BG,BG  dw_WA,BGdw_WA,Bunchgrass,Dry Warm Washington BG,Central WA - Artetrp - Pseuspi - Festida,BG  mmz,USA,WA
USA_2019,BG,BG  mk_MT,BGmk_MT,Bunchgrass,Moist Cool Montana BG,SW Montana,BG  mmx,USA,MT
USA_2019,BG,BG  mm_MT,BGmm_MT,Bunchgrass,Moist Mild Montana BG,SW Montana,new,USA,MT
USA_2019,BG,BG  mw_WA,BGmw_WA,Bunchgrass,Moist Warm Washington BG,Central WA  - Pseuspi-Festida,BG  dwz,USA,WA
USA_2019,BG,BG  wm_WA,BGwm_WA,Bunchgrass,Wet Mild Washington BG,Central WA - Sympalb-Pseuspi-Festida,BG  wmz,USA,WA
BGCv11,BG  ,BG  xh 1,BGxh1,Bunchgrass,Very Dry Hot Okanagan BG  ,Very Dry Hot,,BC,BC
BGCv11,BG  ,BG  xh 2,BGxh2,Bunchgrass,Very Dry Hot Thompson BG  ,Very Dry Hot,,BC,BC
BGCv11,BG  ,BG  xh 3,BGxh3,Bunchgrass,Very Dry Hot Fraser BG  ,Very Dry Hot,,BC,BC
USA_2019,BG,BG  xh_WA,BGxh_WA,Bunchgrass,Very Dry Hot Washington BG,Central WA - Artetri-Pseuspi,BG  xhz,USA,WA
BGCv11,BG  ,BG  xw 1,BGxw1,Bunchgrass,Very Dry Warm Nicola BG  ,Very Dry Warm,,BC,BC
BGCv11,BG  ,BG  xw 2,BGxw2,Bunchgrass,Very Dry Warm Alkali BG  ,Very Dry Warm,,BC,BC
AB_2018,BSJP,BSJPap,BSJPap,Boreal Spruce and Jack Pine,Athabasca Plain BSJP,NE Alberta,BWSPap,AB,AB
AB_2018,BSJP,BSJPku,BSJPku,Boreal Spruce and Jack Pine,Kazan Upland BSJP,NE Alberta,SAWSku,AB,AB
AB_2018,BSJP,BSJPpa,BSJPpa,Boreal Spruce and Jack Pine,Peace - Athabasca Delta BSJP,NE Alberta,BWSPpa,AB,AB
AB_2018,BWBS,BWBScm,BWBScm,Boreal White and Black Spruce,Central Mixedwood BWBS,N Alberta,BWSPcm,AB,AB
BGCv11,BWBS,BWBSdk,BWBSdk,Boreal White and Black Spruce,Dry Cool  BWBS,Dry Cool,,BC,BC
AB_2018,BWBS,BWBSdm,BWBSdm,Boreal White and Black Spruce,Dry Mixedwood BWBS,NW Alberta,BWSPdm,AB,AB
AB_2018,BWBS,BWBSlb,BWBSlb,Boreal White and Black Spruce,Lower Boreal Highlands BWBS,W Central Alberta ,BWSPlb,AB,AB
AB_2018,BWBS,BWBSlf,BWBSlf,Boreal White and Black Spruce,Lower Foothills BWBS,WC Alberta,SBPAlf,AB,AB
BGCv11,BWBS,BWBSmk,BWBSmk,Boreal White and Black Spruce,Moist Cool  BWBS,Moist Cool,,BC,BC
BGCv11,BWBS,BWBSmw,BWBSmw,Boreal White and Black Spruce,Moist Warm  BWBS,Moist Warm,,BC,BC
AB_2018,BWBS,BWBSnm,BWBSnm,Boreal White and Black Spruce,Northern Mixedwood BWBS,Northern Alberta,BWSPnm,AB,AB
AB_2018,BWBS,BWBSpp,BWBSpp,Boreal White and Black Spruce,Peace River Parkland BWSP,West Central Alberta,BWSPpp,AB,AB
AB_2018,BWBS,BWBSub,BWBSub,Boreal White and Black Spruce,Upper Boreal Highlands BWSP,West Central Alberta,BWSPup,AB,AB
AB_2018,BWBS,BWBSuf,BWBSuf,Boreal White and Black Spruce,Upper Foothills BWBS,WC Alberta,SBPAuf,AB,AB
BGCv11,BWBS,BWBSvk,BWBSvk,Boreal White and Black Spruce,Very Wet Cool   BWBS,Very Wet Cool,,BC,BC
BGCv11,BWBS,BWBSwk 1,BWBSwk1,Boreal White and Black Spruce,Wet Cool Murray BWBS,Wet Cool,,BC,BC
BGCv11,BWBS,BWBSwk 2,BWBSwk2,Boreal White and Black Spruce,Wet Cool Graham BWBS,Wet Cool,,BC,BC
BGCv11,BWBS,BWBSwk 3,BWBSwk3,Boreal White and Black Spruce,Wet Cool Kledo BWBS,Wet Cool,,BC,BC
USA_2019,CCH,CCH un_CA,CCHun_CA,California Chaparrel ,Undifferentiated CCH,Northern California ,CCH un,USA,CA
BGCv11,CDF ,CDF mm,CDFmm,Coastal Douglas-fir,Moist Maritime   CDF ,Moist Maritime,,BC,BC
USA_2019,CDF,CDF mm_OR,CDFmm_OR,Coastal Douglas-fir,Moist Maritime Oregon CDF,W Central W & NW Oregon,CDF dmz,USA,OR
USA_2019,CDF,CDF mm_WA,CDFmm_WA,Coastal Douglas-fir,Moist Maritime Washington CDF,SW BC and NW Washington,CDF mmz,USA,WA
