classification,colour
BAFAun,#E2F5F1
BAFAunp,#F0E1DD
BGdh_OR,#D85740
BGdw_WA,#B91D1A
BGmk_MT,#C6353D
BGmm_MT,#BE2E2C
BGmw_WA,#D4696E
BGwm_WA,#DC4E58
BGxh_WA,#DB1010
BGxh1,#D93949
BGxh2,#E03030
BGxh3,#E11923
BGxw1,#DA7775
BGxw2,#E67C7C
BSJPap,#7240D6
BSJPku,#8E6ECA
BSJPpa,#8234E8
BWBScm,#286AE2
BWBSdk,#7687E3
BWBSdm,#8398ED
BWBSlb,#1831F0
BWBSlf,#74A8E7
BWBSmk,#1633F0
BWBSmw,#5087EC
BWBSnm,#485CC9
BWBSpp,#444EDB
BWBSub,#151EC0
BWBSuf,#287DEC
BWBSvk,#2C3BE0
BWBSwk1,#7A88E2
BWBSwk2,#5B69C9
BWBSwk3,#5F5DCC
CCHun_CA,#65494D
CDFmm,#FAEA05
CDFmm_OR,#E1E42B
CDFmm_WA,#EBDE1B
CDFxm_CA,#FCFC1F
CMAun,#E8E9F3
CMAun_CA,#DEF2EA
CMAun_OR,#CFDECF
CMAun_WA,#EAEADA
CMAunp,#E4F3EA
CMAwh,#F3E9EE
CMXdm_OR,#CC87E9
CMXwm_OR,#DCA3DA
CMXxm_CA,#BB8FD6
CRFdh_CA,#891A14
CVGdm_CA,#EEEEA9
CWFds_CA,#3B73CE
CWFmm_OR,#0D47AB
CWFwm_OR,#2168CB
CWHdm,#63EF39
CWHdm_OR,#38EE56
CWHdm_WA,#2AEE37
CWHds_WA,#95D75B
CWHds1,#69D01B
CWHds2,#71D429
CWHmh_OR,#69E075
CWHmm1,#76E7B0
CWHmm2,#7EDD69
CWHms_OR,#53E33C
CWHms_WA,#33E15F
CWHms1,#65DC65
CWHms2,#87CB78
CWHvh_WA,#359041
CWHvh1,#1E9513
CWHvh2,#2DA82F
CWHvh3,#398E40
CWHvm_OR,#56A056
CWHvm_WA,#64CA55
CWHvm1,#51CE53
CWHvm1_PR,#51CE53
CWHvm2,#56AE42
CWHwh_WA,#32AF35
CWHwh1,#13D219
CWHwh2,#68E41A
CWHwm,#60C87B
CWHws1,#41E377
CWHws2,#41D45C
