"BGC","B2","C4","D6"
"SBSwk3a","SBSwk3a/02","SBSwk3a/01","SBSwk3a/07"
"SGPdm_CO","SGPdm_CO/Gg","SGPdm_CO/Gg","SGPdm_CO/111"
"SWBmk","SWBmk/02","SWBmk/01","SWBmk/08"
"SWBmks","SWBmks/00","SWBmks/00","SWBmks/00"
"SWBun","SWBun/d","SWBun/m","SWBun/h"
"SWBuns","SWBuns/00","SWBuns/00","SWBuns/00"
"SWBvk","SWBvk/d","SWBvk/m","SWBvk/h"
"SWBvks","SWBvks/00","SWBvks/00","SWBvks/00"
"WJPxm_OR","WJPxm_OR/103","WJPxm_OR/101","WJPxm_OR/111"
"CWHvm1_PR","CWHvm1_PR/03","CWHvm1_PR/01","CWHvm1_PR/08"
"MSab_N","MSab_N/a","MSab_N/c","MSab_N/f"
