"BGC","B2","C4","D6"
"ESSFwcw","ESSFwcw/103","ESSFwcw/101","ESSFwcw/110"
"ESSFwh_MT","ESSFwh_MT/102","ESSFwh_MT/101","ESSFwh_MT/111"
"ESSFwh1","ESSFwh1/103","ESSFwh1/101","ESSFwh1/110"
"ESSFwh2","ESSFwh2/103","ESSFwh2/101","ESSFwh2/111"
"ESSFwh3","ESSFwh3/103","ESSFwh3/101","ESSFwh3/111"
"ESSFwk1","ESSFwk1/03","ESSFwk1/01","ESSFwk1/07"
"ESSFwk2","ESSFwk2/02","ESSFwk2/01","ESSFwk2/06"
"ESSFwm_MT","ESSFwm_MT/103","ESSFwm_MT/101","ESSFwm_MT/111"
"ESSFwm1","ESSFwm1/103","ESSFwm1/101","ESSFwm1/111"
"ESSFwm2","ESSFwm2/103","ESSFwm2/101","ESSFwm2/111"
"ESSFwm3","ESSFwm3/103","ESSFwm3/101","ESSFwm3/111"
"ESSFwm4","ESSFwm4/102","ESSFwm4/101","ESSFwm4/111"
"ESSFwmp","ESSFwmp/00","ESSFwmp/00","ESSFwmp/00"
"ESSFwmp_MT","ESSFwmp_MT/00","ESSFwmp_MT/00","ESSFwmp_MT/00"
"ESSFwmw","ESSFwmw/103","ESSFwmw/101","ESSFwmw/110"
"ESSFwv","ESSFwv/03","ESSFwv/01","ESSFwv/06"
"ESSFwvp","ESSFwvp/00","ESSFwvp/00","ESSFwvp/00"
"ESSFxc_CO","ESSFxc_CO/103","ESSFxc_CO/101","ESSFxc_CO/111"
"ESSFxc_WA","ESSFxc_WA/103","ESSFxc_WA/101","ESSFxc_WA/111"
"ESSFxc1","ESSFxc1/05","ESSFxc1/01","ESSFxc1/08"
"ESSFxc2","ESSFxc2/05","ESSFxc2/01","ESSFxc2/08"
"ESSFxc3","ESSFxc3/05","ESSFxc3/01","ESSFxc3/08"
"ESSFxcp","ESSFxcp/00","ESSFxcp/00","ESSFxcp/00"
"ESSFxcp_CO","ESSFxcp_CO/00","ESSFxcp_CO/00","ESSFxcp_CO/00"
"ESSFxcp_WA","ESSFxcp_WA/00","ESSFxcp_WA/00","ESSFxcp_WA/00"
"ESSFxcw","ESSFxcw/05","ESSFxcw/01","ESSFxcw/08"
"ESSFxh_WA","ESSFxh_WA/103","ESSFxh_WA/101","ESSFxh_WA/111"
"ESSFxk_MT","ESSFxk_MT/103","ESSFxk_MT/101","ESSFxk_MT/111"
"ESSFxk_UT","ESSFxk_UT/103","ESSFxk_UT/101","ESSFxk_UT/111"
"ESSFxkp_MT","ESSFxkp_MT/00","ESSFxkp_MT/00","ESSFxkp_MT/00"
"ESSFxkp_UT","ESSFxkp_UT/00","ESSFxkp_UT/00","ESSFxkp_UT/00"
"ESSFxv1","ESSFxv1/02","ESSFxv1/01","ESSFxv1/09"
"ESSFxv2","ESSFxv2/02","ESSFxv2/01","ESSFxv2/08"
"ESSFxvp","ESSFxvp/00","ESSFxvp/00","ESSFxvp/00"
"ESSFxvw","ESSFxvw/02","ESSFxvw/01","ESSFxvw/09"
"ESSFxw_OR","ESSFxw_OR/103","ESSFxw_OR/101","ESSFxw_OR/111"
"ESSFxwp_OR","ESSFxwp_OR/00","ESSFxwp_OR/00","ESSFxwp_OR/00"
"FGff","FGff/00","FGff/00","FGff/00"
"FGnf","FGnf/00","FGnf/00","FGnf/00"
"GBDdw_UT","GBDdw_UT/Gg","GBDdw_UT/Gg","GBDdw_UT/111"
"GBDxh_NV","GBDxh_NV/Gg","GBDxh_NV/Gs","GBDxh_NV/111"
"GBDxx_UT","GBDxx_UT/Gg","GBDxx_UT/Gs","GBDxx_UT/111"
"GOun_CO","GOun_CO/102","GOun_CO/101","GOun_CO/111"
"ICHdh_ID","ICHdh_ID/103","ICHdh_ID/101","ICHdh_ID/113"
"ICHdk","ICHdk/02","ICHdk/01","ICHdk/08"
"ICHdm","ICHdm/102","ICHdm/101","ICHdm/111"
"ICHdw_ID","ICHdw_ID/103","ICHdw_ID/101","ICHdw_ID/113"
"ICHdw1","ICHdw1/102","ICHdw1/101","ICHdw1/111"
"ICHdw3","ICHdw3/102","ICHdw3/101","ICHdw3/111"
