classification,colour
BAFA,#EEE4F1
BG,#DD1320
CCH,#7E22CA
CDF,#EDF418
CMA,#EAE1EE
CMX,#71D29E
CRF,#AF3A13
CVG,#C9EDD3
CWF,#7577E7
CWH,#488612
ESSF,#AE38B8
FG,#92696C
GBD,#4D433F
GO,#F0A325
ICH,#1FEC26
IDF,#E5D521
IGF,#77A2EB
IMA,#E3F1FA
IWF,#D44273
JPW,#96B3A5
MDCH,#2D0CD4
MGP,#F0AEAB
MH,#6F2997
MHRF,#2612DC
MS,#E44EBC
MSSD,#DAC370
OW,#582511
PP,#EA7200
SBAP,#51D5A7
SGP,#CCA261
WJP,#73330E
SBPS,#6EDDE9
SBS,#2F7BD2
BWBS,#4F54CF
SWB,#A1DBDE
BSJP,#424160
SAS,#92B1B6
