Source,BGC,SS_NoSpace,Edatopic,Special,Codes,New Zone,New SS,NewBGCSS,Action,Based on:,Date_Updated
BECv10,BAFAun,BAFAun/00,A0,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A1,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A2,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A3,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A4,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A5,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A6,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,A7,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B0,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B1,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B2,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B3,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B4,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B5,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B6,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,B7,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C0,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C1,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C2,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C3,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C4,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C5,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C6,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,C7,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D0,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D1,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D2,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D3,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D4,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D5,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D6,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,D7,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E0,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E1,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E2,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E3,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E4,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E5,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E6,NA,NA,,,,,,
BECv10,BAFAun,BAFAun/00,E7,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A0,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A1,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A2,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A3,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A4,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A5,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A6,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,A7,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B0,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B1,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B2,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B3,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B4,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B5,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B6,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,B7,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C0,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C1,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C2,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C3,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C4,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C5,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C6,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,C7,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D0,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D1,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D2,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D3,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D4,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D5,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D6,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,D7,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E0,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E1,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E2,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E3,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E4,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E5,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E6,NA,NA,,,,,,
BECv10,BAFAunp,BAFAunp/00,E7,NA,NA,,,,,,
USA_2019,BGdh_OR,BGdh_OR/110,B5,NA,NA,BGdh_OR,110,BGdh_OR/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/110,C5,NA,NA,BGdh_OR,110,BGdh_OR/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/110,D5,NA,NA,BGdh_OR,110,BGdh_OR/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/110,E5,NA,NA,BGdh_OR,110,BGdh_OR/110,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/111,B6,NA,NA,BGdh_OR,111,BGdh_OR/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/111,C6,NA,NA,BGdh_OR,111,BGdh_OR/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/111,D6,NA,NA,BGdh_OR,111,BGdh_OR/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/111,E6,NA,NA,BGdh_OR,111,BGdh_OR/111,,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,A1,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,A2,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,B1,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,B2,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,C1,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,C2,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,D1,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg1,D2,NA,NA,BGdh_OR,Gg1,BGdh_OR/Gg1,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
USA_2019,BGdh_OR,BGdh_OR/Gg2,B3,NA,NA,BGdh_OR,Gg2,BGdh_OR/Gg2,added,BG_GBC_SGP_MGP_4Nov2019.xlsx,2019-11-26
