zone,R,G,B,HEX
BAFA,217,224,235,#D9E0EB
CMA,227,235,217,#E3EBD9
IMA,227,227,227,#E3E3E3
SWB,163,209,171,#A3D1AB
BWBS,171,232,255,#ABE8FF
SBPS,54,222,252,#36DEFC
SBS,46,140,189,#2E8CBD
MH,166,153,255,#A699FF
ESSF,158,51,121,#9E3379
MS,255,71,163,#FF47A3
BG,255,0,0,#FF0000
PP,222,125,0,#DE7D00
IDF,255,207,0,#FFCF00
CDF,255,255,0,#FFFF00
ICH,133,163,3,#85A303
CWH,33,133,0,#218500
