BGC,SS_NoSpace,SppVar,Feasible,Confirmed
BAFAun,BAFAun/00,X,1,C4
BAFAunp,BAFAunp/00,X,1,
BGdh_OR,BGdh_OR/110,Ju,1,
BGdh_OR,BGdh_OR/110,Jw,3,
BGdh_OR,BGdh_OR/110,Pn,3,
BGdh_OR,BGdh_OR/111,Aa,1,D6
BGdh_OR,BGdh_OR/111,Act,5,D6
BGdh_OR,BGdh_OR/111,Pyi,5,D6
BGdh_OR,BGdh_OR/Gg1,X,1,B2
BGdh_OR,BGdh_OR/Gg2,Ju,3,C4
BGdh_OR,BGdh_OR/Gg2,Jw,3,C4
BGdh_OR,BGdh_OR/Ro,X,1,
BGdw_OR,BGdw_OR/110,Fdi,1,
BGdw_OR,BGdw_OR/110,Pyi,1,
BGdw_OR,BGdw_OR/111,Act,2,
BGdw_OR,BGdw_OR/Gg,X,1,
BGdw_OR,BGdw_OR/Ro,X,1,
BGdw_WA,BGdw_WA/110,Fdi,1,
BGdw_WA,BGdw_WA/110,Pyi,1,
BGdw_WA,BGdw_WA/111,Act,2,D6
BGdw_WA,BGdw_WA/Gg,X,1,C4
BGdw_WA,BGdw_WA/Ro,X,1,
BGmk_ID,BGmk_ID/110,At,1,
BGmk_ID,BGmk_ID/110,Jr,3,
BGmk_ID,BGmk_ID/110,Om,3,
BGmk_ID,BGmk_ID/111,Act,1,
BGmk_ID,BGmk_ID/111,At,2,
BGmk_ID,BGmk_ID/Gg,Jr,3,
BGmk_ID,BGmk_ID/Gg,Pf,3,
BGmk_ID,BGmk_ID/Ro,X,1,
BGmk_MT,BGmk_MT/110,Fdi,1,
BGmk_MT,BGmk_MT/110,Jr,3,
BGmk_MT,BGmk_MT/111,Aa,2,D6
BGmk_MT,BGmk_MT/111,Act,5,D6
BGmk_MT,BGmk_MT/111,Fdi,2,D6
BGmk_MT,BGmk_MT/Gg1,X,1,B2
BGmk_MT,BGmk_MT/Gg2,Jr,3,C4
BGmk_MT,BGmk_MT/Ro,X,1,
BGmk_NV,BGmk_NV/110,At,1,
BGmk_NV,BGmk_NV/110,Jw,3,
BGmk_NV,BGmk_NV/110,Om,3,
BGmk_NV,BGmk_NV/111,Aa,3,
BGmk_NV,BGmk_NV/111,Act,3,
BGmk_NV,BGmk_NV/111,Af,2,
BGmk_NV,BGmk_NV/111,At,1,
BGmk_NV,BGmk_NV/Gg1,X,1,
BGmk_NV,BGmk_NV/Gg2,Om,3,
BGmk_NV,BGmk_NV/Ro,X,1,
BGmm_MT,BGmm_MT/110,Fdi,1,
BGmm_MT,BGmm_MT/110,Jr,3,
BGmm_MT,BGmm_MT/111,Act,2,D6
BGmm_MT,BGmm_MT/111,Fdi,5,D6
BGmm_MT,BGmm_MT/Gg1,X,1,B2
BGmm_MT,BGmm_MT/Gg2,Jr,3,C4
BGmm_MT,BGmm_MT/Ro,X,1,
BGmw_OR,BGmw_OR/110,Fdi,2,
BGmw_OR,BGmw_OR/110,Pyi,1,
BGmw_OR,BGmw_OR/111,Act,2,
BGmw_OR,BGmw_OR/Gg,X,1,
BGmw_OR,BGmw_OR/Ro,X,1,
BGmw_WA,BGmw_WA/110,Fdi,2,
BGmw_WA,BGmw_WA/110,Pyi,1,
BGmw_WA,BGmw_WA/111,Act,2,D6
BGmw_WA,BGmw_WA/111,Fdi,5,D6
BGmw_WA,BGmw_WA/111,Pyi,5,D6
BGmw_WA,BGmw_WA/Gg,X,1,C4
BGmw_WA,BGmw_WA/Ro,X,1,
BGwm_WA,BGwm_WA/110,Fdi,1,
BGwm_WA,BGwm_WA/110,Pyi,1,
BGwm_WA,BGwm_WA/111,Act,2,D6
BGwm_WA,BGwm_WA/111,Fdi,5,D6
BGwm_WA,BGwm_WA/111,Pyi,5,D6
BGwm_WA,BGwm_WA/Gg,X,1,C4
BGwm_WA,BGwm_WA/Ro,X,1,
BGxh_WA,BGxh_WA/110,Pyi,2,
BGxh_WA,BGxh_WA/110,Qg,3,
BGxh_WA,BGxh_WA/111,Act,2,D6
BGxh_WA,BGxh_WA/111,Fdi,5,D6
BGxh_WA,BGxh_WA/111,Pyi,5,D6
BGxh_WA,BGxh_WA/Gg1,X,1,B2
BGxh_WA,BGxh_WA/Gg2,Jw,3,C4
BGxh_WA,BGxh_WA/Ro,X,1,
BGxh1,BGxh1/102,Fdi,3,MRyan
BGxh1,BGxh1/102,Pyi,2,MRyan
BGxh1,BGxh1/103,Fdi,2,MRyan
BGxh1,BGxh1/103,Pyi,2,MRyan
BGxh1,BGxh1/110,At,2,MRyan
BGxh1,BGxh1/110,Fdi,2,MRyan
BGxh1,BGxh1/110,Pyi,2,MRyan
BGxh2,BGxh1/Fm01,Act,1,MRyan
BGxh2,BGxh1/Fm01,At,2,MRyan
BGxh2,BGxh1/Fm01,Ep,2,MRyan
BGxh2,BGxh1/Fm01,Fdi,3,MRyan
BGxh2,BGxh1/Fm01,Pyi,3,MRyan
BGxh2,BGxh1/Fm06,Act,1,MRyan
BGxh2,BGxh1/Fm06,At,2,MRyan
BGxh2,BGxh1/Fm06,Ep,2,MRyan
BGxh2,BGxh1/Fm06,Fdi,3,MRyan
BGxh2,BGxh1/Fm06,Pyi,3,MRyan
BGxh2,BGxh2/102,Fdi,2,MRyan
BGxh2,BGxh2/102,Pyi,2,MRyan
BGxh2,BGxh2/110,Fdi,2,MRyan
BGxh2,BGxh2/110,Pyi,2,MRyan
BGxh2,BGxh2/Fm01,Act,1,MRyan
BGxh2,BGxh2/Fm01,At,2,MRyan
BGxh2,BGxh2/Fm01,Ep,2,MRyan
BGxh2,BGxh2/Fm01,Fdi,3,MRyan
BGxh2,BGxh2/Fm01,Pyi,3,MRyan
PPxh2,BGxh2/Fm05,Act,1,MRyan
PPxh2,BGxh2/Fm05,At,2,MRyan
PPxh2,BGxh2/Fm05,Ep,2,MRyan
PPxh2,BGxh2/Fm05,Fdi,3,MRyan
PPxh2,BGxh2/Fm05,Pyi,3,MRyan
BGxh2,BGxh2/Fm06,Act,1,MRyan
BGxh2,BGxh2/Fm06,At,2,MRyan
BGxh2,BGxh2/Fm06,Ep,2,MRyan
BGxh2,BGxh2/Fm06,Fdi,3,MRyan
BGxh2,BGxh2/Fm06,Pyi,3,MRyan
BGxh3,BGxh3/110,Fdi,2,
BGxh3,BGxh3/111,Fdi,2,
BGxh3,BGxh3/112,Act,1,D6
BGxh3,BGxh3/113,Act,1,
BGxh3,BGxh3/113,Fdi,2,
BGxh3,BGxh3/Gg,X,1,C4
BGxh3,BGxh3/Ro,X,1,
BGxw1,BGxw1/102,Fdi,2,MRyan
BGxw1,BGxw1/102,Pyi,2,MRyan
BGxw1,BGxw1/110,Fdi,2,MRyan
