BGC,SS_NoSpace,Spp,SppVar,Feasible,AssessSuit,differnce,Assessor,Restrict_type,TB_Changed,WM_Comments,DM_Comments,CoastSuit,ESuit_new,AB Comment Oct-Nov 2019,ESuit_TB,ESuit_CCISS,CCISS_Change,PredSuit
BSJPku,BSJPku/e,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BSJPku,BSJPku/e,Sb,Sb,3,,FALSE,,,,,,,,,,3,,
BSJPku,BSJPku/e,Ep,Ep,2,,FALSE,,,,,,,,,,2,,
BSJPku,BSJPku/e,At,At,1,,FALSE,,,,,,,,,,1,,
BSJPku,BSJPku/e,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BSJPku,BSJPku/f,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/g,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/g,Lt,Lt,2,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/h,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/h,Lt,Lt,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/a,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BSJPpa,BSJPpa/a,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BSJPpa,BSJPpa/b,Sx,Sw,2,,FALSE,,,,,,,,,,2,,
BSJPpa,BSJPpa/b,Sb,Sb,2,,FALSE,,,,,,,,,,2,,
BSJPpa,BSJPpa/b,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BSJPpa,BSJPpa/b,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BSJPpa,BSJPpa/b,At,At,1,,FALSE,,,,,,,,,,1,,
BSJPpa,BSJPpa/b,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BSJPpa,BSJPpa/c,Sx,Sw,2,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/c,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/c,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/c,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/d,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/d,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/d,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/e,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BSJPpa,BSJPpa/e,Sb,Sb,3,,FALSE,,,,,,,,,,3,,
BSJPpa,BSJPpa/e,Ep,Ep,2,,FALSE,,,,,,,,,,2,,
BSJPpa,BSJPpa/e,At,At,1,,FALSE,,,,,,,,,,1,,
BSJPpa,BSJPpa/e,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BSJPpa,BSJPpa/f,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/g,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/g,Lt,Lt,2,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/h,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BSJPpa,BSJPpa/h,Lt,Lt,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/a,Pl,Pli,1,,FALSE,,,,,,,,,,1,,
BWBScm,BWBScm/a,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BWBScm,BWBScm/b,Sx,Sw,2,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/b,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/b,Pl,Pli,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/b,Pj,Pj,2,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/b,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/b,At,At,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/c,Sb,Sb,2,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/c,Pl,Pli,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/c,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/d,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BWBScm,BWBScm/d,Sb,Sb,3,,FALSE,,,,,,,,,,3,,
BWBScm,BWBScm/d,Pl,Pli,1,,FALSE,,,,,,,,,,1,,
BWBScm,BWBScm/d,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BWBScm,BWBScm/d,Bb,Bb,3,,FALSE,,,,,,,,,,3,,
BWBScm,BWBScm/d,At,At,1,,FALSE,,,,,,,,,,1,,
BWBScm,BWBScm/d,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BWBScm,BWBScm/e,Sx,Sw,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/e,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/e,Bb,Bb,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/e,At,At,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/e,Ac,Acb,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/f,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BWBScm,BWBScm/f,Pl,Pli,3,,FALSE,,,,,,,,,,3,,
BWBScm,BWBScm/f,Ep,Ep,2,,FALSE,,,,,,,,,,2,,
BWBScm,BWBScm/f,Bb,Bb,3,,FALSE,,,,,,,,,,3,,
BWBScm,BWBScm/f,At,At,2,,FALSE,,,,,,,,,,2,,
BWBScm,BWBScm/f,Ac,Acb,2,,FALSE,,,,,,,,,,2,,
BWBScm,BWBScm/g,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/g,Pl,Pli,2,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/g,Pj,Pj,2,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/h,Sx,Sw,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/h,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/h,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/i,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/j,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/j,Lt,Lt,2,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/k,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BWBScm,BWBScm/k,Lt,Lt,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/a,Pl,Pli,1,,FALSE,,,,,,,,,,1,,
BWBScmC,BWBScmC/a,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BWBScmC,BWBScmC/b,Sx,Sw,2,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/b,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/b,Pl,Pli,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/b,Pj,Pj,2,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/b,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/b,At,At,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/c,Sb,Sb,2,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/c,Pl,Pli,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/c,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/d,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BWBScmC,BWBScmC/d,Sb,Sb,3,,FALSE,,,,,,,,,,3,,
BWBScmC,BWBScmC/d,Pl,Pli,1,,FALSE,,,,,,,,,,1,,
BWBScmC,BWBScmC/d,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BWBScmC,BWBScmC/d,Bb,Bb,3,,FALSE,,,,,,,,,,3,,
BWBScmC,BWBScmC/d,At,At,1,,FALSE,,,,,,,,,,1,,
BWBScmC,BWBScmC/d,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BWBScmC,BWBScmC/e,Sx,Sw,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/e,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/e,Bb,Bb,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/e,At,At,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/e,Ac,Acb,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/f,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BWBScmC,BWBScmC/f,Pl,Pli,3,,FALSE,,,,,,,,,,3,,
BWBScmC,BWBScmC/f,Ep,Ep,2,,FALSE,,,,,,,,,,2,,
BWBScmC,BWBScmC/f,Bb,Bb,3,,FALSE,,,,,,,,,,3,,
BWBScmC,BWBScmC/f,At,At,2,,FALSE,,,,,,,,,,2,,
BWBScmC,BWBScmC/f,Ac,Acb,2,,FALSE,,,,,,,,,,2,,
BWBScmC,BWBScmC/g,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/g,Pl,Pli,2,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/g,Pj,Pj,2,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/h,Sx,Sw,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/h,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/h,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/i,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/j,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/j,Lt,Lt,2,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/k,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BWBScmC,BWBScmC/k,Lt,Lt,1,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/a,Pl,Pli,1,,FALSE,,,,,,,,,,1,,
BWBScmE,BWBScmE/a,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BWBScmE,BWBScmE/b,Sx,Sw,2,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/b,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/b,Pl,Pli,1,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/b,Pj,Pj,2,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/b,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/b,At,At,3,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/c,Sb,Sb,2,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/c,Pl,Pli,1,,FALSE,,,,,,,,,,,,
BWBScmE,BWBScmE/c,Pj,Pj,1,,FALSE,,,,,,,,,,,,
