BGC,SS_NoSpace,Spp,SppVar,Feasible,AssessSuit,differnce,Assessor,Restrict_type,TB_Changed,WM_Comments,DM_Comments,CoastSuit,ESuit_new,AB Comment Oct-Nov 2019,ESuit_TB,ESuit_CCISS,CCISS_Change,PredSuit
BAFAun,BAFAun/00,X,X,1,,FALSE,,c,,,,,,,,1,,
BAFAun,BAFAun/00,X,X,1,,FALSE,,c,,,,,,,,1,,
BAFAun,BAFAun/00,X,X,1,,FALSE,,c,,,,,,,,1,,
BAFAunp,BAFAunp/00,X,X,1,,FALSE,,c,,,,,,,,1,,
BAFAunp,BAFAunp/00,X,X,1,,FALSE,,c,,,,,,,,1,,
BAFAunp,BAFAunp/00,X,X,1,,FALSE,,c,,,,,,,,1,,
BGdh_OR,BGdh_OR/110,Pn,Pn,3,,FALSE,,,,,,,,,,,,
BGdh_OR,BGdh_OR/110,Jw,Jw,3,,FALSE,,,,,,,,,,,,
BGdh_OR,BGdh_OR/110,Ju,Ju,1,,FALSE,,,,,,,,,,,,
BGdh_OR,BGdh_OR/111,Py,Pyi,5,,FALSE,,,,,,,,,,5,3 to 5,
BGdh_OR,BGdh_OR/111,Ac,Act,5,,FALSE,,,,,,,,,,5,1 to 5,
BGdh_OR,BGdh_OR/111,Aa,Aa,1,,FALSE,,,,,,,,,,1,,
BGdh_OR,BGdh_OR/Gg1,X,X,1,,FALSE,,,,,,,,,,1,,
BGdh_OR,BGdh_OR/Gg2,Jw,Jw,3,,FALSE,,,,,,,,,,3,,
BGdh_OR,BGdh_OR/Gg2,Ju,Ju,3,,FALSE,,,,,,,,,,3,,
BGdw_OR,BGdw_OR/110,Py,Pyi,1,,,,DVM,,,"No info, copied BGdw_WA",,,,,,,
BGdw_OR,BGdw_OR/110,Fd,Fdi,1,,,,DVM,,,"No info, copied BGdw_WA",,,,,,,
BGdw_OR,BGdw_OR/111,Ac,Act,2,,,,DVM,,,"No info, copied BGdw_WA",,,,,2,1 to 2,
BGdw_OR,BGdw_OR/Gg,X,X,1,,,,DVM,,,"No info, copied BGdw_WA",,,,,1,,
BGdw_OR,BGdw_OR/Gg,X,X,1,,,,DVM,,,"No info, copied BGdw_WA",,,,,1,,
BGdw_WA,BGdw_WA/110,Py,Pyi,1,,FALSE,,,,,,,,,,,,
BGdw_WA,BGdw_WA/110,Fd,Fdi,1,,FALSE,,,,,,,,,,,,
BGdw_WA,BGdw_WA/111,Ac,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGdw_WA,BGdw_WA/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGdw_WA,BGdw_WA/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGmk_ID,BGmk_ID/110,Om,Om,3,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/110,Jr,Jr,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/110,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/111,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/111,At,At,2,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/111,Ac,Act,1,,FALSE,,,,,,,,,,,,
BGmk_ID,BGmk_ID/Gg,X,X,1,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/110,Jr,Jr,3,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/110,Fd,Fdi,1,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/111,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGmk_MT,BGmk_MT/111,Ac,Act,5,,FALSE,,,,,,,,,,5,1 to 5,
BGmk_MT,BGmk_MT/111,Aa,Aa,2,,FALSE,,,,,,,,,,2, to 2,
BGmk_MT,BGmk_MT/Gg1,X,X,1,1,FALSE,DVM,,,,changed Gg to Gg1,,,,,1,,
BGmk_MT,BGmk_MT/Gg2,Jr,Jr,3,,FALSE,,,,,,,,,,3,,
BGmk_NV,BGmk_NV/110,Om,Om,3,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/110,Jw,Jw,3,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/110,At,At,1,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/111,At,At,1,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/111,Af,Af,2,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/111,Ac,Act,3,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/111,Aa,Aa,3,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/Gg1,X,X,1,,,DVM,,,,,,,,,,,
BGmk_NV,BGmk_NV/Gg2,Om,Om,3,,,DVM,,,,,,,,,,,
BGmm_MT,BGmm_MT/110,Jr,Jr,3,,FALSE,,,,,,,,,,,,
BGmm_MT,BGmm_MT/110,Fd,Fdi,1,,FALSE,,,,,,,,,,,,
BGmm_MT,BGmm_MT/111,Fd,Fdi,5,,FALSE,,,,,,,,,,5,2 to 5,
BGmm_MT,BGmm_MT/111,Ac,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGmm_MT,BGmm_MT/Gg1,X,X,1,1,FALSE,DVM,,,,changed Gg to Gg1,,,,,1,,
BGmm_MT,BGmm_MT/Gg2,Jr,Jr,3,,FALSE,,,,,,,,,,3,,
BGmw_OR,BGmw_OR/110,Py,Pyi,1,,,DVM,,,,no info; duplicated MGmw_WA,,,,,,,
BGmw_OR,BGmw_OR/110,Fd,Fdi,2,,,DVM,h,,,no info; duplicated MGmw_WA,,,,,,,
BGmw_OR,BGmw_OR/111,Ac,Act,2,,,DVM,,,,no info; duplicated MGmw_WA,,,,,2,1 to 2,
BGmw_OR,BGmw_OR/Gg,X,X,1,,,DVM,,,,no info; duplicated MGmw_WA,,,,,1,,
BGmw_OR,BGmw_OR/Gg,X,X,1,,,DVM,,,,no info; duplicated MGmw_WA,,,,,1,,
BGmw_WA,BGmw_WA/110,Py,Pyi,1,,FALSE,,,,,,,,,,,,
BGmw_WA,BGmw_WA/110,Fd,Fdi,2,,FALSE,,h,,,,,,,,,,
BGmw_WA,BGmw_WA/111,Py,Pyi,5,,FALSE,,,,,,,,,,5,2 to 5,
BGmw_WA,BGmw_WA/111,Fd,Fdi,5,,FALSE,,,,,,,,,,5,3 to 5,
BGmw_WA,BGmw_WA/111,Ac,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGmw_WA,BGmw_WA/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGmw_WA,BGmw_WA/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGwm_WA,BGwm_WA/110,Py,Pyi,1,,FALSE,,,,,,,,,,,,
BGwm_WA,BGwm_WA/110,Fd,Fdi,1,,FALSE,,,,,,,,,,,,
BGwm_WA,BGwm_WA/111,Py,Pyi,5,,FALSE,,,,,,,,,,5,2 to 5,
BGwm_WA,BGwm_WA/111,Fd,Fdi,5,,FALSE,,,,,,,,,,5,3 to 5,
BGwm_WA,BGwm_WA/111,Ac,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGwm_WA,BGwm_WA/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGwm_WA,BGwm_WA/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxh_WA,BGxh_WA/110,Qg,Qg,3,,FALSE,,,,,,,,,,,,
BGxh_WA,BGxh_WA/110,Py,Pyi,2,,FALSE,,,,,,,,,,,,
BGxh_WA,BGxh_WA/111,Py,Pyi,5,,FALSE,,,,,,,,,,5,3 to 5,
BGxh_WA,BGxh_WA/111,Fd,Fdi,5,,FALSE,,,,,,,,,,5,3 to 5,
BGxh_WA,BGxh_WA/111,Ac,Act,2,,FALSE,,,,,,,,,,2,1 to 2,
BGxh_WA,BGxh_WA/Gg1,X,X,1,,FALSE,,,,,,,,,,1,,
BGxh_WA,BGxh_WA/Gg2,Jw,Jw,3,,FALSE,,,,,,,,,,3,,
BGxh1,BGxh1/04,Py,Pyi,2,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/04,Fd,Fdi,3,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/05,Py,Pyi,2,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/05,Fd,Fdi,2,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/05,At,At,3,,FALSE,,h,,,,,,,,,,
BGxh1,BGxh1/06,Py,Pyi,2,,FALSE,,,,,,,,,,2,,
BGxh1,BGxh1/06,Fd,Fdi,3,,FALSE,,,,,,,,,,3,2 to 3,
BGxh1,BGxh1/06,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BGxh1,BGxh1/06,At,At,3,,FALSE,,,,,,,,,,3,,
BGxh1,BGxh1/06,Ac,Act,2,,FALSE,,h,,,,,,,,2,,
BGxh1,BGxh1/07,Sx,Sxw,2,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,Py,Pyi,2,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,Pl,Pli,2,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,At,At,3,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/07,Ac,Act,2,,FALSE,,,,,,,,,,,,
BGxh1,BGxh1/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxh1,BGxh1/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxh2,BGxh2/03,Py,Pyi,2,,FALSE,,,,,,,,,,,,
BGxh2,BGxh2/04,Py,Pyi,2,,FALSE,,,,,,,,,,,,
BGxh2,BGxh2/04,Fd,Fdi,3,,FALSE,,,,,,,,,,,,
BGxh2,BGxh2/05,X,X,1,,FALSE,,,,,,,,,,,,
BGxh2,BGxh2/05,Py,Pyi,1,,FALSE,,,,,,,,,,,,
BGxh2,BGxh2/05,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxh2,BGxh2/07,Sx,Sxw,3,,FALSE,,,,,,,,,,3,,
BGxh2,BGxh2/07,Py,Pyi,2,,FALSE,,,,,,,,,,2,,
BGxh2,BGxh2/07,Fd,Fdi,3,,FALSE,,,,,,,,,,3,2 to 3,
BGxh2,BGxh2/07,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BGxh2,BGxh2/07,At,At,3,,FALSE,,,,,,,,,,3,,
BGxh2,BGxh2/07,Ac,Act,2,,FALSE,,,,,,,,,,2,,
BGxh2,BGxh2/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxh2,BGxh2/Gs,X,X,1,,FALSE,,,,,,,,,,1, to 1,
BGxh3,BGxh3/110,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxh3,BGxh3/111,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxh3,BGxh3/112,Ac,Act,1,,FALSE,,,,,,,,,,1,,
BGxh3,BGxh3/113,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxh3,BGxh3/113,Ac,Act,1,,FALSE,,,,,,,,,,,,
BGxh3,BGxh3/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxh3,BGxh3/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxw1,BGxw1/01,X,X,1,,FALSE,,,,,,,,,,1, to 1,
BGxw1,BGxw1/03,Py,Pyi,2,,FALSE,,,,,,,,,,,,
BGxw1,BGxw1/03,Fd,Fdi,3,,FALSE,,,,,,,,,,,,
BGxw1,BGxw1/04,X,X,1,,FALSE,,,,,,,,,,1, to 1,
BGxw1,BGxw1/05,Py,Pyi,2,,FALSE,,,,,,,,,,,,
BGxw1,BGxw1/05,Fd,Fdi,3,,FALSE,,,,,,,,,,,,
BGxw1,BGxw1/08,Fd,Fdi,3,,FALSE,,,,,,,,,,3,,
BGxw1,BGxw1/08,At,At,3,,FALSE,,,,,,,,,,3,,
BGxw1,BGxw1/Gg,X,X,1,,FALSE,,,,,,,,,,,,
BGxw2,BGxw2/110,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxw2,BGxw2/111,Fd,Fdi,2,,FALSE,,,,,,,,,,,,
BGxw2,BGxw2/112,Ac,Act,2,,FALSE,,,,,,,,,,,,
BGxw2,BGxw2/113,Fd,Fdi,1,,FALSE,,,,,,,,,,,,
BGxw2,BGxw2/114,At,At,1,,FALSE,,,,,,,,,,,,
BGxw2,BGxw2/115,At,At,1,,FALSE,,,,,,,,,,1,,
BGxw2,BGxw2/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxw2,BGxw2/Gg,X,X,1,,FALSE,,,,,,,,,,1,,
BGxx_WY,BGxx_WY/110,Pe,Pe,2,,,DVM,,,,,,,,,,,
BGxx_WY,BGxx_WY/110,Ju,Ju,1,,,DVM,,,,,,,,,,,
BGxx_WY,BGxx_WY/110,Jr,Jr,3,,,DVM,,,,,,,,,,,
BGxx_WY,BGxx_WY/111,Aa,Aa,1,,,DVM,,,,,,,,,,,
BGxx_WY,BGxx_WY/Gg1,X,X,1,,,DVM,,,,,,,,,,,
BGxx_WY,BGxx_WY/Gg2,X,X,1,,,DVM,,,,,,,,,,,
BSJPap,BSJPap/a,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BSJPap,BSJPap/a,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BSJPap,BSJPap/b,Sx,Sw,2,,FALSE,,,,,,,,,,2,,
BSJPap,BSJPap/b,Sb,Sb,2,,FALSE,,,,,,,,,,2,,
BSJPap,BSJPap/b,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BSJPap,BSJPap/b,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BSJPap,BSJPap/b,At,At,1,,FALSE,,,,,,,,,,1,,
BSJPap,BSJPap/b,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BSJPap,BSJPap/c,Sx,Sw,2,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/c,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/c,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/c,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/d,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/d,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/d,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/e,Sx,Sw,1,,FALSE,,,,,,,,,,1,,
BSJPap,BSJPap/e,Sb,Sb,3,,FALSE,,,,,,,,,,3,,
BSJPap,BSJPap/e,Ep,Ep,2,,FALSE,,,,,,,,,,2,,
BSJPap,BSJPap/e,At,At,1,,FALSE,,,,,,,,,,1,,
BSJPap,BSJPap/e,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BSJPap,BSJPap/f,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/g,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/g,Lt,Lt,2,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/h,Sb,Sb,3,,FALSE,,,,,,,,,,,,
BSJPap,BSJPap/h,Lt,Lt,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/a,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BSJPku,BSJPku/a,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BSJPku,BSJPku/b,Sx,Sw,2,,FALSE,,,,,,,,,,2,,
BSJPku,BSJPku/b,Sb,Sb,2,,FALSE,,,,,,,,,,2,,
BSJPku,BSJPku/b,Pj,Pj,1,,FALSE,,,,,,,,,,1,,
BSJPku,BSJPku/b,Ep,Ep,3,,FALSE,,,,,,,,,,3,,
BSJPku,BSJPku/b,At,At,1,,FALSE,,,,,,,,,,1,,
BSJPku,BSJPku/b,Ac,Acb,3,,FALSE,,,,,,,,,,3,,
BSJPku,BSJPku/c,Sx,Sw,2,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/c,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/c,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/c,Ep,Ep,3,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/d,Sb,Sb,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/d,Pj,Pj,1,,FALSE,,,,,,,,,,,,
BSJPku,BSJPku/d,Ep,Ep,3,,FALSE,,,,,,,,,,,,
