Data,Version,Date
BC_BGC_Map,v11,2018-05-01
WNA_BGC_Map,v11.8,2021-01-01
ClimateBC_NA,v6.30,2020-05-25
BGC_rF_Model,v11.8,2021-01-01
ReferenceGuide,v2017,2019-03-31
FeasibilityRatings,v11.8,2020-01-01
FeasibilityRules,v11.8,2020-01-01
