Retire,SS_class,Source,Zone,SubzoneGroup,Subzone,BGC_Label,BGC,ZoneName,SubzoneName,General Location,OldSubzoneLabel,DataSet,State,Notes
,no,BGCv11,BAFA,BAFA,BAFAun,BAFAun,BAFAun,Boreal Altai Fescue Alpine,Undifferentiated  BAFA,Undifferentiated,,BC,BC,
,no,BGCv11,BAFA,BAFA,BAFAunp,BAFAunp,BAFAunp,Boreal Altai Fescue Alpine,Undifferentiated and Parkland  BAFA,Undifferentiated and Parkland,,BC,BC,
,,USA_2019,BG,BG,BGdh,BG  dh_OR,BGdh_OR,Bunchgrass,Dry Hot Oregon BG,"SE Oregon, S Idaho, N Nevada",BG  xhy,USA,OR,
,,USA_2019,BG,BG,BGdw,BG  dw_OR,BGdw_OR,Bunchgrass,Dry Warm Oregon BG,NE Oregon,,USA,OR,
,,USA_2019,BG,BG,BGdw,BG  dw_WA,BGdw_WA,Bunchgrass,Dry Warm Washington BG,Central WA - Artetrp - Pseuspi - Festida,BG  mmz,USA,WA,
,,USA_2019,BG,BG,BGmk,BG  mk_MT,BGmk_MT,Bunchgrass,Moist Cool Montana BG,"SW Montana, EC Idaho",BG  mmx,USA,MT,
,,USA_2019,BG,BG,BGmk,BG  mk_NV,BGmk_NV,Bunchgrass,Moist Cool Nevada BG,"N Nevada, S Oregon, S Idaho",,USA,NV,
,,USA_2019,BG,BG,BGmm,BG  mm_MT,BGmm_MT,Bunchgrass,Moist Mild Montana BG,"Wyoming, S Montana",new,USA,MT,
,,USA_2019,BG,BG,BGmw,BG  mw_OR,BGmw_OR,Bunchgrass,Moist Warm Oregon BG,NE Oregon,,USA,OR,
,,USA_2019,BG,BG,BGmw,BG  mw_WA,BGmw_WA,Bunchgrass,Moist Warm Washington BG,Central WA - Pseuspi-Festida,BG  dwz,USA,WA,
,,USA_2019,BG,BG,BGwm,BG  wm_WA,BGwm_WA,Bunchgrass,Wet Mild Washington BG,Central WA - Sympalb-Pseuspi-Festida,BG  wmz,USA,WA,
,,BGCv11,BG,BG,BGxh,BG  xh 1,BGxh1,Bunchgrass,Very Dry Hot Okanagan BG  ,Very Dry Hot,,BC,BC,
,,BGCv11,BG,BG,BGxh,BG  xh 2,BGxh2,Bunchgrass,Very Dry Hot Thompson BG  ,Very Dry Hot,,BC,BC,
,,BGCv11,BG,BG,BGxh,BG  xh 3,BGxh3,Bunchgrass,Very Dry Hot Fraser BG  ,Very Dry Hot,,BC,BC,
,,USA_2019,BG,BG,BGxh,BG  xh_WA,BGxh_WA,Bunchgrass,Very Dry Hot Washington BG,Central WA - Artetri-Pseuspi,BG  xhz,USA,WA,
,,BGCv11,BG,BG,BGxw,BG  xw 1,BGxw1,Bunchgrass,Very Dry Warm Nicola BG  ,Very Dry Warm,,BC,BC,
,,BGCv11,BG,BG,BGxw,BG  xw 2,BGxw2,Bunchgrass,Very Dry Warm Alkali BG  ,Very Dry Warm,,BC,BC,
,,USA_2019,BG,BG,BGxx,BG  xx_WY,BGxx_WY,Bunchgrass,Very Dry Extremely Cold Wyoming BG,,,USA,WY,
,,AB_2018,BSJP,BSJP,BSJPap,BSJPap,BSJPap,Boreal Spruce and Jack Pine,Athabasca Plain BSJP,NE Alberta,BWSPap,AB,AB,
,,AB_2018,BSJP,BSJP,BSJPku,BSJPku,BSJPku,Boreal Spruce and Jack Pine,Kazan Upland BSJP,NE Alberta,SAWSku,AB,AB,
,,AB_2018,BSJP,BSJP,BSJPpa,BSJPpa,BSJPpa,Boreal Spruce and Jack Pine,Peace - Athabasca Delta BSJP,NE Alberta,BWSPpa,AB,AB,
x,,AB_2018,BWBS,BWBS_meso,BWBScm,BWBScm,BWBScm,Boreal White and Black Spruce,Central Mixedwood BWBS,N Alberta,BWSPcm,AB,AB,
,,AB_2020,BWBS,BWBS_meso,BWBScm,BWBScm C,BWBScmC,Boreal White and Black Spruce,Central Mixedwood Centeral BWBS,N Alberta,BWSPcm,AB,AB,
,,AB_2020,BWBS,BWBS_meso,BWBScm,BWBScm E,BWBScmE,Boreal White and Black Spruce,Central Mixedwood Eastern BWBS,N Alberta,BWSPcm,AB,AB,
,,AB_2020,BWBS,BWBS_meso,BWBScm,BWBScm NW,BWBScmNW,Boreal White and Black Spruce,Central Mixedwood Northwestern  BWBS ,N Alberta,BWSPcm,AB,AB,
,,AB_2020,BWBS,BWBS_meso,BWBScm,BWBScm W,BWBScmW,Boreal White and Black Spruce,Central Mixedwood Western BWBS,N Alberta,BWSPcm,AB,AB,
,,BGCv11,BWBS,BWBS_meso,BWBSdk,BWBSdk,BWBSdk,Boreal White and Black Spruce,Dry Cool  BWBS,Dry Cool,,BC,BC,
x,,AB_2018,BWBS,BWBS_meso,BWBSdm,BWBSdm,BWBSdm,Boreal White and Black Spruce,Dry Mixedwood BWBS,NW Alberta,BWSPdm,AB,AB,
,,AB_2020,BWBS,BWBS_meso,BWBSdm,BWBSdm N,BWBSdmN,Boreal White and Black Spruce,Dry Mixedwood Northern BWBS,NW Alberta,BWSPdm,AB,AB,
,,AB_2020,BWBS,BWBS_meso,BWBSdm,BWBSdm S,BWBSdmS,Boreal White and Black Spruce,Dry Mixedwood Southern BWBS,NW Alberta,BWSPdm,AB,AB,
x,,AB_2018,BWBS,BWBS_cold,BWBSlb,BWBSlb,BWBSlb,Boreal White and Black Spruce,Lower Boreal Highlands BWBS,W Central Alberta ,BWSPlb,AB,AB,
,,AB_2020,BWBS,BWBS_cold,BWBSlb,BWBSlb E,BWBSlbE,Boreal White and Black Spruce,Lower Boreal Highlands Eastern BWBS,W Central Alberta ,BWSPlb,AB,AB,
,,AB_2020,BWBS,BWBS_cold,BWBSlb,BWBSlb W,BWBSlbW,Boreal White and Black Spruce,Lower Boreal Highlands Western BWBS,W Central Alberta ,BWSPlb,AB,AB,
,,AB_2020,BWBS,BWBS_cold,BWBSlb,BWBSlbN,BWBSlbN,Boreal White and Black Spruce,Lower Boreal Highlands Northern BWBS,,,AB,AB,
,,AB_2018,BWBS,BWBS_warm,BWBSlf,BWBSlf,BWBSlf,Boreal White and Black Spruce,Lower Foothills BWBS,WC Alberta,SBPAlf,AB,AB,
,,BGCv11,BWBS,BWBS_meso,BWBSmk,BWBSmk,BWBSmk,Boreal White and Black Spruce,Moist Cool  BWBS,Moist Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_warm,BWBSmw,BWBSmw,BWBSmw,Boreal White and Black Spruce,Moist Warm  BWBS,Moist Warm,,BC,BC,
,,AB_2018,BWBS,BWBS_meso,BWBSnm,BWBSnm,BWBSnm,Boreal White and Black Spruce,Northern Mixedwood BWBS,Northern Alberta,BWSPnm,AB,AB,
,,AB_2018,BWBS,BWBS_warm,BWBSpp,BWBSpp,BWBSpp,Boreal White and Black Spruce,Peace River Parkland BWSP,West Central Alberta,BWSPpp,AB,AB,
,,AB_2018,BWBS,BWBS_cold,BWBSub,BWBSub,BWBSub,Boreal White and Black Spruce,Upper Boreal Highlands BWSP,West Central Alberta,BWSPup,AB,AB,
,,AB_2018,BWBS,BWBS_warm,BWBSuf,BWBSuf,BWBSuf,Boreal White and Black Spruce,Upper Foothills BWBS,WC Alberta,SBPAuf,AB,AB,
,no,BGCv11,BWBS,BWBS_cold,BWBSvk,BWBSvk,BWBSvk,Boreal White and Black Spruce,Very Wet Cool   BWBS,Very Wet Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk 1,BWBSwk1,Boreal White and Black Spruce,Wet Cool Murray BWBS,Wet Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk 2,BWBSwk2,Boreal White and Black Spruce,Wet Cool Graham BWBS,Wet Cool,,BC,BC,
,,BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk 3,BWBSwk3,Boreal White and Black Spruce,Wet Cool Kledo BWBS,Wet Cool,,BC,BC,
,,USA_2019,CCH,CCH,CCHun,CCH un_CA,CCHun_CA,California Chaparrel ,California CCH,Northern California ,CCH un,USA,CA,
,,BGCv11,CDF,CDF,CDFmm,CDF mm,CDFmm,Coastal Douglas-fir,Moist Maritime   CDF ,Moist Maritime,,BC,BC,
,,USA_2019,CDF,CDF,CDFmm,CDF mm_OR,CDFmm_OR,Coastal Douglas-fir,Moist Maritime Oregon CDF,W Central W & NW Oregon,CDF dmz,USA,OR,
,,USA_2019,CDF,CDF,CDFmm,CDF mm_WA,CDFmm_WA,Coastal Douglas-fir,Moist Maritime Washington CDF,SW BC and NW Washington,CDF mmz,USA,WA,
,,USA_2019,CDF,CDF,CDFxm,CDF xm_CA,CDFxm_CA,Coastal Douglas-fir,Very Dry Maritime California CDF,SW Oregon and NC California,CDF xmz,USA,CA,
,no,BGCv11,CMA,CMA,CMAun,CMA un,CMAun,Coastal Mountain-heather Alpine,Undifferentiated  CMA ,Undifferentiated,,BC,BC,
,no,USA_2019,CMA,CMA,CMAun,CMA un_CA,CMAun_CA,Coastal Mountain-heather Alpine,California CMA,California,CMA us,USA,CA,
,no,USA_2019,CMA,CMA,CMAun,CMA un_OR,CMAun_OR,Coastal Mountain-heather Alpine,Oregon CMA,Oregon,CMA us,USA,OR,
,no,USA_2019,CMA,CMA,CMAun,CMA un_WA,CMAun_WA,Coastal Mountain-heather Alpine,Washington CMA,Washington,CMA us,USA,WA,
,no,BGCv11,CMA,CMA,CMAunp,CMA unp,CMAunp,Coastal Mountain-heather Alpine,Undifferentiated and Parkland  CMA ,Undifferentiated and Parkland,,BC,BC,
,no,BGCv11,CMA,CMA,CMAwh,CMA wh,CMAwh,Coastal Mountain-heather Alpine,Wet Hypermaritime  CMA ,Wet Hypermaritime,,BC,BC,
