SiteNo,RastID
5924008,14573
5924009,14263
5924011,13798
5924012,13488
5924013,13178
5924015,12713
5924016,12403
5924018,11938
5924019,11628
5924020,11318
5924022,10853
5924023,10543
5924024,10233
5924026,9768
5924027,9458
5924028,9148
5924030,8683
5924031,8373
5924033,7908
5924034,7598
5924035,7288
5924037,6823
5924038,6513
5924039,6203
5924041,5738
5924042,5428
5924043,5118
5924045,4653
5924046,4343
5924048,3878
5924049,3568
5924050,3258
5924052,2793
5924053,2483
5924054,2173
5924056,1708
5924057,1398
5924059,933
5924060,623
5924061,313
5924707,26199
5924708,26044
5924709,25734
5924710,25424
5924711,25114
5924712,24959
5924713,24649
5924714,24339
5924715,24029
5924716,23874
5924717,23564
5924718,23254
5924719,23099
5924720,22789
5924721,22479
5924722,22169
5924723,22014
5924724,21704
5924725,21394
5924726,21084
5924727,20929
5924728,20619
5924729,20309
5924730,19999
5924731,19844
5924732,19534
5924733,19224
5924734,19069
5924735,18759
5924736,18449
5924737,18139
5924738,17984
5924739,17674
5924740,17364
5924741,17054
5924742,16899
5924743,16589
5924744,16279
5924745,15969
5924746,15814
5924747,15504
5924748,15194
5924749,15039
5924750,14729
5924751,14419
5924752,14109
5924753,13954
5924754,13644
5924755,13334
5924756,13024
5924757,12869
5924758,12559
5924759,12249
5924760,12094
5924761,11784
5924762,11474
5924763,11164
5924764,11009
5924765,10699
5924766,10389
5924767,10079
5924768,9924
5924769,9614
5924770,9304
5924771,8994
5924772,8839
5924773,8529
5924774,8219
5924775,8064
5924776,7754
5924777,7444
5924778,7134
5924779,6979
5924780,6669
5924781,6359
5924782,6049
5924783,5894
5924784,5584
5924785,5274
5924786,4964
5924787,4809
5924788,4499
5924789,4189
5924790,4034
5924791,3724
5924792,3414
5924793,3104
5924794,2949
5924795,2639
5924796,2329
5924797,2019
5924798,1864
5924799,1554
5924800,1244
5924801,1089
5924802,779
5924803,469
5924804,159
5924805,4
5925448,26354
5925450,25889
5925451,25579
5925452,25269
5925454,24804
5925455,24494
5925456,24184
5925458,23719
5925459,23409
5925461,22944
5925462,22634
5925463,22324
5925465,21859
5925466,21549
5925467,21239
5925469,20774
5925470,20464
5925471,20154
5925473,19689
5925474,19379
5925476,18914
5925477,18604
5925478,18294
5925480,17829
5925481,17519
5925482,17209
5925484,16744
5925485,16434
5925486,16124
5925488,15659
5925489,15349
5925491,14884
5925492,14574
5925493,14264
5925495,13799
5925496,13489
5925497,13179
5925499,12714
5925500,12404
5925502,11939
5925503,11629
5925504,11319
5925506,10854
5925507,10544
5925508,10234
5925510,9769
5925511,9459
5925512,9149
5925514,8684
5925515,8374
5925517,7909
5925518,7599
5925519,7289
5925521,6824
5925522,6514
5925523,6204
5925525,5739
5925526,5429
5925527,5119
5925529,4654
5925530,4344
5925532,3879
5925533,3569
5925534,3259
5925536,2794
5925537,2484
5925538,2174
5925540,1709
5925541,1399
5925543,934
5925544,624
5925545,314
5926189,26200
5926190,26045
5926191,25735
5926192,25425
5926193,25115
5926194,24960
5926195,24650
5926196,24340
5926197,24030
5926198,23875
5926199,23565
5926200,23255
5926201,23100
5926202,22790
5926203,22480
5926204,22170
5926205,22015
5926206,21705
5926207,21395
5926208,21085
5926209,20930
5926210,20620
5926211,20310
5926212,20000
5926213,19845
5926214,19535
5926215,19225
5926216,19070
5926217,18760
5926218,18450
5926219,18140
5926220,17985
5926221,17675
5926222,17365
5926223,17055
5926224,16900
5926225,16590
5926226,16280
5926227,15970
5926228,15815
5926229,15505
5926230,15195
5926231,15040
5926232,14730
5926233,14420
5926234,14110
5926235,13955
5926236,13645
5926237,13335
5926238,13025
5926239,12870
5926240,12560
5926241,12250
5926242,12095
5926243,11785
5926244,11475
5926245,11165
5926246,11010
5926247,10700
5926248,10390
5926249,10080
5926250,9925
5926251,9615
5926252,9305
5926253,8995
5926254,8840
5926255,8530
5926256,8220
5926257,8065
5926258,7755
5926259,7445
5926260,7135
5926261,6980
5926262,6670
5926263,6360
5926264,6050
5926265,5895
5926266,5585
5926267,5275
5926268,4965
5926269,4810
5926270,4500
5926271,4190
5926272,4035
5926273,3725
5926274,3415
5926275,3105
5926276,2950
5926277,2640
5926278,2330
5926279,2020
5926280,1865
5926281,1555
5926282,1245
5926283,1090
5926284,780
5926285,470
5926286,160
5926287,5
5926929,26355
5926931,25890
5926932,25580
5926933,25270
5926935,24805
5926936,24495
5926937,24185
5926939,23720
5926940,23410
5926942,22945
5926943,22635
5926944,22325
5926946,21860
5926947,21550
5926948,21240
5926950,20775
5926951,20465
5926952,20155
5926954,19690
5926955,19380
5926957,18915
5926958,18605
5926959,18295
5926961,17830
5926962,17520
5926963,17210
5926965,16745
5926966,16435
5926967,16125
5926969,15660
5926970,15350
5926972,14885
5926973,14575
5926974,14265
5926976,13800
5926977,13490
5926978,13180
5926980,12715
5926981,12405
5926983,11940
5926984,11630
5926985,11320
5926987,10855
5926988,10545
5926989,10235
5926991,9770
5926992,9460
5926993,9150
5926995,8685
5926996,8375
5926998,7910
5926999,7600
5927000,7290
5927002,6825
5927003,6515
5927004,6205
5927006,5740
5927007,5430
5927008,5120
5927010,4655
5927011,4345
5927013,3880
5927014,3570
5927015,3260
5927017,2795
5927018,2485
5927019,2175
5927021,1710
5927022,1400
5927024,935
5927025,625
5927026,315
5927670,26201
5927671,26046
5927672,25736
5927673,25426
5927674,25116
5927675,24961
5927676,24651
5927677,24341
5927678,24031
5927679,23876
5927680,23566
5927681,23256
5927682,23101
5927683,22791
5927684,22481
5927685,22171
5927686,22016
5927687,21706
5927688,21396
5927689,21086
5927690,20931
5927691,20621
5927692,20311
5927693,20001
5927694,19846
5927695,19536
5927696,19226
5927697,19071
5927698,18761
5927699,18451
5927700,18141
5927701,17986
5927702,17676
5927703,17366
5927704,17056
5927705,16901
5927706,16591
5927707,16281
5927708,15971
5927709,15816
5927710,15506
5927711,15196
5927712,15041
5927713,14731
5927714,14421
5927715,14111
5927716,13956
5927717,13646
5927718,13336
5927719,13026
5927720,12871
5927721,12561
5927722,12251
5927723,12096
5927724,11786
5927725,11476
5927726,11166
5927727,11011
5927728,10701
5927729,10391
5927730,10081
5927731,9926
5927732,9616
5927733,9306
5927734,8996
5927735,8841
5927736,8531
5927737,8221
5927738,8066
5927739,7756
5927740,7446
5927741,7136
5927742,6981
5927743,6671
5927744,6361
5927745,6051
5927746,5896
5927747,5586
5927748,5276
5927749,4966
5927750,4811
5927751,4501
5927752,4191
5927753,4036
5927754,3726
5927755,3416
5927756,3106
5927757,2951
5927758,2641
5927759,2331
5927760,2021
5927761,1866
5927762,1556
5927763,1246
5927764,1091
5927765,781
5927766,471
5927767,161
5927768,6
5928409,26356
5928411,25891
5928412,25581
5928413,25271
5928415,24806
5928416,24496
5928417,24186
5928419,23721
5928420,23411
5928422,22946
5928423,22636
5928424,22326
5928426,21861
5928427,21551
5928428,21241
5928430,20776
5928431,20466
5928432,20156
5928434,19691
5928435,19381
5928437,18916
5928438,18606
5928439,18296
5928441,17831
5928442,17521
5928443,17211
5928445,16746
5928446,16436
5928447,16126
5928449,15661
5928450,15351
5928452,14886
5928453,14576
5928454,14266
5928456,13801
5928457,13491
5928458,13181
5928460,12716
5928461,12406
5928463,11941
5928464,11631
5928465,11321
5928467,10856
5928468,10546
5928469,10236
5928471,9771
5928472,9461
5928473,9151
5928475,8686
5928476,8376
5928478,7911
5928479,7601
5928480,7291
5928482,6826
5928483,6516
5928484,6206
5928486,5741
5928487,5431
5928488,5121
5928490,4656
5928491,4346
5928493,3881
5928494,3571
5928495,3261
5928497,2796
5928498,2486
5928499,2176
5928501,1711
5928502,1401
5928504,936
5928505,626
5928506,316
5929148,26202
5929149,26047
5929150,25737
5929151,25427
5929152,25117
5929153,24962
5929154,24652
5929155,24342
5929156,24032
5929157,23877
5929158,23567
5929159,23257
5929160,23102
5929161,22792
5929162,22482
5929163,22172
5929164,22017
5929165,21707
5929166,21397
5929167,21087
5929168,20932
5929169,20622
5929170,20312
5929171,20002
5929172,19847
5929173,19537
5929174,19227
5929175,19072
5929176,18762
5929177,18452
5929178,18142
5929179,17987
5929180,17677
5929181,17367
5929182,17057
5929183,16902
5929184,16592
5929185,16282
5929186,15972
5929187,15817
5929188,15507
5929189,15197
5929190,15042
5929191,14732
5929192,14422
5929193,14112
5929194,13957
5929195,13647
5929196,13337
5929197,13027
5929198,12872
5929199,12562
5929200,12252
5929201,12097
5929202,11787
5929203,11477
5929204,11167
5929205,11012
5929206,10702
5929207,10392
5929208,10082
5929209,9927
5929210,9617
5929211,9307
5929212,8997
5929213,8842
5929214,8532
5929215,8222
5929216,8067
5929217,7757
5929218,7447
5929219,7137
5929220,6982
5929221,6672
5929222,6362
5929223,6052
5929224,5897
5929225,5587
5929226,5277
5929227,4967
5929228,4812
5929229,4502
5929230,4192
5929231,4037
5929232,3727
5929233,3417
5929234,3107
5929235,2952
5929236,2642
5929237,2332
5929238,2022
5929239,1867
5929240,1557
5929241,1247
5929242,1092
5929243,782
5929244,472
5929245,162
5929246,7
5929887,26357
5929889,25892
5929890,25582
5929891,25272
5929893,24807
5929894,24497
5929895,24187
5929897,23722
5929898,23412
5929900,22947
5929901,22637
5929902,22327
5929904,21862
5929905,21552
5929906,21242
5929908,20777
5929909,20467
5929910,20157
5929912,19692
5929913,19382
5929915,18917
5929916,18607
5929917,18297
5929919,17832
5929920,17522
5929921,17212
5929923,16747
5929924,16437
5929925,16127
5929927,15662
5929928,15352
5929930,14887
5929931,14577
5929932,14267
5929934,13802
5929935,13492
5929936,13182
5929938,12717
5929939,12407
5929941,11942
5929942,11632
5929943,11322
5929945,10857
5929946,10547
5929947,10237
5929949,9772
5929950,9462
5929951,9152
5929953,8687
5929954,8377
5929956,7912
5929957,7602
5929958,7292
5929960,6827
5929961,6517
5929962,6207
5929964,5742
5929965,5432
5929966,5122
5929968,4657
5929969,4347
5929971,3882
5929972,3572
5929973,3262
5929975,2797
5929976,2487
5929977,2177
5929979,1712
5929980,1402
5929982,937
5929983,627
5929984,317
5930624,26203
5930625,26048
5930626,25738
5930627,25428
5930628,25118
5930629,24963
5930630,24653
5930631,24343
5930632,24033
5930633,23878
5930634,23568
5930635,23258
5930636,23103
5930637,22793
5930638,22483
5930639,22173
5930640,22018
5930641,21708
5930642,21398
5930643,21088
5930644,20933
5930645,20623
5930646,20313
5930647,20003
5930648,19848
5930649,19538
5930650,19228
5930651,19073
5930652,18763
5930653,18453
5930654,18143
5930655,17988
5930656,17678
5930657,17368
5930658,17058
5930659,16903
5930660,16593
5930661,16283
5930662,15973
5930663,15818
5930664,15508
5930665,15198
5930666,15043
5930667,14733
5930668,14423
5930669,14113
5930670,13958
5930671,13648
5930672,13338
5930673,13028
5930674,12873
5930675,12563
5930676,12253
5930677,12098
5930678,11788
5930679,11478
5930680,11168
5930681,11013
5930682,10703
5930683,10393
5930684,10083
5930685,9928
5930686,9618
5930687,9308
5930688,8998
5930689,8843
5930690,8533
5930691,8223
5930692,8068
5930693,7758
5930694,7448
5930695,7138
5930696,6983
5930697,6673
5930698,6363
5930699,6053
5930700,5898
5930701,5588
5930702,5278
5930703,4968
5930704,4813
5930705,4503
5930706,4193
5930707,4038
5930708,3728
5930709,3418
5930710,3108
5930711,2953
5930712,2643
5930713,2333
5930714,2023
5930715,1868
5930716,1558
5930717,1248
5930718,1093
5930719,783
5930720,473
5930721,163
5930722,8
5931360,26358
5931362,25893
5931363,25583
5931364,25273
5931366,24808
5931367,24498
5931368,24188
5931370,23723
5931371,23413
5931373,22948
5931374,22638
5931375,22328
5931377,21863
5931378,21553
5931379,21243
5931381,20778
5931382,20468
5931383,20158
5931385,19693
5931386,19383
5931388,18918
5931389,18608
5931390,18298
5931392,17833
5931393,17523
5931394,17213
5931396,16748
5931397,16438
5931398,16128
5931400,15663
5931401,15353
5931403,14888
5931404,14578
5931405,14268
5931407,13803
5931408,13493
5931409,13183
5931411,12718
5931412,12408
5931414,11943
5931415,11633
5931416,11323
5931418,10858
5931419,10548
5931420,10238
5931422,9773
5931423,9463
5931424,9153
5931426,8688
5931427,8378
5931429,7913
5931430,7603
5931431,7293
5931433,6828
5931434,6518
5931435,6208
5931437,5743
5931438,5433
5931439,5123
5931441,4658
5931442,4348
5931444,3883
5931445,3573
5931446,3263
5931448,2798
5931449,2488
5931450,2178
5931452,1713
5931453,1403
5931455,938
5931456,628
5931457,318
5932094,26204
5932095,26049
5932096,25739
5932097,25429
5932098,25119
5932099,24964
5932100,24654
5932101,24344
5932102,24034
5932103,23879
5932104,23569
5932105,23259
5932106,23104
5932107,22794
5932108,22484
5932109,22174
5932110,22019
5932111,21709
5932112,21399
5932113,21089
5932114,20934
5932115,20624
5932116,20314
5932117,20004
5932118,19849
5932119,19539
5932120,19229
5932121,19074
5932122,18764
5932123,18454
5932124,18144
5932125,17989
5932126,17679
5932127,17369
5932128,17059
5932129,16904
5932130,16594
5932131,16284
5932132,15974
5932133,15819
5932134,15509
5932135,15199
5932136,15044
5932137,14734
5932138,14424
5932139,14114
5932140,13959
5932141,13649
5932142,13339
5932143,13029
5932144,12874
5932145,12564
5932146,12254
5932147,12099
5932148,11789
5932149,11479
5932150,11169
5932151,11014
5932152,10704
5932153,10394
5932154,10084
5932155,9929
5932156,9619
5932157,9309
5932158,8999
5932159,8844
5932160,8534
5932161,8224
5932162,8069
5932163,7759
5932164,7449
5932165,7139
5932166,6984
5932167,6674
5932168,6364
5932169,6054
5932170,5899
5932171,5589
5932172,5279
5932173,4969
5932174,4814
5932175,4504
5932176,4194
5932177,4039
5932178,3729
5932179,3419
5932180,3109
5932181,2954
5932182,2644
5932183,2334
5932184,2024
5932185,1869
5932186,1559
5932187,1249
5932188,1094
5932189,784
5932190,474
5932191,164
5932192,9
5932827,26359
5932829,25894
5932830,25584
5932831,25274
5932833,24809
5932834,24499
5932835,24189
5932837,23724
5932838,23414
5932840,22949
5932841,22639
5932842,22329
5932844,21864
5932845,21554
5932846,21244
5932848,20779
5932849,20469
5932850,20159
5932852,19694
5932853,19384
5932855,18919
5932856,18609
5932857,18299
5932859,17834
5932860,17524
5932861,17214
5932863,16749
5932864,16439
5932865,16129
5932867,15664
5932868,15354
5932870,14889
5932871,14579
5932872,14269
5932874,13804
5932875,13494
5932876,13184
5932878,12719
5932879,12409
5932881,11944
5932882,11634
5932883,11324
5932885,10859
5932886,10549
5932887,10239
5932889,9774
5932890,9464
5932891,9154
5932893,8689
5932894,8379
5932896,7914
5932897,7604
5932898,7294
5932900,6829
5932901,6519
5932902,6209
5932904,5744
5932905,5434
5932906,5124
5932908,4659
5932909,4349
5932911,3884
5932912,3574
5932913,3264
5932915,2799
5932916,2489
5932917,2179
5932919,1714
5932920,1404
5932922,939
5932923,629
5932924,319
5933559,26205
5933560,26050
5933561,25740
5933562,25430
5933563,25120
5933564,24965
5933565,24655
5933566,24345
5933567,24035
5933568,23880
5933569,23570
5933570,23260
5933571,23105
5933572,22795
5933573,22485
5933574,22175
5933575,22020
5933576,21710
5933577,21400
5933578,21090
5933579,20935
5933580,20625
5933581,20315
5933582,20005
5933583,19850
5933584,19540
5933585,19230
5933586,19075
5933587,18765
5933588,18455
5933589,18145
5933590,17990
5933591,17680
5933592,17370
5933593,17060
5933594,16905
5933595,16595
5933596,16285
5933597,15975
5933598,15820
5933599,15510
5933600,15200
5933601,15045
5933602,14735
5933603,14425
5933604,14115
5933605,13960
5933606,13650
5933607,13340
5933608,13030
5933609,12875
5933610,12565
5933611,12255
5933612,12100
5933613,11790
5933614,11480
5933615,11170
5933616,11015
5933617,10705
5933618,10395
5933619,10085
5933620,9930
5933621,9620
5933622,9310
5933623,9000
5933624,8845
5933625,8535
5933626,8225
5933627,8070
5933628,7760
5933629,7450
5933630,7140
5933631,6985
5933632,6675
5933633,6365
5933634,6055
5933635,5900
5933636,5590
5933637,5280
5933638,4970
5933639,4815
5933640,4505
5933641,4195
5933642,4040
5933643,3730
5933644,3420
5933645,3110
5933646,2955
5933647,2645
5933648,2335
5933649,2025
5933650,1870
5933651,1560
5933652,1250
5933653,1095
5933654,785
5933655,475
5933656,165
5933657,10
5934291,26360
5934293,25895
5934294,25585
5934295,25275
5934297,24810
5934298,24500
5934299,24190
5934301,23725
5934302,23415
5934304,22950
5934305,22640
5934306,22330
5934308,21865
5934309,21555
5934310,21245
5934312,20780
5934313,20470
5934314,20160
5934316,19695
5934317,19385
5934319,18920
5934320,18610
5934321,18300
5934323,17835
5934324,17525
5934325,17215
5934327,16750
5934328,16440
5934329,16130
5934331,15665
5934332,15355
5934334,14890
5934335,14580
5934336,14270
5934338,13805
5934339,13495
5934340,13185
5934342,12720
5934343,12410
5934345,11945
5934346,11635
5934347,11325
5934349,10860
5934350,10550
5934351,10240
5934353,9775
5934354,9465
5934355,9155
5934357,8690
5934358,8380
5934360,7915
5934361,7605
5934362,7295
5934364,6830
5934365,6520
5934366,6210
5934368,5745
5934369,5435
5934370,5125
5934372,4660
5934373,4350
5934375,3885
5934376,3575
5934377,3265
5934379,2800
5934380,2490
5934381,2180
5934383,1715
5934384,1405
5934386,940
5934387,630
5934388,320
5935022,26206
5935023,26051
5935024,25741
5935025,25431
5935026,25121
5935027,24966
5935028,24656
5935029,24346
5935030,24036
5935031,23881
5935032,23571
5935033,23261
5935034,23106
5935035,22796
5935036,22486
5935037,22176
5935038,22021
5935039,21711
5935040,21401
5935041,21091
5935042,20936
5935043,20626
5935044,20316
5935045,20006
5935046,19851
5935047,19541
5935048,19231
5935049,19076
5935050,18766
5935051,18456
5935052,18146
5935053,17991
5935054,17681
5935055,17371
5935056,17061
5935057,16906
5935058,16596
5935059,16286
5935060,15976
5935061,15821
5935062,15511
5935063,15201
5935064,15046
5935065,14736
5935066,14426
5935067,14116
5935068,13961
5935069,13651
5935070,13341
5935071,13031
5935072,12876
5935073,12566
5935074,12256
5935075,12101
5935076,11791
5935077,11481
5935078,11171
5935079,11016
5935080,10706
5935081,10396
5935082,10086
5935083,9931
5935084,9621
5935085,9311
5935086,9001
5935087,8846
5935088,8536
5935089,8226
5935090,8071
5935091,7761
5935092,7451
5935093,7141
5935094,6986
5935095,6676
5935096,6366
5935097,6056
5935098,5901
5935099,5591
5935100,5281
5935101,4971
5935102,4816
5935103,4506
5935104,4196
5935105,4041
5935106,3731
5935107,3421
5935108,3111
5935109,2956
5935110,2646
5935111,2336
5935112,2026
5935113,1871
5935114,1561
5935115,1251
5935116,1096
5935117,786
5935118,476
5935119,166
5935120,11
5935752,26361
5935754,25896
5935755,25586
5935756,25276
5935758,24811
5935759,24501
5935760,24191
5935762,23726
5935763,23416
5935765,22951
5935766,22641
5935767,22331
5935769,21866
5935770,21556
5935771,21246
5935773,20781
5935774,20471
5935775,20161
5935777,19696
5935778,19386
5935780,18921
5935781,18611
5935782,18301
5935784,17836
5935785,17526
5935786,17216
5935788,16751
5935789,16441
5935790,16131
5935792,15666
5935793,15356
5935795,14891
5935796,14581
5935797,14271
5935799,13806
5935800,13496
5935801,13186
5935803,12721
5935804,12411
5935806,11946
5935807,11636
5935808,11326
5935810,10861
5935811,10551
5935812,10241
5935814,9776
5935815,9466
5935816,9156
5935818,8691
5935819,8381
5935821,7916
5935822,7606
5935823,7296
5935825,6831
5935826,6521
5935827,6211
5935829,5746
5935830,5436
5935831,5126
5935833,4661
5935834,4351
5935836,3886
5935837,3576
5935838,3266
5935840,2801
5935841,2491
5935842,2181
5935844,1716
5935845,1406
5935847,941
5935848,631
5935849,321
5936478,26207
5936479,26052
5936480,25742
5936481,25432
5936482,25122
5936483,24967
5936484,24657
5936485,24347
5936486,24037
5936487,23882
5936488,23572
5936489,23262
5936490,23107
5936491,22797
5936492,22487
5936493,22177
5936494,22022
5936495,21712
5936496,21402
5936497,21092
5936498,20937
5936499,20627
5936500,20317
5936501,20007
5936502,19852
5936503,19542
5936504,19232
5936505,19077
5936506,18767
5936507,18457
5936508,18147
5936509,17992
5936510,17682
5936511,17372
5936512,17062
5936513,16907
5936514,16597
5936515,16287
5936516,15977
5936517,15822
5936518,15512
5936519,15202
5936520,15047
5936521,14737
5936522,14427
5936523,14117
5936524,13962
5936525,13652
5936526,13342
5936527,13032
5936528,12877
5936529,12567
5936530,12257
5936531,12102
5936532,11792
5936533,11482
5936534,11172
5936535,11017
5936536,10707
5936537,10397
5936538,10087
5936539,9932
5936540,9622
5936541,9312
5936542,9002
5936543,8847
5936544,8537
5936545,8227
5936546,8072
5936547,7762
5936548,7452
5936549,7142
5936550,6987
5936551,6677
5936552,6367
5936553,6057
5936554,5902
5936555,5592
5936556,5282
5936557,4972
5936558,4817
5936559,4507
5936560,4197
5936561,4042
5936562,3732
5936563,3422
5936564,3112
5936565,2957
5936566,2647
5936567,2337
5936568,2027
5936569,1872
5936570,1562
5936571,1252
5936572,1097
5936573,787
5936574,477
5936575,167
5936576,12
5937202,26362
5937204,25897
5937205,25587
5937206,25277
5937208,24812
5937209,24502
5937210,24192
5937212,23727
5937213,23417
5937215,22952
5937216,22642
5937217,22332
5937219,21867
5937220,21557
5937221,21247
5937223,20782
5937224,20472
5937225,20162
5937227,19697
5937228,19387
5937230,18922
5937231,18612
5937232,18302
5937234,17837
5937235,17527
5937236,17217
5937238,16752
5937239,16442
