SiteNo,RastID
5920255,26196
5920256,26041
5920257,25731
5920258,25421
5920259,25111
5920260,24956
5920261,24646
5920262,24336
5920263,24026
5920264,23871
5920265,23561
5920266,23251
5920267,23096
5920268,22786
5920269,22476
5920270,22166
5920271,22011
5920272,21701
5920273,21391
5920274,21081
5920275,20926
5920276,20616
5920277,20306
5920278,19996
5920279,19841
5920280,19531
5920281,19221
5920282,19066
5920283,18756
5920284,18446
5920285,18136
5920286,17981
5920287,17671
5920288,17361
5920289,17051
5920290,16896
5920291,16586
5920292,16276
5920293,15966
5920294,15811
5920295,15501
5920296,15191
5920297,15036
5920298,14726
5920299,14416
5920300,14106
5920301,13951
5920302,13641
5920303,13331
5920304,13021
5920305,12866
5920306,12556
5920307,12246
5920308,12091
5920309,11781
5920310,11471
5920311,11161
5920312,11006
5920313,10696
5920314,10386
5920315,10076
5920316,9921
5920317,9611
5920318,9301
5920319,8991
5920320,8836
5920321,8526
5920322,8216
5920323,8061
5920324,7751
5920325,7441
5920326,7131
5920327,6976
5920328,6666
5920329,6356
5920330,6046
5920331,5891
5920332,5581
5920333,5271
5920334,4961
5920335,4806
5920336,4496
5920337,4186
5920338,4031
5920339,3721
5920340,3411
5920341,3101
5920342,2946
5920343,2636
5920344,2326
5920345,2016
5920346,1861
5920347,1551
5920348,1241
5920349,1086
5920350,776
5920351,466
5920352,156
5920353,1
5920997,26351
5920999,25886
5921000,25576
5921001,25266
5921003,24801
5921004,24491
5921005,24181
5921007,23716
5921008,23406
5921010,22941
5921011,22631
5921012,22321
5921014,21856
5921015,21546
5921016,21236
5921018,20771
5921019,20461
5921020,20151
5921022,19686
5921023,19376
5921025,18911
5921026,18601
5921027,18291
5921029,17826
5921030,17516
5921031,17206
5921033,16741
5921034,16431
5921035,16121
5921037,15656
5921038,15346
5921040,14881
5921041,14571
5921042,14261
5921044,13796
5921045,13486
5921046,13176
5921048,12711
5921049,12401
5921051,11936
5921052,11626
5921053,11316
5921055,10851
5921056,10541
5921057,10231
5921059,9766
5921060,9456
5921061,9146
5921063,8681
5921064,8371
5921066,7906
5921067,7596
5921068,7286
5921070,6821
5921071,6511
5921072,6201
5921074,5736
5921075,5426
5921076,5116
5921078,4651
5921079,4341
5921081,3876
5921082,3566
5921083,3256
5921085,2791
5921086,2481
5921087,2171
5921089,1706
5921090,1396
5921092,931
5921093,621
5921094,311
5921740,26197
5921741,26042
5921742,25732
5921743,25422
5921744,25112
5921745,24957
5921746,24647
5921747,24337
5921748,24027
5921749,23872
5921750,23562
5921751,23252
5921752,23097
5921753,22787
5921754,22477
5921755,22167
5921756,22012
5921757,21702
5921758,21392
5921759,21082
5921760,20927
5921761,20617
5921762,20307
5921763,19997
5921764,19842
5921765,19532
5921766,19222
5921767,19067
5921768,18757
5921769,18447
5921770,18137
5921771,17982
5921772,17672
5921773,17362
5921774,17052
5921775,16897
5921776,16587
5921777,16277
5921778,15967
5921779,15812
5921780,15502
5921781,15192
5921782,15037
5921783,14727
5921784,14417
5921785,14107
5921786,13952
5921787,13642
5921788,13332
5921789,13022
5921790,12867
5921791,12557
5921792,12247
5921793,12092
5921794,11782
5921795,11472
5921796,11162
5921797,11007
5921798,10697
5921799,10387
5921800,10077
5921801,9922
5921802,9612
5921803,9302
5921804,8992
5921805,8837
5921806,8527
5921807,8217
5921808,8062
5921809,7752
5921810,7442
5921811,7132
5921812,6977
5921813,6667
5921814,6357
5921815,6047
5921816,5892
5921817,5582
5921818,5272
5921819,4962
5921820,4807
5921821,4497
5921822,4187
5921823,4032
5921824,3722
5921825,3412
5921826,3102
5921827,2947
5921828,2637
5921829,2327
5921830,2017
5921831,1862
5921832,1552
5921833,1242
5921834,1087
5921835,777
5921836,467
5921837,157
5921838,2
5922481,26352
5922483,25887
5922484,25577
5922485,25267
5922487,24802
5922488,24492
5922489,24182
5922491,23717
5922492,23407
5922494,22942
5922495,22632
5922496,22322
5922498,21857
5922499,21547
5922500,21237
5922502,20772
5922503,20462
5922504,20152
5922506,19687
5922507,19377
5922509,18912
5922510,18602
5922511,18292
5922513,17827
5922514,17517
5922515,17207
5922517,16742
5922518,16432
5922519,16122
5922521,15657
5922522,15347
5922524,14882
5922525,14572
5922526,14262
5922528,13797
5922529,13487
5922530,13177
5922532,12712
5922533,12402
5922535,11937
5922536,11627
5922537,11317
5922539,10852
5922540,10542
5922541,10232
5922543,9767
5922544,9457
5922545,9147
5922547,8682
5922548,8372
5922550,7907
5922551,7597
5922552,7287
5922554,6822
5922555,6512
5922556,6202
5922558,5737
5922559,5427
5922560,5117
5922562,4652
5922563,4342
5922565,3877
5922566,3567
5922567,3257
5922569,2792
5922570,2482
5922571,2172
5922573,1707
5922574,1397
5922576,932
5922577,622
5922578,312
5923223,26198
5923224,26043
5923225,25733
5923226,25423
5923227,25113
5923228,24958
5923229,24648
5923230,24338
5923231,24028
5923232,23873
5923233,23563
5923234,23253
5923235,23098
5923236,22788
5923237,22478
5923238,22168
5923239,22013
5923240,21703
5923241,21393
5923242,21083
5923243,20928
5923244,20618
5923245,20308
5923246,19998
5923247,19843
5923248,19533
5923249,19223
5923250,19068
5923251,18758
5923252,18448
5923253,18138
5923254,17983
5923255,17673
5923256,17363
5923257,17053
5923258,16898
5923259,16588
5923260,16278
5923261,15968
5923262,15813
5923263,15503
5923264,15193
5923265,15038
5923266,14728
5923267,14418
5923268,14108
5923269,13953
5923270,13643
5923271,13333
5923272,13023
5923273,12868
5923274,12558
5923275,12248
5923276,12093
5923277,11783
5923278,11473
5923279,11163
5923280,11008
5923281,10698
5923282,10388
5923283,10078
5923284,9923
5923285,9613
5923286,9303
5923287,8993
5923288,8838
5923289,8528
5923290,8218
5923291,8063
5923292,7753
5923293,7443
5923294,7133
5923295,6978
5923296,6668
5923297,6358
5923298,6048
5923299,5893
5923300,5583
5923301,5273
5923302,4963
5923303,4808
5923304,4498
5923305,4188
5923306,4033
5923307,3723
5923308,3413
5923309,3103
5923310,2948
5923311,2638
5923312,2328
5923313,2018
5923314,1863
5923315,1553
5923316,1243
5923317,1088
5923318,778
5923319,468
5923320,158
5923321,3
5923964,26353
5923966,25888
5923967,25578
5923968,25268
5923970,24803
5923971,24493
5923972,24183
5923974,23718
5923975,23408
5923977,22943
5923978,22633
5923979,22323
5923981,21858
5923982,21548
5923983,21238
5923985,20773
5923986,20463
5923987,20153
5923989,19688
5923990,19378
5923992,18913
5923993,18603
5923994,18293
5923996,17828
5923997,17518
5923998,17208
5924000,16743
5924001,16433
5924002,16123
5924004,15658
5924005,15348
5924007,14883
