"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CDF","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB","IGF","JPW","CMX","CRF","CWF","FG","GO","MGP","IWF","MDCH","MSSD","GBD","SGP","CCH"
27,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",1307,878,41646,25,3332,33782,40499,33855,19147,2316,8985,6041,787,3340,120,12477,3155,1373,1785,84,673,17,371,34,1,NA,NA,NA,NA,NA,NA
28,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",1178,805,37193,11,3575,34701,41008,35121,18313,2425,7498,4547,784,6879,126,16711,1979,917,1798,50,321,9,1,83,4,NA,NA,NA,NA,NA,NA
29,"EC-Earth3","ssp245","ensembleMean","2021_2040",684,509,43581,63,4643,34210,43359,35713,12305,2804,9135,3873,737,3414,701,15956,2693,1135,261,8,209,2,14,NA,31,NA,NA,NA,NA,NA,NA
30,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",1873,351,44272,169,5353,32503,44721,26526,14088,3462,11343,4974,694,177,688,16812,7243,483,188,1,105,NA,12,2,1,NA,NA,NA,NA,NA,NA
31,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",386,490,42336,47,4057,34492,40873,38004,13355,1967,8806,4860,835,4770,28,16720,1709,1290,300,9,286,2,21,4,393,NA,NA,NA,NA,NA,NA
32,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",849,587,44787,48,4726,33955,42301,34468,11481,3178,9989,5561,729,2260,532,14360,3785,1759,184,12,290,7,26,2,119,NA,NA,NA,NA,NA,NA
33,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",3126,296,40152,67,5125,35375,42502,37846,10484,2531,11732,2597,818,3464,530,14648,4085,278,217,2,157,NA,5,NA,4,NA,NA,NA,NA,NA,NA
34,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",2922,415,38138,41,5032,35025,43052,39023,12126,1830,11371,3488,860,4656,655,13763,2619,387,416,4,213,1,2,NA,2,NA,NA,NA,NA,NA,NA
35,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",2679,211,41736,18,5332,34915,42957,35225,8935,3417,10988,3225,739,2046,283,16554,6066,316,249,1,129,NA,2,NA,18,NA,NA,NA,NA,NA,NA
36,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",4190,372,40576,350,4954,33614,41943,33826,10305,3071,12253,2421,865,2283,670,17966,5789,188,307,NA,80,1,11,3,3,NA,NA,NA,NA,NA,NA
37,"MIROC6","ssp245","ensembleMean","2021_2040",2549,450,39849,45,5567,34088,42514,34211,13207,3318,11060,4135,786,3563,510,15787,3137,609,300,10,253,1,87,NA,5,NA,NA,NA,NA,NA,NA
38,"MIROC6","ssp245","r1i1p1f1","2021_2040",3150,300,44061,150,5283,33605,40623,32688,11319,3511,11549,3089,815,2068,689,17761,4758,254,176,3,173,NA,6,5,5,NA,NA,NA,NA,NA,NA
39,"MIROC6","ssp245","r2i1p1f1","2021_2040",2217,602,37446,24,5447,34795,42222,35802,15730,3163,11355,4602,697,4889,302,12907,1789,1046,487,14,302,13,180,2,7,1,NA,NA,NA,NA,NA
40,"MIROC6","ssp245","r3i1p1f1","2021_2040",2421,452,40703,19,6151,33648,43942,33525,12450,3385,10789,4896,717,2044,406,15471,3332,908,298,12,335,4,123,NA,9,NA,NA,NA,NA,NA,NA
41,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",4393,614,39474,135,5436,31562,43593,24505,16596,1380,10253,5073,1053,633,925,21136,6222,494,386,6,187,3,1979,NA,NA,NA,NA,NA,NA,NA,NA
42,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",5425,861,39335,346,5336,30625,41355,21298,18696,2067,10505,5750,1220,577,1155,20057,8552,674,548,3,221,3,1431,NA,NA,NA,NA,NA,NA,NA,NA
43,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",3677,481,38749,26,5349,32511,44300,29010,13405,1005,10034,4969,882,1876,877,21564,4018,477,285,5,158,1,2379,NA,1,NA,NA,NA,NA,NA,NA
44,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",1410,402,37974,49,4454,33135,45126,36243,9687,4132,9288,5600,1027,4421,24,18372,2680,975,390,12,351,7,NA,NA,282,NA,NA,NA,NA,NA,NA
45,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",1410,402,37974,49,4454,33135,45126,36243,9687,4132,9288,5600,1027,4421,24,18372,2680,975,390,12,351,7,NA,NA,282,NA,NA,NA,NA,NA,NA
46,"ensembleMean","ssp245","ensembleMean","2021_2040",1883,522,39296,68,4648,33873,43364,34303,13705,3092,10078,4245,811,4292,410,16867,3116,547,600,8,258,1,45,1,8,NA,NA,NA,NA,NA,NA
47,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",221,724,35337,5,2655,36661,29979,50064,19788,857,6859,2688,586,6816,12,14115,1316,1704,2634,991,1281,41,407,248,48,NA,NA,NA,NA,NA,NA
48,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",145,637,28322,5,2275,37109,27803,53543,19216,489,7512,2699,881,8470,11,19345,1303,693,2301,1209,1370,9,194,66,408,NA,15,11,NA,NA,NA
49,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",222,973,31290,18,2851,37463,28266,52206,17407,832,7100,3032,522,6180,NA,16332,1046,2399,3155,1757,1555,73,491,767,94,NA,NA,1,3,NA,NA
50,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",224,987,32802,18,2826,36710,29359,52618,16732,826,7756,2638,584,8044,NA,13673,1196,2475,2498,1624,1682,71,81,566,46,NA,NA,1,NA,NA,NA
51,"EC-Earth3","ssp245","ensembleMean","2041_2060",104,901,41273,45,3603,39460,31362,54584,9482,971,8245,2200,904,6375,48,10800,1109,2787,701,34,558,19,92,2,365,NA,NA,NA,NA,NA,NA
52,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",292,707,42378,51,4268,36841,38558,47405,9471,1533,9020,3264,793,3470,60,13101,1565,1689,708,13,452,13,3,5,380,NA,NA,NA,NA,NA,NA
53,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",80,963,41197,55,3451,41333,29843,52427,9668,820,9188,2587,729,6576,26,10633,1056,3601,716,95,678,32,172,8,74,NA,NA,NA,NA,NA,NA
54,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",147,1092,44143,87,3474,38280,31409,50632,12495,1255,7697,2163,984,4859,21,12026,1134,2352,838,30,604,10,226,NA,68,NA,NA,NA,NA,NA,NA
55,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",1230,364,41668,5,4334,38281,40388,45137,9105,2564,11118,2280,646,2245,134,13081,1866,759,538,16,254,NA,1,8,19,NA,NA,NA,NA,NA,NA
56,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",1263,478,39456,4,5268,37048,43563,44516,10779,2435,9997,5522,628,3407,2,7513,1335,1972,404,25,370,12,12,1,28,NA,NA,NA,NA,NA,NA
57,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",1451,266,41998,9,3304,37125,38146,37631,9147,2965,11379,3300,752,1771,11,21562,3739,302,917,27,158,NA,5,7,69,NA,NA,NA,NA,NA,NA
58,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",1436,298,43375,15,4341,39441,39415,49144,7460,2480,11473,1025,796,1014,118,11014,1835,618,447,11,257,NA,NA,1,27,NA,NA,NA,NA,NA,NA
59,"MIROC6","ssp245","ensembleMean","2041_2060",950,565,39686,8,4663,38355,33942,43978,13149,1610,11431,3163,595,5459,284,13936,1565,1048,534,23,435,19,609,12,20,NA,2,NA,NA,NA,NA
60,"MIROC6","ssp245","r1i1p1f1","2041_2060",665,508,38260,10,5077,38287,33980,47408,10890,1586,10775,2560,762,7308,447,13884,1075,1217,409,15,373,11,497,NA,36,NA,1,NA,NA,NA,NA
61,"MIROC6","ssp245","r2i1p1f1","2041_2060",1043,613,40682,11,4950,38625,34344,42381,16490,1749,11156,3625,614,5094,102,9996,1456,1252,835,122,574,31,230,34,3,NA,29,NA,NA,NA,NA
62,"MIROC6","ssp245","r3i1p1f1","2041_2060",1099,399,39376,15,4148,38260,32331,39566,12716,1968,12571,4479,442,2628,26,20912,2333,899,588,45,383,16,816,13,12,NA,NA,NA,NA,NA,NA
63,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",2965,612,34668,20,5487,35130,41708,39042,14108,1904,10498,4563,775,5262,179,14380,1832,793,733,15,285,3,1078,1,NA,NA,NA,NA,NA,NA,NA
64,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",3942,520,31979,21,5740,36703,40733,40312,14137,1379,11609,3481,775,5591,343,13702,1695,588,863,10,158,NA,1743,17,NA,NA,NA,NA,NA,NA,NA
65,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",2161,657,37001,16,5324,33385,43226,36848,13539,2451,9402,6963,784,5216,43,14311,1908,1122,667,26,526,15,445,NA,NA,NA,NA,NA,NA,NA,NA
66,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",543,287,39548,6,3432,39197,38310,51044,4412,2334,8872,974,818,1682,37,19872,2522,1121,428,41,156,6,2,1,396,NA,NA,NA,NA,NA,NA
67,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",543,287,39548,6,3432,39197,38310,51044,4412,2334,8872,974,818,1682,37,19872,2522,1121,428,41,156,6,2,1,396,NA,NA,NA,NA,NA,NA
68,"ensembleMean","ssp245","ensembleMean","2041_2060",587,634,40620,9,3744,37969,35563,48142,11401,1688,9437,2871,669,4885,129,13698,1529,1054,898,52,395,14,22,5,26,NA,NA,NA,NA,NA,NA
69,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",67,959,27573,20,1845,40179,21604,61559,16755,206,6323,1379,529,7862,NA,17780,1146,1980,3504,1843,1582,61,503,402,376,NA,NA,3,1,NA,NA
70,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",42,1075,31216,1,1764,40216,22626,59512,18285,212,5289,1299,877,8287,NA,13315,1108,1771,2278,1268,2350,60,2087,83,1011,NA,NA,9,NA,NA,NA
71,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",62,675,27840,11,1604,42758,20611,68811,12958,242,6966,882,372,10322,NA,13125,1062,1498,2337,1922,1249,47,257,158,223,NA,48,1,NA,NA,NA
72,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",104,1058,27966,15,2198,35977,21338,47566,22242,465,7503,2873,690,4749,3,24439,1289,3250,4038,2370,2348,78,856,1658,958,NA,NA,NA,7,NA,NA
73,"EC-Earth3","ssp245","ensembleMean","2061_2080",30,961,43140,60,2971,48847,24512,65320,5822,545,8413,640,821,3530,NA,3674,954,3751,445,330,684,20,246,17,299,NA,NA,NA,NA,2,NA
74,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",28,780,47088,34,3177,50086,25523,61447,5575,714,9406,642,669,853,NA,4171,1272,2682,441,387,790,12,216,16,30,NA,2,NA,NA,NA,NA
75,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",23,771,41188,31,2611,48271,23827,66150,5675,591,7598,542,793,3629,NA,8869,1052,2835,186,272,537,16,356,NA,208,NA,NA,NA,NA,NA,NA
76,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",41,1113,41912,137,3569,47111,27333,62003,5681,630,9582,1153,803,3107,NA,3815,916,4596,545,525,1050,45,205,23,137,NA,NA,1,NA,NA,NA
77,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",931,406,39249,1,4643,42037,36683,56482,7149,1301,11554,2183,462,3027,11,6122,1201,1530,583,80,348,14,NA,29,15,NA,NA,NA,NA,NA,NA
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",897,567,34648,1,3970,38436,35248,50221,10350,993,10512,4775,411,5422,NA,14306,1326,1667,1216,271,383,27,19,291,84,NA,NA,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",894,186,41865,1,3825,43847,37650,50173,7326,2015,12561,2063,209,770,23,8235,2248,816,683,88,452,5,NA,99,NA,NA,7,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",811,628,41209,6,5119,45089,30843,61146,5989,460,13052,1571,1074,1521,NA,2420,521,3701,222,152,402,5,NA,4,95,NA,NA,NA,NA,NA,NA
81,"MIROC6","ssp245","ensembleMean","2061_2080",569,767,37021,25,4408,40859,30264,46915,13520,1323,11723,2721,551,5716,7,14739,1721,1435,675,168,677,31,187,19,NA,NA,NA,NA,NA,NA,NA
82,"MIROC6","ssp245","r1i1p1f1","2061_2080",509,774,36200,14,4120,42399,29426,54890,10181,994,12786,1714,505,3407,135,13164,1685,1409,667,148,614,34,250,14,NA,NA,NA,NA,NA,NA,NA
83,"MIROC6","ssp245","r2i1p1f1","2061_2080",656,704,35595,6,4248,37828,30980,40817,15538,1601,10200,4488,663,6838,NA,20581,2058,1132,817,287,713,29,199,27,35,NA,1,NA,NA,NA,NA
84,"MIROC6","ssp245","r3i1p1f1","2061_2080",659,789,39664,41,4997,41691,30163,44897,14957,1354,12334,3322,544,5685,20,9872,1390,2108,534,142,686,26,141,17,8,NA,NA,NA,NA,NA,NA
85,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",1147,498,33171,8,4722,36941,36167,49421,11339,1422,10184,4648,516,7008,24,14168,1045,1023,991,97,362,18,1106,NA,15,NA,NA,NA,NA,NA,NA
86,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",1225,840,33067,11,5217,35440,39610,45315,13770,1794,9614,5315,646,8584,16,10768,1106,1709,1039,210,601,27,99,NA,13,NA,NA,NA,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",1116,253,33248,6,4208,38772,33157,52389,9075,1109,10687,3769,426,5185,13,17663,1004,765,873,44,239,16,1982,32,9,NA,1,NA,NA,NA,NA
88,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",249,205,40827,6,3367,44296,33958,60188,4844,1376,8609,665,745,2789,9,9710,1758,835,657,141,421,6,9,2,303,NA,66,NA,NA,NA,NA
89,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",249,205,40827,6,3367,44296,33958,60188,4844,1376,8609,665,745,2789,9,9710,1758,835,657,141,421,6,9,2,303,NA,66,NA,NA,NA,NA
90,"ensembleMean","ssp245","ensembleMean","2061_2080",266,672,36899,8,3266,42217,30054,59063,9169,830,9363,2024,507,6124,11,10999,1325,1252,1044,278,587,40,7,11,22,NA,3,NA,NA,NA,NA
91,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",23,1275,22963,43,1713,40348,15290,65705,15883,98,5660,866,638,10064,NA,15721,774,2976,6894,3390,2679,93,1186,549,1141,NA,NA,47,22,NA,NA
92,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",16,1032,19397,22,2162,39084,15840,69243,17757,79,5679,978,532,11390,NA,14396,554,2332,6027,3782,2633,68,1402,641,915,NA,1,55,24,NA,NA
93,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",8,1191,19614,42,1902,41567,15285,65259,16825,41,5510,870,707,13921,NA,12955,576,3239,6676,3307,2693,100,1250,1017,1405,NA,NA,58,23,NA,NA
94,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",23,814,29488,21,1269,42454,15655,70180,16074,85,5248,295,653,8101,NA,10545,863,1209,3740,2363,2547,65,2682,138,1412,NA,69,43,4,NA,1
95,"EC-Earth3","ssp245","ensembleMean","2081_2100",42,1382,37358,167,2648,53109,17211,71385,6624,160,7584,453,979,5833,NA,3206,696,4092,663,877,1054,35,363,36,51,NA,6,22,NA,4,NA
96,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",62,1706,35597,125,2743,55346,16315,70346,6178,118,8531,620,1056,4118,NA,3786,614,5323,738,1078,1105,48,342,22,54,1,NA,58,NA,10,NA
97,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",30,1598,38001,183,3073,51351,16921,69291,8095,233,8478,666,1065,5158,NA,2979,666,4969,608,1080,1079,64,338,58,26,2,NA,13,NA,1,NA
98,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",16,1237,40543,110,1922,48913,18695,66580,8124,177,5284,487,1195,7071,NA,6982,936,3607,1410,1259,860,25,466,11,128,NA,NA,NA,NA,NA,NA
99,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",582,225,37986,2,3935,44172,31774,60591,7864,897,11382,1767,314,2993,NA,7424,1134,1007,1093,213,502,23,NA,124,NA,NA,37,NA,NA,NA,NA
100,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",365,404,42116,3,3255,45942,28210,63938,8463,756,10583,1060,399,2485,NA,3702,871,1237,898,466,592,30,10,193,NA,NA,63,NA,NA,NA,NA
101,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",833,125,39551,3,4156,45340,32570,60150,6612,848,12149,937,321,1630,23,7376,1196,637,998,65,390,5,NA,99,1,NA,26,NA,NA,NA,NA
102,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",627,135,38422,3,3624,44312,31429,57254,8671,925,11632,2506,195,3343,NA,8305,1330,944,1182,258,620,23,NA,235,NA,NA,66,NA,NA,NA,NA
103,"MIROC6","ssp245","ensembleMean","2081_2100",241,724,30952,38,3553,45249,23844,54102,14192,593,10384,1941,410,9769,NA,13057,1184,1498,1364,717,1213,47,320,41,515,NA,86,7,NA,NA,NA
104,"MIROC6","ssp245","r1i1p1f1","2081_2100",271,763,32533,25,2570,43285,20822,49527,19366,516,9938,1251,432,6170,1,18592,1374,1656,1626,907,1161,53,2653,139,393,NA,17,NA,NA,NA,NA
105,"MIROC6","ssp245","r2i1p1f1","2081_2100",197,675,35182,44,4025,45996,25511,56413,11599,646,11203,2018,425,9228,2,6776,984,1555,1342,447,1265,37,185,5,154,NA,103,24,NA,NA,NA
106,"MIROC6","ssp245","r3i1p1f1","2081_2100",260,661,28240,48,4204,45771,24204,54437,13040,660,10531,2669,433,9108,NA,14218,974,1404,1248,949,1333,51,198,35,1251,NA,100,14,NA,NA,NA
107,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",855,806,35371,39,3887,37731,33638,48348,12796,1755,9130,2165,872,5283,5,16365,1241,925,1231,70,666,12,2841,1,6,NA,NA,NA,NA,NA,NA
108,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",1031,746,35913,51,3131,36261,33408,41251,14919,1980,9656,2572,1099,5397,25,21819,1806,1112,1297,56,621,8,1877,5,NA,NA,NA,NA,NA,NA,NA
109,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",728,765,33169,23,4423,39377,33573,54266,10993,1443,8745,1904,766,4667,16,11940,883,925,1092,108,702,18,5480,NA,35,NA,NA,NA,NA,NA,NA
110,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",151,364,38430,18,3296,50870,27002,65760,4290,549,8516,269,591,3409,NA,7646,1103,1414,586,659,634,11,61,7,272,NA,129,NA,NA,4,NA
111,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",151,364,38430,18,3296,50870,27002,65760,4290,549,8516,269,591,3409,NA,7646,1103,1414,586,659,634,11,61,7,272,NA,129,NA,NA,4,NA
112,"ensembleMean","ssp245","ensembleMean","2081_2100",135,845,31891,27,2812,45028,24780,63951,10225,471,8429,1082,508,9417,NA,10549,1086,1317,1600,656,987,52,108,22,36,NA,24,3,NA,NA,NA
