"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CDF","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB","IGF","JPW","CMX","CRF","CWF","FG","GO","MGP","IWF","MDCH","MSSD","GBD","SGP","CCH"
1,"obs","obs",NA,"1961_1990",14632,455,40862,780,7596,24752,38667,11743,8709,2257,10070,5747,615,3,4852,22224,22077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",12277,465,41192,846,7044,25861,38281,11760,10850,2109,10416,6152,794,1,4597,21986,21216,141,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",5287,585,42913,298,4825,30393,41172,19990,15796,1404,10025,4017,802,45,1878,23060,12690,253,305,4,203,3,86,7,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",4864,735,42754,160,4734,30018,41352,21319,20883,1316,9917,7052,685,126,1190,16300,10514,542,762,4,322,9,390,86,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",5365,612,43599,187,4611,29168,40356,18701,15566,1665,10400,6613,583,23,1524,21836,13575,558,686,4,289,24,74,13,2,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",4917,748,42237,179,4919,30514,42874,22143,18691,1268,9984,4547,851,350,1374,18899,10366,323,344,3,340,8,161,NA,NA,NA,NA,NA,NA,NA,NA
7,"EC-Earth3","ssp245","ensembleMean","2001_2020",4292,453,42813,494,5506,29956,44123,21837,11372,3235,10191,4724,785,299,2093,22043,11469,167,102,1,83,2,1,NA,NA,NA,NA,NA,NA,NA,NA
8,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",4560,428,42975,683,5576,30056,43509,21592,10410,2942,10275,4109,723,126,2404,23621,11862,109,41,NA,37,NA,1,NA,2,NA,NA,NA,NA,NA,NA
9,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",4417,406,41688,281,5422,29540,45372,21283,13468,2981,9852,6469,781,131,1237,20797,11358,306,127,4,115,NA,2,NA,2,1,NA,NA,NA,NA,NA
10,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",3883,478,44792,748,4759,29630,42501,20133,11991,3112,10130,4126,782,178,2195,25333,11015,92,96,NA,61,1,1,1,3,NA,NA,NA,NA,NA,NA
11,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",8907,481,42043,811,5677,27324,37303,15921,9991,1719,10866,3626,647,3,3092,26400,21220,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
12,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",8759,385,43966,759,5355,27461,36398,15978,9084,1783,10963,3331,619,49,3408,27836,19889,NA,14,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
13,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",10800,466,40879,728,5981,26518,36276,15672,9127,1887,10821,4073,624,NA,3010,24871,24304,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",8189,534,42284,739,5633,27872,38829,16313,11184,1502,10618,3915,704,1,2955,26040,18645,15,29,1,37,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
15,"MIROC6","ssp245","ensembleMean","2001_2020",6836,561,42457,542,5984,29511,39384,19361,12858,1601,10695,3364,777,11,2285,25037,14460,123,71,2,93,NA,21,7,NA,NA,NA,NA,NA,NA,NA
16,"MIROC6","ssp245","r1i1p1f1","2001_2020",6515,584,42619,613,5918,29802,40711,20105,13278,1573,10669,3228,776,60,2119,24248,12932,102,49,2,75,NA,40,23,NA,NA,NA,NA,NA,NA,NA
17,"MIROC6","ssp245","r2i1p1f1","2001_2020",7166,555,42549,647,6035,28898,39860,18825,13262,1381,10865,3791,762,1,2339,24888,13904,132,77,2,82,1,17,2,NA,NA,NA,NA,NA,NA,NA
18,"MIROC6","ssp245","r3i1p1f1","2001_2020",6828,511,42757,356,5861,29887,37805,19300,12129,2053,10531,3086,774,34,2347,25341,16052,140,115,2,108,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
19,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",7756,532,42226,665,5880,27803,40254,17080,12837,1494,10719,3896,792,40,2864,24292,16712,96,46,1,40,NA,6,10,NA,NA,NA,NA,NA,NA,NA
20,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",7618,494,42842,727,5149,27348,40346,15527,11720,1740,10718,4393,778,80,3201,25789,17426,39,65,1,23,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
21,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",8205,535,41585,619,6679,28255,40209,19151,15051,1324,10800,4007,793,NA,1969,20983,15569,131,48,2,58,1,67,NA,NA,NA,NA,NA,NA,NA,NA
22,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",6281,378,40939,563,5717,29158,42825,18461,10167,3836,10611,4176,714,212,1941,25490,14346,100,68,1,54,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
23,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",6281,378,40939,563,5717,29158,42825,18461,10167,3836,10611,4176,714,212,1941,25490,14346,100,68,1,54,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
24,"ensembleMean","ssp245","ensembleMean","2001_2020",6414,505,42222,577,5475,29146,40394,18422,11804,1878,10700,3804,756,63,2461,25552,15622,105,66,1,72,NA,1,1,NA,NA,NA,NA,NA,NA,NA
25,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",1284,728,39298,18,3416,33848,40622,34604,19766,2302,8262,5810,796,4366,125,14767,2668,771,1449,51,541,12,494,42,1,NA,NA,NA,NA,NA,NA
26,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",1383,756,39404,17,3813,34559,40744,36558,22347,1849,7489,5028,918,4661,27,11440,2186,714,1034,88,791,13,197,25,NA,NA,NA,NA,NA,NA,NA
