"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","CMAun","CMAunp","CWHws2","ESSFdcw","ESSFdkp","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmkw","ESSFmm1","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFunp","ESSFwc2","ESSFwcw","ESSFwmp","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc3","ESSFxcp","ESSFxv1","ESSFxv2","ESSFxvp","ICHdw3","ICHmc1","ICHmc2","ICHmk2","IDFdk1","IDFxm","IMAun","IMAunp","MHmm2","MHmmp","SBSdk","SBSmc2","SBSwk1","SBSwk3"
1,"obs","obs",NA,"1961_1990",4451,706,1883,475,740,8,2,1,34,53,3,19998,2612,5925,6372,3227,2550,2,29,9,22,1719,116,1,8,14,16,2,2290,889,754,1,29,25,14,98,1,1219,1821,283,225,129,388,1,3732,1478,11524,49183,4,2511
2,"obs","obs",NA,"2001_2020",2342,537,1391,352,612,2,NA,1,17,30,NA,14479,1064,2874,3332,1810,856,NA,NA,1,1,413,39,1,NA,2,1,2,1691,477,405,1,22,NA,3,29,NA,542,1063,226,225,35,222,NA,3353,1125,9413,41110,2,116
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",678,264,391,114,490,NA,NA,NA,1,NA,NA,2795,49,539,43,110,3,NA,NA,NA,NA,70,NA,NA,NA,4,NA,NA,307,NA,NA,NA,NA,NA,NA,1,NA,103,1409,103,1,129,67,NA,1209,131,5317,18649,NA,35
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",323,358,234,57,136,NA,NA,NA,1,1,1,1514,47,385,1,15,6,NA,NA,NA,NA,21,NA,NA,NA,1,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,4,566,1,NA,NA,68,NA,1114,9,436,7129,NA,5
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",681,349,359,47,466,NA,NA,NA,1,NA,NA,3689,9,427,118,171,28,NA,6,1,NA,86,NA,NA,NA,4,NA,NA,242,NA,NA,NA,NA,NA,NA,1,NA,55,1149,104,13,108,66,NA,1409,129,5198,25771,NA,98
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",496,305,327,142,272,NA,NA,NA,1,1,NA,1495,83,591,NA,30,2,NA,NA,NA,NA,16,NA,NA,NA,4,NA,NA,223,1,NA,NA,NA,NA,NA,NA,NA,8,859,26,1,30,49,NA,1103,29,1896,11158,NA,23
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",1489,200,941,299,670,NA,NA,1,NA,4,NA,7575,402,1315,1044,620,103,NA,10,2,NA,215,3,NA,NA,14,10,2,1106,234,131,NA,NA,NA,NA,3,NA,357,1723,16,5,129,125,NA,2287,668,9464,35541,2,350
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1131,122,789,334,659,NA,NA,NA,NA,9,NA,4786,314,940,313,232,24,NA,6,NA,NA,77,2,NA,NA,14,10,1,960,220,75,NA,NA,NA,NA,2,NA,243,1740,2,4,129,121,NA,2152,583,8844,29451,1,99
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",1261,336,807,292,627,NA,NA,1,10,3,NA,7424,380,1031,708,681,50,NA,6,NA,NA,159,NA,NA,NA,7,6,NA,942,110,57,NA,NA,NA,NA,3,NA,267,1415,148,26,129,118,NA,2068,557,8488,34705,1,177
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1451,159,1007,265,706,NA,NA,1,NA,2,NA,5486,324,993,681,474,85,1,11,NA,NA,137,2,NA,NA,14,11,1,1073,352,144,NA,NA,NA,NA,3,NA,314,1764,1,NA,129,110,NA,2399,675,9242,31747,2,5
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",524,112,666,220,229,NA,NA,NA,NA,2,1,321,38,68,NA,2,NA,NA,4,NA,NA,7,NA,NA,NA,7,2,NA,382,19,NA,NA,NA,NA,NA,NA,NA,188,1785,NA,177,88,89,NA,1345,106,1707,4591,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",593,67,725,165,445,NA,NA,NA,NA,1,NA,449,32,116,NA,3,NA,NA,6,NA,NA,15,NA,NA,NA,7,2,NA,376,23,NA,NA,NA,NA,NA,NA,NA,293,1785,NA,160,95,71,NA,1386,114,2650,5343,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",465,456,496,199,14,NA,NA,NA,8,2,1,485,31,17,NA,1,NA,NA,NA,NA,NA,9,NA,NA,NA,5,3,NA,198,2,NA,NA,NA,NA,NA,NA,NA,88,1688,NA,170,9,96,NA,1137,55,1369,3796,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",413,77,570,127,247,NA,NA,NA,NA,2,NA,586,13,155,2,24,NA,NA,10,NA,NA,48,NA,NA,NA,6,1,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,244,1777,NA,39,128,95,NA,1139,61,4222,2800,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1595,310,980,283,675,NA,NA,1,5,10,NA,7458,351,1210,1246,778,107,NA,7,1,NA,348,5,1,NA,14,8,1,1075,254,124,NA,NA,NA,NA,12,NA,507,1768,8,37,129,132,NA,2238,698,10049,34093,1,580
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",1930,375,972,234,681,NA,NA,NA,10,14,NA,9873,610,1544,2598,1165,341,NA,6,2,NA,626,8,1,NA,14,11,NA,1294,282,180,NA,5,NA,NA,24,NA,548,1762,67,71,126,164,NA,2504,798,10271,36553,NA,927
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1401,368,859,381,652,NA,NA,NA,9,12,1,6020,294,857,325,484,27,NA,1,NA,NA,66,1,1,NA,13,5,1,1119,310,130,NA,2,NA,NA,NA,NA,325,1787,2,142,119,141,NA,2181,648,9436,28099,1,51
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1411,198,953,205,699,NA,NA,NA,NA,5,NA,6192,269,1054,840,590,50,NA,13,1,NA,409,4,NA,NA,14,11,NA,832,162,61,NA,NA,NA,NA,8,NA,599,1716,1,11,129,116,NA,2077,615,10029,32400,NA,692
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",1703,297,833,145,706,NA,NA,NA,NA,5,NA,10329,654,1858,2922,1309,368,NA,22,2,NA,367,1,NA,NA,14,12,NA,1165,144,117,NA,NA,NA,NA,15,1,477,1652,28,NA,129,134,NA,2670,708,9141,38153,1,749
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",1647,274,815,62,708,NA,NA,NA,NA,2,NA,9566,626,1806,2995,1219,340,NA,21,3,1,777,3,NA,1,9,10,NA,1034,89,72,NA,NA,NA,NA,12,1,462,1690,33,NA,129,140,NA,2546,657,8672,33411,NA,1187
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2187,401,932,124,732,NA,NA,NA,NA,9,NA,12960,1083,2870,4414,1883,770,NA,24,3,1,725,NA,NA,3,11,14,NA,1447,195,183,NA,NA,NA,1,23,1,485,1650,36,NA,124,160,NA,3141,810,9067,39242,NA,860
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1407,324,656,161,634,NA,NA,NA,1,3,NA,8153,318,967,1955,1016,247,NA,10,NA,NA,259,1,NA,NA,9,10,2,675,85,42,NA,NA,NA,NA,13,NA,101,1407,37,NA,129,132,NA,2389,493,7887,34411,1,13
23,"MIROC6","ssp245","ensembleMean","2001_2020",1061,280,667,372,647,NA,NA,NA,1,3,1,4728,297,822,62,357,1,NA,6,NA,NA,52,NA,NA,NA,7,NA,NA,825,79,29,NA,NA,NA,NA,2,NA,341,1747,4,37,129,92,NA,1720,419,7880,24757,NA,53
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",973,385,693,376,626,NA,NA,NA,5,3,1,4270,366,810,53,473,7,NA,2,NA,NA,1,NA,NA,NA,5,NA,NA,854,100,32,NA,NA,NA,NA,2,NA,271,1709,5,86,128,97,NA,1870,468,7013,16491,NA,11
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",1659,278,697,187,683,NA,NA,NA,2,2,NA,9615,417,1032,1412,1021,74,NA,20,3,1,264,NA,NA,NA,4,5,NA,721,83,24,NA,NA,2,1,28,NA,276,1244,268,117,101,74,NA,2219,413,8421,37511,NA,133
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",641,20,151,438,619,NA,NA,NA,3,1,1,834,223,277,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,8,NA,NA,581,73,NA,NA,NA,NA,NA,NA,NA,118,1785,NA,193,27,37,NA,1387,173,5737,5570,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1279,399,623,163,574,NA,NA,NA,13,3,1,7424,283,855,1221,871,105,NA,3,NA,NA,173,NA,NA,NA,6,2,NA,763,65,40,NA,NA,NA,NA,14,NA,161,1335,158,55,127,113,NA,2265,440,7752,34973,1,123
