"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","CMAun","CMAunp","CWHws2","ESSFdcw","ESSFdkp","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmkw","ESSFmm1","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFunp","ESSFwc2","ESSFwcw","ESSFwmp","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc3","ESSFxcp","ESSFxv1","ESSFxv2","ESSFxvp","ICHdw3","ICHmc1","ICHmc2","ICHmk2","IDFdk1","IDFxm","IMAun","IMAunp","MHmm2","MHmmp","SBSdk","SBSmc2","SBSwk1","SBSwk3","CWHds2","ESSFdc1","ESSFdc2","ESSFmwp","ESSFxcw","ICHmk3","ICHmw3","IDFdk2","IDFdk3","IDFdk4","MSdm2","MSxk2","MSxk3","SBSdw2","SBSmm","CMAun_WA","CWHms1","ESSFdh2","ESSFdk2","ESSFmh","ESSFmm3","ESSFmw1","ESSFmw2","ESSFwc3","ESSFwc4","ESSFwcp","ESSFwh1","ESSFwk1","ESSFwk2","ESSFwm2","ESSFxc2","ICHmk1","ICHmm","ICHmw1","ICHmw2","ICHmw5","ICHwk1","ICHxm1","IDFdc","IDFdk5","IDFdw","IDFmw2","IDFww","IDFxc","IDFxh2","MSdc1","MSdc3","MSdm1","SBSdh1","SBSdw3","SBSmh","SBSmk1","SBSmw","SBSwk2","ESSFdh1","ESSFmww","ESSFwh2","ESSFwmw","ICHdw4","ICHmk5","MSdk","MSdw","MSxk1","MSxv","ESSFabN","ESSFmm2","IMAab","SBSdh2","ESSFdv1","IDFxw","ICHwk3","ICHwk4","SBSdw1","ESSFwm1","ICHvc","SBSmc1","ICHwk2","ESSFdk1","ESSFwh3","ESSFwm_MT","ESSFwm3","ESSFwm4","ESSFxc1","ICHmk4","ESSFmv2","ICHvk1","ICHwc","CWHds1","ESSFvcp","ICHvk2","IDFxh1","SBSvk","ICHdm","ICHmw4","IDFdm2","BWBSwk1","ESSFvc","MHmm1","ESSFxh_WA","ESSFvh_ID","ICHdw1","ICHxw_WA","IMAun_MT","MHmm_WA","MSdm_WA","CWHms_WA","CWHvm_WA","ESSFmw_WA","ICHdw_ID","ICHxw","ICHxwa","MHms_WA","CWHws1","CWHvm2","CWHwm","ESSFvcw","IDFdm1","IDFww1","GOun_CO","CWHds_WA","IDFdh","IDFdh_UT","IDFxk","IDFxx1","PPxh1","CWHdm","CWHvm1","MSdh_UT"
1,"obs","obs",NA,"1961_1990",4451,706,1883,475,740,8,2,1,34,53,3,19998,2612,5925,6372,3227,2550,2,29,9,22,1719,116,1,8,14,16,2,2290,889,754,1,29,25,14,98,1,1219,1821,283,225,129,388,1,3732,1478,11524,49183,4,2511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",2556,675,2363,904,1207,24,18,5,31,118,16,19008,1463,4029,4298,2398,1575,NA,NA,1,20,687,296,16,NA,18,1,12,3042,1246,1291,3,90,3,11,37,1,1148,1687,1137,1503,545,336,5,6625,3039,15412,47100,9,646,30,22,31,4,1,1,5,307,380,8,121,1,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1110,489,833,289,12213,74,2,15,33,26,19,6356,494,1769,835,2142,1712,8,37,14,NA,80,14,42,3,1608,118,15,4575,598,917,1,3,1,9,35,584,2627,2806,13822,5938,3348,236,5,10469,2037,9709,25283,50,443,216,104,1197,1,NA,NA,427,768,NA,169,2974,NA,NA,NA,NA,6,215,51,8,1,11,2,3,2,8,38,12,40,12,5,44,432,1,194,24,1,444,13,932,16,57,204,42,25,105,115,3,15,6,3245,8,838,2,695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",587,1349,351,343,7678,289,39,38,202,70,54,4465,302,1175,888,1946,1746,2,29,3,NA,35,27,512,NA,907,68,47,3204,308,573,8,4,6,225,46,121,372,698,8838,15616,449,246,32,10201,1108,1237,12382,271,80,952,942,4591,29,1,NA,179,5465,NA,NA,16871,NA,NA,NA,5,575,307,611,49,635,10,51,83,NA,18,7,34,35,11,10,236,3063,NA,99,158,112,814,382,1086,1504,172,720,213,NA,1073,140,47,84,30,2472,NA,3292,NA,809,3,3,7,4,26,2,284,56,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",1162,778,709,117,9922,31,6,10,42,24,22,8155,574,1892,2019,2446,2209,6,73,26,NA,108,18,300,11,1450,71,19,3593,328,688,1,3,5,19,54,204,1083,1490,5969,6416,2338,234,3,10483,1692,9739,33859,167,673,542,97,802,3,NA,NA,361,480,NA,312,1938,NA,NA,7,NA,79,91,75,21,38,42,4,NA,NA,8,24,16,35,3,5,117,336,4,474,23,2,396,NA,345,293,337,432,78,1,184,79,6,14,16,4944,35,2260,NA,892,NA,NA,3,NA,NA,2,19,1,NA,2,1,3,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",799,748,691,547,9475,120,1,16,142,79,78,4229,346,1473,520,1861,1445,12,27,4,NA,18,8,104,NA,1842,120,NA,4194,556,716,1,3,2,72,58,393,1357,1443,18473,12811,3067,208,33,10892,1661,3546,17251,4,72,284,359,4082,11,1,NA,521,1159,NA,184,8793,NA,NA,NA,NA,196,436,453,9,200,3,16,112,NA,16,29,21,14,7,4,55,1367,NA,114,67,10,812,12,1791,38,70,771,33,8,681,157,43,23,14,1732,NA,560,NA,734,NA,2,3,1,NA,NA,NA,NA,5,3,NA,NA,NA,37,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",1835,233,1831,973,8131,105,6,19,5,30,NA,11019,921,2580,2119,1857,1461,NA,47,8,3,220,11,NA,NA,700,80,25,6373,1294,1626,NA,3,NA,NA,9,57,4260,3449,1156,560,1188,252,5,8897,3313,13582,41660,66,1133,14,48,53,2,NA,NA,6,362,2,NA,348,NA,NA,27,31,NA,18,NA,1,NA,5,NA,NA,NA,13,39,NA,75,8,6,NA,84,NA,8,NA,NA,67,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2642,NA,30,225,316,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1415,132,1851,1635,10128,214,3,18,6,41,NA,7579,631,1902,698,1131,939,1,24,3,9,78,6,NA,NA,1656,92,52,8485,1557,1657,NA,NA,NA,NA,7,244,7998,5285,3229,989,1206,277,20,9566,3785,12592,34151,126,252,8,87,163,6,NA,NA,63,611,35,NA,827,NA,NA,266,64,NA,17,NA,24,6,4,NA,1,4,27,66,NA,174,61,5,NA,70,NA,4,NA,NA,107,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2357,NA,1,324,432,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",1586,438,1566,1064,7862,100,15,14,22,53,17,11721,884,2537,1599,2116,1562,NA,24,5,NA,163,8,3,NA,603,83,13,4831,1007,1333,NA,3,NA,1,12,157,2924,2521,3210,2569,1757,265,26,10218,2938,13138,41545,16,754,42,103,584,5,1,NA,44,418,NA,4,734,NA,NA,6,10,NA,173,19,34,9,1,NA,4,NA,5,23,1,22,NA,1,NA,55,NA,38,NA,NA,63,NA,109,NA,NA,NA,NA,NA,NA,52,NA,9,NA,1508,NA,3,NA,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1803,185,2179,817,8843,146,3,23,1,27,NA,7980,641,1895,1460,1499,1041,6,31,6,42,138,8,1,NA,1480,44,25,8762,1788,1870,NA,NA,NA,NA,7,47,8579,4409,1025,192,789,222,1,9109,3986,12625,36093,351,481,74,50,NA,5,NA,NA,3,397,358,NA,268,NA,NA,964,27,NA,NA,NA,19,NA,3,NA,NA,8,12,37,NA,206,34,6,NA,22,1,1,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3357,4,9,605,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,18,2,NA,1,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
