"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",89562,49016,32889,1626,53576,112,13077,0,0,99017,0,97687,0,2110,555,6792,0,1822,1866,0,0,0,0,8268,0,1866,12736,0,0
2,"obs","obs",NA,"2001_2020",88268,47578,33543,364,53978,112,9694,0,0,95197,0,89693,0,1869,459,5476,0,1063,1676,0,0,0,0,8530,0,1676,12344,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",86177,39782,42353,293,52273,36,8183,0,0,77470,0,79361,0,1895,370,7466,0,1420,604,0,0,0,0,9603,0,686,11522,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",86558,39388,52593,305,45676,169,4248,0,0,74399,0,77802,0,1653,102,5701,0,721,557,0,0,0,0,6346,0,652,9378,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",86288,41620,40134,335,53586,104,7830,0,0,80375,0,80730,0,1888,352,6774,0,1226,704,0,0,0,0,9115,0,732,11539,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",85754,37088,48563,193,48024,165,5376,0,0,74821,0,79760,0,1809,204,6365,0,1126,552,0,0,0,0,7451,0,699,10218,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",86319,45812,33531,510,53281,2,10505,0,0,88398,0,86316,0,2051,502,7418,0,1724,1144,0,0,0,0,10427,0,1154,12828,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",84508,44362,35303,388,52825,2,10318,0,0,85782,0,83738,0,2052,494,7405,0,1740,1076,0,0,0,0,10803,0,1088,12708,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",86230,44975,35231,416,53193,13,9626,0,0,86325,0,85901,0,1984,470,7080,0,1415,1034,0,0,0,0,10246,0,1121,12834,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",84624,45050,34084,396,53323,0,10628,0,0,88036,0,83894,0,2078,530,7356,0,1764,1200,0,0,0,0,10749,0,1200,12909,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",84114,38180,47046,355,51428,88,9490,0,0,81932,0,78334,0,2140,172,7904,0,1785,672,0,0,0,0,8580,0,680,10238,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",83521,38296,44891,350,52338,80,9962,0,0,80010,0,77152,0,2072,334,8150,0,1785,693,0,0,0,0,9972,0,694,10965,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",88103,38676,52837,331,50228,104,6987,0,0,83081,0,75206,0,2051,10,7000,0,1693,568,0,0,0,0,4691,0,627,7430,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",83961,38303,47254,322,51906,20,9624,0,0,83791,0,75777,0,2012,185,7881,0,1778,570,0,0,0,0,7882,0,576,9386,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",87195,46028,33258,630,53990,18,11029,0,0,88777,0,86190,0,2047,506,7700,0,1768,1119,0,0,0,0,10280,0,1122,12408,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",88508,46606,31893,804,54330,36,11148,0,0,92283,0,89175,0,2045,511,7502,0,1762,1252,0,0,0,0,9476,0,1252,12310,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",85540,45215,35621,353,54342,71,10786,0,0,86731,0,82966,0,2043,489,7551,0,1787,1090,0,0,0,0,10373,0,1093,12467,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",86694,45359,33116,706,53709,6,11259,0,0,87495,0,85283,0,2024,524,7864,0,1716,1038,0,0,0,0,10683,0,1042,12290,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",86774,45377,31331,740,52008,0,10577,0,0,93036,0,91734,0,2037,530,7159,0,1652,1335,0,0,0,0,9566,0,1384,12969,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",88080,44076,30050,965,52887,0,11268,0,0,93127,0,90715,0,2009,531,7232,0,1690,1273,0,0,0,0,9275,0,1280,12596,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",87587,44811,28852,818,50939,0,10552,0,0,95801,0,96014,0,2020,549,6590,0,1650,1570,0,0,0,0,8922,0,1570,12853,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",86003,44083,35111,341,52993,0,9864,0,0,91531,0,89013,0,1983,476,6310,0,1410,1194,0,0,0,0,9420,0,1272,12436,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",85351,42128,37961,375,52180,18,10212,0,0,79180,0,80990,0,2034,485,8002,0,1747,860,0,0,0,0,11206,0,952,12751,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",82680,38505,39127,524,48119,43,10042,0,0,75053,0,80395,0,2014,470,7886,0,1709,935,0,0,0,0,10944,0,1034,13120,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",87175,44848,33138,426,53158,59,9248,0,0,88336,0,88639,0,1985,512,6640,0,1246,1110,0,0,0,0,10239,0,1234,12832,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",86033,39524,45038,312,53503,96,9454,0,0,73497,0,77622,0,2034,464,8200,0,1785,694,0,0,0,0,11166,0,720,11518,0,0
