"index","GCM","SSP","RUN","PERIOD","BAFA","CMA","CWH","ESSF","ICH","IDF","IMA","MH","SBS","MS","BWBS","GO","PP"
1,"obs","obs",NA,"1961_1990",5157,2358,740,46823,3324,354,389,5210,63222,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",3231,3267,1237,39815,3979,2743,341,9664,63172,128,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1599,1128,12644,23094,21375,11604,241,12506,40279,3107,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",1936,1269,8937,24588,14864,26298,278,11309,20578,17520,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",1940,905,10555,25500,10344,11216,238,12175,52645,2059,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",1547,1434,10195,23447,24569,20617,241,12553,23950,9024,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",2068,2804,8163,30772,9087,2155,257,12210,59712,349,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1547,3486,10153,27418,17006,2919,297,13351,50571,829,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",2024,2630,8077,29541,9012,4857,291,13156,57194,795,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1988,2996,8917,29309,14161,1736,223,13095,54884,268,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",734,2248,13383,22471,45358,5767,269,13116,20511,3720,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",791,2084,16673,20220,46201,4197,196,13469,22238,1508,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1164,1869,4725,30298,31687,19711,389,10945,16045,10744,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",656,1430,11239,22580,43014,5626,264,12231,26778,3759,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",2307,2541,8594,30812,8784,1915,252,10993,60886,493,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2849,2100,5477,35275,5499,1606,300,9049,65307,115,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",2066,3607,9077,28581,16418,4045,352,12631,49706,1094,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",2045,2137,10399,28631,10078,1413,254,11488,60727,405,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2754,1772,4434,38409,5389,905,347,9925,63464,178,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",2618,1601,4777,36854,4436,998,376,9108,66487,322,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",3448,1831,2436,43507,3939,393,425,8013,63461,124,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",2562,1468,5075,37445,5481,2126,397,10226,62271,526,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",1637,3748,13709,22918,18995,7109,218,14226,43429,1588,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1668,4112,16343,23726,26574,8259,339,15400,28158,2998,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",2861,1905,6665,31208,4210,3848,216,12155,64324,185,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",774,6099,19583,17799,43270,10536,349,10984,15821,2362,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",2524,1616,6289,33267,9558,4777,326,11253,57090,877,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",3153,761,3875,38123,3314,4468,463,8101,64006,1313,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",1713,3388,11853,26172,18439,7618,290,14192,42123,1789,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1369,1784,11555,30404,9891,4278,501,12572,51377,3846,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1369,1784,11555,30404,9891,4278,501,12572,51377,3846,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1831,1914,10826,27422,14753,4117,279,12748,52388,1299,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",337,1211,7041,16141,50017,20848,115,9733,8390,13744,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",119,2108,11506,11853,40579,28458,91,8338,2434,22091,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",280,1235,11829,14658,42263,21182,109,11271,4864,19886,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",69,957,10845,14445,70065,16361,145,9030,1992,3668,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",461,2808,21429,16220,53924,9352,119,14165,1731,7368,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",584,2224,17978,18426,45463,12130,172,13482,7663,9455,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",875,1581,14399,19879,45532,13445,163,13940,8785,8978,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",579,4561,28792,16144,49925,7155,119,14937,1103,4262,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",53,1905,11751,15273,68093,11781,139,9557,2915,6110,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",556,1727,12740,21679,43145,17650,216,14006,9451,6407,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",16,1312,7555,15675,76092,12696,90,7830,2762,3549,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",88,1908,14187,14763,60988,12138,170,11025,2714,9596,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",433,2583,21616,13680,56848,10292,102,13175,858,7976,14,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",567,1894,20319,13743,57371,12584,90,13048,474,7487,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",415,3077,23087,14394,55740,7088,137,12339,5724,5550,26,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",362,2945,20394,14392,54448,10358,147,13599,344,10555,33,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",307,2156,36052,12245,56261,4703,31,14617,250,829,126,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",205,3136,29729,10455,55111,6167,41,13192,47,9478,16,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",312,2015,32643,14443,58482,3422,75,14674,943,132,436,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",446,2304,28876,15861,59748,2464,83,15545,1754,322,174,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",619,2291,21392,14525,47691,10543,127,14778,5070,10541,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",1135,1510,19978,16381,46541,10369,135,14471,10348,6709,NA,NA,NA
