"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",74881,8898,6629,370,32041,0,7208,0,5762,51855,0,52759,0,556,555,5086,0,0,1866,0,0,0,0,4102,0,1866,10658,0,0
2,"obs","obs",NA,"2001_2020",74052,13098,11133,618,33342,230,9835,0,7706,51577,0,50246,0,924,920,7171,15,3,3312,0,0,0,0,7228,0,3312,13092,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",81377,20303,38737,6343,29262,1418,21631,0,4854,49153,0,45978,0,10661,9375,20046,129,1070,5234,0,0,0,0,16739,0,5234,21739,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",85726,27498,52282,4575,17169,5677,12854,0,618,50586,0,48909,0,8994,6388,14314,582,1286,5100,0,0,0,0,14324,0,5102,18048,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",79359,15705,30366,5316,28558,844,15221,0,4870,49592,0,44410,0,8854,7758,16624,310,1158,5242,0,0,0,0,15512,0,5242,20597,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",83700,25328,50119,5114,24470,2631,19754,0,1773,52088,0,50403,0,9383,7466,17085,158,1547,5446,0,0,0,0,16028,0,5447,20116,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",75779,11516,15974,4082,32427,304,13357,0,6791,48666,0,48218,0,6244,6114,17658,7,71,4448,0,0,0,0,12976,0,4448,20345,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",76344,12528,19636,5076,32378,518,16129,0,6296,46063,0,48491,0,7911,7608,23362,4,210,4783,0,0,0,0,14643,0,4783,22641,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",76039,13624,18991,4038,32040,400,13913,0,6569,49119,0,48162,0,6218,6004,16317,21,186,5109,0,0,0,0,14281,0,5109,20019,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",75224,10458,16807,4458,32597,298,13634,0,6312,46149,0,48450,0,6750,6669,22159,37,47,4554,0,0,0,0,13530,0,4554,22294,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",85130,17976,41587,6692,30691,3186,26499,0,948,47425,0,51899,0,11466,9907,29918,259,973,4562,0,0,0,0,15563,0,4562,22494,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",84421,14958,38572,8336,31563,1892,27555,0,1571,42772,0,48762,0,13299,12360,34798,290,645,4603,0,0,0,0,17252,0,4603,24813,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",90279,28185,51652,2362,22872,11653,18827,0,689,55370,0,55837,0,5901,3441,15355,134,1520,3990,0,0,0,0,10379,0,4007,14718,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",86874,20710,46864,5620,30905,2366,26776,0,2628,52101,0,49554,0,10680,8288,25463,273,1790,4438,0,0,0,0,14229,0,4438,19930,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",76775,12592,16311,4297,32751,168,14102,0,7728,48634,0,47289,0,6559,6444,17754,0,92,3931,0,0,0,0,12160,0,3931,19750,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",76700,12796,13440,2738,32885,76,12463,0,8150,51534,0,47857,0,4205,4108,12396,0,98,3337,0,0,0,0,9412,0,3337,16803,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",76339,14175,18569,4538,32266,517,16171,0,7476,44617,0,47739,0,6926,6807,23144,0,84,4622,0,0,0,0,13801,0,4622,21914,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",77724,11761,17706,5200,32278,133,14570,0,7288,48189,0,46350,0,8064,7798,19770,0,244,4056,0,0,0,0,13312,0,4056,20430,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",75471,8137,11423,2217,30351,24,8940,0,5030,52955,0,50146,0,3472,3300,11389,2,179,3890,0,0,0,0,10020,0,3890,17514,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",77378,8050,13200,2388,27655,0,9153,0,5110,53596,0,46137,0,3868,3579,10747,1,343,3542,0,0,0,0,9476,0,3542,16465,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",75791,7412,7194,1218,29344,0,7359,0,4758,53797,0,50860,0,1935,1827,8122,0,110,3133,0,0,0,0,7484,0,3133,15290,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",76562,8464,15469,2540,31741,392,9238,0,4458,52343,0,49771,0,4103,3757,11778,24,273,4236,0,0,0,0,11026,0,4236,18000,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",78630,17054,28823,6854,30772,928,20895,0,6126,45075,0,45112,0,10743,10235,23944,0,446,5448,0,0,0,0,17799,0,5448,23910,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",79454,18567,33715,8172,27620,1031,24146,0,4624,42678,0,46090,0,13279,12199,28684,14,918,6040,0,0,0,0,20306,0,6040,27060,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",76094,10909,15118,3332,31902,138,11140,0,6074,51211,0,47210,0,5140,4921,12417,26,294,5229,0,0,0,0,13829,0,5229,17792,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",85357,20371,39029,9792,30693,2956,31752,0,4066,36812,0,45150,0,14805,14674,37773,0,141,4276,0,0,0,0,18366,0,4277,27165,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",77199,12646,19499,3156,31781,420,12482,0,5346,51771,0,50330,0,4997,4671,13620,48,285,4628,0,0,0,0,12393,0,4628,18642,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",79208,9823,16680,1970,31144,978,8378,0,4748,52226,0,46460,0,3108,2809,8424,226,236,3617,0,0,0,0,8978,0,3617,14759,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",77499,16386,26444,5926,30361,852,19015,0,5522,45477,0,47453,0,9430,8832,22508,0,525,5698,0,0,0,0,17385,0,5699,23515,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",84484,12565,29350,5778,27006,1207,14023,0,3892,54079,0,45332,0,9379,8620,18005,21,538,4846,0,0,0,0,15492,0,4846,19897,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",84484,12565,29350,5778,27006,1207,14023,0,3892,54079,0,45332,0,9379,8620,18005,21,538,4846,0,0,0,0,15492,0,4846,19897,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",78567,14310,24726,5413,31342,487,16958,0,6004,48865,0,47565,0,8522,8077,20220,10,369,4892,0,0,0,0,15226,0,4892,21552,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",89732,39283,75059,3632,25861,14512,28841,0,0,48264,0,45863,0,22798,4789,15858,374,13085,4374,0,0,0,0,12403,0,4385,12463,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",89570,37366,73038,5864,17202,11337,25875,0,0,43440,0,45208,0,17989,7724,19910,116,8913,3978,0,0,0,0,14822,0,4059,13967,0,0
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",89866,35898,75523,5992,19505,11794,27037,0,0,51868,0,49245,0,20967,8372,19654,161,10386,5184,0,0,0,0,16662,0,5184,16938,0,0
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",87848,34037,63497,5444,35399,16356,41861,0,0,32427,0,41922,0,23755,7926,27333,210,11506,3563,0,0,0,0,12456,0,3566,13477,0,0
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",93144,28540,60983,10714,30739,6704,38617,0,122,50842,0,52202,0,17848,15878,31919,358,1296,5352,0,0,0,0,21084,0,5352,26706,0,0
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",94118,30411,63218,8989,28246,5860,33979,0,386,55261,0,51301,0,16038,13356,24388,214,1575,5238,0,0,0,0,19276,0,5238,23197,0,0
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",91117,30009,60429,7200,28224,5453,31414,0,906,54425,0,53638,0,12339,10520,24036,506,1293,5464,0,0,0,0,17666,0,5464,23012,0,0
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",90011,21325,51401,14396,28173,5051,38021,0,464,41764,0,47571,0,21885,21477,42483,192,299,5638,0,0,0,0,25506,0,5638,33862,0,0
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",85730,31338,55175,5876,39358,19664,40935,0,0,25280,0,41377,0,22928,8740,31412,64,9967,3827,0,0,0,0,13533,0,3827,15484,0,0
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",91394,30568,57649,6370,29415,15136,29052,0,0,46904,0,48218,0,15915,9125,22568,847,2845,5327,0,0,0,0,16194,0,5328,18674,0,0
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",79959,41402,71094,3780,41339,27729,42960,0,0,24674,0,33884,0,27328,5497,19462,74,15271,3286,0,0,0,0,10466,0,3303,10786,0,0
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",85473,31599,57885,7094,35915,20528,37303,0,0,28453,0,42036,0,22928,10536,31494,156,7933,4454,0,0,0,0,15896,0,4454,18296,0,0
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",92458,26338,56710,10808,30668,5392,38109,0,250,44834,0,50983,0,18180,16102,36083,96,1355,5064,0,0,0,0,20926,0,5064,26436,0,0
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",91957,27085,57483,10160,30805,6985,37625,0,118,43710,0,50420,0,17457,15021,34937,372,1561,5044,0,0,0,0,19940,0,5044,25060,0,0
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",90921,22792,47739,11544,31712,2296,38397,0,2451,39996,0,48877,0,18917,17293,41106,4,800,4604,0,0,0,0,20770,0,4604,27403,0,0
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",92768,29784,62915,10197,30281,7581,37210,0,0,49936,0,52192,0,17714,15043,31447,194,2162,5526,0,0,0,0,21299,0,5527,25627,0,0
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",91579,14118,44780,18026,26563,3135,42179,0,36,27376,0,41157,0,31777,26839,53177,365,4442,5312,0,0,0,0,28302,0,5312,33945,0,0
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",94251,23798,59233,14864,28385,4970,41290,0,0,39721,0,45919,0,27779,22184,42635,57,5554,5474,0,0,0,0,25840,0,5474,30302,0,0
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",89205,10106,35723,16322,28543,2112,39372,0,165,26455,0,44383,0,27870,24405,54931,155,2823,4988,0,0,0,0,26144,0,4990,32153,0,0
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",86572,8776,31945,14438,30781,1317,33438,0,290,27750,0,47536,0,23314,21572,54150,171,1514,5276,0,0,0,0,24818,0,5276,31810,0,0
53,"MIROC6","ssp245","ensembleMean","2021_2040",92439,30491,65314,10700,28522,8777,36109,0,0,50082,0,48683,0,20724,15304,28198,1216,3537,6038,0,0,0,0,21729,0,6038,24528,0,0
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",88932,24560,56027,9990,29129,3730,33536,0,246,49896,0,49074,0,17373,14618,29482,608,1941,5846,0,0,0,0,21135,0,5846,25224,0,0
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",87150,33333,74923,12524,28439,15756,36313,0,0,42412,0,41576,0,26966,16874,27452,3280,6538,6402,0,0,0,0,22344,0,6403,23941,0,0
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",93078,31160,62494,10052,27087,10651,34538,0,0,49051,0,48192,0,21671,14800,27145,346,3633,5482,0,0,0,0,20795,0,5482,23162,0,0
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",88078,27783,55961,6526,24886,3507,25040,0,1804,55085,0,50132,0,11633,9575,18969,183,923,5340,0,0,0,0,17148,0,5340,20849,0,0
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",83645,18512,37593,5974,26792,1301,18121,0,3320,53325,0,46781,0,10838,8783,17883,162,1572,5080,0,0,0,0,16028,0,5080,20471,0,0
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",91849,32334,65196,6824,26022,6282,29738,0,254,56193,0,52940,0,12027,9998,20219,136,814,5290,0,0,0,0,17536,0,5291,20584,0,0
