"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",89562,49016,32889,1626,53576,112,13077,0,0,99017,0,97687,0,2110,555,6792,0,1822,1866,0,0,0,0,8268,0,1866,12736,0,0
2,"obs","obs",NA,"2001_2020",90724,50810,36692,950,57284,905,15578,0,0,98818,0,91063,0,2957,928,8902,15,1690,3312,0,0,0,0,10566,0,3312,15122,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",92449,46406,49962,7428,59030,3457,33005,0,0,87292,0,83641,0,22914,9429,26841,129,3826,5234,0,0,0,0,24607,0,5346,22038,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",93819,47990,63749,7840,51972,11358,23812,0,0,85965,0,85144,0,19151,6626,18454,582,2322,5100,0,0,0,0,19194,0,5264,18280,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",92929,48388,47691,6670,60623,3587,26725,0,0,90443,0,85537,0,15107,7894,21269,310,2635,5242,0,0,0,0,22234,0,5291,21328,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",92190,44712,57883,6828,54531,7507,28803,0,0,85486,0,85611,0,25010,7537,22171,158,3033,5446,0,0,0,0,21802,0,5673,20221,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",90814,50067,37909,4998,58182,461,23653,0,0,94779,0,88625,0,9689,6118,23622,7,3520,4448,0,0,0,0,20231,0,4464,21121,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",89389,48541,40056,5678,58029,800,29510,0,0,93028,0,86182,0,14172,7610,32800,4,5498,4783,0,0,0,0,24056,0,4805,22704,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",90817,49596,39999,4597,58219,1494,22050,0,0,93197,0,88381,0,10411,6014,21233,21,2686,5109,0,0,0,0,20476,0,5198,20876,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",89260,49042,38707,5254,58364,294,28329,0,0,94653,0,86103,0,10804,6688,30935,37,4456,4554,0,0,0,0,22972,0,4560,22591,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",90910,44727,55451,9638,59091,2542,51181,0,0,93730,0,83706,0,35989,10037,46415,259,12079,4562,0,0,0,0,27492,0,4684,22438,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",90227,43498,52166,10052,59544,1612,53934,0,0,91201,0,81861,0,35817,12505,52490,290,12350,4603,0,0,0,0,32202,0,4629,24724,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",94817,50014,65090,7930,59704,9845,33109,0,0,96438,0,81598,0,28463,3508,27881,134,10323,3990,0,0,0,0,14372,0,4355,14950,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",90500,45975,57771,8926,61780,2072,53113,0,0,95778,0,80832,0,33926,8425,39567,273,9946,4438,0,0,0,0,24230,0,4559,20172,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",91895,50686,37682,5651,59131,398,25446,0,0,95351,0,88108,0,9549,6444,23973,0,3467,3931,0,0,0,0,19879,0,3938,20404,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",93012,51404,36038,4970,59523,277,22500,0,0,98313,0,90985,0,6488,4108,16293,0,2713,3337,0,0,0,0,15467,0,3342,18115,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",90346,49199,40104,4843,58932,1562,29246,0,0,93683,0,84903,0,12776,6807,32935,0,6494,4622,0,0,0,0,22812,0,4628,21691,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",91592,50379,37872,6962,59382,183,27971,0,0,94650,0,87598,0,11032,7798,27011,0,3448,4056,0,0,0,0,22355,0,4065,21178,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",90929,48904,34828,4721,56002,42,19062,0,0,98892,0,95190,0,5726,3301,14814,2,2431,3890,0,0,0,0,16383,0,3940,19502,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",92607,48499,33980,7547,57914,0,23406,0,0,99432,0,93649,0,5920,3579,13880,1,2540,3542,0,0,0,0,15672,0,3551,18576,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",90828,47256,31286,4964,53625,0,16854,0,0,100230,0,99625,0,3741,1827,10463,0,2104,3133,0,0,0,0,13540,0,3133,17874,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",90619,48351,39928,3344,57515,554,21897,0,0,98645,0,93205,0,6866,3768,14998,24,2332,4236,0,0,0,0,16574,0,4321,19469,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",90277,46429,43148,7049,56982,2193,31233,0,0,86782,0,83371,0,20304,10235,32715,0,5252,5448,0,0,0,0,27022,0,5542,23982,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",87258,41483,43348,8284,51608,3035,35015,0,0,82354,0,83449,0,26657,12206,40434,14,7650,6040,0,0,0,0,31566,0,6142,26894,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",92003,49988,38307,4794,58652,687,19562,0,0,95728,0,91317,0,7301,4934,15413,26,1631,5229,0,0,0,0,19373,0,5358,19312,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",93036,43645,50517,10042,58761,4708,48768,0,0,83242,0,80933,0,38124,14674,56093,0,16424,4276,0,0,0,0,33251,0,4307,25634,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",92029,49293,41348,3714,57972,1520,21255,0,0,95710,0,91108,0,9898,4690,17589,48,2242,4628,0,0,0,0,18221,0,4688,19706,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",93705,49465,43180,3410,60486,1658,23908,0,0,99970,0,92496,0,4976,2906,10688,226,1492,3617,0,0,0,0,13714,0,3622,16404,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",89067,45812,42359,6204,55666,2524,28290,0,0,87234,0,86194,0,18515,8832,30856,0,5164,5698,0,0,0,0,25956,0,5816,23637,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",89754,42744,45220,7008,56183,2028,36734,0,0,94446,0,87272,0,15134,8631,23865,21,3444,4846,0,0,0,0,22210,0,5038,20738,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",89754,42744,45220,7008,56183,2028,36734,0,0,94446,0,87272,0,15134,8631,23865,21,3444,4846,0,0,0,0,22210,0,5038,20738,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",90922,48479,42548,6062,58447,1318,29261,0,0,92373,0,86270,0,15436,8082,27300,10,3986,4892,0,0,0,0,23351,0,4974,22031,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",85560,59245,82582,18914,62310,8189,50862,0,0,92966,0,78895,2,55332,4923,37350,374,19607,4374,0,0,0,0,15253,0,5334,12781,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",88994,52868,81257,10134,52019,13782,39523,0,0,84275,0,77047,5,42552,7728,37701,118,17359,3978,0,0,0,0,19900,0,5962,13861,0,0
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",84821,50063,73636,14095,48113,7550,43225,0,0,87768,0,82096,4,47557,8416,35290,163,13909,5184,0,0,0,0,21810,0,6173,16949,0,0
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",87645,62631,79220,20012,73755,9211,60180,0,0,89098,0,77326,0,69228,8032,64740,210,40280,3563,0,0,0,0,18000,0,4152,14054,0,0
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",92185,41740,59427,12455,50575,4558,52098,0,0,82588,0,85128,0,51864,16058,46503,358,11234,5352,0,0,0,0,33646,0,5386,26685,0,0
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",92310,42151,61511,11496,50316,5732,48540,0,0,84213,0,85380,0,45725,13463,35076,214,6904,5238,0,0,0,0,28956,0,5296,23603,0,0
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",92689,43434,61895,9043,52267,6289,44774,0,0,86315,0,83975,0,40510,10773,34233,506,6578,5464,0,0,0,0,26547,0,5532,23164,0,0
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",89306,35363,48774,14694,46097,3281,52707,0,0,75215,0,84100,0,50432,21573,60083,192,11797,5638,0,0,0,0,43944,0,5680,33027,0,0
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",90766,66369,74148,21924,77199,6837,59556,0,0,89637,0,81287,0,68002,8772,75226,64,47111,3827,0,0,0,0,20720,0,4407,15761,0,0
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",91795,52107,69198,16961,65078,9019,46399,0,0,89226,0,81173,0,48494,9548,42126,847,18017,5327,0,0,0,0,22402,0,5375,19591,0,0
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",85252,73136,83617,28320,79108,7814,65313,0,0,83899,0,74934,4,77782,5534,68095,74,44119,3286,0,0,0,0,14449,0,4226,11360,0,0
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",91951,63193,72055,20500,72962,6804,55630,0,0,86974,0,81445,0,63635,10614,67852,156,39349,4454,0,0,0,0,23924,0,4632,18552,0,0
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",92840,43674,60138,12035,52895,4958,54101,0,0,83073,0,85200,0,51392,16150,54245,96,15572,5064,0,0,0,0,35440,0,5204,26183,0,0
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",92880,45312,63362,12076,55825,6422,53800,0,0,83456,0,83561,0,51791,15207,53673,372,16930,5044,0,0,0,0,33384,0,5135,24934,0,0
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",93443,44299,54865,12676,56011,3123,57345,0,0,84419,0,84915,0,49706,17295,62398,4,19416,4604,0,0,0,0,37587,0,4658,26893,0,0
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",91600,43870,62151,12232,50591,4784,52045,0,0,83367,0,84495,0,51520,15140,47109,194,12010,5526,0,0,0,0,33907,0,5852,25372,0,0
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",88278,37130,47890,19025,50262,1710,60992,0,0,72978,0,85097,0,61428,27022,83133,365,25992,5312,0,0,0,0,51436,0,5347,34122,0,0
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",90827,41716,55648,16230,48686,1621,57600,0,0,78382,0,86721,0,60026,22213,65561,57,20184,5474,0,0,0,0,43621,0,5646,29899,0,0
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",87699,38266,46388,17236,53543,1278,61035,0,0,77669,0,86858,0,57484,24482,86263,155,28955,4988,0,0,0,0,49662,0,4990,32606,0,0
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",85142,36921,43917,15210,52227,581,60750,0,0,80426,0,87168,0,47871,21657,84559,171,20848,5276,0,0,0,0,51241,0,5278,32148,0,0
53,"MIROC6","ssp245","ensembleMean","2021_2040",89095,45144,64604,16082,50365,4906,51890,0,0,82180,0,83078,0,53364,15910,43808,1216,12495,6038,0,0,0,0,31740,0,6315,24910,0,0
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",86604,39932,58793,12223,50932,3993,52224,0,0,82425,0,85908,0,45976,14922,42107,608,9668,5846,0,0,0,0,32565,0,5974,25591,0,0
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",84448,50548,72184,24590,52607,5224,56080,0,0,75740,0,74159,15,63556,18509,46209,3288,14025,6402,0,0,0,0,31681,0,6875,23902,0,0
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",90290,47122,62689,17105,51848,5986,48167,0,0,83294,0,84242,1,51980,14973,44827,346,13934,5482,0,0,0,0,30857,0,5748,23887,0,0
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",91442,43644,59356,8715,51928,6272,39505,0,0,85814,0,84172,0,31667,9659,25341,183,3507,5340,0,0,0,0,24067,0,5567,21126,0,0
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",91726,45185,52193,8010,57163,3377,35657,0,0,88999,0,86827,0,21301,8843,22956,162,3452,5080,0,0,0,0,22593,0,5203,21090,0,0
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",92985,44386,65638,9000,50825,8349,42177,0,0,85257,0,83996,0,39666,10062,28268,136,5677,5290,0,0,0,0,24583,0,5628,20521,0,0
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",85876,64731,75252,22506,65884,6115,50729,0,0,96581,0,86695,205,56314,3348,52317,174,32751,4342,0,0,0,0,13252,0,5520,11540,0,0
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",85876,64731,75252,22506,65884,6115,50729,0,0,96581,0,86695,205,56314,3348,52317,174,32751,4342,0,0,0,0,13252,0,5520,11540,0,0
62,"ensembleMean","ssp245","ensembleMean","2021_2040",90558,47529,67049,13936,54950,6176,52712,0,0,86173,0,84007,0,53923,13030,43497,400,15260,5120,0,0,0,0,27788,0,5384,21966,0,0
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",67107,75843,98440,34636,74082,15205,77140,0,0,67166,0,56924,3834,95394,5247,78959,575,49871,2363,0,0,0,0,12527,164,6280,6505,0,0
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",61929,75520,102362,32177,54268,34438,68699,0,0,57395,0,51036,15272,88381,4550,79958,1810,45498,1266,0,0,0,0,12000,1375,7201,5401,0,0
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",57286,77413,99432,32648,72498,21878,81746,0,0,56768,0,49388,8030,100145,6362,88006,586,56168,2032,0,0,0,0,13340,315,5866,6844,0,0
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",65061,77167,98395,37162,65078,22118,73467,0,0,64696,0,58453,9996,95054,5041,86737,690,52699,1718,0,0,0,0,12937,1032,7923,5732,0,0
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",85715,54548,68116,20878,66444,4631,62346,0,0,86798,0,82754,0,67943,13847,72642,554,38124,4629,0,0,0,0,28475,0,4750,20724,0,0
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",85954,44758,64830,15010,59964,3208,62352,0,0,88423,0,86086,0,59814,14227,57436,526,23026,4974,0,0,0,0,30218,0,5041,22814,0,0
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",84049,43122,70149,12965,74141,1130,65608,0,0,92598,0,79085,17,29079,7311,31849,1302,10144,4918,0,0,0,0,17736,0,5102,16466,0,0
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",90536,54225,64706,17324,66730,4902,61619,0,0,85443,0,83020,0,63328,16382,79297,395,38808,4565,0,0,0,0,34602,0,4626,23061,0,0
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",77404,72899,81854,31515,79702,3664,85450,0,0,73609,0,70945,24,92842,9223,99728,0,56939,3102,0,0,0,0,22770,0,3898,12769,0,0
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",77854,73300,79939,34218,76551,2562,78784,0,0,74432,0,73412,39,93118,7634,92527,4,57344,3254,0,0,0,0,17850,0,4943,11917,0,0
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",85894,66310,77545,22802,77988,3579,83839,0,0,76140,0,72785,0,86532,14145,100636,16,54515,3774,0,0,0,0,31134,0,3456,16948,0,0
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",84612,72228,80640,24782,83454,2824,83329,0,0,81579,0,74848,43,86241,8248,98870,0,59778,2952,0,0,0,0,21714,0,3830,11896,0,0
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",91104,55524,68077,18383,62898,4098,62302,0,0,83574,0,81048,68,67025,16141,73805,196,38356,4548,0,0,0,0,33578,0,5137,21760,0,0
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",91314,55072,69455,17804,64165,5118,62251,0,0,77081,0,76170,103,64145,17161,72786,340,35266,4779,0,0,0,0,36192,0,5788,22119,0,0
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",90418,54518,69274,16146,66029,5949,61419,0,0,87133,0,81799,0,64973,13802,69544,132,35988,4476,0,0,0,0,29774,0,4667,21302,0,0
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",88966,55781,66365,20787,60973,3058,61815,0,0,83790,0,83148,86,69671,16266,80678,172,43360,4551,0,0,0,0,33198,0,5322,21429,0,0
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",88253,48730,57395,16671,65593,264,70384,0,0,85089,0,85130,0,67796,20481,100792,5,46540,4835,0,0,0,0,45195,0,4817,27042,0,0
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",88079,52795,64669,20569,60718,2260,65098,0,0,84739,0,84806,2,72673,17492,82488,83,41494,4230,0,0,0,0,34425,0,4261,22317,0,0
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",85322,31470,71433,16479,72155,504,61073,0,0,90252,0,87219,0,62791,16648,83914,190,23562,5606,0,0,0,0,34118,0,5607,24510,0,0
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",91604,52008,54405,13463,71859,210,73394,0,0,92977,0,89134,0,51531,16916,109134,0,41227,5009,0,0,0,0,50534,0,4966,25360,0,0
83,"MIROC6","ssp245","ensembleMean","2041_2060",87232,51759,70308,19719,54490,3325,59843,0,0,78868,0,76094,182,68575,16426,62308,738,31191,5378,0,0,0,0,32551,0,6396,22508,0,0
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",91189,54267,64737,20196,64705,3241,67757,0,0,78475,0,79780,66,71417,19677,88956,530,44868,4576,0,0,0,0,38608,0,4900,23821,0,0
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",86988,56762,77990,22325,57521,6185,54297,0,0,78436,0,71156,225,64260,12836,47944,572,22815,5046,0,0,0,0,28061,0,7502,18213,0,0
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",79248,39820,67634,18194,44495,3598,46658,0,0,80295,0,80679,2,49851,16683,49264,913,13227,5924,0,0,0,0,32784,1,6916,22918,0,0
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",88747,43881,60608,17309,49187,3318,57129,0,0,76251,0,82006,46,59843,21213,61563,1056,22008,5580,0,0,0,0,39820,0,5951,27469,0,0
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",86566,37142,51563,21726,49144,2330,60972,0,0,67350,0,80478,2,65584,29427,82711,1432,31065,5894,0,0,0,0,50396,0,6052,34819,0,0
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",88314,56198,70680,18171,55863,6376,48277,0,0,88728,0,83364,13,54092,9917,49107,186,24295,5257,0,0,0,0,24588,0,6306,18419,0,0
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",82201,61610,65139,26126,77347,559,74559,0,0,99392,0,91227,0,70104,10374,104420,0,54231,4164,0,0,0,0,30565,0,4355,16363,0,0
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",82201,61610,65139,26126,77347,559,74559,0,0,99392,0,91227,0,70104,10374,104420,0,54231,4164,0,0,0,0,30565,0,4355,16363,0,0
92,"ensembleMean","ssp245","ensembleMean","2041_2060",84684,60322,71854,24311,69799,3816,69466,0,0,83569,0,79237,0,78296,13967,86610,386,50660,4122,0,0,0,0,28330,0,4485,18933,0,0
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",53726,81015,106978,30318,65985,31415,83938,0,0,48424,0,40160,15914,102322,7294,91077,1606,54604,1239,0,0,0,0,12788,552,6766,4430,0,0
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",60841,79620,108155,29954,59945,37594,77261,0,0,53026,0,45368,20214,96439,5906,88660,1504,51928,1272,0,0,0,0,11060,340,6926,3392,0,0
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",52886,77532,104818,30226,76381,24008,86845,0,0,53972,0,40570,5054,107381,8399,97268,1206,62162,1218,0,0,0,0,13382,181,4693,5544,0,0
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",55755,76396,108650,26482,54187,44165,71805,0,0,45216,0,41354,24914,86173,5914,75998,2424,43042,1468,0,0,0,0,12986,1036,7756,4783,0,0
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",84702,63749,72497,23631,76009,2218,78580,0,0,80795,0,77377,0,81171,13166,96910,54,54405,3766,0,0,0,0,30107,0,4128,17457,0,0
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",88255,62418,71287,20262,78006,3126,74679,0,0,88700,0,80560,0,75698,11982,97119,17,55437,3924,0,0,0,0,29742,0,3954,17592,0,0
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",77205,72636,83867,31473,70183,3284,76258,0,0,67250,0,66915,8,87632,8311,71186,124,41147,3956,0,0,0,0,19921,0,5255,13555,0,0
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",82100,63688,71401,27438,74906,2143,80310,0,0,81563,0,79952,0,82637,13563,104938,0,52490,4055,0,0,0,0,32963,0,4090,17556,0,0
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",45720,73653,88973,36966,76626,10821,83861,0,0,66264,0,57730,269,107205,10125,111432,111,66864,3283,0,0,0,0,20621,0,5010,12124,0,0
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",47905,71958,86345,37482,75061,9972,83488,0,0,65781,0,59876,107,106085,11766,111395,98,64981,3379,0,0,0,0,22994,0,4586,13272,0,0
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",58395,72892,90918,29486,78899,10650,84095,0,0,72735,0,59640,88,103548,9457,108586,0,65330,3806,0,0,0,0,19566,0,4378,11253,0,0
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",48053,74867,89093,41984,75502,9432,84096,0,0,63272,0,58463,364,108201,9432,108167,111,65126,3491,0,0,0,0,20036,2,6210,11787,0,0
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",84442,64752,75580,23754,72350,4654,71440,0,0,81419,0,75462,0,77527,11713,86809,140,51645,3986,0,0,0,0,27019,0,4777,16770,0,0
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",89480,57808,68408,18208,69510,3836,67388,0,0,87310,0,81519,2,69930,14883,88031,107,48464,4282,0,0,0,0,33116,0,4580,20484,0,0
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",84259,66762,77724,25198,74499,5208,72277,0,0,81355,0,74591,0,80046,10709,86511,119,52929,3711,0,0,0,0,24596,0,4427,15633,0,0
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",77552,69216,81766,27829,72656,5168,77308,0,0,70297,0,67316,108,86002,10410,86830,328,51967,3789,0,0,0,0,23398,2,5340,14258,0,0
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",80787,57220,67715,28706,67098,1748,75287,0,0,79034,0,79765,0,85894,17626,100033,298,51562,4456,0,0,0,0,35134,0,4597,21418,0,0
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",67596,69914,85067,39222,65212,5216,69606,0,0,72238,0,68101,68,88802,9503,76190,2130,41957,4416,0,0,0,0,17806,32,6740,12621,0,0
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",79966,49745,62606,18933,64664,124,70628,0,0,86205,0,83782,0,72973,18282,100673,0,43980,4814,0,0,0,0,40890,0,4586,23907,0,0
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",70266,62755,72008,35298,69371,2608,79754,0,0,67741,0,73619,0,93393,17796,104090,262,53502,4502,0,0,0,0,33481,0,4438,19792,0,0
113,"MIROC6","ssp245","ensembleMean","2061_2080",78564,50394,70570,28382,57210,2600,67364,0,0,74481,0,73609,94,79939,21662,83091,3029,41911,4988,0,0,0,0,33774,0,5616,22741,0,0
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",86300,50827,65294,20031,65068,596,72965,0,0,80134,0,79513,13,79903,22541,102157,692,49788,5099,0,0,0,0,42931,0,4998,25483,0,0
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",72620,64076,81181,35150,60580,6874,58854,0,0,78916,0,73328,36,69621,9180,62394,2130,32132,4382,0,0,0,0,17697,84,6333,12590,0,0
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",85531,47761,69613,19980,51864,2878,61182,0,0,73218,0,72237,182,71468,21420,73106,1390,32324,5221,0,0,0,0,38370,0,6194,24617,0,0
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",84533,63561,75306,27594,61838,4168,62187,0,0,78568,0,77731,136,74619,12266,73561,419,41687,4602,0,0,0,0,26002,2,6338,17403,0,0
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",81980,65593,79625,30482,57866,5100,55036,0,0,81377,0,77213,173,70992,9262,63241,298,34617,4382,0,0,0,0,22578,9,8267,13483,0,0
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",81606,60093,74113,27015,64698,3234,70844,0,0,73530,0,74005,36,80674,16354,82982,1545,46804,4634,0,0,0,0,29075,0,5615,19679,0,0
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",80413,65678,72613,30886,76658,2484,79846,0,0,85037,0,82122,0,87561,12979,108402,14,58048,3688,0,0,0,0,29728,0,3656,16056,0,0
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",80413,65678,72613,30886,76658,2484,79846,0,0,85037,0,82122,0,87561,12979,108402,14,58048,3688,0,0,0,0,29728,0,3656,16056,0,0
122,"ensembleMean","ssp245","ensembleMean","2061_2080",73849,68792,80107,34736,72636,4503,80214,0,0,72316,0,70659,0,95552,12009,96336,282,56938,3556,0,0,0,0,23754,0,4454,14846,0,0
