"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",0,0,23808,10720,0,0,4464,0,0,0,0,7,0,27251,16089,36290,12951,4743,15468,0,0,0,0,31486,17,14229,16332,0,0
2,"obs","obs",NA,"2001_2020",0,0,30206,10975,0,0,4119,0,0,0,0,5,1373,34280,22504,39959,15577,4200,16042,0,0,0,0,24239,8,7920,8244,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",0,0,30960,10598,0,0,7106,0,0,0,0,104,806,31084,20546,38741,15989,10192,10443,0,0,0,0,21412,772,10514,10638,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",0,0,31934,9360,0,0,7180,0,0,0,0,502,1305,31184,21394,38893,15541,12831,7926,0,0,0,0,19730,2446,10682,9652,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",0,0,31366,8375,0,0,7238,0,0,0,0,856,1490,30122,20716,38263,14738,14954,5764,0,0,0,0,20476,3961,12314,10547,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",0,0,31816,9951,0,0,7146,0,0,0,0,308,946,31188,20717,38926,15550,12076,8694,0,0,0,0,20506,1465,10670,10296,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",0,0,26167,11749,0,0,4038,0,0,0,0,0,106,30836,18486,38122,14071,4126,16296,0,0,0,0,31354,0,11968,13208,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",0,0,26292,11892,0,0,3646,0,0,0,0,0,170,31440,18836,38326,14104,3709,16657,0,0,0,0,31960,15,11631,12750,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",0,0,27020,11094,0,0,4460,0,0,0,0,83,383,30828,18938,38233,14286,4860,15612,0,0,0,0,28624,148,11513,12657,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",0,0,25660,12010,0,0,2802,0,0,0,0,0,109,31749,18549,38286,13640,2822,17474,0,0,0,0,34220,0,11899,13047,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",0,0,28093,11405,0,0,4774,0,0,0,0,40,468,31807,19828,38772,14863,5232,15264,0,0,0,0,27544,136,10699,11494,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",0,0,27198,12227,0,0,4332,0,0,0,0,4,232,31759,19472,38656,14834,4434,15898,0,0,0,0,30430,15,11014,11972,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",0,0,28305,9164,0,0,4270,0,0,0,0,1128,1086,31162,20969,37966,13638,8779,12212,0,0,0,0,25740,3438,11096,10506,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",0,0,28425,11936,0,0,6766,0,0,0,0,100,473,29764,19394,37384,16095,8269,11818,0,0,0,0,25982,603,11521,12239,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",0,0,26636,11176,0,0,4819,0,0,0,0,102,402,29842,18432,37762,14500,5414,14776,0,0,0,0,28746,222,12000,13290,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",0,0,26117,11135,0,0,5316,0,0,0,0,183,296,28545,17802,37050,14444,6503,13617,0,0,0,0,28746,502,12725,14132,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",0,0,26450,11070,0,0,3864,0,0,0,0,80,500,30766,18669,38042,14082,4154,16010,0,0,0,0,30057,165,11721,12886,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",0,0,27274,10682,0,0,5093,0,0,0,0,112,460,29995,18666,37896,14353,6206,14241,0,0,0,0,27162,351,11909,13007,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",0,0,26860,11738,0,0,5755,0,0,0,0,80,138,29566,18626,37762,15019,6125,14292,0,0,0,0,27843,197,11890,13198,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",0,0,26318,11943,0,0,5642,0,0,0,0,164,54,29193,18349,37384,14855,6316,14005,0,0,0,0,29090,472,12279,13564,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",0,0,26103,11544,0,0,5244,0,0,0,0,284,108,29218,18335,37374,14493,6214,14170,0,0,0,0,29288,796,12360,13528,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",0,0,27886,11354,0,0,6265,0,0,0,0,102,336,29812,19267,37808,15355,6870,13660,0,0,0,0,25230,236,11252,12417,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",0,0,28238,11440,0,0,5270,0,0,0,0,8,379,31446,19991,38671,15132,5488,15195,0,0,0,0,26296,11,10472,11425,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",0,0,28761,11441,0,0,6094,0,0,0,0,56,342,30998,19961,38495,15490,6691,14028,0,0,0,0,24681,86,10490,11451,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",0,0,27722,11169,0,0,4782,0,0,0,0,30,408,31284,19634,38518,14686,5091,15561,0,0,0,0,27291,90,10870,11867,0,0
