"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",0,0,23808,10720,0,0,4464,0,0,0,0,7,0,27251,16089,36290,12951,4743,15468,0,0,0,0,31486,17,14229,16332,0,0
2,"obs","obs",NA,"2001_2020",0,0,26552,6692,0,0,1718,0,0,0,0,0,0,28850,16089,39845,11042,1933,13860,0,0,0,0,23989,0,7795,8148,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",0,0,27687,8052,0,0,2948,0,0,0,0,0,0,26923,16088,38616,12945,3223,9045,0,0,0,0,21116,4,10173,10539,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",0,0,28205,6938,0,0,2850,0,0,0,0,0,0,26708,16088,38770,12403,3127,6528,0,0,0,0,19493,6,9956,9552,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",0,0,28104,7039,0,0,3080,0,0,0,0,0,0,26306,16077,38150,12931,3358,4736,0,0,0,0,20242,6,11236,10432,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",0,0,28022,7429,0,0,2942,0,0,0,0,0,0,26623,16086,38802,12395,3218,7260,0,0,0,0,20255,5,10084,10194,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",0,0,24398,10142,0,0,3442,0,0,0,0,0,0,28178,16084,38006,12444,3555,14948,0,0,0,0,30086,0,11820,13106,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",0,0,24329,10066,0,0,3100,0,0,0,0,0,0,28462,16085,38207,12256,3181,15000,0,0,0,0,30136,0,11481,12649,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",0,0,25064,9203,0,0,3088,0,0,0,0,0,0,27924,16082,38118,12321,3278,14130,0,0,0,0,27690,2,11359,12558,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",0,0,23740,10352,0,0,2577,0,0,0,0,0,0,28818,16070,38168,11970,2621,15260,0,0,0,0,30976,0,11736,12931,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",0,0,25574,8967,0,0,2914,0,0,0,0,0,0,28059,16089,38632,12289,3121,13673,0,0,0,0,26558,2,10520,11396,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",0,0,24904,9975,0,0,3328,0,0,0,0,0,0,28301,16089,38523,12520,3446,14546,0,0,0,0,29227,0,10853,11874,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",0,0,25992,7070,0,0,2252,0,0,0,0,0,0,27901,16084,37857,11347,2520,10320,0,0,0,0,24901,12,10361,10396,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",0,0,26403,10028,0,0,3696,0,0,0,0,0,0,26854,16086,37250,14057,3960,11340,0,0,0,0,25246,6,11212,12142,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",0,0,25084,9638,0,0,3354,0,0,0,0,0,0,27542,16066,37658,12877,3578,13677,0,0,0,0,28082,4,11828,13190,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",0,0,25100,10045,0,0,3758,0,0,0,0,1,0,27045,15980,36958,13289,4025,13014,0,0,0,0,28178,6,12404,13955,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",0,0,24651,9370,0,0,3108,0,0,0,0,0,0,28084,16088,37935,12332,3258,14566,0,0,0,0,29146,3,11569,12806,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",0,0,25536,9019,0,0,3074,0,0,0,0,0,0,27444,16064,37777,12564,3329,12870,0,0,0,0,26248,3,11637,12895,0,0
