"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH"
1,"obs","obs",NA,"1961_1990",625,32165,9069
2,"obs","obs",NA,"2001_2020",21,32165,1822
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",84,32111,3529
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",40,32024,2972
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",81,31870,3822
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",43,31990,2837
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",243,32117,5584
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",218,32119,5182
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",184,32043,5205
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",247,32119,5254
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",107,32094,4112
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",123,32124,4547
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",104,31542,4577
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",155,32040,5256
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",240,32011,5956
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",364,31896,6951
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",214,32057,5400
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",196,32008,5654
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",278,32050,6103
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",311,32013,6564
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",367,31985,6648
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",195,32029,5520
23,"MIROC6","ssp245","ensembleMean","2001_2020",112,32111,4410
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",103,32084,4421
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",134,32093,4752
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",240,31191,6222
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",290,31330,6641
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",180,31213,5778
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",128,31981,4734
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",128,31981,4734
31,"ensembleMean","ssp245","ensembleMean","2001_2020",162,32046,4988
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",4,32164,508
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,32158,190
34,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,32155,390
35,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",3,32165,464
36,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",24,32157,2231
37,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",37,31859,3314
38,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",17,32127,2678
39,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",38,32157,2472
40,"EC-Earth3","ssp245","ensembleMean","2021_2040",9,32140,1204
41,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",60,32129,2903
42,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",1,32165,728
43,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",13,32076,1949
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",21,32004,2480
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",19,32062,2389
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",39,31793,3328
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",15,32091,1833
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",8,32165,1191
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",7,32114,1290
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",8,32165,950
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",13,32165,2360
52,"MIROC6","ssp245","ensembleMean","2021_2040",14,32101,1778
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",24,32165,2168
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",47,32036,2716
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",69,31591,4230
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",82,31959,3917
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",65,31716,4202
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",15,32100,2458
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",15,32100,2458
60,"ensembleMean","ssp245","ensembleMean","2021_2040",19,32077,1755
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,30605,11
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,28313,4
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,27396,3
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,27162,90
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",5,32165,914
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",8,32119,1376
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",32,32082,2282
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",2,32164,871
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,32165,28
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,32165,364
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,32165,19
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,32165,48
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",3,32157,879
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,32159,567
75,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",6,32153,1104
76,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",5,32158,873
77,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,32165,279
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,32165,154
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",5,32165,752
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,32165,256
81,"MIROC6","ssp245","ensembleMean","2041_2060",4,32140,810
82,"MIROC6","ssp245","r1i1p1f1","2041_2060",3,32165,483
83,"MIROC6","ssp245","r2i1p1f1","2041_2060",8,32151,1631
84,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",22,32119,1896
85,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",10,32162,1353
86,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",58,32121,2382
