"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH","CMX"
1,"obs","obs",NA,"1961_1990",625,32165,9069,NA
2,"obs","obs",NA,"2001_2020",28,39461,2370,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",115,37663,4081,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",239,37957,3663,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",313,36905,4641,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",216,38087,3556,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",245,35634,5980,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",219,36039,5601,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",221,35910,5728,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",255,35961,5643,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",140,37069,4650,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",123,36687,5049,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",322,35826,5711,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",163,35898,5798,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",342,35065,6452,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",534,33885,7440,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",355,35622,5882,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",278,35393,6188,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",286,35041,6532,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",340,34527,6992,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",472,34335,7052,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",229,35590,6040,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",114,36813,4932,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",122,36766,4971,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",137,36449,5273,NA
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",799,33480,7580,NA
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",739,33309,7811,NA
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",718,33982,7159,NA
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",213,36285,5361,NA
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",213,36285,5361,NA
31,"ensembleMean","ssp245","ensembleMean","2001_2020",263,36080,5516,NA
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",4,40843,1012,NA
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,41221,638,NA
34,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,40946,913,NA
35,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",3,40846,1010,NA
36,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",26,39040,2793,NA
37,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",111,37549,4199,NA
38,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",17,38575,3267,NA
39,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",39,38806,3014,NA
40,"EC-Earth3","ssp245","ensembleMean","2021_2040",13,40021,1825,NA
41,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",85,38311,3463,NA
42,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",1,40569,1289,NA
43,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",77,39148,2634,NA
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",59,38564,3236,NA
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",55,38727,3077,NA
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",103,37482,4274,NA
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",31,39334,2494,NA
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",8,40104,1747,NA
