"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp","CWHdm","CWHdm_WA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHwh2","MHwh","MHmm2","CWHdm_OR","CWHms2","CWHvh2","CWHds1","CMXwm_OR","CWHvh1","CWHvh3","CWHwh1","CWHvm_OR"
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,39,20,46,458,1917,10320,7106,9959,801,2435,NA,NA,NA,437,2571,124,3512,2114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",NA,37,18,3,374,1197,11449,7347,9626,605,2472,NA,NA,NA,620,2572,9,3791,1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,65,38,64,1691,4217,7012,5995,10560,1213,3061,NA,NA,NA,547,2281,4,3085,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,17,14,38,281,1965,10862,7134,9039,756,1737,NA,1,NA,49,3333,951,2945,2737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,NA,8,NA,119,31,16177,8629,7073,3,1735,NA,7,NA,1233,1135,NA,4022,1580,NA,NA,2,NA,102,3,NA,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,NA,7,10,1255,4191,8593,6285,10069,289,1633,NA,NA,NA,348,2941,1303,2220,2715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,NA,8,NA,3,3,18865,8432,5220,2,1481,NA,22,NA,2148,549,451,3568,1074,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,NA,13,NA,197,5,16125,9790,5587,NA,2825,2,67,2,1965,271,NA,2029,395,NA,NA,19,NA,2449,14,104,NA,NA,NA,NA,NA
52,"MIROC6","ssp245","ensembleMean","2021_2040",NA,18,13,50,548,702,12844,7998,8859,376,2043,NA,6,NA,287,2403,704,3052,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,NA,24,NA,178,13,13638,9633,9566,6,2680,2,24,NA,625,1219,NA,3096,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,90,6,4,1411,10757,2005,3241,5386,2543,866,NA,NA,NA,NA,7827,3545,539,3639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,197,67,586,3575,5316,5828,4087,8577,2025,3322,1,NA,NA,1220,2950,60,2491,1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
