"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp","CWHdm","CWHdm_WA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHwh2","MHwh","MHmm2","CWHdm_OR","CWHms2","CWHvh2","CWHds1","CMXwm_OR","CWHvh1","CWHvh3","CWHwh1","CWHvm_OR"
100,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,NA,NA,217,22941,2645,830,NA,97,NA,NA,NA,3475,100,4415,2757,3188,NA,NA,NA,NA,NA,211,NA,979,4,NA,NA,NA
101,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,NA,NA,NA,745,4758,14177,2089,508,121,88,NA,NA,NA,5,2685,7080,462,7993,NA,NA,NA,NA,NA,NA,NA,1148,NA,NA,NA,NA
102,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,6,NA,139,1547,4938,8167,2968,6487,602,564,NA,NA,NA,146,6924,4930,267,4174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,1,NA,57,1143,3821,10373,4105,6570,544,761,NA,NA,NA,875,5461,3595,799,3754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,1,NA,205,1942,4049,8408,3162,8198,322,600,NA,NA,NA,216,6441,4743,281,3291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,NA,NA,140,1084,6983,5743,2342,4617,603,300,NA,NA,NA,NA,8720,5347,76,5752,NA,NA,NA,79,NA,NA,NA,73,NA,NA,NA,NA
106,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,NA,NA,NA,NA,265,21433,4036,2698,1,373,NA,NA,NA,1553,1266,3257,3088,3500,NA,NA,NA,NA,6,365,NA,18,NA,NA,NA,NA
107,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,NA,NA,209,1120,6933,7334,2832,6285,227,419,NA,NA,NA,11,8055,4744,11,3561,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA
108,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,NA,NA,NA,194,21531,4537,3096,3,446,NA,NA,NA,483,2079,1317,4085,3394,NA,NA,NA,NA,234,451,NA,3,NA,6,NA,NA
109,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,NA,NA,NA,24,23641,2728,490,NA,108,NA,NA,NA,1647,73,1464,7607,2874,NA,NA,NA,NA,13,633,NA,274,280,NA,3,NA
110,"MIROC6","ssp245","ensembleMean","2061_2080",NA,7,1,413,2274,4079,8836,4215,7328,621,770,NA,NA,NA,6,5502,4073,552,3182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,NA,3,26,96,1587,15381,5896,4643,414,641,NA,5,NA,24,4636,2977,1943,3532,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA
112,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,5,NA,344,2626,10373,1114,2539,7122,1074,420,NA,NA,NA,NA,9496,3790,90,2866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,14,NA,141,1620,10417,2069,2990,4446,1353,335,NA,NA,NA,NA,10821,4489,57,3107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,16,NA,572,2760,10668,939,2175,4869,1509,296,NA,NA,NA,NA,10434,4302,75,3238,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
115,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,11,2,10,133,10290,4214,3929,2673,1248,289,NA,NA,NA,NA,11531,4659,66,2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,NA,4,152,710,15632,4950,6990,20,523,NA,NA,NA,305,4696,4472,592,2805,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
117,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,4,152,710,15632,4950,6990,20,523,NA,NA,NA,305,4696,4472,592,2805,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
118,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,NA,35,320,2089,14511,3989,5006,63,354,NA,NA,NA,285,5611,5293,200,4069,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA
119,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,519,353,3847,2269,190,6320,NA,NA,NA,NA,NA,NA,10604,4030,NA,1840,NA,NA,NA,444,NA,NA,NA,11443,NA,NA,NA,NA
120,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,NA,335,5393,43,70,3964,3,NA,NA,NA,NA,NA,13802,3615,NA,1517,NA,NA,NA,1267,NA,NA,NA,11814,NA,NA,NA,36
121,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,514,536,4120,1702,202,6756,NA,NA,NA,NA,NA,NA,10328,3783,NA,1996,NA,NA,NA,590,NA,NA,NA,11332,NA,NA,NA,NA
122,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,83,399,738,10413,250,6524,NA,NA,NA,NA,NA,123,6660,4679,6,1692,NA,NA,NA,115,NA,NA,NA,10177,NA,NA,NA,NA
123,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,NA,2,390,1488,18088,3127,2023,18,188,NA,NA,NA,843,4509,6087,181,4579,NA,NA,NA,NA,NA,10,NA,326,NA,NA,NA,NA
124,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,NA,1,234,957,16802,3038,3795,NA,155,NA,NA,NA,541,5140,5693,53,4741,NA,NA,NA,NA,NA,16,NA,693,NA,NA,NA,NA
125,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,NA,322,1703,6906,9525,1636,1555,266,119,NA,NA,NA,43,6777,5828,54,6107,NA,NA,NA,NA,NA,NA,NA,1018,NA,NA,NA,NA
