"BGC","SS_NoSpace","Spp","ESuit"
"CWHwh2","CWHwh2/112","Yc",1
"CWHwh2","CWHwh2/112a","Cw",2
"CWHwh2","CWHwh2/112b","Cw",2
"CWHwhz","CWHwhz/101","Act",3
"CWHwhz","CWHwhz/101","Ba",2
"CWHwhz","CWHwhz/101","Cw",1
"CWHwhz","CWHwhz/101","Dr",2
"CWHwhz","CWHwhz/101","Mb",3
"CWHwhz","CWHwhz/101","Pw",3
"CWHwhz","CWHwhz/102","Act",3
"CWHwhz","CWHwhz/102","Fd",1
"CWHwhz","CWHwhz/102","Hw",1
"CWHwhz","CWHwhz/102","Mb",3
"CWHwhz","CWHwhz/102","Pw",3
"CWHwhz","CWHwhz/110","Ba",2
"CWHwhz","CWHwhz/110","Cw",1
"CWHwhz","CWHwhz/110","Dr",2
"CWHwhz","CWHwhz/110","Fd",2
"CWHwhz","CWHwhz/110","Hw",1
"CWHwhz","CWHwhz/110","Mb",3
"CWHwhz","CWHwhz/111","Act",1
"CWHwhz","CWHwhz/111","Ba",2
"CWHwhz","CWHwhz/111","Cw",1
"CWHwhz","CWHwhz/111","Dr",1
"CWHwhz","CWHwhz/111","Fd",1
"CWHwhz","CWHwhz/111","Hw",5
"CWHwm","CWHwm/01","Ba",3
"CWHwm","CWHwm/01","Cw",4
"CWHwm","CWHwm/01","Dr",2
"CWHwm","CWHwm/01","Hm",3
"CWHwm","CWHwm/01","Hw",1
"CWHwm","CWHwm/01","Ss",1
"CWHwm","CWHwm/01","Yc",3
"CWHwm","CWHwm/02","Cw",4
"CWHwm","CWHwm/02","Dr",3
"CWHwm","CWHwm/02","Hm",3
"CWHwm","CWHwm/02","Hw",1
"CWHwm","CWHwm/02","Pl",1
"CWHwm","CWHwm/02","Ss",3
"CWHwm","CWHwm/03","Act",3
"CWHwm","CWHwm/03","Ba",3
"CWHwm","CWHwm/03","Cw",4
"CWHwm","CWHwm/03","Dr",2
"CWHwm","CWHwm/03","Hw",2
"CWHwm","CWHwm/03","Ss",1
"CWHwm","CWHwm/03","Yc",3
"CWHwm","CWHwm/04","Act",2
"CWHwm","CWHwm/04","Ba",3
"CWHwm","CWHwm/04","Cw",4
"CWHwm","CWHwm/04","Dr",2
"CWHwm","CWHwm/04","Hw",2
"CWHwm","CWHwm/04","Ss",1
"CWHwm","CWHwm/04","Yc",3
"CWHwm","CWHwm/05","Act",1
"CWHwm","CWHwm/05","Ba",3
"CWHwm","CWHwm/05","Cw",4
"CWHwm","CWHwm/05","Dr",1
"CWHwm","CWHwm/05","Hw",2
"CWHwm","CWHwm/05","Ss",1
"CWHwm","CWHwm/06","Act",1
"CWHwm","CWHwm/06","Ba",3
"CWHwm","CWHwm/06","Cw",4
"CWHwm","CWHwm/06","Dr",1
"CWHwm","CWHwm/06","Ss",2
"CWHwm","CWHwm/09","Act",3
"CWHwm","CWHwm/09","Cw",4
"CWHwm","CWHwm/09","Dr",2
"CWHwm","CWHwm/09","Hm",3
"CWHwm","CWHwm/09","Hw",2
"CWHwm","CWHwm/09","Ss",1
"CWHwm","CWHwm/09","Yc",2
"CWHwm","CWHwm/10","Cw",4
"CWHwm","CWHwm/10","Hw",3
"CWHwm","CWHwm/10","Pl",2
"CWHwm","CWHwm/10","Yc",2
"CWHws1","CWHws1/01","Ba",1
"CWHws1","CWHws1/01","Cw",2
"CWHws1","CWHws1/01","Dr",2
"CWHws1","CWHws1/01","Hw",1
"CWHws1","CWHws1/01","Pl",2
"CWHws1","CWHws1/01","Ss",2
"CWHws1","CWHws1/01","Sx",5
"CWHws1","CWHws1/02","Cw",3
"CWHws1","CWHws1/02","Hw",2
"CWHws1","CWHws1/02","Pl",2
"CWHws1","CWHws1/03","Ba",3
"CWHws1","CWHws1/03","Cw",2
"CWHws1","CWHws1/03","Hw",1
"CWHws1","CWHws1/03","Pl",1
"CWHws1","CWHws1/04","Act",2
"CWHws1","CWHws1/04","Ba",1
"CWHws1","CWHws1/04","Cw",1
"CWHws1","CWHws1/04","Dr",2
"CWHws1","CWHws1/04","Hw",2
"CWHws1","CWHws1/04","Pl",3
"CWHws1","CWHws1/04","Ss",1
"CWHws1","CWHws1/04","Sx",5
"CWHws1","CWHws1/05","Ba",1
"CWHws1","CWHws1/05","Cw",1
"CWHws1","CWHws1/05","Dr",2
"CWHws1","CWHws1/05","Hw",1
"CWHws1","CWHws1/05","Ss",2
"CWHws1","CWHws1/05","Sx",5
"CWHws1","CWHws1/06","Act",2
"CWHws1","CWHws1/06","Ba",1
"CWHws1","CWHws1/06","Cw",1
"CWHws1","CWHws1/06","Dr",2
"CWHws1","CWHws1/06","Hw",2
"CWHws1","CWHws1/06","Ss",2
"CWHws1","CWHws1/06","Sx",5
"CWHws1","CWHws1/07","Act",1
"CWHws1","CWHws1/07","Ba",1
"CWHws1","CWHws1/07","Cw",1
"CWHws1","CWHws1/07","Dr",1
"CWHws1","CWHws1/07","Hw",2
"CWHws1","CWHws1/07","Ss",2
"CWHws1","CWHws1/07","Sx",5
"CWHws1","CWHws1/08","Act",1
"CWHws1","CWHws1/08","Ba",2
"CWHws1","CWHws1/08","Cw",2
"CWHws1","CWHws1/08","Dr",1
"CWHws1","CWHws1/08","Hw",3
"CWHws1","CWHws1/08","Ss",2
"CWHws1","CWHws1/08","Sx",5
"CWHws1","CWHws1/09","Act",1
"CWHws1","CWHws1/09","Dr",1
"CWHws1","CWHws1/10","Cw",3
"CWHws1","CWHws1/10","Hw",3
"CWHws1","CWHws1/10","Pl",2
"CWHws1","CWHws1/11","Act",3
"CWHws1","CWHws1/11","Ba",3
"CWHws1","CWHws1/11","Cw",1
"CWHws1","CWHws1/11","Dr",2
"CWHws1","CWHws1/11","Hw",3
"CWHws1","CWHws1/11","Ss",2
"CWHws1","CWHws1/11","Sx",5
"CWHws2","CWHws2/01","Act",3
"CWHws2","CWHws2/01","Ba",1
"CWHws2","CWHws2/01","Bl",2
"CWHws2","CWHws2/01","Cw",2
"CWHws2","CWHws2/01","Dr",2
"CWHws2","CWHws2/01","Ep",3
"CWHws2","CWHws2/01","Hm",3
"CWHws2","CWHws2/01","Hw",1
"CWHws2","CWHws2/01","Pl",2
"CWHws2","CWHws2/01","Ss",2
"CWHws2","CWHws2/01","Sx",5
"CWHws2","CWHws2/02","Cw",3
"CWHws2","CWHws2/02","Ep",3
"CWHws2","CWHws2/02","Hm",3
"CWHws2","CWHws2/02","Hw",3
"CWHws2","CWHws2/02","Pl",2
"CWHws2","CWHws2/03","Act",3
"CWHws2","CWHws2/03","Ba",3
"CWHws2","CWHws2/03","Cw",2
"CWHws2","CWHws2/03","Dr",2
"CWHws2","CWHws2/03","Ep",3
"CWHws2","CWHws2/03","Fd",3
"CWHws2","CWHws2/03","Hm",3
"CWHws2","CWHws2/03","Hw",1
"CWHws2","CWHws2/03","Pl",1
"CWHws2","CWHws2/04","Act",3
"CWHws2","CWHws2/04","Ba",1
"CWHws2","CWHws2/04","Bl",2
"CWHws2","CWHws2/04","Cw",2
"CWHws2","CWHws2/04","Dr",2
"CWHws2","CWHws2/04","Ep",3
"CWHws2","CWHws2/04","Hm",3
"CWHws2","CWHws2/04","Hw",2
"CWHws2","CWHws2/04","Ss",2
"CWHws2","CWHws2/04","Sx",5
"CWHws2","CWHws2/05","Act",3
"CWHws2","CWHws2/05","Ba",1
"CWHws2","CWHws2/05","Bl",2
"CWHws2","CWHws2/05","Cw",2
"CWHws2","CWHws2/05","Dr",2
"CWHws2","CWHws2/05","Ep",3
"CWHws2","CWHws2/05","Hw",1
"CWHws2","CWHws2/05","Ss",2
"CWHws2","CWHws2/05","Sx",5
"CWHws2","CWHws2/06","Act",2
"CWHws2","CWHws2/06","Ba",1
"CWHws2","CWHws2/06","Bl",2
"CWHws2","CWHws2/06","Cw",2
"CWHws2","CWHws2/06","Dr",2
"CWHws2","CWHws2/06","Ep",3
"CWHws2","CWHws2/06","Hw",2
"CWHws2","CWHws2/06","Ss",2
"CWHws2","CWHws2/06","Sx",5
"CWHws2","CWHws2/07","Act",1
"CWHws2","CWHws2/07","Ba",1
"CWHws2","CWHws2/07","Bl",2
"CWHws2","CWHws2/07","Cw",2
"CWHws2","CWHws2/07","Dr",1
"CWHws2","CWHws2/07","Ep",3
"CWHws2","CWHws2/07","Hw",2
"CWHws2","CWHws2/07","Ss",2
"CWHws2","CWHws2/07","Sx",5
"CWHws2","CWHws2/08","Act",1
"CWHws2","CWHws2/08","Ba",2
"CWHws2","CWHws2/08","Bl",2
"CWHws2","CWHws2/08","Cw",2
"CWHws2","CWHws2/08","Dr",1
"CWHws2","CWHws2/08","Ep",3
"CWHws2","CWHws2/08","Hw",3
"CWHws2","CWHws2/08","Ss",2
"CWHws2","CWHws2/08","Sx",5
"CWHws2","CWHws2/09","Act",1
"CWHws2","CWHws2/09","Dr",1
"CWHws2","CWHws2/09","Ep",3
"CWHws2","CWHws2/10","Cw",3
"CWHws2","CWHws2/10","Ep",3
"CWHws2","CWHws2/10","Hm",3
"CWHws2","CWHws2/10","Hw",3
"CWHws2","CWHws2/10","Pl",2
"CWHws2","CWHws2/11","Act",2
"CWHws2","CWHws2/11","Ba",3
"CWHws2","CWHws2/11","Cw",2
"CWHws2","CWHws2/11","Dr",2
"CWHws2","CWHws2/11","Ep",3
"CWHws2","CWHws2/11","Hw",3
"CWHws2","CWHws2/11","Ss",2
"CWHws2","CWHws2/11","Sx",2
"CWHxm_OR","CWHxm_OR/101","Bg",3
"CWHxm_OR","CWHxm_OR/101","Cw",2
"CWHxm_OR","CWHxm_OR/101","Dr",3
"CWHxm_OR","CWHxm_OR/101","Fd",1
"CWHxm_OR","CWHxm_OR/101","Hw",1
"CWHxm_OR","CWHxm_OR/101","Mb",2
"CWHxm_OR","CWHxm_OR/101","Oa",2
"CWHxm_OR","CWHxm_OR/101","Oy",3
"CWHxm_OR","CWHxm_OR/101","Ra",3
"CWHxm_OR","CWHxm_OR/102","Cw",5
"CWHxm_OR","CWHxm_OR/102","Fd",1
"CWHxm_OR","CWHxm_OR/102","Hw",5
"CWHxm_OR","CWHxm_OR/102","Mb",5
"CWHxm_OR","CWHxm_OR/102","Oa",5
"CWHxm_OR","CWHxm_OR/102","Oy",5
"CWHxm_OR","CWHxm_OR/102","Qg",3
"CWHxm_OR","CWHxm_OR/102","Ra",2
"CWHxm_OR","CWHxm_OR/103","Cw",3
"CWHxm_OR","CWHxm_OR/103","Fd",1
"CWHxm_OR","CWHxm_OR/103","Hw",2
"CWHxm_OR","CWHxm_OR/103","Oy",3
"CWHxm_OR","CWHxm_OR/103","Qg",3
"CWHxm_OR","CWHxm_OR/103","Ra",3
"CWHxm_OR","CWHxm_OR/110","Bg",3
"CWHxm_OR","CWHxm_OR/110","Cw",1
"CWHxm_OR","CWHxm_OR/110","Dr",2
"CWHxm_OR","CWHxm_OR/110","Fd",2
"CWHxm_OR","CWHxm_OR/110","Hw",1
"CWHxm_OR","CWHxm_OR/110","Mb",2
"CWHxm_OR","CWHxm_OR/110","Oa",3
"CWHxm_OR","CWHxm_OR/111","Bg",3
"CWHxm_OR","CWHxm_OR/111","Cw",1
"CWHxm_OR","CWHxm_OR/111","Dr",2
"CWHxm_OR","CWHxm_OR/111","Fd",2
"CWHxm_OR","CWHxm_OR/111","Hw",1
"CWHxm_OR","CWHxm_OR/111","Mb",2
"CWHxm_OR","CWHxm_OR/112","Act",2
"CWHxm_OR","CWHxm_OR/112","Bg",2
"CWHxm_OR","CWHxm_OR/112","Cw",1
"CWHxm_OR","CWHxm_OR/112","Dr",2
"CWHxm_OR","CWHxm_OR/112","Fd",1
"CWHxm_OR","CWHxm_OR/112","Hw",2
"CWHxm_OR","CWHxm_OR/112","Mb",2
"CWHxm_OR","CWHxm_OR/112","Oa",3
"CWHxm_OR","CWHxm_OR/112","Og",2
"CWHxm_OR","CWHxm_OR/113","Act",2
"CWHxm_OR","CWHxm_OR/113","Bg",2
"CWHxm_OR","CWHxm_OR/113","Cw",1
"CWHxm_OR","CWHxm_OR/113","Dr",2
"CWHxm_OR","CWHxm_OR/113","Fd",1
"CWHxm_OR","CWHxm_OR/113","Hw",2
"CWHxm_OR","CWHxm_OR/113","Mb",2
"CWHxm_OR","CWHxm_OR/113","Og",2
"CWHxm_WA","CWHxm_WA/101","Bg",5
"CWHxm_WA","CWHxm_WA/101","Cw",2
"CWHxm_WA","CWHxm_WA/101","Dr",2
"CWHxm_WA","CWHxm_WA/101","Fd",1
"CWHxm_WA","CWHxm_WA/101","Hw",2
"CWHxm_WA","CWHxm_WA/101","Mb",2
"CWHxm_WA","CWHxm_WA/101","Pl",3
"CWHxm_WA","CWHxm_WA/102","Bg",5
"CWHxm_WA","CWHxm_WA/102","Cw",5
"CWHxm_WA","CWHxm_WA/102","Dr",5
"CWHxm_WA","CWHxm_WA/102","Fd",1
"CWHxm_WA","CWHxm_WA/102","Mb",5
"CWHxm_WA","CWHxm_WA/102","Pl",2
"CWHxm_WA","CWHxm_WA/102","Ra",3
"CWHxm_WA","CWHxm_WA/103","Cw",3
"CWHxm_WA","CWHxm_WA/103","Dr",3
"CWHxm_WA","CWHxm_WA/103","Fd",1
"CWHxm_WA","CWHxm_WA/103","Hw",3
"CWHxm_WA","CWHxm_WA/103","Mb",3
"CWHxm_WA","CWHxm_WA/103","Qg",3
"CWHxm_WA","CWHxm_WA/110","Act",2
"CWHxm_WA","CWHxm_WA/110","Bg",3
"CWHxm_WA","CWHxm_WA/110","Cw",2
"CWHxm_WA","CWHxm_WA/110","Dr",1
"CWHxm_WA","CWHxm_WA/110","Fd",2
"CWHxm_WA","CWHxm_WA/110","Hw",2
"CWHxm_WA","CWHxm_WA/110","Mb",2
"CWHxm_WA","CWHxm_WA/110","Vb",3
"CWHxm_WA","CWHxm_WA/111","Act",5
"CWHxm_WA","CWHxm_WA/111","Bg",3
"CWHxm_WA","CWHxm_WA/111","Cw",1
"CWHxm_WA","CWHxm_WA/111","Dr",2
"CWHxm_WA","CWHxm_WA/111","Fd",2
"CWHxm_WA","CWHxm_WA/111","Hw",1
"CWHxm_WA","CWHxm_WA/111","Mb",2
"CWHxm_WA","CWHxm_WA/112","Act",2
"CWHxm_WA","CWHxm_WA/112","Bg",3
"CWHxm_WA","CWHxm_WA/112","Cw",1
"CWHxm_WA","CWHxm_WA/112","Dr",2
"CWHxm_WA","CWHxm_WA/112","Fd",1
"CWHxm_WA","CWHxm_WA/112","Hw",2
"CWHxm_WA","CWHxm_WA/112","Mb",2
"CWHxm_WA","CWHxm_WA/112","Og",2
"CWHxm_WA","CWHxm_WA/113","Act",2
"CWHxm_WA","CWHxm_WA/113","Bg",2
"CWHxm_WA","CWHxm_WA/113","Cw",1
"CWHxm_WA","CWHxm_WA/113","Dr",2
"CWHxm_WA","CWHxm_WA/113","Fd",1
"CWHxm_WA","CWHxm_WA/113","Hw",2
"CWHxm_WA","CWHxm_WA/113","Mb",2
"CWHxm_WA","CWHxm_WA/113","Og",2
"CWHxm1","CWHxm1/01","Bg",3
"CWHxm1","CWHxm1/01","Cw",2
"CWHxm1","CWHxm1/01","Dr",2
"CWHxm1","CWHxm1/01","Ep",3
"CWHxm1","CWHxm1/01","Fd",1
"CWHxm1","CWHxm1/01","Hw",2
"CWHxm1","CWHxm1/01","Mb",2
"CWHxm1","CWHxm1/01","Pw",3
"CWHxm1","CWHxm1/01","Ra",2
"CWHxm1","CWHxm1/02","Fd",2
"CWHxm1","CWHxm1/02","Pl",1
"CWHxm1","CWHxm1/02","Qg",3
"CWHxm1","CWHxm1/02","Ra",2
"CWHxm1","CWHxm1/03","Act",3
"CWHxm1","CWHxm1/03","Cw",3
"CWHxm1","CWHxm1/03","Dr",3
"CWHxm1","CWHxm1/03","Ep",3
"CWHxm1","CWHxm1/03","Fd",1
"CWHxm1","CWHxm1/03","Hw",2
"CWHxm1","CWHxm1/03","Mb",2
"CWHxm1","CWHxm1/03","Pl",2
"CWHxm1","CWHxm1/03","Ra",2
"CWHxm1","CWHxm1/04","Act",3
"CWHxm1","CWHxm1/04","Cw",3
"CWHxm1","CWHxm1/04","Dr",3
"CWHxm1","CWHxm1/04","Ep",3
"CWHxm1","CWHxm1/04","Fd",1
"CWHxm1","CWHxm1/04","Mb",2
"CWHxm1","CWHxm1/04","Pw",3
"CWHxm1","CWHxm1/05","Act",2
"CWHxm1","CWHxm1/05","Bg",2
"CWHxm1","CWHxm1/05","Cw",2
"CWHxm1","CWHxm1/05","Dr",2
"CWHxm1","CWHxm1/05","Ep",3
"CWHxm1","CWHxm1/05","Fd",1
"CWHxm1","CWHxm1/05","Hw",2
"CWHxm1","CWHxm1/05","Mb",2
"CWHxm1","CWHxm1/05","Pw",2
"CWHxm1","CWHxm1/06","Act",3
"CWHxm1","CWHxm1/06","Bg",3
"CWHxm1","CWHxm1/06","Cw",1
"CWHxm1","CWHxm1/06","Dr",2
"CWHxm1","CWHxm1/06","Ep",3
"CWHxm1","CWHxm1/06","Fd",2
"CWHxm1","CWHxm1/06","Hw",1
"CWHxm1","CWHxm1/06","Mb",2
"CWHxm1","CWHxm1/07","Act",2
"CWHxm1","CWHxm1/07","Bg",1
"CWHxm1","CWHxm1/07","Cw",1
"CWHxm1","CWHxm1/07","Dr",2
"CWHxm1","CWHxm1/07","Ep",3
"CWHxm1","CWHxm1/07","Fd",1
"CWHxm1","CWHxm1/07","Hw",2
"CWHxm1","CWHxm1/07","Mb",2
"CWHxm1","CWHxm1/07","Pw",2
"CWHxm1","CWHxm1/08","Act",1
"CWHxm1","CWHxm1/08","Bg",1
"CWHxm1","CWHxm1/08","Cw",1
"CWHxm1","CWHxm1/08","Dr",1
"CWHxm1","CWHxm1/08","Ep",3
"CWHxm1","CWHxm1/08","Mb",2
"CWHxm1","CWHxm1/08","Ss",2
"CWHxm1","CWHxm1/09","Act",1
"CWHxm1","CWHxm1/09","Bg",2
"CWHxm1","CWHxm1/09","Cw",2
"CWHxm1","CWHxm1/09","Dr",1
"CWHxm1","CWHxm1/09","Ep",3
"CWHxm1","CWHxm1/09","Mb",2
"CWHxm1","CWHxm1/10","Act",1
"CWHxm1","CWHxm1/10","Dr",1
"CWHxm1","CWHxm1/10","Ep",3
"CWHxm1","CWHxm1/10","Mb",3
"CWHxm1","CWHxm1/11","Cw",3
"CWHxm1","CWHxm1/11","Pl",1
"CWHxm1","CWHxm1/12","Act",2
"CWHxm1","CWHxm1/12","Cw",1
"CWHxm1","CWHxm1/12","Dr",3
"CWHxm1","CWHxm1/12","Ep",3
"CWHxm1","CWHxm1/12","Hw",3
"CWHxm1","CWHxm1/12","Mb",2
"CWHxm1","CWHxm1/12","Pw",3
"CWHxm1","CWHxm1/12","Ss",3
"CWHxm1","CWHxm1/13","Act",1
"CWHxm1","CWHxm1/13","Bg",2
"CWHxm1","CWHxm1/13","Cw",1
"CWHxm1","CWHxm1/13","Dr",1
"CWHxm1","CWHxm1/13","Ep",3
"CWHxm1","CWHxm1/13","Fd",2
"CWHxm1","CWHxm1/13","Mb",2
"CWHxm1","CWHxm1/14","Act",1
"CWHxm1","CWHxm1/14","Bg",3
"CWHxm1","CWHxm1/14","Cw",1
"CWHxm1","CWHxm1/14","Dr",1
"CWHxm1","CWHxm1/14","Ep",3
"CWHxm1","CWHxm1/14","Mb",2
"CWHxm1","CWHxm1/15","Act",1
"CWHxm1","CWHxm1/15","Cw",1
"CWHxm1","CWHxm1/15","Dr",1
"CWHxm1","CWHxm1/15","Ep",3
"CWHxm1","CWHxm1/15","Mb",5
"CWHxm2","CWHxm2/01","Cw",2
"CWHxm2","CWHxm2/01","Dr",2
"CWHxm2","CWHxm2/01","Ep",3
"CWHxm2","CWHxm2/01","Fd",1
"CWHxm2","CWHxm2/01","Hw",1
"CWHxm2","CWHxm2/01","Mb",2
"CWHxm2","CWHxm2/01","Pw",3
"CWHxm2","CWHxm2/01","Ra",2
"CWHxm2","CWHxm2/02","Fd",2
"CWHxm2","CWHxm2/02","Pl",1
"CWHxm2","CWHxm2/02","Qg",3
"CWHxm2","CWHxm2/02","Ra",2
"CWHxm2","CWHxm2/03","Act",3
"CWHxm2","CWHxm2/03","Cw",3
"CWHxm2","CWHxm2/03","Dr",3
"CWHxm2","CWHxm2/03","Ep",3
"CWHxm2","CWHxm2/03","Fd",1
"CWHxm2","CWHxm2/03","Hw",2
"CWHxm2","CWHxm2/03","Mb",2
"CWHxm2","CWHxm2/03","Pl",2
"CWHxm2","CWHxm2/03","Ra",2
"CWHxm2","CWHxm2/04","Act",3
"CWHxm2","CWHxm2/04","Cw",3
"CWHxm2","CWHxm2/04","Dr",3
"CWHxm2","CWHxm2/04","Ep",3
"CWHxm2","CWHxm2/04","Fd",1
"CWHxm2","CWHxm2/04","Mb",2
"CWHxm2","CWHxm2/04","Pw",3
"CWHxm2","CWHxm2/05","Act",2
"CWHxm2","CWHxm2/05","Bg",2
"CWHxm2","CWHxm2/05","Cw",2
"CWHxm2","CWHxm2/05","Dr",1
"CWHxm2","CWHxm2/05","Ep",1
"CWHxm2","CWHxm2/05","Fd",2
"CWHxm2","CWHxm2/05","Hw",2
"CWHxm2","CWHxm2/05","Mb",2
"CWHxm2","CWHxm2/05","Pw",2
"CWHxm2","CWHxm2/06","Act",3
"CWHxm2","CWHxm2/06","Bg",3
"CWHxm2","CWHxm2/06","Cw",1
"CWHxm2","CWHxm2/06","Dr",2
"CWHxm2","CWHxm2/06","Ep",3
"CWHxm2","CWHxm2/06","Fd",2
"CWHxm2","CWHxm2/06","Hw",1
"CWHxm2","CWHxm2/06","Mb",2
"CWHxm2","CWHxm2/07","Act",2
"CWHxm2","CWHxm2/07","Bg",2
"CWHxm2","CWHxm2/07","Cw",1
"CWHxm2","CWHxm2/07","Dr",2
"CWHxm2","CWHxm2/07","Ep",3
"CWHxm2","CWHxm2/07","Fd",2
"CWHxm2","CWHxm2/07","Hw",2
"CWHxm2","CWHxm2/07","Mb",2
"CWHxm2","CWHxm2/07","Pw",2
"CWHxm2","CWHxm2/08","Act",1
"CWHxm2","CWHxm2/08","Bg",1
"CWHxm2","CWHxm2/08","Cw",1
"CWHxm2","CWHxm2/08","Dr",1
"CWHxm2","CWHxm2/08","Ep",3
"CWHxm2","CWHxm2/08","Mb",2
"CWHxm2","CWHxm2/08","Ss",2
"CWHxm2","CWHxm2/09","Act",1
"CWHxm2","CWHxm2/09","Bg",2
"CWHxm2","CWHxm2/09","Cw",2
"CWHxm2","CWHxm2/09","Dr",1
"CWHxm2","CWHxm2/09","Ep",3
"CWHxm2","CWHxm2/09","Mb",2
"CWHxm2","CWHxm2/10","Act",1
"CWHxm2","CWHxm2/10","Dr",1
"CWHxm2","CWHxm2/10","Ep",3
"CWHxm2","CWHxm2/10","Mb",3
"CWHxm2","CWHxm2/11","Cw",3
"CWHxm2","CWHxm2/11","Pl",2
"CWHxm2","CWHxm2/12","Act",2
"CWHxm2","CWHxm2/12","Cw",1
"CWHxm2","CWHxm2/12","Dr",3
"CWHxm2","CWHxm2/12","Ep",3
"CWHxm2","CWHxm2/12","Hw",3
"CWHxm2","CWHxm2/12","Mb",2
"CWHxm2","CWHxm2/12","Pw",3
"CWHxm2","CWHxm2/12","Ss",3
"CWHxm2","CWHxm2/13","Act",1
"CWHxm2","CWHxm2/13","Bg",2
"CWHxm2","CWHxm2/13","Cw",1
"CWHxm2","CWHxm2/13","Dr",1
"CWHxm2","CWHxm2/13","Ep",3
"CWHxm2","CWHxm2/13","Fd",2
"CWHxm2","CWHxm2/13","Mb",2
"CWHxm2","CWHxm2/14","Act",1
"CWHxm2","CWHxm2/14","Bg",3
"CWHxm2","CWHxm2/14","Cw",1
"CWHxm2","CWHxm2/14","Dr",1
"CWHxm2","CWHxm2/14","Ep",3
"CWHxm2","CWHxm2/14","Mb",2
"CWHxm2","CWHxm2/15","Act",1
"CWHxm2","CWHxm2/15","Cw",1
"CWHxm2","CWHxm2/15","Dr",1
"CWHxm2","CWHxm2/15","Ep",3
"CWHxm2","CWHxm2/15","Mb",5
"ESSFab","ESSFab/b","Pl",2
"ESSFab","ESSFab/b","Sx",3
"ESSFab","ESSFab/c","At",2
"ESSFab","ESSFab/c","Bb",5
"ESSFab","ESSFab/c","Pl",2
"ESSFab","ESSFab/c","Sx",2
"ESSFab","ESSFab/d","Bl",1
"ESSFab","ESSFab/d","Pl",2
"ESSFab","ESSFab/d","Sb",5
"ESSFab","ESSFab/d","Sx",1
"ESSFab","ESSFab/f","Bl",1
"ESSFab","ESSFab/f","Pl",2
"ESSFab","ESSFab/f","Sb",2
"ESSFab","ESSFab/f","Sx",1
"ESSFab","ESSFab/g","Bl",3
"ESSFab","ESSFab/g","Pl",3
"ESSFab","ESSFab/g","Sx",1
"ESSFab","ESSFab/h","Sb",3
"ESSFab","ESSFab/i","Lt",3
"ESSFab","ESSFab/i","Sb",3
"ESSFab","ESSFab/i","Sx",1
"ESSFdc1","ESSFdc1/101","Bl",1
"ESSFdc1","ESSFdc1/101","Pl",2
"ESSFdc1","ESSFdc1/101","Sx",1
"ESSFdc1","ESSFdc1/102","Bl",2
"ESSFdc1","ESSFdc1/102","Pa",3
"ESSFdc1","ESSFdc1/102","Pl",1
"ESSFdc1","ESSFdc1/102","Sx",2
"ESSFdc1","ESSFdc1/103","Bl",2
"ESSFdc1","ESSFdc1/103","Pa",3
"ESSFdc1","ESSFdc1/103","Pl",1
"ESSFdc1","ESSFdc1/103","Sx",2
"ESSFdc1","ESSFdc1/104","Bl",1
"ESSFdc1","ESSFdc1/104","Pl",2
"ESSFdc1","ESSFdc1/104","Sx",1
"ESSFdc1","ESSFdc1/110","Bl",1
"ESSFdc1","ESSFdc1/110","Sx",1
"ESSFdc1","ESSFdc1/111","Bl",1
"ESSFdc1","ESSFdc1/111","Sx",1
"ESSFdc1","ESSFdc1/112","Bl",2
"ESSFdc1","ESSFdc1/112","Sx",1
"ESSFdc2","ESSFdc2/01","Bl",1
"ESSFdc2","ESSFdc2/01","Lw",4
"ESSFdc2","ESSFdc2/01","Pl",2
"ESSFdc2","ESSFdc2/01","Sx",1
"ESSFdc2","ESSFdc2/02","Bl",4
"ESSFdc2","ESSFdc2/02","Fd",4
"ESSFdc2","ESSFdc2/02","Pa",4
"ESSFdc2","ESSFdc2/02","Pl",4
"ESSFdc2","ESSFdc2/02","Sx",4
"ESSFdc2","ESSFdc2/03","Bl",4
"ESSFdc2","ESSFdc2/03","Lw",4
"ESSFdc2","ESSFdc2/03","Pa",4
"ESSFdc2","ESSFdc2/03","Pl",4
"ESSFdc2","ESSFdc2/03","Sx",4
"ESSFdc2","ESSFdc2/04","Bl",2
"ESSFdc2","ESSFdc2/04","Fd",2
"ESSFdc2","ESSFdc2/04","Pa",3
"ESSFdc2","ESSFdc2/04","Pl",1
"ESSFdc2","ESSFdc2/04","Sx",3
"ESSFdc2","ESSFdc2/05","Bl",2
"ESSFdc2","ESSFdc2/05","Pl",1
"ESSFdc2","ESSFdc2/05","Sx",1
"ESSFdc2","ESSFdc2/06","Bl",2
"ESSFdc2","ESSFdc2/06","Lw",4
"ESSFdc2","ESSFdc2/06","Pl",1
"ESSFdc2","ESSFdc2/06","Sx",1
"ESSFdc2","ESSFdc2/07","Bl",2
"ESSFdc2","ESSFdc2/07","Pl",2
"ESSFdc2","ESSFdc2/07","Sx",1
"ESSFdc2","ESSFdc2/08","Bl",3
"ESSFdc2","ESSFdc2/08","Pl",2
"ESSFdc2","ESSFdc2/08","Sx",1
"ESSFdc3","ESSFdc3/01","Bl",1
"ESSFdc3","ESSFdc3/01","Pl",2
"ESSFdc3","ESSFdc3/01","Sx",1
"ESSFdc3","ESSFdc3/02","Bl",3
"ESSFdc3","ESSFdc3/02","Pl",1
"ESSFdc3","ESSFdc3/02","Sx",3
