"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",28776,290,6548,90,12178,24,261,0,244,5000,0,7420,0,1716,82,2253,36,4,80,0,0,0,0,236,0,80,186,0,0
2,"obs","obs",NA,"2001_2020",23505,118,4771,80,8306,10,130,0,52,3630,0,6156,0,1344,60,1849,32,3,62,0,0,0,0,157,0,62,136,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",18268,130,5350,82,2735,2,150,0,20,2401,0,4918,0,1423,40,1152,31,1,40,0,0,0,0,142,0,40,96,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",18284,126,4443,64,1318,1,76,0,0,1833,0,4028,0,814,16,538,26,0,12,0,0,0,0,98,0,12,28,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",17504,141,4213,78,1254,2,98,0,0,1881,0,4467,0,942,25,711,31,0,21,0,0,0,0,132,0,21,43,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",16161,105,4539,44,2114,5,73,0,8,2347,0,4459,0,1220,12,1111,20,0,14,0,0,0,0,104,0,14,29,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",23150,115,4838,74,5869,10,180,0,96,3054,0,6087,0,1575,67,1798,28,4,64,0,0,0,0,176,0,64,150,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",21565,116,5578,83,4637,10,171,0,27,2597,0,5654,0,1460,74,1577,33,0,58,0,0,0,0,156,0,58,142,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",20591,160,4498,81,3952,3,181,0,39,2855,0,5638,0,1442,52,1603,30,2,54,0,0,0,0,163,0,54,120,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",25077,99,4746,76,7175,10,159,0,40,3277,0,6380,0,1459,70,1987,27,4,66,0,0,0,0,188,0,66,153,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",20692,113,5116,80,4077,2,186,0,48,2750,0,5648,0,1437,63,1422,30,2,48,0,0,0,0,145,0,48,124,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",20886,158,4931,77,5107,5,234,0,82,3171,0,5681,0,1478,56,1600,31,4,54,0,0,0,0,147,0,54,126,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",24405,106,3679,76,5755,6,169,0,46,2808,0,5341,0,1284,47,1636,28,2,44,0,0,0,0,104,0,44,104,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",19284,108,4690,80,2514,3,139,0,34,2516,0,5127,0,1106,50,1032,30,2,42,0,0,0,0,145,0,42,98,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",22228,185,4891,85,6173,4,222,0,150,3188,0,5847,0,1479,68,1630,34,3,68,0,0,0,0,171,0,68,152,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",24370,172,5012,72,8580,14,243,0,207,3569,0,6120,0,1460,55,1859,33,0,52,0,0,0,0,116,0,52,125,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",20406,165,4933,81,5094,4,162,0,71,2837,0,5409,0,1416,52,1587,31,3,66,0,0,0,0,164,0,66,140,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",21284,177,4871,75,4860,5,184,0,118,2805,0,5602,0,1100,61,1306,30,4,60,0,0,0,0,168,0,60,137,0,0
