"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","BGxh2","BGxh3","BGxw2","BWBSuf","CMAun","CMAunp","CWHds1","CWHds2","CWHms1","CWHws2","ESSFabN","ESSFdc2","ESSFdk2","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmm1","ESSFmmp","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFmwp","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFxc_CO","ESSFxc_WA","ESSFxc3","ESSFxcp","ESSFxcw","ESSFxk_UT","ESSFxv1","ESSFxv2","ESSFxvp","ICHdk","ICHmc1","ICHmc2","ICHmk3","ICHwk2","ICHwk3","ICHwk4","IDFdc","IDFdk1","IDFdk3","IDFdk4","IDFdw","IDFww","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","IMAunp","MHmm2","MHmmp","MSabN","MSdc2","MSdh_UT","MSdk_CO","MSdv","MSxk1","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSdc","SBPSmc","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmh","SBSmm","SBSmw","SBSvk","SBSwk1","SWBmk"
1,"obs","obs",NA,"1961_1990",2487,328,4,267,666,6,64,259,9,47,87,20,64,4,51,1,13,552,29,162,4,43,1,1,30,45,7,13,6,49,11,1238,686,357,1832,19,7,271,2,116,93,12,16,3187,729,2196,14,2,7,596,2532,55,176,1,131,4431,4543,1081,16,55,2897,25,1036,135,16,161,8,1,332,1,20,105,5,42,41,8167,5,1,506,335,536,16484,153,2635,1263,229,366,36,128,2,40,1,331,1
2,"obs","obs",NA,"2001_2020",1661,258,3,230,259,NA,10,212,6,39,29,16,NA,NA,35,NA,7,288,6,58,NA,2,NA,NA,NA,1,NA,3,1,15,NA,722,394,92,1406,1,NA,224,1,34,19,3,14,2120,299,1274,NA,1,NA,209,1934,2,80,NA,104,3777,3069,903,9,46,2229,3,617,62,NA,125,1,NA,90,NA,9,20,4,19,7,4844,1,1,90,92,119,10950,11,1700,190,147,155,27,81,NA,NA,NA,46,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",597,127,4,165,241,NA,NA,171,2,20,12,6,NA,NA,NA,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,1,3,1,263,NA,NA,15,NA,NA,NA,NA,NA,262,33,22,NA,1,NA,1,1070,6,15,NA,45,601,434,234,6,42,1563,17,154,NA,NA,80,NA,NA,1,NA,NA,NA,NA,NA,NA,545,NA,NA,96,NA,16,794,41,171,NA,NA,37,NA,73,NA,NA,NA,1,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",390,15,3,41,24,NA,NA,67,NA,8,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,377,3,NA,NA,8,NA,72,58,4,18,733,2,93,3,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,48,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",409,80,4,35,23,NA,NA,144,1,9,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,19,NA,NA,6,NA,NA,NA,NA,NA,41,NA,5,NA,2,NA,NA,418,4,NA,NA,18,232,112,28,5,22,988,NA,100,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,2,NA,36,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",643,18,4,112,210,NA,NA,76,NA,6,NA,NA,NA,NA,1,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,306,NA,NA,NA,NA,NA,NA,NA,NA,15,1,6,NA,1,NA,NA,1095,6,3,NA,21,2,286,477,2,28,1638,NA,126,9,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,996,14,178,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",1352,205,4,249,291,3,13,205,8,37,37,13,6,NA,NA,NA,4,205,1,30,NA,2,NA,NA,5,NA,2,NA,NA,15,NA,382,304,2,911,6,NA,114,NA,5,32,NA,4,1116,36,610,NA,NA,NA,3,1847,2,69,1,94,2873,1380,189,2,40,1815,1,645,3,NA,127,NA,NA,19,NA,6,NA,2,2,4,1991,NA,NA,49,135,69,5501,42,425,NA,4,166,7,121,NA,NA,NA,8,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1057,206,3,218,33,3,3,204,1,42,24,11,6,NA,NA,NA,1,209,1,21,NA,NA,NA,NA,11,4,1,NA,NA,11,NA,156,263,NA,548,6,NA,87,NA,1,6,NA,3,882,10,357,NA,1,NA,NA,1415,NA,16,NA,85,1844,944,101,7,43,763,16,497,NA,NA,117,NA,NA,3,NA,11,NA,NA,NA,4,1541,1,NA,1,1,21,2149,53,20,NA,NA,108,NA,6,NA,NA,NA,1,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",921,143,4,236,281,2,NA,208,4,24,27,7,1,NA,NA,NA,3,68,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,227,169,NA,739,2,NA,68,NA,7,5,NA,4,698,86,340,NA,NA,NA,12,1559,2,71,1,83,1482,931,168,3,43,1404,20,435,NA,1,107,NA,NA,8,NA,NA,NA,NA,3,NA,1336,NA,NA,NA,1,20,3047,74,728,67,3,62,NA,99,NA,NA,NA,12,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1449,161,4,244,68,4,8,230,7,35,41,11,7,NA,NA,NA,5,180,1,50,NA,1,NA,NA,2,NA,NA,5,2,13,NA,545,417,21,1251,5,NA,125,NA,6,25,1,5,1406,7,841,NA,NA,1,NA,1960,NA,108,1,111,3085,1590,93,2,47,1460,1,693,NA,NA,133,NA,NA,35,NA,7,NA,2,2,3,2140,NA,NA,132,64,106,6183,9,328,NA,5,204,8,120,NA,NA,NA,5,NA
