"index","GCM","SSP","RUN","PERIOD","CDF","CMA","CWH","ESSF","MH","CRF","CMX","CWF","MS","IGF","IDF","ICH"
1,"obs","obs",NA,"1961_1990",9289,3960,65465,8,9574,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",9060,2920,67250,8,8875,183,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",3030,1473,75937,2,4841,3005,1,5,2,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",1430,1322,75352,1,5032,4925,40,129,49,16,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",2004,1650,73727,18,6027,4408,26,354,66,15,1,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",1674,1201,76149,2,4157,5018,9,80,6,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",5942,2486,72093,5,7171,599,NA,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",4120,2460,73985,3,7047,681,NA,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",4388,2540,73312,5,6987,1064,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",4217,2479,74331,NA,7111,158,NA,NA,NA,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",3228,2079,75493,4,6057,1435,NA,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",5747,2062,73240,2,6338,907,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1635,2180,76607,1,6282,1591,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",6532,1898,72839,10,5818,1199,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",6295,2707,71259,6,7337,692,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",7911,2802,69252,7,7907,417,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",5608,2735,71898,4,7319,732,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",5489,2504,72234,4,6946,1119,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",6631,2211,71785,9,7105,555,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",6898,2194,71738,5,7085,376,NA,NA,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",5814,2599,71942,4,7677,260,NA,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",6110,2076,72599,8,6584,919,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",5197,1921,73760,NA,5820,1598,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",6139,1871,73111,NA,5769,1406,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",6419,1974,72352,NA,6052,1499,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",3586,1906,75456,NA,5614,1733,1,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",5123,2464,72576,3,7065,1065,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",5752,2435,71744,6,7531,828,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",4308,2387,73619,2,6618,1362,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",4605,1988,74575,2,5978,1148,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",4605,1988,74575,2,5978,1148,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",5186,2207,73541,3,6233,1126,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",141,300,75218,NA,2088,9495,1014,17,17,3,3,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",121,316,71964,NA,1918,12900,1036,19,17,5,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",124,247,72934,NA,2099,11414,1338,49,59,32,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",140,235,78326,NA,2586,5616,1308,NA,53,28,1,3
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",502,1416,80179,1,4427,1763,8,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",487,1323,80072,1,4644,1766,3,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",1768,1325,78693,1,4313,2196,NA,NA,NA,NA,NA,NA
