"index","GCM","SSP","RUN","PERIOD","CDF","CMA","CWH","ESSF","MH","CRF","CMX","CWF","MS","IGF","IDF","ICH"
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",996,1587,78249,NA,4949,2515,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",368,1088,79939,NA,3815,3068,18,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",1110,1579,78435,NA,5440,1732,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",325,878,79885,NA,3253,3945,10,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",243,1258,77661,NA,4186,4914,34,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",1086,1344,78221,NA,4227,3404,14,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1263,1273,78617,1,4199,2938,5,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",2383,1531,76530,NA,4652,3196,4,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",354,1209,78371,NA,3988,4243,131,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",729,629,81839,NA,3110,1979,10,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",352,722,81058,NA,3120,2993,51,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",211,922,82444,NA,3218,1477,24,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",3927,525,79212,NA,3407,1223,NA,NA,NA,NA,NA,2
53,"MIROC6","ssp245","ensembleMean","2021_2040",401,1117,79385,NA,3725,3637,31,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",1948,966,79317,NA,3775,2290,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",223,988,78742,NA,3665,4552,126,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",135,1314,77516,NA,3836,5430,65,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",609,1511,79287,1,4596,2289,3,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",2830,1305,76746,NA,4534,2881,NA,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",154,1521,80184,NA,4622,1804,11,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",234,810,78353,NA,3219,5603,77,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",234,810,78353,NA,3219,5603,77,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",453,1048,79915,NA,3486,3364,30,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",8,61,61095,NA,1057,19849,6168,NA,26,24,8,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",8,20,63113,NA,358,20265,4523,NA,NA,NA,9,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",2,67,53653,NA,979,24351,9188,NA,15,40,1,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",3,77,50502,NA,1073,27627,8947,NA,16,51,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",207,724,80851,NA,2985,3479,49,NA,1,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",213,970,79027,1,3811,4220,46,NA,6,NA,NA,2
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",118,926,81774,NA,3646,1824,6,NA,2,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",387,681,82409,NA,2993,1792,33,NA,NA,NA,NA,1
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",162,372,76063,NA,2165,9217,316,NA,1,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",231,575,77612,NA,2687,7073,118,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",94,340,73534,NA,2323,10968,1036,NA,1,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",524,364,75793,NA,2007,9495,112,NA,1,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",148,719,74958,NA,2745,9337,389,NA,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",116,643,72927,NA,2520,11668,422,NA,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",222,901,76612,NA,3020,7336,205,NA,NA,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",126,615,73847,NA,2759,9927,1022,NA,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",134,283,82685,NA,2076,2876,242,NA,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",44,469,79094,NA,2473,5595,621,NA,NA,NA,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",138,185,83186,NA,1930,2179,678,NA,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",251,208,83010,NA,1707,3045,75,NA,NA,NA,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",80,655,77407,NA,2850,6928,376,NA,NA,NA,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",72,665,79016,NA,2730,5646,167,NA,NA,NA,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",85,592,73984,NA,3007,9397,1231,NA,NA,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",96,687,77858,NA,3138,6266,251,NA,NA,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",151,958,79067,NA,3433,4581,105,NA,1,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",192,729,81946,NA,3418,1980,31,NA,NA,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",132,981,74342,NA,3503,8930,398,NA,10,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",96,255,83774,NA,1764,1895,512,NA,NA,NA,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",96,255,83774,NA,1764,1895,512,NA,NA,NA,NA,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",126,404,78749,NA,2363,6274,380,NA,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,10,55544,NA,355,23503,8869,NA,1,11,3,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,10,47587,NA,171,33736,6773,NA,NA,18,1,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,15,61623,NA,410,17757,8491,NA,NA,NA,NA,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",4,88,39351,NA,655,35864,12228,9,14,83,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",56,356,78239,NA,2155,6927,563,NA,NA,NA,NA,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",37,413,79634,NA,2101,5663,448,NA,NA,NA,NA,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",11,501,76888,NA,2869,6360,1667,NA,NA,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",42,305,80087,NA,2065,5218,579,NA,NA,NA,NA,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",20,137,74478,NA,1427,10036,2198,NA,NA,NA,NA,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",17,155,73117,NA,1442,11093,2472,NA,NA,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",34,170,76470,NA,1365,8137,2120,NA,NA,NA,NA,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",35,169,68300,NA,1616,15411,2761,3,1,NA,NA,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",73,498,75377,NA,2360,9070,918,NA,NA,NA,NA,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",128,674,74927,NA,2757,9081,724,NA,5,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",71,521,74531,NA,2361,9600,1212,NA,NA,NA,NA,NA
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",32,314,75391,NA,1863,9488,1208,NA,NA,NA,NA,NA
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",20,210,81265,NA,1692,3971,1138,NA,NA,NA,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",6,235,76103,NA,2232,5995,3724,NA,NA,NA,NA,1
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",34,101,79464,NA,1421,6074,1202,NA,NA,NA,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",3,186,80026,NA,1441,5129,1511,NA,NA,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",73,463,71689,NA,2685,11433,1953,NA,NA,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",66,484,72532,NA,2734,10550,1929,NA,1,NA,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",70,399,70070,NA,2689,12404,2663,NA,1,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",79,454,72254,NA,2628,11302,1579,NA,NA,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",55,554,76171,NA,3024,6746,1743,NA,3,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",55,684,69919,NA,3373,11500,2748,NA,16,1,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",49,458,80437,NA,2600,3760,992,NA,NA,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",116,170,79513,NA,1416,6227,854,NA,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",116,170,79513,NA,1416,6227,854,NA,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",48,190,75762,NA,1687,8636,1973,NA,NA,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,4,34224,NA,201,38939,14901,1,NA,23,3,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,17,33886,NA,268,38742,15354,NA,1,27,1,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",1,NA,35153,NA,179,39243,13680,4,2,31,3,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,1,40233,NA,68,37182,10802,NA,NA,NA,10,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",7,148,71307,NA,1470,12496,2868,NA,NA,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",20,101,70122,NA,1293,14049,2711,NA,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",3,161,67498,NA,1611,15170,3853,NA,NA,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",33,159,75497,NA,1532,9691,1384,NA,NA,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",10,57,67451,NA,893,15216,4669,NA,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",17,49,66141,NA,860,16057,5172,NA,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",4,67,65049,NA,1052,15453,6671,NA,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",4,52,66819,NA,756,13398,7267,NA,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",17,229,71798,NA,1668,11653,2931,NA,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",20,177,71296,NA,1377,12833,2593,NA,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",37,340,67044,NA,2346,14719,3810,NA,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",10,191,75432,NA,1529,8330,2804,NA,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",14,112,78281,NA,1319,6826,1744,NA,NA,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,96,76304,NA,1025,7935,2936,NA,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",63,66,81082,NA,1105,5311,669,NA,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",14,106,76254,NA,1327,8446,2149,NA,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",46,166,64077,NA,1562,18594,3850,NA,NA,NA,1,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",44,170,63743,NA,1810,17523,5002,1,NA,1,2,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",73,144,65096,NA,1445,18483,3054,NA,NA,NA,1,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",45,180,62174,NA,1767,20095,4035,NA,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",143,298,73804,NA,2067,11041,926,NA,13,1,3,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",354,301,74282,NA,2106,10326,875,10,28,3,11,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",61,298,72962,NA,1889,11982,1101,NA,3,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",2,103,72190,NA,1170,9879,4952,NA,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",2,103,72190,NA,1170,9879,4952,NA,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",20,82,68614,NA,1150,14475,3955,NA,NA,NA,NA,NA
