"index","GCM","SSP","RUN","PERIOD","CDF","CMA","CWH","ESSF","MH"
1,"obs","obs",NA,"1961_1990",9289,3960,65465,8,9574
2,"obs","obs",NA,"2001_2020",7246,2772,63053,3,7088
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1201,1451,63461,1,2348
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",250,1295,63509,NA,2418
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",712,1604,63475,NA,3679
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",297,1185,63357,1,1469
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",4887,2460,64390,2,5653
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",3430,2433,64760,2,5505
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",3205,2500,64237,3,5481
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",3817,2455,65057,NA,5600
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",2327,2059,64523,2,4139
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",4491,2044,64199,1,4416
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1117,2125,64855,1,4367
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",4550,1880,63448,4,3736
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",4854,2669,63935,3,5954
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",6383,2752,63842,3,6604
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",4096,2659,63777,2,5838
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",4115,2472,64031,2,5402
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",5520,2194,64339,2,5341
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",6213,2178,64767,2,5302
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",5312,2576,64955,2,6289
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",4375,2060,63718,2,4679
23,"MIROC6","ssp245","ensembleMean","2001_2020",3404,1901,63615,NA,3765
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",4020,1856,63301,NA,3672
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",4340,1952,63331,NA,4041
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",2260,1888,64079,NA,3544
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",3585,2391,63823,2,5389
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",4108,2332,63599,3,5682
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",2943,2336,64051,1,4950
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",3250,1968,64088,1,3980
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",3250,1968,64088,1,3980
32,"ensembleMean","ssp245","ensembleMean","2001_2020",3612,2187,63864,2,4446
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,294,61957,NA,56
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,311,59870,NA,62
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,242,60497,NA,80
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,233,63117,NA,178
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",239,1398,65154,1,1885
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",189,1304,65113,NA,2060
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",613,1307,64204,1,1698
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",448,1569,64843,NA,2562
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",108,1074,65017,NA,1054
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",847,1562,65184,NA,3063
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",52,869,64770,NA,480
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",77,1241,64662,NA,1544
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",439,1328,64521,NA,1641
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",367,1257,64387,1,1542
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",1059,1515,63868,NA,2226
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",100,1196,64660,NA,1343
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",164,621,64819,NA,411
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",67,714,64967,NA,409
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",61,915,65281,NA,581
