Retire,withsubtaxa,Source,BGC,SS_NoSpace,Special,SpecialCode
,,BECv10,BAFAun,BAFAun/00,,
,,BECv10,BAFAunp,BAFAunp/00,,
,,USA_2019,BGdh_OR,BGdh_OR/110,,
,,USA_2019,BGdh_OR,BGdh_OR/111,,
,,USA_2019,BGdh_OR,BGdh_OR/Gg1,Insolation,IN2
,,USA_2019,BGdh_OR,BGdh_OR/Gg2,Insolation,IN2
,,USA_2019,BGdh_OR,BGdh_OR/Ro,Lithic,
,,USA_2020,BGdw_OR,BGdw_OR/110,,
,,USA_2020,BGdw_OR,BGdw_OR/111,,
,,USA_2020,BGdw_OR,BGdw_OR/Gg,Insolation,IN2
,,USA_2019,BGdw_OR,BGdw_OR/Ro,Lithic,
,,USA_2019,BGdw_WA,BGdw_WA/110,,
,,USA_2019,BGdw_WA,BGdw_WA/111,,
,,USA_2019,BGdw_WA,BGdw_WA/Gg,Insolation,IN2
,,USA_2019,BGdw_WA,BGdw_WA/Ro,Lithic,
,,USA_2020,BGmk_ID,BGmk_ID/110,,
,,USA_2020,BGmk_ID,BGmk_ID/111,,
,,USA_2020,BGmk_ID,BGmk_ID/Gg,Insolation,IN2
,,USA_2019,BGmk_ID,BGmk_ID/Ro,Lithic,
,,USA_2019,BGmk_MT,BGmk_MT/110,,
,,USA_2019,BGmk_MT,BGmk_MT/111,,
,,USA_2019,BGmk_MT,BGmk_MT/Gg1,Insolation,IN2
,,USA_2019,BGmk_MT,BGmk_MT/Gg2,Insolation,IN2
,,USA_2019,BGmk_MT,BGmk_MT/Ro,Lithic,
,,USA_2020,BGmk_NV,BGmk_NV/110,,
,,USA_2020,BGmk_NV,BGmk_NV/111,,
,,USA_2020,BGmk_NV,BGmk_NV/Gg1,Insolation,IN2
,,USA_2020,BGmk_NV,BGmk_NV/Gg2,Insolation,IN2
,,USA_2019,BGmk_NV,BGmk_NV/Ro,Lithic,
,,USA_2019,BGmm_MT,BGmm_MT/110,,
,,USA_2019,BGmm_MT,BGmm_MT/111,,
,,USA_2019,BGmm_MT,BGmm_MT/Gg1,Insolation,IN2
,,USA_2019,BGmm_MT,BGmm_MT/Gg2,Insolation,IN2
,,USA_2019,BGmm_MT,BGmm_MT/Ro,Lithic,
,,USA_2020,BGmw_OR,BGmw_OR/110,,
,,USA_2020,BGmw_OR,BGmw_OR/111,,
,,USA_2020,BGmw_OR,BGmw_OR/Gg,Insolation,IN2
,,USA_2019,BGmw_OR,BGmw_OR/Ro,Lithic,
,,USA_2019,BGmw_WA,BGmw_WA/110,,
,,USA_2019,BGmw_WA,BGmw_WA/111,,
,,USA_2019,BGmw_WA,BGmw_WA/Gg,Insolation,IN2
,,USA_2019,BGmw_WA,BGmw_WA/Ro,Lithic,
,,USA_2019,BGwm_WA,BGwm_WA/110,,
,,USA_2019,BGwm_WA,BGwm_WA/111,,
,,USA_2019,BGwm_WA,BGwm_WA/Gg,Insolation,IN2
,,USA_2019,BGwm_WA,BGwm_WA/Ro,Lithic,
,,USA_2019,BGxh_WA,BGxh_WA/110,,
,,USA_2019,BGxh_WA,BGxh_WA/111,,
,,USA_2019,BGxh_WA,BGxh_WA/Gg1,Insolation,IN2
,,USA_2019,BGxh_WA,BGxh_WA/Gg2,Insolation,IN2
,,USA_2019,BGxh_WA,BGxh_WA/Ro,Lithic,
,,BECv12,BGxh1,BGxh1/102,,
,,BECv12,BGxh1,BGxh1/103,,
,,BECv12,BGxh1,BGxh1/110,,
,,BECv12,BGxh1,BGxh1/Fm01,Mid fluvial bench,Fm
,,BECv12,BGxh1,BGxh1/Fm06,Mid fluvial bench,Fm
,,BECv10,BGxh1,BGxh1/Gg,Insolation,IN2
,,BECv12,BGxh2,BGxh2/102,,
,,BECv12,BGxh2,BGxh2/110,,
,,BECv12,BGxh2,BGxh2/Fm01,Mid fluvial bench,Fm
,,BECv12,BGxh2,BGxh2/Fm05,Mid fluvial bench,Fm
,,BECv12,BGxh2,BGxh2/Fm06,Mid fluvial bench,Fm
,,BECv10,BGxh2,BGxh2/Gg,Insolation,IN2
,,BECv10,BGxh2,BGxh2/Gs,Insolation,IN2
,,BECv10,BGxh3,BGxh3/110,Cool aspects/cold air,CAS
,,BECv10,BGxh3,BGxh3/111,,
,,BECv10,BGxh3,BGxh3/112,Mid fluvial bench,Fm
,,BECv10,BGxh3,BGxh3/113,Mid fluvial bench,Fm
,,BECv10,BGxh3,BGxh3/Gg,Insolation,IN2
,,BECv10,BGxh3,BGxh3/Ro,Lithic,
,,BECv12,BGxw1,BGxw1/102,,
,,BECv12,BGxw1,BGxw1/110,,
,,BECv12,BGxw1,BGxw1/111,,
,,BECv10,BGxw1,BGxw1/Ff04,,
,,BECv12,BGxw1,BGxw1/Fm01,Mid fluvial bench,Fm
,,BECv12,BGxw1,BGxw1/Fm05,Mid fluvial bench,Fm
,,BECv10,BGxw1,BGxw1/Gg,Insolation,IN2
,,BECv10,BGxw1,BGxw1/Ro,Lithic,
,,BECv10,BGxw2,BGxw2/101,,
,,BECv10,BGxw2,BGxw2/110,Cool aspects/cold air,CAS
,,BECv10,BGxw2,BGxw2/111,Cool aspects/cold air,CAS
,,BECv10,BGxw2,BGxw2/112,Mid fluvial bench,Fm
,,BECv10,BGxw2,BGxw2/113,,
,,BECv10,BGxw2,BGxw2/114,,
,,BECv10,BGxw2,BGxw2/115,,
,,BECv10,BGxw2,BGxw2/Gg,Insolation,IN2
,,BECv10,BGxw2,BGxw2/Ro,Lithic,
,,USA_2020,BGxx_WY,BGxx_WY/110,,
,,USA_2020,BGxx_WY,BGxx_WY/111,,
,,USA_2020,BGxx_WY,BGxx_WY/Gg1,Insolation,IN2
,,USA_2020,BGxx_WY,BGxx_WY/Gg2,Insolation,IN2
,,USA_2019,BGxx_WY,BGxx_WY/Ro,Lithic,
,,AB_2018,BSJPap,BSJPap/a,,
,,AB_2018,BSJPap,BSJPap/b,,
,,AB_2018,BSJPap,BSJPap/c,,
,,AB_2018,BSJPap,BSJPap/d,,
,,AB_2018,BSJPap,BSJPap/e,,
,,AB_2018,BSJPap,BSJPap/f,,
,,AB_2018,BSJPap,BSJPap/g,,
,,AB_2018,BSJPap,BSJPap/h,,
,,AB_2018,BSJPap,BSJPap/Ro,Lithic,
,,AB_2018,BSJPku,BSJPku/a,,
,,AB_2018,BSJPku,BSJPku/b,,
,,AB_2018,BSJPku,BSJPku/c,,
,,AB_2018,BSJPku,BSJPku/d,,
,,AB_2018,BSJPku,BSJPku/e,,
,,AB_2018,BSJPku,BSJPku/f,,
,,AB_2018,BSJPku,BSJPku/g,,
,,AB_2018,BSJPku,BSJPku/h,,
,,AB_2018,BSJPku,BSJPku/Ro,Lithic,
,,AB_2018,BSJPpa,BSJPpa/a,,
,,AB_2018,BSJPpa,BSJPpa/b,,
,,AB_2018,BSJPpa,BSJPpa/c,,
,,AB_2018,BSJPpa,BSJPpa/d,,
,,AB_2018,BSJPpa,BSJPpa/e,,
,,AB_2018,BSJPpa,BSJPpa/f,,
,,AB_2018,BSJPpa,BSJPpa/g,,
,,AB_2018,BSJPpa,BSJPpa/h,,
,,AB_2018,BSJPpa,BSJPpa/Ro,Lithic,
,,ABv12,BWBScmC,BWBScmC/a,,
,,ABv12,BWBScmC,BWBScmC/b,,
,,ABv12,BWBScmC,BWBScmC/c,,
,,ABv12,BWBScmC,BWBScmC/d,,
,,ABv12,BWBScmC,BWBScmC/e,,
,,ABv12,BWBScmC,BWBScmC/f,,
,,ABv12,BWBScmC,BWBScmC/g,,
,,ABv12,BWBScmC,BWBScmC/h,,
,,ABv12,BWBScmC,BWBScmC/i,,
,,ABv12,BWBScmC,BWBScmC/j,,
,,ABv12,BWBScmC,BWBScmC/k,,
,,AB_2018,BWBScmC,BWBScmC/Ro,Lithic,
,,ABv12,BWBScmE,BWBScmE/a,,
,,ABv12,BWBScmE,BWBScmE/b,,
,,ABv12,BWBScmE,BWBScmE/c,,
,,ABv12,BWBScmE,BWBScmE/d,,
