ID,Latitude,Longitude,Elevation (m)
Inga Lake,56.61666667,-121.6333333,890
Iron Creek,56.63333333,-122.3166667,820
Stewart Lake,55.9,-120.9833333,805
Wonowon,56.61666667,-121.8166667,900
Bednesti North,53.86666667,-123.4833333,850
Bednesti South,53.86666667,-123.4833333,850
Tanli,53.28333333,-124.4666667,1240
Upper Coalmine,53.61666667,-121.7166667,1190
Gleason,54.124,-121.2421667,855
Sande,54.08166667,-121.1866667,700
Severeid,54.19633333,-121.4706667,840
West Torpy,54.08516667,-121.5175,790
Mackenzie,53.21666667,-123.0166667,760
