"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH","CMX","CRF"
1,"obs","obs",NA,"1961_1990",456,27494,6326,NA,NA
2,"obs","obs",NA,"2001_2020",277,28962,5037,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",77,32288,1911,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",78,32808,1390,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",151,32352,1773,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",88,32852,1336,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",158,29446,4672,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",152,29666,4458,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",141,29890,4245,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",161,29469,4646,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",72,30840,3364,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",83,30477,3716,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",80,30970,3226,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",106,31470,2700,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",185,29575,4516,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",255,29187,4834,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",174,29819,4283,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",172,29857,4247,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",195,29409,4672,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",195,29345,4736,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",267,28763,5246,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",169,29974,4133,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",103,30594,3579,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",145,30246,3885,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",146,30460,3670,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",52,31373,2851,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",232,30218,3826,NA,NA
