"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH"
1,"obs","obs",NA,"1961_1990",456,27494,6326
2,"obs","obs",NA,"2001_2020",268,27479,4834
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",71,27492,1524
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",72,27494,1010
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",118,27491,1432
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",77,27494,963
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",156,27490,4368
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",152,27489,4149
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",141,27485,3921
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",154,27485,4335
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",72,27492,2978
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",83,27493,3342
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",80,27483,2839
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",106,27494,2350
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",182,27488,4236
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",252,27490,4626
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",164,27483,3980
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",172,27486,3955
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",193,27488,4403
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",190,27490,4466
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",261,27480,5037
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",169,27483,3835
23,"MIROC6","ssp245","ensembleMean","2001_2020",103,27484,3216
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",142,27483,3560
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",143,27483,3346
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",52,27484,2437
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",220,27483,3579
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",254,27477,3780
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",177,27483,3344
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",109,27483,3188
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",109,27483,3188
32,"ensembleMean","ssp245","ensembleMean","2001_2020",134,27486,3415
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",7,27494,76
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",17,27494,4
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",10,27494,56
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",6,27494,68
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",37,27490,1674
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",33,27490,1588
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",28,27494,1366
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",37,27484,2287
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",13,27492,834
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",48,27486,2269
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",6,27494,401
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",14,27494,899
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",29,27490,1414
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",28,27492,1340
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",41,27490,1686
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",22,27492,1193
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",17,27492,964
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",19,27494,694
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",11,27491,777
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",25,27494,1264
53,"MIROC6","ssp245","ensembleMean","2021_2040",26,27491,1390
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",46,27485,1929
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",70,27494,881
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",27,27488,1577
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",63,27487,1994
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",80,27493,2268
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",75,27484,1851
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",60,27494,547
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",60,27494,547
62,"ensembleMean","ssp245","ensembleMean","2021_2040",25,27494,1021
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",4,27494,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",2,27494,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,27470,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",4,27465,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",12,27493,545
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",21,27492,888
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",30,27493,953
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",10,27494,514
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",2,27494,27
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",4,27494,157
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,27494,18
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",2,27494,28
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",4,27494,273
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",3,27494,144
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",7,27494,428
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",3,27494,245
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",8,27494,230
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",3,27494,170
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",10,27494,294
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",6,27494,224
83,"MIROC6","ssp245","ensembleMean","2041_2060",6,27494,454
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",4,27494,474
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",32,27494,288
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",10,27494,632
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",24,27493,1083
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",25,27493,1054
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",127,27492,980
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",7,27494,209
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",7,27494,209
92,"ensembleMean","ssp245","ensembleMean","2041_2060",5,27494,172
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,27481,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,25704,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,27472,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",2,26884,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",2,27494,57
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",2,27494,50
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",5,27494,129
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",2,27494,52
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,27494,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,27494,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,27494,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,27494,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",2,27494,44
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",3,27494,116
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",2,27494,34
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",2,27494,18
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",3,27494,21
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",2,27494,20
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",3,27494,48
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,27494,2
113,"MIROC6","ssp245","ensembleMean","2061_2080",4,27494,246
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",6,27494,314
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",19,27494,153
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",3,27494,244
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",25,27494,318
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",53,27494,248
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",19,27494,454
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",4,27494,54
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",4,27494,54
122,"ensembleMean","ssp245","ensembleMean","2061_2080",2,27494,18
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,23539,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,23865,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,23948,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,24561,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",1,27494,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",1,27494,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",1,27494,1
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",1,27494,4
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,27478,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,27470,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,27462,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,27488,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",2,27494,16
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",2,27494,4
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",2,27494,11
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",2,27494,6
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",2,27494,8
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,27494,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",2,27494,3
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",2,27494,11
143,"MIROC6","ssp245","ensembleMean","2081_2100",6,27494,4
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",9,27494,1
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,27494,6
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",18,27494,2
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",9,27494,56
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",51,27494,43
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",4,27494,36
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,27494,5
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,27494,5
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,27494,NA
