"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",0,0,16998,20293,0,0,7323,0,0,405,0,0,7323,27494,20293,33820,13751,16998,10729,0,0,0,0,26669,0,13699,10280,0,0
2,"obs","obs",NA,"2001_2020",3,0,21228,22623,0,0,12898,0,0,275,0,13,12898,28962,22623,33999,17607,21228,7840,0,0,0,0,21270,3,11545,7755,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",5071,0,31622,25534,0,0,22115,0,0,293,0,195,22414,32288,25534,34199,25002,31320,984,0,0,0,0,12062,5071,8942,1979,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",2241,0,32503,25866,0,0,21628,0,0,167,0,300,24531,32808,25866,34198,25758,29600,3218,0,0,0,0,9824,2241,8489,1400,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",1949,0,32069,24892,0,0,21787,0,0,255,0,552,24071,32352,24892,34125,24859,29785,2588,0,0,0,0,10288,1949,9467,1775,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",2737,0,32483,25617,0,0,22228,0,0,230,0,242,24191,32852,25617,34188,25520,30520,2347,0,0,0,0,10212,2737,8786,1348,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",28,0,17594,22492,0,0,12038,0,0,199,0,0,12012,29446,22492,34118,15323,17568,11937,0,0,0,0,22220,28,11740,9355,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",86,0,16815,22731,0,0,12619,0,0,155,0,0,12616,29666,22732,34124,15153,16812,12903,0,0,0,0,21610,86,11495,9730,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",251,0,21257,23252,0,0,14767,0,0,152,0,7,14775,29890,23252,34135,18158,21249,8676,0,0,0,0,19477,251,11000,7782,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",51,0,14499,22418,0,0,11217,0,0,232,0,0,11143,29469,22435,34115,13287,14425,15096,0,0,0,0,23061,51,11786,10468,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",2886,0,22723,24329,0,0,16911,0,0,293,0,34,16936,30840,24329,34204,19935,22698,8185,0,0,0,0,17518,2886,10125,7086,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",894,0,19910,23723,0,0,14699,0,0,334,0,1,14693,30477,23724,34193,17979,19904,10629,0,0,0,0,19771,894,10741,8538,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",358,0,25422,25398,0,0,15918,0,0,168,0,695,19800,30970,25398,34196,22811,21540,9447,0,0,0,0,14547,358,8949,5452,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",6677,0,29262,25653,0,0,19442,0,0,1942,0,85,19232,31470,25653,34170,24708,29052,2510,0,0,0,0,16578,6677,10157,3949,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",88,0,22097,23258,0,0,13783,0,0,292,0,6,13807,29575,23258,34091,18580,22073,7561,0,0,0,0,20517,88,11066,7315,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",108,0,23470,23143,0,0,13397,0,0,522,0,10,13404,29187,23143,34021,19454,23463,5821,0,0,0,0,21042,108,11303,6861,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",0,0,19877,23378,0,0,13895,0,0,166,0,6,13899,29819,23378,34102,17523,19873,9996,0,0,0,0,20319,0,10840,8369,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",986,0,23596,23569,0,0,14880,0,0,269,0,8,14885,29857,23569,34104,19456,23591,6314,0,0,0,0,19440,986,10756,6394,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",1454,0,21652,22802,0,0,13345,0,0,309,0,7,13343,29409,22802,34081,18005,21650,7844,0,0,0,0,20960,1454,11501,7632,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",2927,0,22623,22806,0,0,13812,0,0,601,0,30,13801,29345,22806,34081,19314,22612,6875,0,0,0,0,20728,2927,11723,7966,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",380,0,20139,22283,0,0,12596,0,0,342,0,52,12596,28763,22283,34009,17349,20139,8741,0,0,0,0,21638,380,11951,8936,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1349,0,24024,23723,0,0,15107,0,0,214,0,6,15106,29974,23723,34107,19471,24023,5990,0,0,0,0,19175,1349,10558,5831,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",1136,0,24082,24142,0,0,17103,0,0,156,0,0,17001,30594,24142,34173,19497,23980,6631,0,0,0,0,17209,1136,10068,5446,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",931,0,25535,24108,0,0,17746,0,0,106,0,102,17895,30246,24108,34131,20676,25386,4879,0,0,0,0,16323,931,10110,5116,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",617,0,29813,22117,0,0,19843,0,0,902,0,18,19085,30460,22117,34130,21556,29059,1433,0,0,0,0,15161,617,12129,3756,0,0
