"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2","CWHds1","MHmm_WA","CWHdm_WA","CWHvm_WA","CWHws2","CWHms2","CWHwh1","CWHmh_OR","CWHxm_WA","CWHdm_OR","CWHvh_WA","CWHds2","CWHwh_WA","CWHvm_OR","CMXwm_OR","CRFdh_CA"
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,3,14877,8,50,3,5014,3148,NA,4557,283,NA,2880,27,644,137,NA,1693,25,917,NA,NA,10,NA,NA,NA,NA,NA
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",2,NA,5664,545,1741,25,1348,971,NA,8072,234,NA,2286,31,10160,1847,NA,NA,NA,945,399,NA,NA,NA,6,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,3,12312,NA,46,20,3627,3244,NA,5056,355,NA,3567,39,497,101,NA,4827,NA,546,NA,NA,36,NA,NA,NA,NA,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,NA,18928,2,NA,NA,6118,2191,NA,980,93,NA,585,NA,283,3,NA,1994,539,2371,NA,NA,176,NA,13,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",4,NA,3502,621,3731,NA,1944,912,6,11773,559,NA,4,81,9457,596,NA,NA,NA,973,NA,2,1,NA,110,NA,NA,NA
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",6,NA,4348,26,1336,NA,3770,2990,NA,11196,625,NA,608,96,7533,435,NA,NA,NA,1110,NA,NA,2,NA,195,NA,NA,NA
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",19,NA,365,750,4205,5,33,34,6,10315,284,NA,NA,223,13818,2569,NA,NA,NA,536,293,794,NA,NA,27,NA,NA,NA
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,3,3270,398,4013,NA,2464,1147,153,12721,577,NA,NA,65,7832,152,NA,NA,NA,1120,NA,NA,22,NA,339,NA,NA,NA
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",25,NA,586,125,2496,1,190,118,5,7182,269,NA,126,445,16464,5313,NA,NA,NA,542,389,NA,NA,NA,NA,NA,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",53,NA,2,205,4387,NA,16,NA,51,9379,142,NA,NA,465,15417,2927,NA,NA,NA,731,163,330,NA,NA,8,NA,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",19,NA,328,39,669,45,460,781,1,3868,257,NA,572,604,18911,7020,NA,NA,NA,431,271,NA,NA,NA,NA,NA,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,4,7381,113,1038,47,3740,2105,NA,9806,349,NA,5238,16,2980,262,NA,278,NA,919,NA,NA,NA,NA,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,4,7381,113,1038,47,3740,2105,NA,9806,349,NA,5238,16,2980,262,NA,278,NA,919,NA,NA,NA,NA,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,2,8753,280,1260,10,3867,1342,3,7620,237,NA,3080,13,5308,544,NA,15,NA,1933,1,NA,NA,NA,8,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,98,245,NA,NA,NA,6,9064,NA,NA,214,2,6476,36,NA,NA,NA,4796,6782,2485,NA,NA,44,73,561,3394
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,56,193,NA,NA,NA,NA,7329,NA,NA,NA,4,7036,100,NA,NA,NA,3510,8155,4146,NA,NA,NA,118,338,3291
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,96,311,NA,NA,NA,115,9595,NA,NA,200,2,6945,54,NA,NA,NA,5792,3750,3779,NA,NA,46,45,503,3043
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,360,57,333,NA,94,2,348,9875,NA,NA,2035,NA,5174,134,NA,26,NA,6256,5263,1301,NA,NA,85,NA,373,2560
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,1,12886,188,1019,12,3994,1192,NA,4469,132,NA,1574,4,4689,445,NA,9,NA,3635,NA,NA,NA,NA,27,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,1,10630,153,931,21,4035,995,NA,6208,116,NA,2725,1,4052,338,NA,118,NA,3907,NA,3,NA,NA,42,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",1,NA,6762,434,1822,NA,1649,356,NA,4722,72,NA,14,18,10403,1558,NA,NA,NA,5883,14,225,24,NA,319,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,1,17989,37,584,12,4155,2273,NA,3544,180,NA,3293,NA,154,12,NA,894,NA,1139,NA,NA,9,NA,NA,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,11218,NA,111,NA,5408,590,NA,1481,23,NA,79,NA,1262,288,NA,84,NA,9687,NA,129,1198,NA,2702,NA,16,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,7193,NA,6,NA,6154,523,NA,983,19,NA,13,NA,1129,348,NA,214,180,10280,8,88,2967,NA,4147,NA,24,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,7816,NA,206,NA,6054,703,NA,1206,28,NA,NA,NA,1942,676,NA,67,NA,8618,NA,80,1811,NA,5037,NA,32,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,11284,281,560,3,2865,217,NA,2868,24,NA,406,2,6597,796,NA,NA,NA,7114,598,259,NA,NA,396,NA,6,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,2,2556,15,343,NA,3912,1559,27,7986,171,NA,474,19,9632,434,NA,88,5,5823,29,20,285,NA,896,NA,NA,NA
