"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2","CWHds1","MHmm_WA","CWHdm_WA","CWHvm_WA","CWHws2","CWHms2","CWHwh1","CWHmh_OR","CWHxm_WA","CWHdm_OR","CWHvh_WA","CWHds2","CWHwh_WA","CWHvm_OR","CMXwm_OR","CRFdh_CA"
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,13,10769,357,1692,57,4105,4338,773,6280,1209,1,3778,56,839,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",2,46,3222,1147,1438,52,4445,4508,15,9812,2251,10,4345,424,1878,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,6,15143,251,1121,133,3308,4615,709,4429,811,NA,3590,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",3,11,6426,694,3805,2,3335,1734,708,9580,1146,NA,758,184,5582,288,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",1,28,2792,1274,3587,7,4408,2103,2778,10924,1734,1,2739,110,1693,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1,27,2944,1827,3105,47,4857,2540,3879,9639,1693,2,2255,75,1301,83,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",2,39,2824,1268,5079,29,3300,1077,2827,12025,1973,3,2917,129,672,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,22,2822,344,2598,NA,4252,2710,1114,11925,1439,NA,2050,186,4601,113,NA,NA,NA,94,NA,NA,6,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,17,4954,345,1330,88,4953,4626,910,6595,1377,7,5897,NA,NA,NA,NA,3177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,19,4052,608,5082,6,2427,833,2319,11990,1030,NA,5480,92,274,50,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,11,8641,97,533,31,6130,5611,31,7558,1193,1,3982,1,NA,NA,NA,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,25,2016,540,1485,766,2437,4452,437,2368,1615,54,12250,NA,NA,NA,5,5825,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",1,25,3741,710,2903,2,4662,2868,1062,11109,1682,1,2766,140,2584,15,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",1,45,2710,951,2197,1,5914,3865,1008,9327,2341,6,5292,NA,NA,NA,NA,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",70,NA,826,265,3864,NA,506,466,854,10416,643,NA,NA,612,12249,3096,NA,NA,NA,393,6,NA,7,NA,3,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",1,26,6212,307,2390,NA,6101,3875,58,8379,1890,1,2426,121,2436,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
