"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",0,0,11947,18614,0,0,3662,0,0,261,0,0,7280,26145,15220,25442,10270,11885,8105,0,0,0,0,26611,0,9184,6722,0,0
2,"obs","obs",NA,"2001_2020",2,0,15371,21327,0,0,6449,0,0,164,0,6,12856,27675,16968,25529,13164,14904,5906,0,0,0,0,21244,2,7910,5137,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",2536,0,22539,25240,0,0,11058,0,0,150,0,98,22269,30538,20418,27435,19950,20110,758,0,0,0,0,12058,2536,6616,1467,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",1120,0,23637,25027,0,0,10814,0,0,86,0,150,23766,31034,19960,25666,19840,19636,2463,0,0,0,0,9822,1120,6322,1048,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",974,0,23124,24192,0,0,10894,0,0,133,0,276,23442,30429,19156,25410,19073,19779,2008,0,0,0,0,10283,974,7036,1331,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",1368,0,23733,24983,0,0,11114,0,0,119,0,121,23646,30991,19897,26089,19770,20078,1829,0,0,0,0,10208,1368,6529,1008,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",14,0,12889,20665,0,0,6019,0,0,114,0,0,11984,28258,16876,25507,11464,12350,8968,0,0,0,0,22205,14,7591,5846,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",43,0,12510,20810,0,0,6310,0,0,90,0,0,12590,28565,17070,25412,11360,11894,9690,0,0,0,0,21598,43,7265,5980,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",126,0,15474,21947,0,0,7384,0,0,85,0,4,14744,28643,17502,26267,13652,14278,6516,0,0,0,0,19468,126,7328,4952,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",26,0,10844,20090,0,0,5608,0,0,129,0,0,11116,28393,16837,25150,9933,10324,11337,0,0,0,0,23048,26,7344,6396,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",1443,0,16425,23162,0,0,8456,0,0,157,0,17,16867,29615,18968,27416,15610,14465,6150,0,0,0,0,17507,1443,6590,4384,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",447,0,14759,22218,0,0,7350,0,0,181,0,0,14625,29322,18016,26272,13638,13711,7986,0,0,0,0,19757,447,6768,5198,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",179,0,18296,23559,0,0,7959,0,0,88,0,348,18792,29818,19138,26239,17160,13518,7273,0,0,0,0,14543,179,6113,3532,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",3338,0,20758,24951,0,0,9721,0,0,994,0,42,18822,29709,20909,29436,19738,17528,1909,0,0,0,0,16555,3338,6872,2650,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",44,0,15997,22024,0,0,6892,0,0,161,0,3,13743,28287,17466,26286,13899,15015,5686,0,0,0,0,20502,44,7527,4786,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",54,0,16826,22112,0,0,6698,0,0,285,0,5,13296,27823,17384,26212,14511,16199,4390,0,0,0,0,21018,54,7840,4639,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",0,0,14760,21884,0,0,6948,0,0,96,0,3,13869,28690,17534,26429,13113,13298,7510,0,0,0,0,20306,0,7067,5255,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",493,0,16880,22484,0,0,7440,0,0,146,0,4,14828,28498,17923,26590,14783,15726,4748,0,0,0,0,19428,493,7463,4259,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",727,0,15537,21547,0,0,6672,0,0,176,0,4,13288,28071,17465,26104,13811,14780,5904,0,0,0,0,20939,727,7809,4984,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",1464,0,16146,21818,0,0,6906,0,0,336,0,15,13689,27999,17836,26796,15102,15090,5192,0,0,0,0,20692,1464,7837,5167,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",190,0,14511,20993,0,0,6298,0,0,200,0,26,12540,27548,16807,25633,13050,14157,6585,0,0,0,0,21609,190,7955,5780,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",674,0,17254,22616,0,0,7554,0,0,117,0,3,15062,28580,18130,26218,14897,16299,4502,0,0,0,0,19165,674,7441,3949,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",568,0,17701,22946,0,0,8552,0,0,82,0,0,16992,29180,18390,25909,14872,16289,4978,0,0,0,0,17205,568,7071,3618,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",466,0,18406,23179,0,0,8873,0,0,58,0,51,17836,28844,18314,25850,15718,17236,3676,0,0,0,0,16318,466,7248,3529,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",308,0,21084,21759,0,0,9922,0,0,459,0,10,19056,28166,16742,25614,16104,19413,1083,0,0,0,0,15153,308,9038,2796,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",60,0,15023,23202,0,0,7742,0,0,73,0,0,15362,30360,18933,26031,12998,13161,9378,0,0,0,0,18863,60,5642,4387,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",78,0,20204,23214,0,0,8782,0,0,216,0,238,18267,28595,18000,26164,17436,18127,2406,0,0,0,0,15770,78,7672,3004,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",128,0,20372,23067,0,0,8568,0,0,328,0,408,17852,28317,17878,26090,17618,18478,2018,0,0,0,0,16259,128,7918,3050,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",47,0,19337,23051,0,0,8834,0,0,154,0,106,18435,28876,18102,25971,16666,17043,3676,0,0,0,0,15560,47,7471,3000,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1337,0,18007,23338,0,0,8454,0,0,75,0,16,16882,29214,18896,26828,16062,16594,4038,0,0,0,0,17366,1337,7048,3464,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1337,0,18007,23338,0,0,8454,0,0,75,0,16,16882,29214,18896,26828,16062,16594,4038,0,0,0,0,17366,1337,7048,3464,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1016,0,17548,23088,0,0,7976,0,0,104,0,14,15911,29019,18630,26586,15492,16357,4459,0,0,0,0,18347,1016,7116,3697,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",3276,0,24224,27657,0,0,11404,0,0,25,0,10,26032,32651,23482,27160,23214,18125,4009,0,0,172,0,6965,3276,3861,313,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",1353,0,25631,26953,0,0,10942,0,0,20,0,8,26253,32661,22613,26048,22290,18253,4918,0,0,560,0,5827,1353,3773,158,0,0
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",1792,0,25210,27032,0,0,11702,0,0,26,0,10,26444,32443,22102,26010,22022,19449,3395,0,0,124,0,6676,1792,4513,286,0,0
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",5168,0,22819,29497,0,0,12292,0,0,172,0,34,26022,33088,25736,29320,24374,17656,3768,0,0,69,0,7647,5168,2450,586,0,0
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",1858,0,16166,24314,0,0,9425,0,0,34,0,28,19028,31111,20296,27853,15991,13283,7863,0,0,0,0,15188,1858,5215,3818,0,0
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",1270,0,20730,25460,0,0,9526,0,0,119,0,168,21577,31022,20769,27452,19619,15541,5276,0,0,0,0,11970,1270,5266,2295,0,0
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",2202,0,18752,24993,0,0,10587,0,0,777,0,0,20120,30967,20714,28984,17996,14828,5842,0,0,0,0,14578,2202,5438,3209,0,0
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",457,0,13729,23034,0,0,7840,0,0,30,0,0,15646,30577,19178,26294,12618,11859,10404,0,0,0,0,18539,457,5463,4558,0,0
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",1889,0,18179,25714,0,0,10828,0,0,29,0,28,22272,32018,21170,28911,18077,13706,6972,0,0,0,0,11824,1889,4416,3118,0,0
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",2172,0,16076,23833,0,0,8723,0,0,34,0,212,18842,30607,20284,26722,16937,12759,8814,0,0,0,0,14954,2172,5370,4268,0,0
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",1795,0,19009,26823,0,0,12082,0,0,146,0,0,23971,32529,21690,30319,19136,14035,6062,0,0,0,0,10399,1795,3823,2916,0,0
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",379,0,19907,25071,0,0,8737,0,0,1,0,92,21660,31758,20734,25944,18228,13732,8296,0,0,15,0,11188,379,4719,1864,0,0
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",1370,0,19143,25161,0,0,9620,0,0,4,0,55,20508,31241,20719,26504,17411,15794,6251,0,0,0,0,13321,1370,5129,2435,0,0
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1128,0,18941,25260,0,0,9382,0,0,25,0,38,19728,31372,20688,26686,17033,15684,6609,0,0,0,0,14228,1128,4949,2598,0,0
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",1458,0,20168,24946,0,0,10311,0,0,17,0,64,21119,30718,20210,26742,17728,17514,3902,0,0,0,0,12969,1458,5940,2117,0,0
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",1025,0,18790,24980,0,0,8956,0,0,0,0,93,21362,31616,21003,25463,17786,13772,8885,0,0,70,0,11642,1025,4522,2574,0,0
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",2948,0,16573,24864,0,0,10810,0,0,1638,0,0,18422,31148,21664,28964,17132,12022,9574,0,0,0,0,15901,2948,4391,3351,0,0
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",2740,0,21674,26527,0,0,11930,0,0,10,0,46,24051,31755,21785,27884,19960,18498,2711,0,0,0,0,10142,2740,5072,1258,0,0
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",1991,0,15757,25272,0,0,10350,0,0,244,0,0,20235,32114,21190,28702,16471,12358,9149,0,0,0,0,14053,1991,4117,3702,0,0
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",6125,0,17548,24387,0,0,11834,0,0,3336,0,4,17646,30005,23046,30620,19567,10767,9594,0,0,0,0,17166,6125,4961,3478,0,0
53,"MIROC6","ssp245","ensembleMean","2021_2040",1383,0,18201,24835,0,0,9340,0,0,2,0,70,20618,31341,20684,26392,17185,14367,7606,0,0,4,0,12983,1383,4979,2801,0,0
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",2646,0,16126,24188,0,0,9478,0,0,314,0,0,18338,30696,20689,27479,16098,13564,7804,0,0,0,0,15892,2646,5340,3693,0,0
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",0,0,20906,24254,0,0,6048,0,0,0,0,306,21287,31826,21466,22652,20982,11001,13415,0,0,295,0,9452,0,4072,1174,0,0
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",1213,0,16073,23824,0,0,8538,0,0,1,0,60,18902,31155,20086,26811,15510,12072,9363,0,0,0,0,14738,1213,5239,3446,0,0
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",768,0,21010,24900,0,0,9056,0,0,137,0,276,21189,30500,20202,26941,19504,15453,5155,0,0,0,0,12166,768,5779,2170,0,0
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",2422,0,20638,24745,0,0,10248,0,0,139,0,74,20512,30006,20120,28210,18954,17980,1856,0,0,0,0,13836,2422,6654,2385,0,0
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",139,0,20336,25194,0,0,7680,0,0,159,0,480,20799,30946,20982,26090,20803,12452,9092,0,0,0,0,11792,139,4720,2020,0,0
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",44,0,22227,24362,0,0,7010,0,0,11,0,170,22326,31881,20786,23176,20752,13312,10394,0,0,28,0,9099,44,4906,694,0,0
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",44,0,22227,24362,0,0,7010,0,0,11,0,170,22326,31881,20786,23176,20752,13312,10394,0,0,28,0,9099,44,4906,694,0,0
62,"ensembleMean","ssp245","ensembleMean","2021_2040",2553,0,20310,26084,0,0,10839,0,0,29,0,67,22482,31577,21628,28042,19363,16590,4358,0,0,0,0,11539,2553,4954,1908,0,0
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",852,0,26182,26046,0,0,6610,0,0,6,0,7,24923,33234,24941,24780,24296,15245,10232,0,0,1869,0,2965,852,1194,18,0,0
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",325,0,27085,27000,0,0,7696,0,0,4,0,10,26518,33399,24958,25153,24401,17932,7523,0,0,1661,0,1838,325,915,16,0,0
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",186,0,26331,25197,0,0,4906,0,0,1,0,16,24288,33250,25027,23884,24194,13160,12738,18,0,2187,0,2257,186,766,40,0,0
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",82,0,25496,24562,0,0,5248,0,0,0,0,10,23511,32953,24754,24322,23760,11222,14144,22,0,2802,0,2637,82,992,15,0,0
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",3163,0,18024,26298,0,0,11336,0,0,94,0,28,22594,32358,22146,29384,18907,14124,6725,0,0,0,0,11734,3163,4038,3010,0,0
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",2476,0,18288,25528,0,0,10786,0,0,31,0,40,22244,31896,21258,28927,18502,13923,6626,0,0,0,0,11827,2476,4646,3092,0,0
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",3204,0,19841,25862,0,0,10982,0,0,386,0,72,22827,31722,21722,29748,20574,14246,5736,0,0,0,0,11434,3204,4778,3133,0,0
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",3058,0,17495,25997,0,0,11352,0,0,1155,0,0,20498,31940,22320,29424,18302,12914,8543,0,0,0,0,13868,3058,3819,3006,0,0
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",2348,0,20258,28813,0,0,13044,0,0,161,0,0,25792,33252,23773,31309,20914,14351,5540,0,0,252,0,8164,2348,2362,1718,0,0
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",2622,0,20154,27623,0,0,12522,0,0,44,0,2,25366,32865,22689,30598,20636,14622,5266,0,0,51,0,8778,2622,3426,2272,0,0
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",1374,0,19620,28063,0,0,12176,0,0,194,0,0,24247,33137,23585,30992,19719,13268,7316,0,0,805,0,8824,1374,2100,1602,0,0
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",3114,0,20128,28654,0,0,13491,0,0,1380,0,0,24301,32706,24259,31713,21263,13303,6716,0,0,128,0,9880,3114,2292,1742,0,0
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",66,0,20073,24258,0,0,6968,0,0,0,0,60,20689,32325,22090,24827,18650,10804,13329,0,0,1226,0,9539,66,3200,1401,0,0
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",34,0,18553,22449,0,0,5276,0,0,0,0,56,17722,32160,22851,25230,17732,7562,17689,0,0,2372,0,10112,34,2360,1420,0,0
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",310,0,20700,25454,0,0,8365,0,0,0,0,64,22329,32327,21805,25147,19306,13060,10280,0,0,467,0,9449,310,3668,1397,0,0
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",30,0,21072,23978,0,0,6967,0,0,0,0,48,21181,32202,21995,24468,19139,11428,12906,0,0,1436,0,8587,30,3378,1174,0,0
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",3422,0,18320,27264,0,0,12568,0,0,1562,0,18,22033,32248,23513,30443,19860,12628,8468,0,0,52,0,12186,3422,2842,2600,0,0
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",1344,0,17476,27113,0,0,11546,0,0,412,0,0,22273,32835,22452,30485,17924,12228,8453,0,0,210,0,11694,1344,2828,2597,0,0
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",6228,0,20971,28331,0,0,13358,0,0,1220,0,81,24594,32205,25294,30090,23260,15582,5199,0,0,0,0,9712,6228,3095,1534,0,0
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",3840,0,18668,27443,0,0,13318,0,0,2812,0,22,21052,31732,24109,31336,20502,11493,9332,0,0,0,0,13256,3840,2558,2411,0,0
83,"MIROC6","ssp245","ensembleMean","2041_2060",519,0,19216,25170,0,0,8772,0,0,0,0,38,21468,32276,21469,26230,17844,12738,9966,0,0,449,0,10883,519,3882,1870,0,0
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",792,0,15582,25678,0,0,10054,0,0,198,0,0,19749,32489,21329,29191,15516,11500,9909,0,0,148,0,14263,792,3535,3120,0,0
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",0,0,21054,23742,0,0,4505,0,0,0,0,190,20193,32370,22894,22525,21775,8362,17430,0,0,1370,0,8353,0,2679,726,0,0
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",486,0,21064,25628,0,0,10376,0,0,0,0,42,23496,31856,20692,25979,18894,16785,5661,0,0,91,0,9732,486,4922,1452,0,0
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",262,0,19945,24963,0,0,7940,0,0,4,0,176,21318,31648,20984,25016,18673,13046,9500,0,0,57,0,11050,262,4524,1762,0,0
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",1722,0,16786,25049,0,0,8880,0,0,8,0,100,20463,31975,21466,26107,17137,12293,10447,0,0,33,0,12834,1722,4004,3262,0,0
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",6,0,20513,23023,0,0,4394,0,0,4,0,416,19926,31557,20966,21923,20858,8902,15274,0,0,177,0,10273,6,4644,984,0,0
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",3748,0,19493,28265,0,0,12103,0,0,626,0,22,24184,32835,24378,29350,21329,13896,7484,0,0,17,0,9750,3748,2490,1942,0,0
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",3748,0,19493,28265,0,0,12103,0,0,626,0,22,24184,32835,24378,29350,21329,13896,7484,0,0,17,0,9750,3748,2490,1942,0,0
92,"ensembleMean","ssp245","ensembleMean","2041_2060",2726,0,20079,27566,0,0,11060,0,0,14,0,20,24176,32888,23431,28305,20558,14589,7022,0,0,126,0,9260,2726,3066,1580,0,0
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",1389,0,26791,24469,0,0,6144,0,0,2,0,1,23898,32819,25900,25908,24485,13919,11922,10,0,3809,0,1400,1389,498,10,0,0
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",1776,0,26634,24059,0,0,10105,0,0,278,0,0,24422,30605,25930,28874,24640,15795,9622,18,0,4580,1766,1586,1776,659,16,0,0
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",652,0,26416,23524,0,0,4558,0,0,55,0,2,22660,32753,25772,24792,24116,11436,15145,16,0,4100,0,1517,652,256,15,0,0
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",0,0,26272,25297,0,0,5064,0,0,0,0,8,25198,32818,25068,24036,24421,10867,13567,10,0,1876,596,1366,0,638,13,0,0
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",1282,0,18919,27596,0,0,11625,0,0,32,0,12,23766,33080,22938,30339,19025,13070,7589,0,0,505,0,9646,1282,2568,1982,0,0
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",808,0,18692,28200,0,0,12190,0,0,194,0,0,24025,33207,22863,31241,18822,12839,7130,0,0,201,0,9873,808,2354,2071,0,0
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",0,0,20038,24966,0,0,5294,0,0,6,0,88,20820,32902,22994,24273,21357,7273,16907,0,0,754,0,9040,0,2367,1082,0,0
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",1212,0,18364,28061,0,0,11876,0,0,188,0,0,23436,33166,23222,30843,18687,12712,7770,0,0,394,0,10269,1212,2228,2000,0,0
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",26,0,19175,24344,0,0,9339,0,0,218,0,0,18987,32340,24601,31351,17780,9466,13595,0,0,3847,0,8620,26,759,748,0,0
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",24,0,18510,21427,0,0,7584,0,0,84,0,0,15761,31674,24547,31116,16485,7948,16649,0,0,4834,0,9117,24,828,745,0,0
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",244,0,20333,28964,0,0,12522,0,0,419,0,0,24419,33268,24605,31962,19939,12550,8004,0,0,1536,0,7692,244,840,826,0,0
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",112,0,19921,20358,0,0,5700,0,0,0,0,3,16040,31598,24382,28524,18065,6874,18932,0,0,5154,0,7597,112,1154,512,0,0
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",358,0,21916,25955,0,0,8195,0,0,0,0,26,22960,32804,23265,25558,20902,12387,11628,0,0,1276,0,7354,358,2405,688,0,0
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",285,0,21547,26201,0,0,8649,0,0,0,0,34,23172,32742,22533,25569,20142,13180,10234,0,0,566,0,8352,285,3019,966,0,0
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",986,0,22502,26974,0,0,9564,0,0,0,0,16,24435,32890,23368,26394,21569,14118,8947,0,0,786,0,6995,986,2688,529,0,0
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",180,0,21942,23502,0,0,6187,0,0,0,0,34,20584,32383,23832,25004,20830,9445,16181,0,0,3257,0,6410,180,1774,572,0,0
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",1440,0,18786,27940,0,0,12005,0,0,848,0,14,22799,32901,23791,30560,19354,12329,8960,0,0,688,0,10363,1440,1846,1806,0,0
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",1143,0,22047,26901,0,0,8024,0,0,12,0,16,23960,33208,24044,25467,22789,11620,12157,0,0,709,0,6742,1143,2002,684,0,0
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",1784,0,18935,27739,0,0,12891,0,0,2424,0,20,21323,32105,23834,30809,19738,11764,9829,0,0,410,0,12259,1784,1962,1918,0,0
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",292,0,18368,26794,0,0,11244,0,0,997,0,0,20705,32771,24073,31563,17921,10493,10974,0,0,1778,0,10401,292,1165,1165,0,0
113,"MIROC6","ssp245","ensembleMean","2061_2080",2,0,21703,24905,0,0,7642,0,0,0,0,40,22379,32314,21743,24482,20013,12918,10916,0,0,730,0,8444,2,3734,936,0,0
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",304,0,19430,24982,0,0,8076,0,0,0,0,48,21802,32514,22069,25211,18914,11562,12462,0,0,832,0,9278,304,3038,2036,0,0
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",0,0,22359,24570,0,0,5346,0,0,2,0,112,21868,32552,22133,22532,21966,10810,13943,0,0,402,0,8103,0,3554,397,0,0
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",0,0,21420,24378,0,0,8072,0,0,0,0,32,22018,32114,21353,24874,19124,13596,10215,0,0,840,0,8816,0,4065,1055,0,0
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",63,0,20412,24792,0,0,3950,0,0,0,0,222,20540,32762,23224,21739,22946,7380,18434,0,0,406,0,8957,63,2467,594,0,0
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",0,0,21962,23777,0,0,4716,0,0,0,0,232,21364,32334,21922,21898,21725,9543,15406,0,0,548,0,8142,0,3746,455,0,0
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",286,0,18752,24838,0,0,2407,0,0,22,0,302,19189,33012,24102,21104,23638,3941,22565,0,0,323,0,9875,286,1560,1036,0,0
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",2619,0,20521,28018,0,0,11375,0,0,162,0,8,24695,33073,24382,28362,21266,14291,8008,0,0,689,0,7948,2619,2128,1326,0,0
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",2619,0,20521,28018,0,0,11375,0,0,162,0,8,24695,33073,24382,28362,21266,14291,8008,0,0,689,0,7948,2619,2128,1326,0,0
122,"ensembleMean","ssp245","ensembleMean","2061_2080",1540,0,20886,27045,0,0,9740,0,0,12,0,6,23445,33050,24336,27836,20945,12480,10384,0,0,1450,0,7568,1540,1808,858,0,0
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",107,0,27296,21271,0,0,4642,0,0,0,0,1,23069,29048,25575,25235,25159,12192,14370,421,0,4158,3394,454,107,185,2,0,0
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",0,0,27590,22051,0,0,3664,0,0,0,0,2,23646,29717,25559,24754,25416,11752,14251,254,0,2970,3291,471,0,148,3,0,0
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",100,0,26542,20936,0,0,4955,0,0,0,0,1,22538,29191,25522,25378,24790,10422,16033,377,0,4847,3043,508,100,235,2,0,0
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",1018,0,26848,21669,0,0,6322,0,0,13,0,0,22888,29668,25964,26525,24942,13021,13658,280,0,5065,2560,646,1018,251,1,0,0
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",787,0,21124,25979,0,0,9475,0,0,10,0,2,22455,32814,24340,29083,20423,11238,11520,0,0,2726,0,6995,787,1468,698,0,0
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",1362,0,21330,26141,0,0,9851,0,0,70,0,0,22620,32779,24855,29063,20807,11924,11188,0,0,2930,0,6708,1362,1294,585,0,0
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",7,0,22496,22319,0,0,5749,0,0,0,0,9,19480,32128,24009,26442,21204,8176,17202,0,0,4412,0,5909,7,1612,246,0,0
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",1646,0,20365,28783,0,0,12866,0,0,453,0,0,24950,33151,24252,31466,20618,13625,6767,0,0,854,0,8147,1646,1716,1272,0,0
