"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",0,0,16998,20293,0,0,7323,0,0,405,0,0,7323,27494,20293,33820,13751,16998,10729,0,0,0,0,26669,0,13699,10280,0,0
2,"obs","obs",NA,"2001_2020",0,0,16512,20145,0,0,7147,0,0,203,0,0,7147,27479,20145,33811,13342,16512,6684,0,0,0,0,21033,0,11335,7437,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",0,0,16994,20153,0,0,6883,0,0,116,0,0,7160,27492,20153,33814,13612,16717,615,0,0,0,0,11677,0,8546,1592,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",0,0,16988,20174,0,0,4577,0,0,81,0,0,7163,27494,20174,33814,13632,14402,567,0,0,0,0,9440,0,8104,1020,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",0,0,16987,20145,0,0,5303,0,0,132,0,0,7160,27491,20145,33787,13604,15130,670,0,0,0,0,9950,0,9117,1434,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",0,0,16989,20166,0,0,5338,0,0,101,0,0,7159,27494,20166,33809,13625,15166,476,0,0,0,0,9833,0,8404,975,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",0,0,15231,20149,0,0,7147,0,0,128,0,0,7147,27490,20149,33818,12586,15228,8927,0,0,0,0,21892,0,11426,8603,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",0,0,14471,20161,0,0,7158,0,0,135,0,0,7158,27489,20161,33820,12251,14471,8780,0,0,0,0,21275,0,11159,8733,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",0,0,16220,20161,0,0,7142,0,0,119,0,0,7150,27485,20161,33820,13235,16212,6734,0,0,0,0,19146,0,10678,7262,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",0,0,13218,20110,0,0,7091,0,0,106,0,0,7091,27485,20111,33813,11425,13163,9676,0,0,0,0,22659,0,11418,9109,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",0,0,16286,20209,0,0,7164,0,0,156,0,0,7189,27492,20209,33820,13388,16261,5688,0,0,0,0,17130,0,9738,6488,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",0,0,15666,20212,0,0,7204,0,0,187,0,0,7204,27493,20212,33820,13081,15664,7227,0,0,0,0,19388,0,10362,7814,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",0,0,16183,20234,0,0,3336,0,0,126,0,0,7171,27483,20234,33820,13516,12313,3421,0,0,0,0,14156,0,8572,5011,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",0,0,16899,20285,0,0,7316,0,0,362,0,0,7316,27494,20285,33820,13745,16873,1532,0,0,0,0,16222,0,9799,3541,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",0,0,16511,20200,0,0,7186,0,0,211,0,0,7210,27488,20200,33817,13395,16487,6235,0,0,0,0,20227,0,10781,6927,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",0,0,16836,20231,0,0,7259,0,0,294,0,0,7266,27490,20231,33817,13621,16829,5143,0,0,0,0,20825,0,11078,6619,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",0,0,15897,20169,0,0,7154,0,0,124,0,0,7158,27483,20169,33810,13082,15893,7414,0,0,0,0,20007,0,10538,7792,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",0,0,16659,20193,0,0,7202,0,0,193,0,0,7207,27486,20193,33820,13472,16654,5270,0,0,0,0,19143,0,10462,6040,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",0,0,16480,20175,0,0,7172,0,0,200,0,0,7172,27488,20175,33818,13381,16480,6603,0,0,0,0,20661,0,11229,7223,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",0,0,16654,20248,0,0,7272,0,0,319,0,0,7272,27490,20248,33815,13627,16653,5687,0,0,0,0,20443,0,11438,7537,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",0,0,16348,20204,0,0,7202,0,0,260,0,0,7202,27480,20204,33814,13403,16348,7411,0,0,0,0,21401,0,11735,8474,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",0,0,16646,20166,0,0,7177,0,0,157,0,0,7177,27483,20166,33820,13437,16646,4977,0,0,0,0,18874,0,10268,5497,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",0,0,16491,20128,0,0,7133,0,0,43,0,0,7133,27484,20128,33820,13251,16488,5123,0,0,0,0,16836,0,9704,5063,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",0,0,16678,20126,0,0,7003,0,0,91,0,0,7148,27483,20126,33817,13396,16533,3642,0,0,0,0,15992,0,9770,4788,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",0,0,16983,19952,0,0,7160,0,0,114,0,0,7160,27483,19952,33817,13494,16968,1359,0,0,0,0,14843,0,11632,3432,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",0,0,14912,20175,0,0,7124,0,0,17,0,0,7124,27484,20175,33820,12664,14894,7587,0,0,0,0,18435,0,8625,6626,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",0,0,16578,20143,0,0,6180,0,0,230,0,0,7235,27483,20143,33808,13644,15523,1268,0,0,0,0,15544,0,10147,3848,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",0,0,16686,20092,0,0,6132,0,0,287,0,0,7259,27477,20092,33801,13634,15559,884,0,0,0,0,16071,0,10453,3881,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",0,0,16334,20191,0,0,6119,0,0,201,0,0,7227,27483,20191,33814,13623,15226,2460,0,0,0,0,15290,0,9941,3894,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",0,0,16669,20160,0,0,7163,0,0,110,0,0,7169,27483,20160,33820,13470,16663,4252,0,0,0,0,17020,0,9633,4763,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",0,0,16669,20160,0,0,7163,0,0,110,0,0,7169,27483,20160,33820,13470,16663,4252,0,0,0,0,17020,0,9633,4763,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",0,0,16651,20175,0,0,7181,0,0,147,0,0,7183,27486,20175,33820,13461,16649,4801,0,0,0,0,18024,0,9822,5155,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",0,0,16986,20051,0,0,3587,0,0,43,0,0,7084,27494,20280,33820,13738,13156,782,0,0,0,0,6516,0,4777,157,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",0,0,16992,19537,0,0,2275,0,0,38,0,0,6723,27494,20284,33820,13742,11880,853,0,0,0,0,5388,0,4643,18,0,0
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",0,0,16992,20064,0,0,3342,0,0,48,0,0,7132,27494,20230,33820,13688,13070,328,0,0,0,0,6230,0,5630,80,0,0
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",0,0,16932,20201,0,0,5141,0,0,76,0,0,7158,27494,20293,33820,13749,15784,880,0,0,0,0,7197,0,3085,615,0,0
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",0,0,15428,20207,0,0,6900,0,0,39,0,0,7156,27490,20207,33820,13194,15172,5514,0,0,0,0,14770,0,8054,5878,0,0
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",0,0,16635,20268,0,0,3951,0,0,135,0,0,7174,27490,20268,33820,13724,13206,1749,0,0,0,0,11550,0,7198,3142,0,0
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",0,0,16241,20249,0,0,7230,0,0,261,0,0,7225,27494,20249,33820,13445,16110,4234,0,0,0,0,14152,0,8278,4880,0,0
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",0,0,13984,20188,0,0,7095,0,0,3,0,0,7124,27484,20188,33820,12226,13938,7610,0,0,0,0,18094,0,8547,6925,0,0
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",0,0,15917,20225,0,0,6375,0,0,39,0,0,7160,27492,20225,33820,13472,15078,3546,0,0,0,0,11381,0,6910,5015,0,0
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",0,0,15361,20199,0,0,5408,0,0,33,0,0,7130,27486,20199,33820,13225,13537,4911,0,0,0,0,14527,0,8275,6505,0,0
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",0,0,16114,20229,0,0,7198,0,0,100,0,0,7198,27494,20229,33820,13626,15982,2479,0,0,0,0,9949,0,6230,4898,0,0
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",0,0,16500,20256,0,0,2690,0,0,2,0,0,7130,27494,20276,33820,13660,11013,3103,0,0,0,0,10742,0,6429,2626,0,0
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",0,0,16467,20196,0,0,5536,0,0,8,0,0,7150,27490,20196,33820,13497,14845,4058,0,0,0,0,12891,0,7115,3507,0,0
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",0,0,16318,20212,0,0,5861,0,0,42,0,0,7151,27492,20212,33820,13483,15028,4414,0,0,0,0,13798,0,7034,3833,0,0
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",0,0,16736,20167,0,0,6519,0,0,27,0,0,7155,27490,20167,33820,13534,16100,3330,0,0,0,0,12555,0,7874,2762,0,0
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",0,0,16434,20107,0,0,3328,0,0,0,0,0,7114,27492,20207,33820,13485,12299,4156,0,0,0,0,11208,0,6499,3862,0,0
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",0,0,15574,20201,0,0,7161,0,0,41,0,0,7159,27492,20201,33820,13104,14072,5756,0,0,0,0,15462,0,6989,5382,0,0
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",0,0,16840,20185,0,0,6913,0,0,5,0,0,7163,27494,20185,33820,13642,16590,2069,0,0,0,0,9705,0,6606,1522,0,0
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",0,0,14753,20197,0,0,7142,0,0,29,0,0,7142,27491,20197,33820,12814,14383,4663,0,0,0,0,13596,0,6925,6134,0,0
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",0,0,15967,20238,0,0,7235,0,0,252,0,0,7181,27494,20238,33820,13129,13135,5443,0,0,0,0,16699,0,7940,5440,0,0
53,"MIROC6","ssp245","ensembleMean","2021_2040",0,0,16324,20217,0,0,4701,0,0,3,0,0,7142,27491,20222,33820,13452,13769,4340,0,0,0,0,12547,0,7166,4214,0,0
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",0,0,15505,20188,0,0,7134,0,0,5,0,0,7134,27485,20188,33820,13034,15185,5823,0,0,0,0,15466,0,8000,5571,0,0
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",0,0,16524,19845,0,0,1296,0,0,0,0,0,7021,27494,20248,33820,13705,8284,6253,0,0,0,0,9066,0,5199,1343,0,0
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",0,0,15654,20197,0,0,4837,0,0,1,0,0,7134,27488,20197,33820,13224,13225,5790,0,0,0,0,14292,0,7848,5280,0,0
