"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH","CMX","CRF"
1,"obs","obs",NA,"1961_1990",43,61992,2703,NA,NA
2,"obs","obs",NA,"2001_2020",13,62512,2213,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1,63926,811,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",4,63850,884,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",15,63677,1046,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,64006,732,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",2,63289,1447,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",6,63136,1596,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",8,63120,1610,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",16,63496,1226,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",1,63176,1561,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,63218,1520,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,63492,1246,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",5,63299,1434,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",6,62910,1822,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2,62664,2072,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",38,62918,1782,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",2,63108,1628,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",NA,63318,1420,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",NA,63198,1540,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2,62929,1807,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,63406,1332,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",3,63561,1174,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",41,63285,1412,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",NA,63999,739,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",NA,63623,1115,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",14,63010,1714,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",NA,62921,1817,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",29,63004,1705,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",3,63289,1446,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",3,63289,1446,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",5,63257,1476,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,58423,150,6165,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,55962,259,8517,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,59083,188,5467,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,59769,93,4876,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,63949,789,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",6,64079,653,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,64363,375,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",10,63861,867,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,64123,615,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",2,64074,662,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,64582,151,5,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",12,64091,620,15,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",4,64048,686,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",NA,64061,677,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",5,63874,859,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",1,64254,461,22,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,64586,152,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,64256,482,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,64626,112,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,64549,189,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",6,64226,503,3,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,64474,264,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,63493,413,832,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",6,64237,474,21,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",1,63825,912,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,63907,831,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,63860,878,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,63945,554,239,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,63945,554,239,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",8,64244,486,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,36693,30,28006,9
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,32365,1,32353,19
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,29672,NA,35066,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,32233,22,32483,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,64536,200,2,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,64408,330,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,64403,335,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,64622,116,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,60403,19,4316,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,63536,117,1085,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,59230,8,5500,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,60394,3,4341,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",2,59037,278,5421,NA
