"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm_WA","CWHmm1","CWHmm2","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHxm2","MHmm_WA","MHmm1","MHwh1","MHwhp","CWHvh_WA","CWHdm_OR","CWHmh_OR","CWHvm_OR","CWHvh2","CMXwm_OR","CWHxm_WA","CWHdm","CRFdh_CA","CWHvh3"
1,"obs","obs",NA,"1961_1990",32,11,94,3849,1815,980,399,40861,7212,49,6733,504,2168,13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",13,NA,1512,5857,1636,76,1557,37096,3923,1198,8628,905,1307,NA,1,1029,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1,NA,10932,4522,1359,NA,3305,23176,2243,5844,8682,396,415,NA,NA,3849,14,NA,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",4,NA,16901,4888,1214,NA,7639,11128,1118,8683,7728,770,114,NA,NA,3985,521,45,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",15,NA,21421,4813,1429,NA,8572,7379,1049,7567,7962,916,130,NA,NA,3079,384,8,14,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,NA,9871,3996,1262,NA,3686,22177,1605,7813,8750,511,221,NA,NA,4474,366,6,NA,NA,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",2,NA,541,2730,1309,2427,388,42982,4870,869,7086,277,1170,NA,NA,81,NA,NA,NA,6,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",6,NA,1691,2735,1221,1020,1762,42620,4076,1192,6721,554,1034,8,NA,54,NA,NA,NA,44,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",8,NA,2969,3553,1281,627,6218,34485,3656,2458,6638,621,989,NA,NA,1235,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",16,NA,803,1040,1020,1424,621,45699,5333,595,6853,158,1016,52,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",1,NA,6569,4465,1064,199,8068,30566,2919,2774,4733,802,759,NA,NA,1818,NA,NA,NA,1,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,NA,1713,4332,1149,1126,1655,39909,3540,1533,6983,626,894,NA,NA,1264,NA,NA,NA,14,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,NA,13354,2186,937,55,24714,10447,2568,4244,2820,887,359,NA,NA,2167,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",5,NA,5994,7032,1191,138,6119,27026,3041,2911,7872,633,801,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",6,NA,1683,5268,1315,1237,2843,36420,3745,1763,7675,725,1097,NA,NA,961,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2,NA,989,6080,1501,1459,2602,36694,4229,918,7696,763,1309,NA,NA,496,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",38,NA,2759,4542,1263,1501,4900,34198,3564,2365,6785,717,1065,NA,NA,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",2,NA,2312,5070,1240,482,2913,36285,3460,1960,7784,683,945,NA,NA,1602,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",NA,NA,241,2251,1265,1536,97,44790,5219,518,7339,205,1213,2,NA,35,NA,NA,NA,27,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",NA,NA,229,2210,1308,1048,504,45267,4998,115,7451,327,1186,27,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2,NA,370,1430,1295,1111,593,45225,5145,309,7376,459,1307,41,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,NA,628,2911,1321,2264,66,41953,4285,1291,7800,248,1084,NA,NA,887,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",3,NA,7377,2904,1494,NA,883,33021,3353,3312,8071,451,723,NA,NA,3146,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",41,NA,7399,4642,1498,NA,3671,30812,2897,3122,6221,913,499,NA,NA,3023,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",NA,NA,4819,846,1633,NA,564,32744,4447,4297,13067,29,710,NA,NA,1581,1,NA,NA,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",NA,NA,9045,2517,934,NA,3229,32185,2543,4711,4640,561,554,NA,NA,3819,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",14,NA,7930,5161,1638,193,12551,22191,2831,3398,5281,1032,682,NA,NA,1822,14,NA,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",NA,NA,10227,5761,1609,146,15117,18123,2681,3027,4655,1270,547,NA,NA,1556,19,NA,NA,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",29,NA,6491,3631,1619,184,13179,23433,2982,3912,5597,895,810,NA,NA,1967,9,NA,NA,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",3,NA,6187,4555,1036,428,2783,34427,3098,2572,5997,637,809,NA,NA,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",3,NA,6187,4555,1036,428,2783,34427,3098,2572,5997,637,809,NA,NA,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",5,NA,3139,4857,1114,398,2673,35480,3413,2382,7816,631,845,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,NA,16757,2130,303,NA,5136,10379,872,12550,5051,150,NA,NA,NA,4997,135,113,NA,NA,6165,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,NA,12804,1746,297,NA,5734,6670,510,16162,5167,259,NA,NA,NA,3907,445,2520,NA,NA,8517,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,NA,13820,1486,413,NA,5862,11391,1166,14161,5762,185,3,NA,NA,4563,418,41,NA,NA,5467,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,NA,20720,1865,78,NA,4613,12921,825,8473,3860,93,NA,NA,NA,5428,38,524,NA,NA,4876,424,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,NA,9596,2018,724,326,4308,35059,2575,3400,3792,408,381,NA,NA,2128,NA,17,NA,6,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",6,NA,16615,2964,643,80,12758,19162,1954,3819,3201,404,249,NA,NA,2859,NA,24,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,NA,4911,694,772,722,538,40196,3665,4137,4889,9,366,NA,NA,3839,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",10,NA,6364,1576,838,342,4921,35604,3120,4793,3597,400,467,NA,NA,2705,NA,1,NA,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,NA,10107,1531,606,107,5982,28935,2119,6953,3406,408,207,NA,NA,3768,428,181,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",2,NA,9317,1744,479,44,9391,33924,3214,1924,3761,297,364,1,NA,168,NA,NA,NA,108,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,NA,2606,718,427,1763,227,40133,2656,7147,2904,52,99,NA,NA,4995,909,97,NA,NA,5,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",12,NA,17823,1050,366,NA,20236,2489,1333,12320,2808,586,34,NA,NA,3460,2117,89,NA,NA,15,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",4,NA,14234,2596,548,NA,6861,22805,1981,7196,4203,431,255,NA,NA,3616,8,NA,NA,NA,NA,NA,NA,NA,NA
