"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm_WA","CWHmm1","CWHmm2","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHxm2","MHmm_WA","MHmm1","MHwh1","MHwhp"
1,"obs","obs",NA,"1961_1990",32,11,94,3849,1815,980,399,40861,7212,49,6733,504,2168,13,18
2,"obs","obs",NA,"2001_2020",NA,NA,82,1816,1223,4,273,34578,3490,49,6580,262,1245,NA,1
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",NA,NA,49,218,616,NA,115,21107,1347,49,2905,NA,375,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",NA,NA,47,66,465,NA,181,10204,661,49,1838,NA,89,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",NA,NA,66,18,581,NA,242,7014,641,49,1802,NA,103,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,NA,40,207,459,NA,63,20311,831,49,2480,NA,183,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",NA,NA,55,1792,1015,877,76,38028,3844,49,6300,222,1111,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",NA,NA,47,1423,991,620,214,37921,3188,49,5463,251,985,3,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",NA,NA,48,1438,876,29,316,31350,2918,49,5320,243,932,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",NA,NA,39,433,881,447,54,38856,3601,49,5564,119,988,13,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",NA,NA,47,1493,671,8,323,27685,2205,49,3240,153,707,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,NA,48,2113,782,10,174,35824,2722,49,5780,178,840,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,NA,36,205,599,2,382,8883,1752,49,1367,49,324,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",NA,NA,87,1356,777,30,360,24788,2410,49,5429,53,749,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",NA,NA,65,2281,895,47,299,33555,3133,49,6353,253,1037,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",NA,NA,73,2585,1070,267,346,34518,3767,49,6586,275,1249,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1,NA,43,2110,869,51,311,31150,2944,49,5578,269,1007,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",NA,NA,68,1895,791,8,253,33152,2741,49,6107,196,889,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",NA,NA,55,1472,1061,578,22,39212,3977,49,6413,160,1156,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",NA,NA,63,1484,1111,490,120,40010,3973,49,6412,226,1151,12,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",NA,NA,58,948,1143,429,159,39758,4146,49,6152,320,1275,13,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,NA,51,1402,859,210,13,36824,3278,49,6372,161,1026,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",NA,NA,53,502,854,NA,45,29712,2400,49,4011,63,671,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",NA,NA,61,979,1016,NA,173,28207,2228,49,3401,48,454,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",NA,NA,85,52,1043,NA,75,29274,3004,49,5884,5,654,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",NA,NA,26,640,432,NA,172,27604,1576,49,2297,108,514,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",NA,NA,77,793,1127,10,384,20267,2289,49,3533,87,628,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",NA,NA,91,463,1058,7,391,16634,2197,49,3083,73,507,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,NA,49,1050,1103,14,362,21307,2364,49,3739,159,755,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,NA,55,1549,594,2,194,31048,2357,49,3879,124,756,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,NA,55,1549,594,2,194,31048,2357,49,3879,124,756,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,NA,66,1701,654,4,231,32262,2639,49,5766,166,790,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,NA,2,17,7,NA,90,7700,166,NA,826,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,NA,NA,13,3,NA,69,4703,28,NA,685,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,NA,16,8,18,NA,80,9151,248,NA,1157,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,NA,1,9,NA,NA,175,9070,131,NA,582,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,NA,26,394,306,9,198,29816,1374,49,1962,80,347,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,NA,32,268,233,NA,356,16487,1087,49,1283,NA,232,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,NA,28,66,416,156,76,32470,1840,49,2889,9,327,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",10,NA,11,242,481,31,62,29343,1715,49,1849,181,437,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,NA,9,223,185,26,259,23639,885,48,1285,25,184,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,NA,34,405,270,40,237,28580,1877,49,1649,55,325,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,NA,NA,14,120,173,3,30519,761,NA,1008,37,88,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,NA,1,4,67,NA,260,1284,587,49,778,NA,28,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,NA,12,264,132,NA,200,18545,1008,49,1530,2,231,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",NA,NA,12,446,219,47,132,25189,1017,49,1748,NA,286,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,NA,25,253,369,NA,256,15527,1365,49,1994,11,386,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,NA,NA,78,16,NA,252,11272,637,49,821,NA,108,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,NA,20,21,54,175,4,35149,805,40,1532,10,126,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,NA,9,48,83,NA,266,21076,696,49,1513,11,154,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,NA,31,13,32,437,8,35460,652,48,1048,15,83,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,NA,20,17,144,192,11,37183,1445,49,3247,4,132,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",NA,NA,5,174,42,NA,222,23390,714,49,1179,NA,155,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,NA,28,23,144,130,3,35011,1251,46,1950,2,216,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,NA,NA,NA,6,NA,189,2548,350,40,402,NA,17,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",NA,NA,13,23,94,NA,281,4099,695,49,883,NA,118,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,NA,28,297,648,NA,370,7662,1227,49,1426,1,299,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,NA,47,996,674,17,283,26259,1819,49,2987,16,472,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,NA,27,2,150,NA,347,3011,923,49,364,NA,145,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,NA,17,NA,98,NA,161,348,374,49,614,NA,8,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,NA,17,NA,98,NA,161,348,374,49,614,NA,8,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,NA,17,246,80,4,252,19453,747,49,1574,NA,158,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,NA,9,99,109,98,64,30502,734,40,1500,3,123,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,NA,16,195,165,61,160,27805,1019,49,1681,19,184,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,NA,34,165,115,348,303,28938,1475,49,1355,8,218,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,NA,19,23,43,210,3,33243,715,24,1519,2,103,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,7,NA,24,20127,126,NA,612,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,NA,NA,41,24,NA,86,17374,319,5,1103,NA,35,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,4,9,36,17947,68,NA,382,NA,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,NA,NA,NA,9,38,NA,23284,173,NA,874,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,3,NA,207,6818,88,NA,468,NA,2,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,2,NA,207,9572,12,NA,341,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,NA,10,NA,219,6165,245,NA,619,NA,18,NA,NA
