"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH"
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,61753,529
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,61753,529
62,"ensembleMean","ssp245","ensembleMean","2021_2040",2,61979,433
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,33977,20
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,29620,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,26926,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,29509,14
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,61975,158
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,61970,270
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,61990,311
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,61992,105
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,57676,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,60907,90
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,56492,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,57651,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",2,56571,259
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,55965,180
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",4,58294,271
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,54524,205
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,59623,5
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,58602,25
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,60566,46
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,60383,2
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,58887,281
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,61001,106
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,54083,251
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",2,59514,247
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,61939,286
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,61983,179
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,60943,542
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,57629,36
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,57629,36
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,57603,64
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,22008,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,24483,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,21322,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,23628,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,57682,14
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,58772,18
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,54766,85
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,58291,1
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,48678,6
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,47301,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,49162,4
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,45381,186
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,52811,127
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,56687,224
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,53006,84
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,49349,87
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,55159,1
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,51641,50
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,55810,NA
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,52583,3
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,54234,100
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,54796,99
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,51629,161
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",3,55223,142
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,54616,83
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,52986,173
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,56820,60
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,52080,12
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,52080,12
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,50261,46
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,13135,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,13124,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,13843,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,14474,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,45854,3
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,43491,5
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,37036,146
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,50426,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,37111,1
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,36024,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,37312,17
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,35970,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,45467,6
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,44232,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,45295,88
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,46323,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,50505,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,43654,1
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,56620,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,50482,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,40338,97
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,38077,13
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,42002,4
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,39837,93
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,53684,125
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,57239,240
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,50628,76
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,43164,3
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,43164,3
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,41075,17
