"index","GCM","SSP","RUN","PERIOD","CMA","CWH","MH"
1,"obs","obs",NA,"1961_1990",43,61992,2703
2,"obs","obs",NA,"2001_2020",NA,61664,1842
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",NA,61901,677
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",NA,61986,849
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",NA,61961,986
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,61967,676
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",NA,61978,1404
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",NA,61918,1486
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",NA,61841,1417
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",NA,61990,1198
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",NA,61757,1283
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,61855,1340
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,61856,1067
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",NA,61825,1224
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",NA,61777,1564
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",NA,61755,1792
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1,61790,1538
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",NA,61778,1372
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",NA,61986,1385
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",NA,61969,1488
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",NA,61943,1728
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,61973,1275
23,"MIROC6","ssp245","ensembleMean","2001_2020",NA,61857,996
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",2,61780,1159
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",NA,61988,703
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",NA,61860,940
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",NA,61699,1378
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",NA,61687,1469
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,61683,1353
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,61813,1224
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,61813,1224
32,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,61816,1258
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,55827,141
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,53475,258
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,56524,184
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,57116,87
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,61926,680
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,61982,601
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,61992,351
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",10,61943,788
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,61923,504
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,61971,615
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,61980,133
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",5,61967,580
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,61939,590
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",NA,61954,596
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,61897,721
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,61953,402
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,61992,139
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,61948,395
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,61992,101
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,61992,164
53,"MIROC6","ssp245","ensembleMean","2021_2040",1,61970,443
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,61992,239
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,61159,387
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",1,61962,425
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,61924,801
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,61895,693
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,61972,815
