"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",0,0,12540,51936,0,0,6733,0,0,0,0,504,6827,62005,52965,64677,11124,12397,49608,0,0,0,0,56821,0,12692,9915,0,0
2,"obs","obs",NA,"2001_2020",0,0,18831,54650,0,0,8628,0,0,0,0,905,10140,62512,56953,64724,18752,16121,46391,0,0,0,0,52281,0,7847,6136,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",0,0,31353,50631,0,0,8682,0,0,0,0,396,19628,63926,60324,64737,33299,14563,49363,0,0,0,0,35416,0,4413,3054,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",0,0,39980,48805,0,0,7728,0,0,0,0,770,25150,63850,61518,64734,46405,13830,50020,0,0,45,0,26871,0,3216,2002,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",0,0,43598,50545,0,0,7962,0,0,0,0,916,29767,63677,61199,64723,50727,14204,49459,0,0,8,0,24302,0,3524,2095,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",0,0,32064,48846,0,0,8750,0,0,0,0,511,18987,64006,61139,64738,34488,14008,49998,0,0,6,0,33458,0,3599,2337,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",0,0,12535,53727,0,0,7086,0,0,0,0,277,7627,63289,57110,64736,11614,11125,52164,0,0,0,0,53732,0,10059,6317,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",0,0,13560,55529,0,0,6721,0,0,0,0,554,8412,63144,57839,64732,14101,10677,52467,0,0,0,0,54054,0,7957,5672,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",0,0,16899,53863,0,0,6638,0,0,0,0,621,9607,63120,58183,64730,21836,11472,51648,0,0,0,0,50803,0,7174,5266,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",0,0,10311,55016,0,0,6853,0,0,0,0,158,7656,63548,57143,64722,9912,8913,54635,0,0,0,0,55047,0,9111,6559,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",0,0,19605,54401,0,0,4733,0,0,0,0,802,11302,63176,59193,64737,26609,10262,52914,0,0,0,0,48644,0,5744,4480,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",0,0,15710,54592,0,0,6983,0,0,0,0,626,8696,63218,58529,64738,16216,12464,50754,0,0,0,0,52119,0,7349,5060,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",0,0,23541,53521,0,0,2820,0,0,0,0,887,16174,63492,59987,64738,47318,5943,57549,0,0,0,0,42098,0,4806,3814,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",0,0,25000,54043,0,0,7872,0,0,0,0,633,13866,63299,59067,64733,29928,16095,47204,0,0,0,0,45843,0,5804,4475,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",0,0,17704,53889,0,0,7675,0,0,0,0,725,9358,62910,57850,64732,19232,14258,48652,0,0,0,0,51413,0,8119,5567,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",0,0,17184,54061,0,0,7696,0,0,0,0,763,8685,62664,56934,64736,18285,15277,47387,0,0,0,0,53178,0,9261,6301,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",0,0,17714,53184,0,0,6785,0,0,0,0,717,9544,62918,58091,64700,21351,12590,50328,0,0,0,0,50249,0,8110,5346,0,0
