"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CDF","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB"
1,"obs","obs",NA,"1961_1990",14632,455,40862,780,7596,24752,38667,11743,8709,2257,10070,5747,615,3,4852,22224,22077
2,"obs","obs",NA,"2001_2020",11462,338,39496,698,6037,24193,33004,9546,7574,1590,8325,3852,508,NA,3317,19537,18581
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",5024,243,37499,154,4119,24108,25402,10594,7385,736,5056,1707,333,NA,633,15601,7602
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",4557,198,36865,60,3947,23955,23375,9996,7114,583,4982,1428,198,NA,149,8483,5654
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",5001,200,37898,93,4041,23974,25185,10147,6944,749,5652,1877,243,NA,404,14374,8240
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",4683,229,36546,64,4030,24022,24745,10480,7355,635,4777,1564,282,NA,276,11668,5813
7,"EC-Earth3","ssp245","ensembleMean","2001_2020",4001,273,37728,410,4527,24161,27320,10937,7068,845,5328,2122,463,NA,1119,15298,7266
8,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",4251,281,38017,571,4589,24186,27383,10938,7094,886,5372,2214,502,NA,1425,16271,7540
9,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",4082,220,37217,226,4369,24054,27284,10864,7028,850,5246,2010,435,NA,469,13651,6970
10,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",3554,303,38054,591,4093,24020,26192,10788,7407,846,5058,2079,476,NA,1173,16994,6393
11,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",8407,369,38960,711,5183,24442,30983,10973,7785,1259,7534,2869,528,NA,2289,20151,16651
12,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",8104,300,39569,695,4941,24425,29812,10837,7240,1287,7399,2663,519,NA,2533,20145,15692
13,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",9924,381,38950,670,5538,24436,32285,10999,7598,1385,8178,3392,543,NA,2463,19642,19572
14,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",7790,366,38560,599,5053,24355,29758,10826,7916,1111,7096,2618,505,NA,1943,19700,13997
15,"MIROC6","ssp245","ensembleMean","2001_2020",6557,294,38033,415,4985,24326,26637,10840,7519,956,6139,1930,445,NA,1038,18313,9903
16,"MIROC6","ssp245","r1i1p1f1","2001_2020",6232,309,37830,461,4874,24306,26442,10899,7551,936,5953,1852,456,NA,868,17537,8356
17,"MIROC6","ssp245","r2i1p1f1","2001_2020",6883,307,38077,499,5032,24286,26839,10770,7617,937,6408,2130,450,NA,1074,18054,9472
18,"MIROC6","ssp245","r3i1p1f1","2001_2020",6505,261,38213,262,4910,24345,26629,10842,7265,941,6034,1793,436,NA,1154,18610,11347
19,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",7430,307,38268,549,5171,24229,29192,10658,7741,1069,7019,2284,472,NA,1625,18606,12252
20,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",7066,312,38546,601,4728,24166,29704,10435,7712,1149,7114,2359,483,NA,2063,19303,12690
21,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",7907,300,37769,501,5460,24240,28510,10649,7720,975,6899,2189,466,NA,761,15839,11540
22,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",5886,241,37336,466,4738,24342,28693,10865,6926,953,6171,1932,483,NA,1298,17735,10220
