"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",77093,926,10711,78489,46407,500,43721,0,5637,100362,8,61330,5622,35242,20866,42371,6236,8260,22476,0,0,1,0,24732,442,17997,11840,0,0
2,"obs","obs",NA,"2001_2020",74176,1500,12762,80726,46376,728,43402,0,5504,100962,58,60044,6814,37746,22581,44525,7326,7477,24017,61,0,10,0,25010,477,17619,11077,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",63660,3008,18067,85425,47304,663,45874,0,4620,91599,7,57626,9286,47647,26246,52328,10403,11918,25267,262,0,129,203,25054,888,13552,8155,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",57978,5636,23332,84626,48336,441,47201,0,3530,87908,383,56389,10403,50390,26559,53766,12029,11921,25444,764,0,134,322,23685,1046,11165,7299,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",61313,4898,20682,87269,49339,372,46503,0,4044,92336,9,60320,9851,46608,25892,52266,11682,10123,25996,644,0,115,289,24339,817,12017,8034,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",62002,3445,20195,84501,48770,762,46418,0,4033,88806,371,54194,9934,48935,26468,52660,11160,12663,25098,278,0,148,340,24273,925,12790,7813,0,0
7,"EC-Earth3","ssp245","ensembleMean","2001_2020",62475,1389,14818,81567,44183,876,43074,0,3872,92063,141,61734,7548,46619,25502,51184,8186,10467,25300,101,0,75,83,27882,736,15534,8235,0,0
8,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",62310,1275,13451,80093,42344,778,41353,0,3813,91403,152,62993,6951,45842,25597,51423,7416,10295,25520,39,0,39,37,29006,671,16203,8603,0,0
9,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",59927,2519,16588,82967,44512,972,42840,0,4263,92920,119,62350,8290,47713,25448,51434,9527,9306,25516,148,0,153,115,25654,694,13973,7508,0,0
10,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",65257,1355,14578,83210,45956,758,43813,0,4955,91977,70,60167,7870,45496,25233,49409,8692,11704,24260,93,0,38,61,27070,989,14227,7859,0,0
11,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",72869,1134,11330,81594,46051,582,43728,0,4930,97892,75,61669,6542,40410,23363,47257,7210,10267,24356,10,0,15,0,26527,621,16938,10657,0,0
12,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",72353,1128,10878,80290,46237,516,42857,0,5430,96058,395,61815,6370,39954,23405,46787,7050,10336,24489,18,0,10,0,26836,656,17030,10445,0,0
13,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",71340,1014,10836,79414,43844,545,42232,0,4423,98667,110,62859,6125,39647,22611,47060,6836,9294,24003,4,0,11,0,26505,533,16984,11017,0,0
14,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",69552,1117,12346,80784,44405,689,42212,0,5523,94927,0,60690,7246,41670,23927,47520,7960,11024,24145,30,0,43,37,25801,669,16122,10032,0,0
