"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",485,0,57746,61443,0,0,42742,0,0,3068,0,137,53523,74754,61568,82773,54578,54867,21257,0,0,80,0,32352,481,24432,19408,0,0
2,"obs","obs",NA,"2001_2020",349,0,59777,64613,0,0,33330,0,0,2367,0,1637,54897,76313,65462,84914,58508,49277,28452,0,0,622,183,30940,347,21038,16556,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",1134,2,65494,65627,0,0,22371,0,0,2468,0,807,58286,78967,71994,86799,64721,45902,36852,6,0,2735,3005,26860,1155,16511,11666,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",517,51,66730,66090,0,0,11809,0,0,1595,0,2631,58873,76784,75110,86669,71916,36286,46083,169,0,3040,4925,25006,605,12767,8824,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",348,67,65707,66807,0,0,9618,0,0,1341,0,3949,58574,75760,74738,86069,73578,32443,48404,380,0,2391,4408,25228,418,12466,8885,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",925,6,66956,64112,0,0,17776,0,0,2832,0,802,58556,77823,73869,86993,66880,41175,42466,89,0,3760,5018,25841,941,15252,10134,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",572,0,59489,64403,0,0,42087,0,0,2766,0,58,55643,78035,65892,85144,57194,55604,23975,0,0,742,599,31075,571,21716,17500,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",528,0,58559,64512,0,0,39561,0,0,2391,0,132,54458,78105,66381,85358,56705,53024,26592,0,0,1067,681,31739,527,21004,17245,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",557,0,60486,63958,0,0,35215,0,0,2710,0,311,55770,77700,66515,85230,58600,50268,29430,0,0,1313,1064,30257,555,21005,16609,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",417,0,55915,65122,0,0,39835,0,0,2215,0,69,53010,78548,65935,85029,54264,51763,27714,0,0,464,158,33570,417,21300,18085,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",762,0,60707,64624,0,0,33914,0,0,2293,0,377,55700,78721,67994,85943,59090,49026,31832,0,0,1745,1435,30164,761,19805,15801,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",960,0,60372,65561,0,0,41006,0,0,2568,0,97,56343,78987,67455,85856,58183,55560,25152,0,0,904,907,30633,960,20508,16420,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",248,0,59366,63720,0,0,18669,0,0,1271,0,1793,51906,78242,69731,85861,60690,35998,44300,0,0,3672,1591,30594,247,17189,14264,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",4414,0,63172,66249,0,0,40978,0,0,3512,0,290,59257,79371,68231,86141,60829,56639,24933,0,0,750,1199,28827,4409,20636,15369,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",614,0,60688,64217,0,0,35616,0,0,2773,0,431,55681,77554,66130,85074,58402,51293,27957,0,0,1108,692,30443,611,21215,16420,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",882,0,60819,64127,0,0,39117,0,0,3253,0,322,56096,77163,65192,85029,57989,54042,24732,0,0,576,417,30790,878,22342,16983,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",442,0,59990,64399,0,0,30186,0,0,2169,0,1087,55139,77506,66829,84803,59308,46110,32967,0,0,1500,732,30049,441,20057,16167,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",773,0,60948,63918,0,0,35875,0,0,2757,0,287,55393,77723,66670,85452,58285,51832,27977,0,0,1505,1119,30544,772,20900,16007,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",793,0,59588,65335,0,0,43574,0,0,3038,0,26,55827,78416,66523,85689,57204,56853,23077,0,0,542,555,31661,792,21598,17124,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",1376,0,58959,65810,0,0,44570,0,0,3126,0,22,55692,78636,66529,85669,56754,56567,23387,0,0,306,376,32193,1375,21699,17306,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",511,0,57594,64500,0,0,42257,0,0,2632,0,72,54005,77756,65329,85029,55392,54277,24660,0,0,466,260,32806,510,22051,18053,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1201,0,61586,65494,0,0,42764,0,0,3193,0,37,57302,78709,67414,85832,59061,57937,22679,0,0,893,919,30091,1200,20980,16184,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",1346,0,61568,64004,0,0,37714,0,0,2288,0,142,55059,78957,68738,86223,58836,54679,26516,0,0,2755,1598,29801,1346,19258,14756,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1604,0,61649,65158,0,0,39936,0,0,2356,0,85,56099,79250,68716,86263,58776,56579,24752,0,0,1890,1406,29828,1604,19363,14775,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",959,0,61359,63984,0,0,39186,0,0,2533,0,89,55498,78771,68166,86000,58545,55723,25296,0,0,2180,1499,29897,959,19912,15234,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",1571,0,61574,63131,0,0,32231,0,0,1880,0,374,53083,79042,69650,86304,59544,50200,31111,1,0,4061,1733,29832,1571,18050,13903,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",644,0,61982,64494,0,0,29417,0,0,2805,0,1026,56185,77699,67338,85284,60022,45935,33848,0,0,1635,1065,29644,643,20270,15260,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",747,0,61618,65948,0,0,26308,0,0,3219,0,1751,56790,77496,67765,85299,60630,42645,36977,0,0,957,828,29978,743,19992,14926,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",606,0,61811,62480,0,0,31154,0,0,2444,0,572,54664,77927,67169,85539,59419,47858,32259,0,0,2600,1362,29524,606,20346,15558,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1384,0,60821,64844,0,0,34823,0,0,1941,0,328,55349,79180,68131,86079,58710,50875,30016,0,0,1867,1148,30191,1383,19548,15428,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1384,0,60821,64844,0,0,34823,0,0,1941,0,328,55349,79180,68131,86079,58710,50875,30016,0,0,1867,1148,30191,1383,19548,15428,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1312,0,61454,64894,0,0,37845,0,0,2533,0,215,56391,78727,67615,85803,59050,53920,26742,0,0,1431,1126,29813,1311,20184,15655,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",1213,20,68975,61081,0,0,12214,0,0,1471,0,467,58873,75362,79680,87948,71358,32471,52636,1031,0,8590,9495,22233,1251,9499,6610,0,0
