"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp"
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",3839,185,6,48,1984,16789,808,333,80,191,1824,1177,NA,8,NA,48,5285,6029,NA,242,7863,4679,1,NA,NA,6,4013,514,2
23,"MIROC6","ssp245","ensembleMean","2001_2020",3050,56,5,65,1807,14567,667,337,80,96,1561,828,NA,6,NA,28,5084,4475,NA,239,5936,4144,NA,NA,NA,12,3148,271,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",3620,62,4,61,1773,15482,612,331,80,113,1601,848,NA,7,NA,23,5199,4534,2,239,6362,3930,NA,NA,NA,7,3120,281,1
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",3776,104,6,62,1863,15166,653,332,80,106,1707,911,NA,7,NA,29,5162,4985,NA,237,6527,4306,NA,NA,NA,10,3418,338,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",2035,29,5,73,1758,11778,714,312,80,85,1355,689,NA,1,NA,60,4826,3485,NA,239,4762,4040,NA,NA,NA,14,2762,205,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",2888,191,2,117,2111,11693,794,334,80,101,1936,1006,NA,1,NA,86,4548,5102,NA,241,4200,3788,1,NA,NA,39,3780,488,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",3362,208,2,117,2010,9941,790,346,80,84,1925,1098,NA,NA,NA,89,4409,4561,NA,230,3993,3432,1,NA,NA,41,3442,578,2
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",2477,130,NA,109,2091,12699,816,324,80,85,1938,908,NA,4,NA,69,4681,5378,NA,238,4556,3919,NA,NA,NA,38,3763,404,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",2842,95,5,68,1833,13564,747,278,80,100,1620,712,NA,5,NA,88,5146,4906,NA,239,5548,4128,NA,NA,NA,20,3206,245,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",2842,95,5,68,1833,13564,747,278,80,100,1620,712,NA,5,NA,88,5146,4906,NA,239,5548,4128,NA,NA,NA,20,3206,245,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",3141,139,6,73,2073,15250,740,323,80,129,1748,938,NA,6,NA,84,5085,5403,NA,241,6084,4252,1,NA,NA,24,3651,425,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,NA,NA,27,225,579,51,39,62,NA,17,99,NA,NA,NA,1,1678,49,NA,NA,30,934,NA,NA,NA,NA,4,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,NA,NA,29,241,867,10,25,56,NA,NA,75,NA,NA,NA,NA,1690,40,NA,NA,8,684,NA,NA,NA,NA,2,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,NA,NA,20,155,201,25,13,64,NA,34,63,NA,NA,NA,1,1181,87,NA,NA,27,989,NA,NA,NA,NA,2,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,NA,NA,22,133,305,93,38,36,NA,8,27,NA,NA,NA,NA,374,6,NA,1,57,851,NA,NA,NA,NA,3,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",176,NA,NA,49,1315,10894,513,185,80,7,725,448,NA,1,NA,54,4728,2572,NA,238,1721,2905,NA,NA,NA,2,1475,67,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",118,NA,NA,67,1117,6483,424,217,80,16,718,524,NA,NA,NA,38,3940,1663,NA,241,1224,2133,NA,NA,NA,2,1126,61,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",564,NA,NA,13,1242,12075,703,310,80,12,818,654,NA,3,NA,44,4234,3547,NA,236,4366,2692,NA,NA,NA,NA,1473,93,NA
