"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp"
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,NA,NA,32,308,409,44,1,80,NA,47,8,NA,NA,NA,1,1334,34,NA,NA,24,299,NA,NA,NA,NA,12,NA,NA
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,NA,NA,31,213,28,15,NA,78,NA,48,1,NA,NA,NA,NA,606,34,NA,NA,16,174,NA,NA,NA,NA,5,NA,NA
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,NA,NA,33,332,1406,85,7,79,NA,46,9,NA,NA,NA,1,2215,33,NA,137,29,318,NA,NA,NA,NA,4,NA,NA
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",1,NA,NA,6,148,4544,100,230,80,NA,6,NA,NA,NA,NA,NA,4345,NA,NA,NA,160,1916,NA,NA,NA,NA,NA,NA,NA
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",1,NA,NA,6,148,4544,100,230,80,NA,6,NA,NA,NA,NA,NA,4345,NA,NA,NA,160,1916,NA,NA,NA,NA,NA,NA,NA
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,NA,NA,9,160,2865,7,3,80,NA,2,NA,NA,NA,NA,2,2988,2,NA,NA,16,1050,NA,NA,NA,NA,NA,NA,NA
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,NA,142,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,128,2035,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,2300,2,NA,NA,2,257,NA,NA,NA,NA,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,NA,NA,NA,85,2065,NA,21,66,NA,NA,NA,NA,NA,NA,NA,2262,NA,NA,NA,NA,557,NA,NA,NA,NA,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,NA,15,113,580,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,1138,1,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,NA,NA,NA,139,3924,6,128,80,NA,1,NA,NA,NA,NA,3,3899,2,NA,NA,10,850,NA,NA,NA,NA,2,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,NA,NA,49,998,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,2045,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,NA,NA,42,437,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,1355,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,54,396,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,1416,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,NA,1,43,502,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,1523,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,NA,3,209,1512,NA,NA,74,NA,NA,NA,NA,NA,NA,1,2448,1,NA,NA,4,481,NA,NA,NA,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,NA,163,1927,NA,133,73,NA,NA,NA,NA,NA,NA,NA,3173,NA,NA,NA,4,432,NA,NA,NA,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,14,202,66,NA,NA,58,NA,NA,1,NA,NA,NA,NA,589,6,NA,NA,1,212,NA,NA,NA,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,2,174,1686,NA,1,79,NA,1,NA,NA,NA,NA,1,3191,NA,NA,NA,5,372,NA,NA,NA,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,NA,2,98,3338,3,101,76,NA,NA,NA,NA,NA,NA,4,4051,NA,NA,NA,2,639,NA,NA,NA,NA,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,NA,NA,86,2252,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,3052,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,NA,NA,54,7210,65,260,80,NA,10,NA,1,9,NA,NA,5252,NA,NA,NA,117,1860,NA,NA,NA,NA,7,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,NA,1,94,3158,2,166,79,NA,NA,NA,NA,NA,NA,4,4096,NA,NA,NA,1,686,NA,NA,NA,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,NA,13,132,509,NA,135,24,NA,NA,NA,NA,NA,NA,NA,1373,NA,NA,NA,NA,262,NA,NA,NA,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,2,43,7,1,NA,5,NA,NA,NA,NA,NA,NA,NA,376,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,NA,126,1417,NA,152,35,NA,NA,NA,NA,NA,NA,NA,1914,NA,NA,NA,NA,398,NA,NA,NA,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,NA,NA,11,129,549,NA,184,24,NA,NA,NA,NA,NA,NA,NA,1258,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,NA,29,236,2772,42,128,69,NA,34,17,NA,NA,NA,4,2406,18,NA,NA,96,1332,NA,NA,NA,NA,4,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",6,NA,NA,35,214,1151,49,163,66,NA,66,81,NA,NA,NA,3,1985,50,NA,NA,116,1518,NA,NA,NA,NA,4,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,NA,27,240,3556,13,110,76,NA,12,NA,NA,NA,NA,1,2686,3,NA,NA,18,595,NA,NA,NA,NA,2,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,NA,3,90,1568,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,2818,NA,NA,NA,3,67,NA,NA,NA,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,NA,3,90,1568,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,2818,NA,NA,NA,3,67,NA,NA,NA,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,NA,2,69,1402,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,1720,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,NA,NA
