"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",71494,46396,74757,17433,0,481,42742,0,0,1381,0,1378,9289,73135,59548,74902,56769,32711,9558,0,0,0,0,31563,0,22748,22751,0,0
2,"obs","obs",NA,"2001_2020",57646,33535,74157,13170,0,255,29755,0,0,659,0,674,7246,71894,58855,71428,46842,27316,6131,0,0,0,0,28120,0,18199,18227,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",38633,17761,74751,9062,0,263,14861,0,0,178,0,183,1201,67738,56741,72218,39351,13044,1793,0,0,0,0,23552,0,12015,12019,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",21143,9085,74747,5071,0,79,5661,0,0,46,0,77,250,62401,55368,71108,29025,8322,691,0,0,0,0,21527,0,9059,9099,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",17248,8143,74740,3814,0,68,4676,0,0,86,0,138,712,62720,55839,69821,25517,8566,716,0,0,0,0,22153,0,9369,9445,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",31811,12638,74756,7679,0,248,9543,0,0,81,0,90,297,63070,54991,72217,33630,9815,1005,0,0,0,0,22439,0,10229,10237,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",65773,41282,74734,13122,0,321,38185,0,0,632,0,632,4887,72012,58559,73804,54799,23055,5722,0,0,0,0,28443,0,18104,18104,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",62685,39035,74738,13042,0,293,36018,0,0,542,0,543,3430,71719,58492,74114,53115,19416,5504,0,0,0,0,28581,0,17512,17512,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",56730,34099,74709,11779,0,312,30783,0,0,551,0,552,3205,70997,58129,73436,48121,18107,5322,0,0,0,0,27661,0,17427,17427,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",64378,39637,74738,13639,0,262,37261,0,0,572,0,571,3817,72603,58799,74451,54531,18426,5660,0,0,0,0,29804,0,17919,17916,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",54613,31915,74738,11108,0,272,28886,0,0,343,0,344,2327,70565,57782,73636,46753,15250,3911,0,0,0,0,26964,0,15898,15898,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",63859,38815,74741,12469,0,304,35978,0,0,461,0,462,4491,71795,58027,73579,53571,21542,4460,0,0,0,0,27496,0,16483,16483,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",38566,18839,74676,8631,0,115,15792,0,0,191,0,192,1117,67750,57958,72634,34798,9745,2835,0,0,0,0,26887,0,14095,14095,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",61544,33314,74742,12400,0,376,33744,0,0,483,0,484,4550,71774,54680,72635,51731,22745,3601,0,0,0,0,26123,0,15816,15816,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",58854,34701,74665,12472,0,334,31276,0,0,604,0,605,4854,71509,58408,73068,48736,22023,5708,0,0,0,0,27840,0,17799,17799,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",63627,38072,74659,13556,0,419,34793,0,0,774,0,775,6383,72330,58593,73073,51344,25657,6442,0,0,0,0,28360,0,18783,18783,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",51921,29692,74577,10911,0,256,26375,0,0,464,0,466,4096,70777,58228,72322,44203,19071,5043,0,0,0,0,27580,0,17038,17041,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",59057,34583,74701,12619,0,340,31270,0,0,538,0,539,4115,70815,58011,73261,49051,20721,5270,0,0,0,0,27598,0,17266,17266,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",67927,42361,74738,14528,0,340,39469,0,0,617,0,618,5520,72472,58742,73778,55798,25498,5441,0,0,0,0,28577,0,17602,17601,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",69297,42521,74740,14871,0,371,40300,0,0,606,0,607,6213,72805,58286,74203,56119,25977,5399,0,0,0,0,28995,0,17592,17591,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",67645,42350,74744,15282,0,330,39471,0,0,690,0,691,5312,72665,59011,74355,55506,24167,6339,0,0,0,0,29652,0,18688,18687,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",65164,40069,74743,13068,0,333,37350,0,0,520,0,521,4375,71763,57960,73145,54726,23474,4771,0,0,0,0,27129,0,16716,16716,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",61193,34792,74752,12460,0,337,32174,0,0,276,0,277,3404,69520,57279,72933,51296,20827,3759,0,0,0,0,26493,0,15217,15217,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",63381,36541,74752,12543,0,331,34185,0,0,286,0,287,4020,70529,57160,72680,53069,22340,3727,0,0,0,0,26628,0,15260,15262,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",63110,36672,74752,12392,0,332,33697,0,0,343,0,344,4340,70065,57639,72693,52430,22420,4080,0,0,0,0,26792,0,15803,15803,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",55315,29602,74744,12197,0,312,27181,0,0,210,0,211,2260,68056,56943,73199,47016,17946,3336,0,0,0,0,26155,0,14275,14277,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",50539,27755,74651,10939,0,334,24448,0,0,494,0,495,3585,70463,58005,72340,42096,16800,4583,0,0,0,0,26769,0,16554,16554,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",46544,24748,74533,10462,0,346,21677,0,0,584,0,585,4108,71022,58145,71502,38987,16966,4271,0,0,0,0,27084,0,16134,16135,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",53172,29721,74714,11029,0,324,26331,0,0,410,0,411,2943,69553,57933,72973,44281,16581,4535,0,0,0,0,26699,0,16695,16696,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",57131,32242,74740,12128,0,278,29634,0,0,250,0,251,3250,70701,57345,73252,48260,19494,3807,0,0,0,0,26841,0,15715,15716,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",57131,32242,74740,12128,0,278,29634,0,0,250,0,251,3250,70701,57345,73252,48260,19494,3807,0,0,0,0,26841,0,15715,15716,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",59914,35174,74741,12376,0,323,32467,0,0,430,0,431,3612,71098,57518,73136,50711,20619,4375,0,0,0,0,26849,0,16321,16321,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",25521,6431,74757,4720,0,39,3868,0,0,7,0,7,0,51289,49315,71350,24331,4966,114,0,0,0,0,18232,0,4900,4900,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",29369,6482,74757,4175,0,25,3862,0,0,8,0,8,0,44270,46102,69253,20106,4718,104,0,0,0,0,17371,0,4844,4844,0,0
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",23669,6025,74757,4030,0,27,3168,0,0,26,0,26,0,45331,47293,69841,17516,5223,110,0,0,0,0,17721,0,4566,4566,0,0
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",14419,5920,74757,3055,0,48,3541,0,0,28,0,29,0,61578,52890,72363,31844,5281,83,0,0,0,0,16562,0,2303,2311,0,0
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",45791,22583,74751,9283,0,185,19943,0,0,71,0,72,239,65876,57656,74350,41041,8710,1763,0,0,0,0,25349,0,11989,11989,0,0
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",33645,15392,74755,7750,0,217,13021,0,0,65,0,66,189,67402,57843,73711,36586,7328,1345,0,0,0,0,24696,0,10525,10525,0,0
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",51075,27428,74754,9581,0,310,25608,0,0,97,0,98,613,67741,56571,73581,47238,14241,1761,0,0,0,0,24407,0,12742,12742,0,0
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",52005,24654,74749,9933,0,131,21923,0,0,91,0,92,448,62011,57303,74038,40766,12149,2440,0,0,0,0,26010,0,13276,13276,0,0
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",47404,20794,74756,8804,0,106,17751,0,0,23,0,24,108,61326,56994,74235,38383,7551,956,0,0,0,0,24839,0,11017,11017,0,0
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",45982,23153,74747,11361,0,215,20384,0,0,109,0,110,847,67853,57605,73970,39133,11136,2528,0,0,0,0,27154,0,13120,13132,0,0
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",49877,20345,74753,8805,0,107,18538,0,0,9,0,10,52,60091,55857,74178,38386,6708,568,0,0,0,0,25191,0,9985,9986,0,0
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",36990,11947,74753,5815,0,0,8963,0,0,16,0,17,77,53790,55590,73208,26222,5700,780,0,0,0,0,23667,0,9657,9657,0,0
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",45128,19021,74752,9442,0,195,15874,0,0,41,0,42,439,60572,56605,73657,37105,10154,1458,0,0,0,0,24199,0,11228,11228,0,0
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",45641,21661,74753,8958,0,141,18557,0,0,36,0,37,367,64524,57030,73617,42468,10786,1456,0,0,0,0,23914,0,11490,11490,0,0
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",48460,23198,74751,10447,0,318,20236,0,0,104,0,105,1059,64311,56688,73088,41492,13253,2124,0,0,0,0,24362,0,12789,12789,0,0
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",40920,13112,74753,8016,0,42,10005,0,0,8,0,9,100,54079,56048,73486,27793,7611,854,0,0,0,0,23674,0,9174,9174,0,0
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",54206,26869,74749,11569,0,230,26416,0,0,8,0,8,164,66337,56006,74256,47052,11453,527,0,0,0,0,25997,0,9209,9207,0,0
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",48425,19152,74757,10471,0,239,17614,0,0,2,0,3,67,59701,55475,74336,38417,10146,457,0,0,0,0,23708,0,9095,9095,0,0
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",53250,24618,74748,10899,0,100,24069,0,0,11,0,12,61,65880,57108,74709,45037,6288,690,0,0,0,0,27596,0,9603,9591,0,0
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",60537,34246,74749,12017,0,295,33908,0,0,20,0,20,2042,71685,56483,72972,54248,18693,807,0,0,0,0,26218,0,10279,10278,0,0
