"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",4365,240,67201,25355,0,0,21371,0,0,691,0,757,12727,55516,43695,61385,42741,26790,13218,0,0,0,0,31934,186,17654,19462,0,0
2,"obs","obs",NA,"2001_2020",6134,173,69552,20652,0,0,16665,0,0,616,0,1435,16883,57078,46565,64847,44186,26452,11593,0,0,0,183,30658,2254,16229,17153,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",10702,568,75362,15427,1,0,11186,0,0,393,0,783,19042,60078,52514,72458,45964,24327,12268,6,4,0,3005,26440,1800,12971,12330,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",10819,309,76438,7964,24,16,5906,0,0,326,0,1591,22653,58525,55407,75189,44533,25310,8474,159,127,0,4925,24763,6013,13302,10113,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",9948,242,75432,5752,33,14,4809,0,0,372,0,2282,23772,57720,54952,74660,43504,26362,6097,374,285,0,4408,25062,8304,14469,10383,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",10571,468,76675,12889,3,0,8888,0,0,401,0,790,19872,59047,54163,74558,45348,22310,12594,87,67,0,5018,25333,2100,12244,10954,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",5651,286,70661,25804,0,0,21044,0,0,476,0,504,12000,59063,47500,65871,44850,27012,13856,0,0,0,599,30625,99,15659,16727,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",5628,264,70626,25101,0,0,19780,0,0,418,0,482,11570,59795,48352,67969,44708,26063,14503,0,0,0,681,31351,272,15334,16351,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",6281,278,71132,22002,0,0,17608,0,0,471,0,624,13902,59025,48338,68254,44526,24957,13504,0,0,0,1064,29818,600,15450,16176,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",5097,208,69795,26071,0,0,19918,0,0,386,0,424,10817,60693,48121,67945,44696,25300,15346,0,0,0,158,33206,112,15498,16686,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",6529,380,72253,21926,0,0,16957,0,0,354,0,541,13512,60235,49669,70211,45036,24507,13990,0,0,0,1435,29770,680,14684,15180,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",6460,480,71894,25715,0,0,20503,0,0,410,0,461,12196,59939,48567,66842,45702,27076,13723,0,0,0,907,30196,148,14826,15665,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",7264,124,72191,14377,0,0,9334,0,0,234,0,1129,17374,60451,51690,74070,43216,21076,14923,0,0,0,1591,30394,3066,14296,13859,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",9583,2204,73132,25456,0,0,20489,0,0,510,0,650,14951,59671,47874,66205,46151,27552,12008,0,0,0,1199,28210,432,14831,15076,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",6375,306,70828,22201,0,0,17808,0,0,507,0,720,14792,58444,47557,66604,44531,25538,13022,0,0,0,692,30007,692,15594,16427,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",6058,439,70293,23761,0,0,19558,0,0,603,0,760,14192,57676,46297,64623,44419,26514,12534,0,0,0,417,30282,477,16188,17200,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",6686,220,70824,19258,0,0,15093,0,0,422,0,963,16415,58734,48464,67959,44298,24343,12921,0,0,0,732,29720,1751,15442,15878,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",6568,386,71325,22727,0,0,17938,0,0,487,0,629,14003,58743,48074,67463,44554,25502,13621,0,0,0,1119,30100,436,15213,16077,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",5640,396,71010,26989,0,0,21787,0,0,486,0,497,11984,59360,47612,65762,45192,27439,13770,0,0,0,555,31150,35,15470,16438,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",5568,688,70874,27840,0,0,22285,0,0,475,0,484,11759,59634,47382,65448,45263,27253,13830,0,0,0,376,31652,41,15528,16433,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",4839,255,69736,26578,0,0,21128,0,0,464,0,498,11305,59260,47149,66306,44484,26401,14444,0,0,0,260,32381,105,15938,17184,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",6808,600,72063,26190,0,0,21382,0,0,500,0,516,12810,59396,48276,66056,45620,27954,13178,0,0,0,919,29548,66,14988,15744,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",7688,673,72849,24381,0,0,18857,0,0,320,0,391,12980,59761,49542,68138,44914,26708,15158,0,0,0,1598,29389,181,13951,14679,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",7750,802,72910,25559,0,0,19968,0,0,338,0,382,12955,59940,49219,67057,45696,27543,14296,0,0,0,1406,29408,90,13968,14722,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",7214,480,72511,24760,0,0,19593,0,0,374,0,419,12837,59377,48913,66751,44899,27106,14730,0,0,0,1499,29451,121,14360,15127,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",8285,786,73182,21979,0,0,16116,0,0,268,0,457,13802,60214,50631,70586,44162,25230,16356,1,1,0,1733,29496,678,13478,13958,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",6714,322,71712,18920,0,0,14708,0,0,512,0,1024,16283,58720,48752,68978,44637,23542,12496,0,0,0,1065,29200,1403,15139,15635,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",6818,372,71504,17240,0,0,13154,0,0,654,0,1527,18078,58697,48859,68995,44869,22872,11134,0,0,0,828,29504,2394,15282,15453,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",6811,303,71887,19920,0,0,15577,0,0,416,0,701,14762,58961,48837,69407,43912,24000,14420,0,0,0,1362,29122,821,15046,15710,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",7332,692,72401,22760,0,0,17412,0,0,283,0,446,14315,60315,49313,69287,45265,25389,14264,0,0,0,1148,29848,562,14495,15126,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",7332,692,72401,22760,0,0,17412,0,0,283,0,446,14315,60315,49313,69287,45265,25389,14264,0,0,0,1148,29848,562,14495,15126,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",7246,656,72193,23857,0,0,18922,0,0,407,0,513,13786,59652,48726,67743,45366,26516,13510,0,0,0,1126,29385,365,14714,15411,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",10066,625,80124,10702,8,3,6110,0,0,138,0,342,19068,56485,58314,77254,45149,19477,15198,778,773,0,9495,21934,2381,8816,6742,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",7736,512,80408,11372,8,5,6629,0,0,108,0,282,15729,52951,58460,77259,42948,16895,18458,796,791,0,12900,20976,1745,8100,6602,0,0
