"Region","ZoneSubzone","CFRG_SS","SiteSeries","Standard","Suitability","PreferredAcceptable","Species","FN1","FN2","FN3","FN4","FN5","FN6","Flag"
"LMH20-Nelson","ICHvk1","06","06","83080",0,"X","At","901",,,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",0,"X","Ep","901",,,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",1,"P","Cw","1","32",,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",1,"P","Hw","1","32",,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",1,"P","Sx","1",,,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",2,"S","Bl","1",,,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",3,"T","Pl","23","34",,,,,0
"LMH20-Nelson","ICHvk1","06","06","83080",3,"T","Pw","1","31",,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",0,"X","Act","900",,,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",0,"X","At","900",,,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",0,"X","Ep","900",,,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",1,"P","Cw",,,,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",1,"P","Fd","9","14",,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",1,"P","Hw",,,,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",1,"P","Sx",,,,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",2,"S","Bl","10","13",,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",3,"T","Lw","9","14","23","32",,,0
"LMH20-Nelson","ICHwk1","01","01","83081",3,"T","Pl","23","34",,,,,0
"LMH20-Nelson","ICHwk1","01","01","83081",3,"T","Pw","31",,,,,,0
"LMH20-Nelson","ICHwk1","02","02","999",0,"X","NonForested",,,,,,,0
"LMH20-Nelson","ICHwk1","02","02","999",0,"P","NonForested",,,,,,,0
"LMH20-Nelson","ICHwk1","02","02","999",0,"S","NonForested",,,,,,,0
"LMH20-Nelson","ICHwk1","02","02","999",0,"T","NonForested",,,,,,,0
"LMH20-Nelson","ICHwk1","04","04","83082",0,"X","Act","901",,,,,,0
"LMH20-Nelson","ICHwk1","04","04","83082",0,"X","At","900",,,,,,0
"LMH20-Nelson","ICHwk1","04","04","83082",0,"X","Ep","900",,,,,,0
"LMH20-Nelson","ICHwk1","04","04","83082",1,"P","Fd","9","14",,,,,0
"LMH20-Nelson","ICHwk1","04","04","83082",2,"S","Cw",,,,,,,0
"LMH20-Nelson","ICHwk1","04","04","83082",2,"S","Hw",,,,,,,0
