"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag","Comment"
"Kamloops LMH23- Updated (2021)","ICHvk1","05",,"1065991",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHvk1","06",,"1065992",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","01",,"1066001",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","02",,"1065993",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","03",,"1065999",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","04",,"1066000",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","05",,"1066002",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","05 (cold air with Bl)",,"1066003",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","06",,"1066004",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","ICHwk1","07",,"1066005",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","01",,"1066010",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","02",,"1066006",600,400,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (very steep slopes with bluebunch wheatgrass)",,"1066007",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (shallow soils)",,"1066008",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","03 (very steep slopes with pinegrass)",,"1066009",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","04",,"1066010",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","05",,"1066011",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","06",,"1066012",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","07",,"999",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFdc (","08",,"999",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFmw2","01",,"1066044",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFmw2","02",,"1066042",600,400,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFmw2","03",,"1066043",1000,500,400,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFmw2","04 (lack abundant devil's club)",,"1066045",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFmw2","04 (abundant devil's club present)",,"1066046",1200,700,600,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFmw2","05",,"1066047",1000,500,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","01",,"1066051",600,400,400,4,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","02",,"1066048",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","03",,"1066049",1200,700,600,7,,20,0,
"Kamloops LMH23- Updated (2021)","IDFww","04",,"1066050",600,400,400,4,,20,0,
