"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag","Comment"
"LMH26-Pr Rupert","CWHvh2","17","Ss - Sword fern","85034",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","18*","Ss - Slough sedge","85035",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","19*","Ss - Pacific crab apple","85036",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvh2","31","Non-forested topogenous bog","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvh2","32","Non-forested slope/blanket bog","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvh2","33","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm1","01","HwBa - Blueberry","85037",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm1","02*","HwPl - Cladina","85038",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","03","HwCw - Salal","85039",800,400,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm1","04","CwHw - Sword fen","85040",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","05","BaCw - Foamflower","85041",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","06","HwBa - Deer fern","85042",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm1","07","BaCw - Salmonberry","999",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm1","08","BaSs - Devil's club","85043",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","09","Ss - Salmonberry","85044",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","10","Act - Red-osier dogwood","85045",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","11","Act - Willow","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm1","12","CwYc - Goldthread","85046",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","13*","Pl - Sphagnum","85047",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","14","CwSs - Skunk cabbage","85048",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm1","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm1","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm1","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm2","01","HwBa - Blueberry","85049",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm2","02*","HwPl - Cladina","85050",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvm2","03","HwCw - Salal","85051",800,400,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm2","04","CwHw - Sword fern","999",800,400,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm2","05","BaCw - Foamflower","85052",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm2","06","HwBa - Deer fern","85053",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm2","07","BaCw - Salmonberry","999",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHvm2","08","BaSs - Devil's club","85054",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm2","09","CwYc - Goldthread","85055",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm2","10*","Pl - Sphagnum","85056",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHvm2","11","CwYc - Skunk cabbage","85057",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHvm2","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm2","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","CWHvm2","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert","CWHwm","01","HwSs - Blueberry","85058",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHwm","02","HwSs - Step moss","85059",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHwm","03","SsHw - Oak fern","85060",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHwm","04","SsHw - Devil's club","85061",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHwm","05","Ss - Salmonberry","85062",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHwm","06","Act - Red-osier dogwood","85063",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHwm","07*","Act - Willow","999",,,,,,,0,
"LMH26-Pr Rupert","CWHwm","08*","Hw - Sphagnum","85064",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHwm","09","Ss - Skunk cabbage","85065",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHwm","10*","Pl - Sphagnum","85066",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHwm","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","ESSFmc","04","Bl - Huckleberry - Heron's-bill","85090",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFmc","05","Bl - Huckleberry - Thimbleberry","85091",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmc","06","Bl - Oak fern - Heron's bill","85092",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmc","07","Bl - Devil's club - Lady fern","85093",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmc","08*","Bl - Valerian - Sickle moss","85094",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmc","09","Bl - Horsetail - Glow moss","85095",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmc","10","Bl - Horsetail - Leafy moss","85096",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmc","31","Non-forested wetland","999",,,,,,,0,
"LMH26-Pr Rupert","ESSFmc","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmcw","101*","Avalanche track","999",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmcw","102*","Avalanche track","999",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmcw","103*","Avalanche track","999",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmcw","110*","Avalanche track","999",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmcw","111*","Avalanche track","999",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmk","01","BlHm - Twistedstalk","85097",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFmk","02*","BlPa - Cladonia","85098",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert","ESSFmk","03*","BlHm - Cladonia","85099",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert","ESSFmk","04","BlHm - Oak fern","85100",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmk","05","BlHm - Devil's club - Lady fern","85101",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmk","06","Bl - Horsetail - Leafy moss","85102",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmk","07","Bl - Lady fern - Horsetail","85103",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmk","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","ESSFmk","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmkw","101*","Avalanche track","999",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmkw","102*","Avalanche track","999",1000,500,400,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmkw","103*","Avalanche track","999",1200,700,600,7,15,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmkw","104*","Avalanche track","999",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmkw","110*","Avalanche track","999",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert - woodland supplement 2","ESSFmkw","111*","Avalanche track","999",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmv3","01","Bl - Rhododendron - Feathermoss","85104",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmv3","02*","BlPl - Crowberry - Cladina","85105",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmv3","03","BlSb - Labrador tea","85106",1000,500,400,4,12,20,0,
"LMH26-Pr Rupert","ESSFmv3","04","Bl - Oak fern - Knight's plume","85107",1200,700,600,4,12,20,0,
"LMH26-Pr Rupert","ESSFmv3","05","Bl - Devil's club - Rhododendron","85108",1200,700,600,4,12,20,0,
