Modeled,Tables
BGxh3,BGxh2
BGxw2,BGxw1
CWHxm1,CWHxm
CWHxm2,CWHxm
ESSFdc3,ESSFdc2
ESSFdk2,ESSFdk1
ESSFdv1,ESSFdv
ESSFdv2,ESSFdv
ESSFmm2,ESSFmm1
ESSFmmw,ESSFmm1
ESSFmw1,ESSFmw
ESSFmw2,ESSFmw
ESSFvcw,ESSFvc
ESSFwm1,ESSFwm
ESSFxc1,ESSFxc
ESSFxc2,ESSFxc
ESSFxc3,ESSFxc
ICHdw3,ICHdw1
ICHmk4,ICHmk3
IDFdc,IDFdk2
IDFdw,IDFdk4
IDFdk5,IDFdm2
IDFww1,IDFww
IDFxc,IDFxh1
IDFxh4,IDFxh1
IDFxk,IDFxh1
MSdc3,MSdc1
MSdk1,MSdk
MSdk2,MSdk
MSdm3,MSdm2
MSmw1,MSdm2
MSmw2,MSdm2
MSxk1,MSxk
MSxk2,MSxk
MSxk3,MSxk
PPxh3,PPdh1
SBSdh2,SBSdh1
