"Region","ZoneSubzone","SiteSeries","Standard","Species","Height"
"LMH20-Nelson","ESSFvc","01","83012","All",0.80
"LMH20-Nelson","ESSFvc","02","83013","Pli",1.20
"LMH20-Nelson","ESSFvc","02","83013","Others",0.60
"LMH20-Nelson","ESSFvc","03","83014","All",0.60
"LMH20-Nelson","ESSFvc","04","83015","All",0.80
"LMH20-Nelson","ESSFvc","05","83016","All",0.60
"LMH23-Nelson","ESSFwc2","01","83021","Pli",1.60
"LMH23-Nelson","ESSFwc2","01","83021","Others",0.80
"LMH23-Nelson","ESSFwc2","02","83022","Pli",1.20
"LMH23-Nelson","ESSFwc2","02","83022","Others",0.60
"LMH23-Nelson","ESSFwc2","03","83023","Pli",1.20
"LMH23-Nelson","ESSFwc2","03","83023","Others",0.60
"LMH23-Nelson","ESSFwc2","04","83024","Pli",1.60
"LMH23-Nelson","ESSFwc2","04","83024","Others",0.80
"LMH23-Nelson","ESSFwc2","05","83025","Pli",1.60
"LMH23-Nelson","ESSFwc2","05","83025","Others",0.80
"LMH23-Nelson","ESSFwc2","06","83026","Pli",1.60
"LMH23-Nelson","ESSFwc2","06","83026","Others",0.80
"LMH23-Nelson","ESSFwc2","07","83027","Pli",1.60
"LMH23-Nelson","ESSFwc2","07","83027","Others",0.80
"LMH23-Nelson","ESSFwc2","08","83028","Pli",1.20
"LMH23-Nelson","ESSFwc2","08","83028","Others",0.60
"LMH23-Nelson","ESSFwc2","09*","83029","Pli",1.20
"LMH23-Nelson","ESSFwc2","09*","83029","Others",0.60
"LMH20-Nelson","ICHmw1","01","83053","Pli",2.00
"LMH20-Nelson","ICHmw1","01","83053","Pw",2.00
"LMH20-Nelson","ICHmw1","01","83053","Lw",2.00
"LMH20-Nelson","ICHmw1","01","83053","Fd",1.40
"LMH20-Nelson","ICHmw1","01","83053","Others",1.00
"LMH20-Nelson","ICHmw1","02","83054","Pli",2.00
"LMH20-Nelson","ICHmw1","02","83054","Pw",2.00
"LMH20-Nelson","ICHmw1","02","83054","Lw",2.00
"LMH20-Nelson","ICHmw1","02","83054","Fd",1.40
"LMH20-Nelson","ICHmw1","02","83054","Others",1.00
"LMH20-Nelson","ICHmw1","03","83055","Pli",2.00
"LMH20-Nelson","ICHmw1","03","83055","Pw",2.00
"LMH20-Nelson","ICHmw1","03","83055","Lw",2.00
"LMH20-Nelson","ICHmw1","03","83055","Fd",1.40
"LMH20-Nelson","ICHmw1","03","83055","Others",1.00
"LMH20-Nelson","ICHmw1","04","83056","Pli",2.00
"LMH20-Nelson","ICHmw1","04","83056","Pw",2.00
"LMH20-Nelson","ICHmw1","04","83056","Lw",2.00
"LMH20-Nelson","ICHmw1","04","83056","Fd",1.40
"LMH20-Nelson","ICHmw1","04","83056","Others",1.00
"LMH20-Nelson","ICHmw1","05","83057","Pli",2.00
"LMH20-Nelson","ICHmw1","05","83057","Pw",2.00
"LMH20-Nelson","ICHmw1","05","83057","Lw",2.00
"LMH20-Nelson","ICHmw1","05","83057","Fd",1.40
"LMH20-Nelson","ICHmw1","05","83057","Others",1.00
"LMH20-Nelson","ICHmw1","06","83058","Pli",2.00
"LMH20-Nelson","ICHmw1","06","83058","Pw",2.00
"LMH20-Nelson","ICHmw1","06","83058","Lw",2.00
"LMH20-Nelson","ICHmw1","06","83058","Fd",1.40
"LMH20-Nelson","ICHmw1","06","83058","Others",1.00
"LMH20-Nelson","ICHmw1","07","83059","Pli",1.40
"LMH20-Nelson","ICHmw1","07","83059","Fd",1.00
"LMH20-Nelson","ICHmw1","07","83059","Others",0.80
"LMH23-Nelson","ICHmw3","01","83067","Pl",2.00
"LMH23-Nelson","ICHmw3","01","83067","Pw",2.00
"LMH23-Nelson","ICHmw3","01","83067","Lw",2.00
"LMH23-Nelson","ICHmw3","01","83067","Fd",1.40
"LMH23-Nelson","ICHmw3","01","83067","Others",1.00
"LMH23-Nelson","ICHmw3","01-YC","83068","Pl",2.00
"LMH23-Nelson","ICHmw3","01-YC","83068","Pw",2.00
