"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag"
"BWBS2012","BWBSdk","101","Sw - Soopolallie - Step moss","1043873",1200,700,600,7,20,20,0
"BWBS2012","BWBSdk","102","Pl - Kinnikinnick - Lingonberry","1043874",1000,500,400,7,20,20,0
"BWBS2012","BWBSdk","103","SwPl - Soopolallie - Toad-flax","1043875",1200,700,600,7,20,20,0
"BWBS2012","BWBSdk","104","Sb - Labrador tea - Step moss","1043876",1200,700,600,7,20,20,0
"BWBS2012","BWBSdk","110","Sw - Currant - Horsetail","1043877",1000,500,400,4,20,20,0
"BWBS2012","BWBSdk","111","Sw - Mountain alder - Horsetail","1043878",1000,500,400,4,20,20,0
"BWBS2012","BWBSmk","101","Sw - Lingonberry - Step moss","1043881",1200,700,600,4,20,20,0
"BWBS2012","BWBSmk","102","Pl - Kinnikinnick - Lingonberry","1043885",1000,500,400,7,20,20,0
"BWBS2012","BWBSmk","103","SwPl - Soopolallie - Fuzzy-spiked wildrye","1043886",1200,700,600,7,20,20,0
"BWBS2012","BWBSmk","104","Sb - Labrador tea - Step moss","1043887",1200,500,400,4,20,20,0
"BWBS2012","BWBSmk","110","Sw - Currant - Horsetail","1043888",1000,500,400,4,20,20,0
"BWBS2012","BWBSmk","111","Sw - Mountain alder - Horsetail","1043889",1000,500,400,4,20,20,0
"BWBS2012","BWBSmw","101","Sw - Trailing raspberry - Step moss","1043891",1200,700,600,4,20,20,0
"BWBS2012","BWBSmw","102","Pl - Kinnikinnick - Lingonberry","1043895",1200,700,600,7,20,20,0
"BWBS2012","BWBSmw","103","SwPl - Soopolallie - Fuzzy-spiked wildrye","1043896",1200,700,600,7,20,20,0
"BWBS2012","BWBSmw","104","Sb - Labrador tea - Step moss","1043897",1200,700,600,7,20,20,0
"BWBS2012","BWBSmw","110","Sw - Oak fern - Sarsaparilla","1043898",1200,700,600,4,20,20,0
"BWBS2012","BWBSmw","111","Sw - Currant - Horsetail","1043899",1000,500,400,4,20,20,0
"BWBS2012","BWBSmw","112","AcbSw - Mountain alder - Dogwood","1043900",2500,2000,1700,4,20,20,0
"BWBS2012","BWBSwk1","101","SwBl - Huckleberry - Feathermoss","1043901",1200,700,600,4,20,20,0
"BWBS2012","BWBSwk1","102","Pl - Lingonberry - Reindeer lichen","1043902",1200,700,600,7,20,20,0
"BWBS2012","BWBSwk1","103","SwPl - Soopollalie - Showy aster","1043903",1200,700,600,7,20,20,0
"BWBS2012","BWBSwk1","104","Sb - Huckleberry - Lingonberry","1043904",1200,700,600,7,20,20,0
"BWBS2012","BWBSwk1","110","Sw - Currant - Horsetail","1043905",1000,500,400,4,20,20,0
