Region,Source,ZoneSubzone,SiteSeries,Standard,Species,Height
Cariboo,Cariboo,ESSFdc2,ESSFdc2/01,80000,Others,0.8
Cariboo,Cariboo,ESSFdc2,ESSFdc2/01,80000,Pl,1.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/03,80001,Others,0.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/03,80001,Pl,1.2
Cariboo,Cariboo,ESSFdc2,ESSFdc2/04,80002,Others,0.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/04,80002,Pl,1.2
Cariboo,Cariboo,ESSFdc2,ESSFdc2/05,80003,Others,0.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/05,80003,Pl,1.2
Cariboo,Cariboo,ESSFdc2,ESSFdc2/06,80004,Others,0.8
Cariboo,Cariboo,ESSFdc2,ESSFdc2/06,80004,Pl,1.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/07,80005,Others,0.8
Cariboo,Cariboo,ESSFdc2,ESSFdc2/07,80005,Pl,1.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/08,80006,Others,0.6
Cariboo,Cariboo,ESSFdc2,ESSFdc2/08,80006,Pl,1.2
Cariboo,Cariboo,ESSFmv1,ESSFmv1/01,80007,Others,0.8
Cariboo,Cariboo,ESSFmv1,ESSFmv1/01,80007,Pl,1.6
Cariboo,Cariboo,ESSFmv1,ESSFmv1/02,80008,Bl,0.6
Cariboo,Cariboo,ESSFmv1,ESSFmv1/02,80008,Pl,1.2
Cariboo,Cariboo,ESSFmv1,ESSFmv1/03,80009,Others,0.6
Cariboo,Cariboo,ESSFmv1,ESSFmv1/03,80009,Pl,1.2
Cariboo,Cariboo,ESSFmv1,ESSFmv1/04,80010,Others,0.6
Cariboo,Cariboo,ESSFmv1,ESSFmv1/04,80010,Pl,1.2
Cariboo,Cariboo,ESSFmv1,ESSFmv1/05,80011,Others,0.6
Cariboo,Cariboo,ESSFmv1,ESSFmv1/05,80011,Pl,1.2
Cariboo,Cariboo,ESSFwc3,ESSFwc3/01,80012,Others,0.8
Cariboo,Cariboo,ESSFwc3,ESSFwc3/01,80012,Pl,1.6
Cariboo,Cariboo,ESSFwc3,ESSFwc3/02,80013,Others,0.6
Cariboo,Cariboo,ESSFwc3,ESSFwc3/02,80013,Pl,1.2
Cariboo,Cariboo,ESSFwc3,ESSFwc3/03,80014,All,0.6
Cariboo,Cariboo,ESSFwk1,ESSFwk1/01,80015,Others,1
Cariboo,Cariboo,ESSFwk1,ESSFwk1/01,80015,Pl,2
Cariboo,Cariboo,ESSFwk1,ESSFwk1/02,80016,Others,0.8
Cariboo,Cariboo,ESSFwk1,ESSFwk1/02,80016,Pl,1.4
Cariboo,Cariboo,ESSFwk1,ESSFwk1/03,80017,Others,1
Cariboo,Cariboo,ESSFwk1,ESSFwk1/03,80017,Pl,2
Cariboo,Cariboo,ESSFwk1,ESSFwk1/04,80018,Others,1
Cariboo,Cariboo,ESSFwk1,ESSFwk1/04,80018,Pl,2
Cariboo,Cariboo,ESSFwk1,ESSFwk1/05,80019,Others,1
